,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,A. Len makes 2-pt layup from 2 ft (assist by O. Spellman),,2,0
1,1,11:29.0,,C. Zeller misses 2-pt jump shot from 12 ft,2,0
2,1,11:27.0,,Offensive rebound by J. Lamb,2,0
3,1,11:26.0,,J. Lamb misses 2-pt jump shot from 18 ft,2,0
4,1,11:24.0,,Offensive rebound by C. Zeller,2,0
5,1,11:23.0,,C. Zeller misses 2-pt layup from 2 ft (block by K. Huerter),2,0
6,1,11:20.0,Defensive rebound by T. Young,,2,0
7,1,11:06.0,T. Young misses 3-pt jump shot from 30 ft,,2,0
8,1,11:03.0,,Defensive rebound by N. Batum,2,0
9,1,10:55.0,,Turnover by N. Batum (bad pass; steal by K. Bazemore),2,0
10,1,10:53.0,Flagrant foul type 1 by N. Batum (drawn by K. Bazemore),,2,0
11,1,10:53.0,K. Bazemore misses flagrant free throw 1 of 2,,2,0
12,1,10:53.0,Offensive rebound by Team,,2,0
13,1,10:53.0,K. Bazemore makes flagrant free throw 2 of 2,,3,0
14,1,10:35.0,A. Len makes 2-pt dunk from 1 ft (assist by K. Huerter),,5,0
15,1,10:15.0,,K. Walker misses 3-pt jump shot from 27 ft,5,0
16,1,10:11.0,Defensive rebound by K. Huerter,,5,0
17,1,10:07.0,Turnover by A. Len (traveling),,5,0
18,1,9:51.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),5,3
19,1,9:34.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,7,3
20,1,9:18.0,,C. Zeller misses 2-pt layup from 1 ft,7,3
21,1,9:16.0,Defensive rebound by A. Len,,7,3
22,1,9:00.0,A. Len makes 2-pt jump shot from 14 ft (assist by K. Huerter),,9,3
23,1,8:47.0,,M. Williams misses 3-pt jump shot from 25 ft,9,3
24,1,8:44.0,Defensive rebound by K. Huerter,,9,3
25,1,8:41.0,T. Young misses 3-pt jump shot from 30 ft,,9,3
26,1,8:40.0,,Defensive rebound by Team,9,3
27,1,8:40.0,Loose ball foul by O. Spellman (drawn by M. Williams),,9,3
28,1,8:23.0,,J. Lamb misses 2-pt layup from 2 ft,9,3
29,1,8:23.0,,Offensive rebound by Team,9,3
30,1,8:23.0,Loose ball foul by K. Bazemore (drawn by C. Zeller),,9,3
31,1,8:17.0,,K. Walker misses 3-pt jump shot from 26 ft,9,3
32,1,8:15.0,Defensive rebound by O. Spellman,,9,3
33,1,8:08.0,O. Spellman misses 3-pt jump shot from 26 ft,,9,3
