,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
0,1,11:42.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by A. Gordon),,2,0
1,1,11:29.0,,P. Millsap makes 2-pt layup from 3 ft (assist by N. Jokić),2,2
2,1,11:16.0,Turnover by N. Vučević (bad pass; steal by N. Jokić),,2,2
3,1,11:05.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),2,4
4,1,10:37.0,Turnover by Team (shot clock),,2,4
5,1,10:22.0,,G. Harris misses 2-pt layup from 4 ft,2,4
6,1,10:18.0,,Offensive rebound by N. Jokić,2,4
7,1,10:15.0,,P. Millsap misses 2-pt jump shot from 16 ft,2,4
8,1,10:13.0,,Offensive rebound by N. Jokić,2,4
9,1,10:10.0,,Turnover by J. Murray (lost ball; steal by N. Vučević),2,4
10,1,10:05.0,N. Vučević misses 3-pt jump shot from 26 ft,,2,4
11,1,10:02.0,Offensive rebound by Team,,2,4
12,1,9:52.0,W. Iwundu makes 3-pt jump shot from 25 ft (assist by A. Gordon),,5,4
13,1,9:37.0,,G. Harris misses 2-pt jump shot from 5 ft,5,4
14,1,9:35.0,Defensive rebound by N. Vučević,,5,4
15,1,9:30.0,A. Gordon misses 2-pt hook shot from 3 ft,,5,4
16,1,9:27.0,,Defensive rebound by N. Jokić,5,4
17,1,9:13.0,,P. Millsap misses 2-pt layup from 2 ft,5,4
18,1,9:09.0,Defensive rebound by D. Augustin,,5,4
19,1,8:54.0,N. Vučević misses 2-pt hook shot from 5 ft,,5,4
20,1,8:52.0,,Defensive rebound by P. Millsap,5,4
21,1,8:43.0,,Personal foul by E. Fournier (drawn by N. Jokić),5,4
22,1,8:35.0,,G. Harris misses 2-pt jump shot from 21 ft,5,4
23,1,8:34.0,,Offensive rebound by P. Millsap,5,4
24,1,8:34.0,,Shooting foul by W. Iwundu (drawn by J. Murray),5,4
25,1,8:34.0,,J. Murray misses free throw 1 of 2,5,4
26,1,8:34.0,,Offensive rebound by Team,5,4
27,1,8:34.0,,J. Murray makes free throw 2 of 2,5,5
28,1,8:19.0,E. Fournier misses 2-pt layup from 3 ft,,5,5
29,1,8:15.0,,Defensive rebound by N. Jokić,5,5
30,1,8:10.0,,P. Millsap misses 2-pt jump shot from 4 ft,5,5
31,1,8:09.0,,Offensive rebound by Team,5,5
32,1,8:02.0,,J. Murray makes 2-pt jump shot from 6 ft (assist by N. Jokić),5,7
33,1,7:42.0,Turnover by E. Fournier (lost ball; steal by P. Millsap),,5,7
34,1,7:37.0,,G. Harris misses 2-pt layup from 5 ft,5,7
35,1,7:32.0,Defensive rebound by N. Vučević,,5,7
36,1,7:27.0,N. Vučević misses 2-pt hook shot from 4 ft,,5,7
37,1,7:24.0,,Defensive rebound by P. Millsap,5,7
38,1,7:13.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),5,9
39,1,7:02.0,E. Fournier misses 3-pt jump shot from 26 ft,,5,9
40,1,6:59.0,,Defensive rebound by P. Millsap,5,9
41,1,6:44.0,,Turnover by J. Murray (bad pass; steal by E. Fournier),5,9
42,1,6:38.0,A. Gordon misses 2-pt jump shot from 3 ft,,5,9
43,1,6:34.0,,Defensive rebound by N. Jokić,5,9
44,1,6:31.0,,Shooting foul by W. Iwundu (drawn by P. Millsap),5,9
45,1,6:31.0,,Denver full timeout,5,9
46,1,6:31.0,J. Isaac enters the game for W. Iwundu,,5,9
47,1,6:31.0,,P. Millsap makes free throw 1 of 2,5,10
48,1,6:31.0,,P. Millsap makes free throw 2 of 2,5,11
49,1,6:18.0,D. Augustin misses 3-pt jump shot from 25 ft (block by J. Murray),,5,11
50,1,6:14.0,,Defensive rebound by N. Jokić,5,11
51,1,6:12.0,,Turnover by J. Murray (lost ball; steal by E. Fournier),5,11
52,1,6:05.0,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),,7,11
53,1,5:49.0,,Turnover by G. Harris (lost ball),7,11
54,1,5:49.0,,M. Morris enters the game for J. Murray,7,11
55,1,5:25.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),,9,11
56,1,5:08.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by J. Hernangómez),9,13
57,1,4:42.0,J. Isaac misses 2-pt jump shot from 8 ft,,9,13
58,1,4:40.0,,Defensive rebound by J. Hernangómez,9,13
59,1,4:24.0,,G. Harris misses 2-pt layup from 3 ft,9,13
60,1,4:21.0,Defensive rebound by A. Gordon,,9,13
61,1,4:19.0,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),,11,13
62,1,4:10.0,,N. Jokić misses 3-pt jump shot from 26 ft,11,13
63,1,4:08.0,Defensive rebound by A. Gordon,,11,13
64,1,4:03.0,Shooting foul by P. Millsap (drawn by A. Gordon),,11,13
65,1,4:03.0,,M. Plumlee enters the game for N. Jokić,11,13
66,1,4:03.0,A. Gordon makes free throw 1 of 2,,12,13
67,1,4:03.0,J. Grant enters the game for D. Augustin,,12,13
68,1,4:03.0,T. Ross enters the game for E. Fournier,,12,13
69,1,4:03.0,A. Gordon makes free throw 2 of 2,,13,13
70,1,3:53.0,,G. Harris misses 3-pt jump shot from 26 ft,13,13
71,1,3:52.0,Defensive rebound by J. Isaac,,13,13
72,1,3:40.0,A. Gordon makes 2-pt layup from 3 ft,,15,13
