,QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
0,1,11:45.0,L. Kennard misses 3-pt jump shot from 25 ft,,0,0
1,1,11:45.0,Offensive rebound by B. Griffin,,0,0
2,1,11:44.0,B. Griffin makes 2-pt layup from 1 ft,,2,0
3,1,11:32.0,,D. Rose misses 2-pt jump shot from 17 ft,2,0
4,1,11:30.0,Defensive rebound by R. Jackson,,2,0
5,1,11:21.0,A. Drummond misses 2-pt hook shot from 10 ft,,2,0
6,1,11:21.0,,Defensive rebound by K. Towns,2,0
7,1,11:06.0,,T. Gibson misses 2-pt hook shot from 8 ft,2,0
8,1,11:03.0,Defensive rebound by A. Drummond,,2,0
9,1,10:40.0,L. Kennard makes 3-pt jump shot from 26 ft,,5,0
10,1,10:21.0,,T. Gibson misses 2-pt jump shot from 9 ft,5,0
11,1,10:20.0,Defensive rebound by A. Drummond,,5,0
12,1,10:13.0,A. Drummond makes 2-pt layup from 2 ft (assist by L. Kennard),,7,0
13,1,10:13.0,Shooting foul by T. Gibson (drawn by A. Drummond),,7,0
14,1,10:13.0,A. Drummond makes free throw 1 of 1,,8,0
15,1,10:02.0,,A. Wiggins misses 2-pt jump shot from 18 ft,8,0
16,1,9:59.0,Defensive rebound by A. Drummond,,8,0
17,1,9:50.0,R. Jackson makes 2-pt hook shot from 10 ft,,10,0
18,1,9:45.0,,Minnesota full timeout,10,0
19,1,9:34.0,,D. Rose misses 2-pt jump shot from 15 ft,10,0
20,1,9:33.0,,Offensive rebound by Team,10,0
21,1,9:32.0,Violation by Team (kicked ball),,10,0
22,1,9:29.0,,R. Covington misses 3-pt jump shot from 22 ft,10,0
23,1,9:27.0,Defensive rebound by R. Bullock,,10,0
24,1,9:17.0,Personal foul by K. Towns (drawn by A. Drummond),,10,0
25,1,9:08.0,R. Bullock makes 2-pt jump shot from 19 ft,,12,0
26,1,8:55.0,,D. Rose makes 2-pt jump shot from 8 ft,12,2
27,1,8:46.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,2
28,1,8:40.0,,Defensive rebound by D. Rose,12,2
29,1,8:39.0,,D. Rose makes 2-pt layup from 1 ft,12,4
30,1,8:19.0,R. Jackson misses 3-pt jump shot from 28 ft,,12,4
31,1,8:19.0,,Defensive rebound by Team,12,4
32,1,8:00.0,,A. Wiggins makes 2-pt jump shot from 12 ft,12,6
33,1,7:39.0,R. Bullock misses 2-pt jump shot from 19 ft,,12,6
34,1,7:36.0,,Defensive rebound by T. Gibson,12,6
35,1,7:29.0,,K. Towns misses 3-pt jump shot from 26 ft,12,6
36,1,7:24.0,,Offensive rebound by T. Gibson,12,6
37,1,7:24.0,,T. Gibson makes 2-pt layup at rim,12,8
38,1,7:12.0,R. Bullock misses 3-pt jump shot from 26 ft,,12,8
39,1,7:08.0,,Defensive rebound by K. Towns,12,8
40,1,7:02.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),12,10
41,1,6:55.0,Detroit full timeout,,12,10
42,1,6:41.0,R. Bullock misses 3-pt jump shot from 23 ft,,12,10
43,1,6:39.0,,Defensive rebound by T. Gibson,12,10
44,1,6:30.0,,K. Towns misses 3-pt jump shot from 28 ft,12,10
45,1,6:28.0,Defensive rebound by B. Griffin,,12,10
46,1,6:24.0,Shooting foul by R. Covington (drawn by A. Drummond),,12,10
47,1,6:24.0,A. Drummond makes free throw 1 of 2,,13,10
48,1,6:24.0,A. Drummond makes free throw 2 of 2,,14,10
49,1,6:06.0,,A. Wiggins misses 2-pt jump shot from 10 ft,14,10
50,1,6:03.0,Defensive rebound by B. Griffin,,14,10
51,1,5:53.0,Personal foul by T. Gibson (drawn by B. Griffin),,14,10
52,1,5:53.0,,J. Okogie enters the game for R. Covington,14,10
53,1,5:53.0,,D. Šarić enters the game for T. Gibson,14,10
54,1,5:46.0,B. Griffin makes 2-pt jump shot from 15 ft (assist by R. Jackson),,16,10
55,1,5:33.0,,D. Rose makes 2-pt jump shot from 19 ft,16,12
56,1,5:25.0,L. Kennard misses 3-pt jump shot from 22 ft,,16,12
57,1,5:23.0,,Defensive rebound by A. Wiggins,16,12
58,1,5:15.0,,A. Wiggins makes 2-pt jump shot from 16 ft,16,14
59,1,5:07.0,A. Drummond makes 2-pt jump shot from 9 ft (assist by R. Jackson),,18,14
60,1,4:49.0,,K. Towns makes 2-pt dunk at rim (assist by D. Šarić),18,16
61,1,4:28.0,B. Griffin misses 3-pt jump shot from 24 ft,,18,16
62,1,4:25.0,,Defensive rebound by D. Rose,18,16
63,1,4:22.0,,D. Rose misses 2-pt layup at rim,18,16
64,1,4:22.0,,Offensive rebound by Team,18,16
65,1,4:22.0,Loose ball foul by L. Kennard (drawn by D. Šarić),,18,16
66,1,4:22.0,J. Calderón enters the game for B. Griffin,,18,16
67,1,4:22.0,L. Galloway enters the game for R. Jackson,,18,16
68,1,4:22.0,S. Johnson enters the game for L. Kennard,,18,16
69,1,4:17.0,,Personal foul by L. Galloway (drawn by K. Towns),18,16
70,1,4:06.0,,A. Wiggins misses 2-pt jump shot from 17 ft,18,16
71,1,4:04.0,Defensive rebound by R. Bullock,,18,16
72,1,4:02.0,Turnover by S. Johnson (bad pass),,18,16
73,1,3:53.0,,K. Towns misses 3-pt jump shot from 26 ft,18,16
74,1,3:50.0,,Offensive rebound by J. Okogie,18,16
75,1,3:49.0,,J. Okogie makes 2-pt layup from 1 ft,18,18
76,1,3:30.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Galloway),,21,18
77,1,3:17.0,,Shooting foul by L. Galloway (drawn by D. Rose),21,18
78,1,3:17.0,,D. Rose makes free throw 1 of 2,21,19
79,1,3:17.0,,D. Rose makes free throw 2 of 2,21,20
80,1,3:05.0,A. Drummond misses 2-pt layup from 5 ft,,21,20
81,1,3:03.0,,Defensive rebound by A. Wiggins,21,20
82,1,2:59.0,,Turnover by A. Wiggins (bad pass; steal by R. Bullock),21,20
83,1,2:56.0,R. Bullock makes 2-pt layup from 1 ft,,23,20
84,1,2:50.0,,Personal foul by S. Johnson (drawn by K. Towns),23,20
85,1,2:50.0,,T. Jones enters the game for D. Rose,23,20
86,1,2:36.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by T. Jones),23,22
87,1,2:23.0,J. Calderón makes 2-pt layup from 1 ft,,25,22
88,1,2:12.0,,T. Jones misses 2-pt jump shot from 16 ft,25,22
89,1,2:11.0,Defensive rebound by S. Johnson,,25,22
90,1,1:55.0,L. Galloway misses 3-pt jump shot from 25 ft,,25,22
91,1,1:52.0,,Defensive rebound by J. Okogie,25,22
92,1,1:47.0,,J. Okogie misses 3-pt jump shot from 26 ft,25,22
93,1,1:43.0,,Offensive rebound by A. Wiggins,25,22
94,1,1:42.0,,T. Jones misses 3-pt jump shot from 25 ft,25,22
95,1,1:42.0,Defensive rebound by J. Calderón,,25,22
96,1,1:34.0,S. Johnson misses 3-pt jump shot from 27 ft,,25,22
97,1,1:30.0,,Defensive rebound by A. Wiggins,25,22
98,1,1:20.0,,K. Towns makes 2-pt jump shot from 8 ft,25,24
99,1,1:20.0,,Shooting foul by A. Drummond (drawn by K. Towns),25,24
100,1,1:20.0,B. Brown enters the game for R. Bullock,,25,24
101,1,1:20.0,,K. Towns misses free throw 1 of 1,25,24
102,1,1:18.0,Defensive rebound by A. Drummond,,25,24
103,1,1:02.0,Turnover by J. Calderón (bad pass; steal by K. Towns),,25,24
104,1,1:00.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),25,26
105,1,0:47.0,L. Galloway misses 2-pt jump shot from 8 ft (block by K. Towns),,25,26
106,1,0:43.0,,Defensive rebound by D. Šarić,25,26
107,1,0:32.0,,T. Jones misses 2-pt jump shot from 10 ft,25,26
108,1,0:30.0,Defensive rebound by A. Drummond,,25,26
109,1,0:25.0,S. Johnson makes 2-pt layup from 2 ft,,27,26
110,1,0:04.0,,A. Wiggins misses 2-pt layup from 3 ft,27,26
111,1,0:02.0,Defensive rebound by B. Brown,,27,26
112,1,0:00.0,L. Galloway misses 2-pt jump shot from 19 ft,,27,26
113,1,0:00.0,Offensive rebound by Team,,27,26
114,2,11:35.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by T. Jones),27,28
115,2,11:14.0,S. Johnson misses 3-pt jump shot from 25 ft,,27,28
116,2,11:11.0,,Defensive rebound by J. Okogie,27,28
117,2,11:01.0,,D. Šarić misses 2-pt jump shot from 22 ft,27,28
118,2,10:57.0,Defensive rebound by B. Brown,,27,28
119,2,10:47.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by J. Calderón),,30,28
120,2,10:25.0,,Shooting foul by J. Calderón (drawn by G. Dieng),30,28
121,2,10:25.0,,G. Dieng makes free throw 1 of 2,30,29
122,2,10:25.0,,G. Dieng makes free throw 2 of 2,30,30
123,2,10:12.0,Personal foul by R. Covington (drawn by L. Galloway),,30,30
124,2,10:03.0,Offensive foul by S. Johnson (drawn by D. Šarić),,30,30
125,2,10:03.0,Turnover by S. Johnson (offensive foul),,30,30
126,2,9:50.0,,D. Šarić makes 2-pt jump shot from 14 ft (assist by T. Jones),30,32
127,2,9:29.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Brown),,33,32
128,2,9:22.0,,Shooting foul by L. Galloway (drawn by R. Covington),33,32
129,2,9:22.0,,R. Covington misses free throw 1 of 3,33,32
130,2,9:22.0,,Offensive rebound by Team,33,32
131,2,9:22.0,,R. Covington makes free throw 2 of 3,33,33
132,2,9:22.0,R. Bullock enters the game for L. Galloway,,33,33
133,2,9:22.0,,R. Covington makes free throw 3 of 3,33,34
134,2,9:12.0,B. Brown makes 2-pt layup from 1 ft (assist by J. Calderón),,35,34
135,2,9:04.0,,Shooting foul by J. Leuer (drawn by G. Dieng),35,34
136,2,9:04.0,,G. Dieng makes free throw 1 of 2,35,35
137,2,9:04.0,,G. Dieng makes free throw 2 of 2,35,36
138,2,8:42.0,J. Leuer misses 2-pt jump shot from 6 ft,,35,36
139,2,8:39.0,,Defensive rebound by G. Dieng,35,36
140,2,8:28.0,,R. Covington misses 3-pt jump shot from 29 ft,35,36
