,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,B. Hield makes 2-pt jump shot from 14 ft (assist by W. Cauley-Stein),0,2
1,1,11:24.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,3,2
2,1,11:12.0,,D. Fox makes 2-pt jump shot from 11 ft,3,4
3,1,10:57.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,3,4
4,1,10:53.0,,Defensive rebound by W. Cauley-Stein,3,4
5,1,10:52.0,,Shooting foul by B. Lopez (drawn by D. Fox),3,4
6,1,10:52.0,,D. Fox makes free throw 1 of 2,3,5
7,1,10:52.0,,D. Fox makes free throw 2 of 2,3,6
8,1,10:37.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,6,6
9,1,10:25.0,,B. Hield misses 3-pt jump shot from 23 ft,6,6
10,1,10:22.0,Defensive rebound by B. Lopez,,6,6
11,1,10:18.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,8,6
12,1,10:00.0,,H. Barnes makes 2-pt jump shot from 11 ft,8,8
13,1,9:32.0,E. Bledsoe misses 2-pt layup from 10 ft,,8,8
14,1,9:32.0,Offensive rebound by G. Antetokounmpo,,8,8
15,1,9:32.0,Personal foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,8,8
16,1,9:24.0,K. Middleton misses 2-pt jump shot from 18 ft,,8,8
17,1,9:16.0,Offensive rebound by E. Bledsoe,,8,8
18,1,9:13.0,Turnover by E. Bledsoe (lost ball; steal by B. Hield),,8,8
19,1,9:06.0,,B. Bogdanović makes 2-pt jump shot from 15 ft,8,10
20,1,8:54.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,8,10
21,1,8:51.0,,Defensive rebound by W. Cauley-Stein,8,10
22,1,8:39.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),8,12
23,1,8:28.0,M. Brogdon makes 2-pt jump shot from 1 ft (assist by E. Bledsoe),,10,12
24,1,8:18.0,,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),10,14
25,1,7:51.0,B. Lopez misses 3-pt jump shot from 25 ft,,10,14
