,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,Turnover by B. Lopez (bad pass; steal by T. Young),0,0
1,1,11:33.0,D. Dedmon misses 3-pt jump shot from 27 ft,,0,0
2,1,11:30.0,,Defensive rebound by G. Antetokounmpo,0,0
3,1,11:23.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),0,3
4,1,11:03.0,K. Huerter makes 2-pt jump shot from 14 ft (assist by D. Dedmon),,2,3
5,1,10:54.0,,E. Bledsoe makes 2-pt layup from 1 ft,2,5
6,1,10:43.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,5,5
7,1,10:33.0,,G. Antetokounmpo misses 2-pt layup from 4 ft,5,5
8,1,10:30.0,Defensive rebound by D. Hamilton,,5,5
9,1,10:24.0,Turnover by D. Hamilton (bad pass; steal by K. Middleton),,5,5
10,1,10:20.0,,M. Brogdon makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),5,7
11,1,10:08.0,Offensive foul by D. Dedmon (drawn by M. Brogdon),,5,7
12,1,10:08.0,Turnover by D. Dedmon (offensive foul),,5,7
13,1,9:58.0,,B. Lopez misses 3-pt jump shot from 27 ft,5,7
14,1,9:55.0,Defensive rebound by J. Collins,,5,7
15,1,9:48.0,T. Young misses 2-pt jump shot from 19 ft,,5,7
16,1,9:46.0,Offensive rebound by J. Collins,,5,7
17,1,9:46.0,J. Collins misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,5,7
18,1,9:44.0,,Defensive rebound by Team,5,7
19,1,9:32.0,,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),5,9
20,1,9:20.0,Turnover by D. Dedmon (lost ball; steal by E. Bledsoe),,5,9
21,1,9:18.0,,Personal take foul by D. Hamilton (drawn by E. Bledsoe),5,9
22,1,9:13.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),5,11
23,1,8:56.0,T. Young makes 2-pt jump shot from 12 ft,,7,11
24,1,8:48.0,,Shooting foul by J. Collins (drawn by G. Antetokounmpo),7,11
25,1,8:48.0,,G. Antetokounmpo makes free throw 1 of 2,7,12
26,1,8:48.0,,G. Antetokounmpo makes free throw 2 of 2,7,13
27,1,8:36.0,T. Young misses 3-pt jump shot from 28 ft,,7,13
28,1,8:33.0,,Defensive rebound by G. Antetokounmpo,7,13
29,1,8:27.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,7,15
30,1,8:18.0,D. Dedmon misses 3-pt jump shot from 28 ft,,7,15
31,1,8:14.0,,Defensive rebound by G. Antetokounmpo,7,15
32,1,8:08.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),7,18
33,1,8:08.0,Atlanta full timeout,,7,18
34,1,8:08.0,D. Bembry enters the game for D. Dedmon,,7,18
35,1,8:08.0,A. Len enters the game for D. Hamilton,,7,18
36,1,7:57.0,Personal foul by E. Bledsoe (drawn by T. Young),,7,18
37,1,7:51.0,Turnover by A. Len (traveling),,7,18
38,1,7:32.0,,M. Brogdon misses 3-pt jump shot from 26 ft,7,18
39,1,7:31.0,,Offensive rebound by E. Bledsoe,7,18
40,1,7:24.0,,E. Bledsoe makes 2-pt layup from 1 ft,7,20
41,1,7:13.0,T. Young misses 2-pt jump shot from 20 ft,,7,20
42,1,7:10.0,,Defensive rebound by G. Antetokounmpo,7,20
43,1,7:01.0,,G. Antetokounmpo makes 2-pt jump shot from 20 ft,7,22
44,1,6:44.0,K. Huerter makes 2-pt jump shot from 11 ft,,9,22
45,1,6:33.0,,M. Brogdon makes 2-pt layup from 2 ft,9,24
46,1,6:15.0,D. Bembry misses 3-pt jump shot from 24 ft,,9,24
47,1,6:11.0,,Defensive rebound by G. Antetokounmpo,9,24
48,1,6:06.0,,B. Lopez misses 3-pt jump shot from 29 ft,9,24
49,1,6:03.0,Defensive rebound by J. Collins,,9,24
50,1,5:54.0,Turnover by D. Bembry (bad pass; steal by K. Middleton),,9,24
51,1,5:50.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),9,26
52,1,5:50.0,J. Anderson enters the game for K. Huerter,,9,26
53,1,5:50.0,J. Lin enters the game for T. Young,,9,26
54,1,5:50.0,,P. Connaughton enters the game for G. Antetokounmpo,9,26
55,1,5:50.0,,D. Wilson enters the game for M. Brogdon,9,26
56,1,5:31.0,D. Bembry makes 2-pt layup from 1 ft (assist by J. Collins),,11,26
57,1,5:31.0,Shooting foul by K. Middleton (drawn by D. Bembry),,11,26
58,1,5:31.0,D. Bembry makes free throw 1 of 1,,12,26
