,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
0,1,11:47.0,D. DeRozan makes 2-pt jump shot from 18 ft,,2,0
1,1,11:22.0,,T. Young misses 2-pt jump shot from 12 ft,2,0
2,1,11:19.0,Defensive rebound by L. Aldridge,,2,0
3,1,11:10.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,4,0
4,1,10:50.0,,Personal foul by D. Cunningham (drawn by B. Bogdanović),4,0
5,1,10:48.0,,Offensive foul by D. Collison (drawn by D. Cunningham),4,0
6,1,10:48.0,,Turnover by D. Collison (offensive foul),4,0
7,1,10:36.0,L. Aldridge makes 2-pt layup at rim,,6,0
8,1,10:24.0,,D. Collison misses 2-pt jump shot from 21 ft,6,0
9,1,10:21.0,Defensive rebound by L. Aldridge,,6,0
10,1,10:13.0,L. Aldridge misses 2-pt jump shot from 17 ft,,6,0
11,1,10:10.0,,Defensive rebound by D. Sabonis,6,0
12,1,10:01.0,,Shooting foul by D. Cunningham (drawn by B. Bogdanović),6,0
13,1,10:01.0,,B. Bogdanović misses free throw 1 of 2,6,0
14,1,10:01.0,,Offensive rebound by Team,6,0
15,1,10:01.0,,B. Bogdanović makes free throw 2 of 2,6,1
16,1,10:01.0,D. Bertāns enters the game for D. Cunningham,,6,1
17,1,9:46.0,Turnover by D. DeRozan (lost ball; steal by T. Evans),,6,1
18,1,9:29.0,,T. Evans misses 2-pt jump shot from 24 ft,6,1
19,1,9:25.0,Defensive rebound by B. Forbes,,6,1
20,1,9:09.0,R. Gay makes 3-pt jump shot from 27 ft (assist by L. Aldridge),,9,1
21,1,8:53.0,,B. Bogdanović misses 2-pt layup from 1 ft,9,1
22,1,8:51.0,Defensive rebound by D. Bertāns,,9,1
23,1,8:46.0,Turnover by B. Forbes (lost ball; steal by D. Collison),,9,1
24,1,8:42.0,,D. Collison makes 2-pt layup from 2 ft (assist by T. Young),9,3
25,1,8:23.0,D. Bertāns misses 3-pt jump shot from 28 ft,,9,3
26,1,8:23.0,,Defensive rebound by T. Evans,9,3
27,1,8:06.0,,T. Evans misses 3-pt jump shot from 26 ft,9,3
28,1,8:03.0,Defensive rebound by R. Gay,,9,3
29,1,7:54.0,D. DeRozan makes 2-pt layup from 1 ft,,11,3
30,1,7:36.0,,Turnover by D. Sabonis (lost ball),11,3
31,1,7:27.0,Personal foul by T. Evans (drawn by D. DeRozan),,11,3
32,1,7:12.0,D. Bertāns misses 2-pt jump shot from 19 ft,,11,3
33,1,7:09.0,Offensive rebound by L. Aldridge,,11,3
34,1,7:04.0,L. Aldridge makes 2-pt layup from 6 ft (assist by B. Forbes),,13,3
35,1,7:04.0,,Indiana full timeout,13,3
36,1,6:55.0,,D. Sabonis makes 2-pt layup at rim (assist by B. Bogdanović),13,5
37,1,6:39.0,L. Aldridge misses 2-pt jump shot from 14 ft,,13,5
38,1,6:36.0,,Defensive rebound by D. Sabonis,13,5
39,1,6:28.0,,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by D. Collison),13,7
40,1,6:15.0,D. Bertāns makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,15,7
41,1,6:05.0,,D. Sabonis misses 2-pt jump shot from 18 ft,15,7
42,1,6:03.0,Defensive rebound by R. Gay,,15,7
43,1,5:55.0,R. Gay misses 2-pt dunk at rim,,15,7
44,1,5:54.0,Offensive rebound by Team,,15,7
45,1,5:54.0,P. Mills enters the game for B. Forbes,,15,7
46,1,5:44.0,Turnover by D. Bertāns (bad pass; steal by B. Bogdanović),,15,7
47,1,5:36.0,,Personal foul by D. Bertāns (drawn by B. Bogdanović),15,7
48,1,5:36.0,M. Belinelli enters the game for D. DeRozan,,15,7
49,1,5:30.0,,D. Sabonis misses 2-pt jump shot from 20 ft,15,7
50,1,5:27.0,Defensive rebound by R. Gay,,15,7
51,1,5:18.0,L. Aldridge makes 2-pt jump shot from 6 ft (assist by R. Gay),,17,7
52,1,5:01.0,,Turnover by D. Collison (bad pass; steal by D. Bertāns),17,7
53,1,4:58.0,Shooting foul by T. Evans (drawn by D. Bertāns),,17,7
54,1,4:58.0,D. Bertāns makes free throw 1 of 2,,18,7
55,1,4:58.0,D. DeRozan enters the game for R. Gay,,18,7
56,1,4:58.0,,C. Joseph enters the game for T. Evans,18,7
57,1,4:58.0,D. Bertāns makes free throw 2 of 2,,19,7
58,1,4:48.0,,T. Young makes 2-pt jump shot from 13 ft (assist by D. Collison),19,9
59,1,4:32.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,22,9
60,1,4:25.0,,Offensive foul by D. Sabonis (drawn by P. Mills),22,9
61,1,4:25.0,,Turnover by D. Sabonis (offensive foul),22,9
62,1,4:15.0,L. Aldridge misses 2-pt jump shot from 10 ft,,22,9
63,1,4:11.0,Offensive rebound by L. Aldridge,,22,9
64,1,4:05.0,Offensive foul by L. Aldridge (drawn by T. Young),,22,9
65,1,4:05.0,Turnover by L. Aldridge (offensive foul),,22,9
66,1,4:05.0,,A. Holiday enters the game for D. Collison,22,9
67,1,4:05.0,,K. O'Quinn enters the game for D. Sabonis,22,9
68,1,3:52.0,,A. Holiday makes 2-pt layup from 2 ft (assist by C. Joseph),22,11
69,1,3:52.0,,Shooting foul by D. Bertāns (drawn by A. Holiday),22,11
70,1,3:52.0,J. Poeltl enters the game for D. Bertāns,,22,11
71,1,3:52.0,,A. Holiday makes free throw 1 of 1,22,12
72,1,3:29.0,P. Mills makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,25,12
73,1,3:17.0,,B. Bogdanović makes 2-pt layup from 1 ft,25,14
74,1,3:16.0,San Antonio full timeout,,25,14
75,1,3:16.0,R. Gay enters the game for L. Aldridge,,25,14
76,1,3:16.0,,D. McDermott enters the game for T. Young,25,14
77,1,3:08.0,Offensive foul by J. Poeltl (drawn by C. Joseph),,25,14
78,1,3:08.0,Turnover by J. Poeltl (offensive foul),,25,14
79,1,2:57.0,,A. Holiday misses 3-pt jump shot from 28 ft,25,14
80,1,2:53.0,,Offensive rebound by K. O'Quinn,25,14
81,1,2:52.0,,A. Holiday misses 3-pt jump shot from 23 ft,25,14
82,1,2:47.0,Defensive rebound by R. Gay,,25,14
83,1,2:36.0,R. Gay misses 3-pt jump shot from 26 ft,,25,14
84,1,2:33.0,,Defensive rebound by K. O'Quinn,25,14
85,1,2:23.0,,Turnover by K. O'Quinn (bad pass),25,14
86,1,2:23.0,,T. Leaf enters the game for B. Bogdanović,25,14
87,1,2:06.0,D. DeRozan misses 2-pt jump shot from 17 ft,,25,14
88,1,2:04.0,,Defensive rebound by T. Leaf,25,14
89,1,1:53.0,,C. Joseph makes 2-pt jump shot from 18 ft,25,16
90,1,1:38.0,Shooting foul by T. Leaf (drawn by R. Gay),,25,16
91,1,1:38.0,R. Gay misses free throw 1 of 2,,25,16
92,1,1:38.0,Offensive rebound by Team,,25,16
93,1,1:38.0,D. White enters the game for D. DeRozan,,25,16
94,1,1:38.0,R. Gay makes free throw 2 of 2,,26,16
95,1,1:28.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by K. O'Quinn),26,19
96,1,1:10.0,M. Belinelli misses 2-pt jump shot from 13 ft,,26,19
97,1,1:06.0,,Defensive rebound by T. Leaf,26,19
98,1,0:53.0,,C. Joseph makes 2-pt layup from 2 ft (assist by K. O'Quinn),26,21
99,1,0:39.0,P. Mills misses 3-pt jump shot from 26 ft,,26,21
100,1,0:36.0,,Defensive rebound by K. O'Quinn,26,21
101,1,0:17.0,,T. Leaf makes 2-pt layup at rim,26,23
102,1,0:05.0,P. Mills misses 2-pt jump shot from 17 ft,,26,23
103,1,0:01.0,Offensive rebound by J. Poeltl,,26,23
104,1,0:00.0,P. Mills makes 3-pt jump shot from 26 ft (assist by R. Gay),,29,23
105,2,11:49.0,,D. McDermott misses 3-pt jump shot from 26 ft,29,23
106,2,11:44.0,Defensive rebound by L. Aldridge,,29,23
107,2,11:36.0,Shooting foul by K. O'Quinn (drawn by L. Aldridge),,29,23
108,2,11:36.0,L. Aldridge makes free throw 1 of 2,,30,23
109,2,11:36.0,L. Aldridge makes free throw 2 of 2,,31,23
110,2,11:27.0,,Turnover by T. Leaf (out of bounds lost ball),31,23
111,2,11:15.0,B. Forbes misses 3-pt jump shot from 27 ft,,31,23
112,2,11:11.0,,Defensive rebound by A. Holiday,31,23
113,2,11:08.0,,C. Joseph misses 2-pt jump shot from 2 ft,31,23
114,2,11:03.0,,Offensive rebound by T. Leaf,31,23
115,2,11:03.0,,T. Leaf makes 2-pt dunk at rim,31,25
116,2,10:54.0,Offensive rebound by Team,,31,25
117,2,10:54.0,L. Aldridge misses 2-pt jump shot from 2 ft (block by K. O'Quinn),,31,25
118,2,10:54.0,Offensive foul by B. Forbes (drawn by A. Holiday),,31,25
119,2,10:54.0,Turnover by B. Forbes (offensive foul),,31,25
120,2,10:39.0,,C. Joseph misses 2-pt jump shot from 11 ft,31,25
121,2,10:35.0,Defensive rebound by L. Aldridge,,31,25
122,2,10:29.0,Shooting foul by K. O'Quinn (drawn by D. White),,31,25
123,2,10:29.0,D. DeRozan enters the game for P. Mills,,31,25
124,2,10:29.0,D. White misses free throw 1 of 2,,31,25
125,2,10:29.0,Offensive rebound by Team,,31,25
126,2,10:29.0,D. White makes free throw 2 of 2,,32,25
127,2,10:19.0,,A. Holiday misses 3-pt jump shot from 28 ft,32,25
128,2,10:18.0,Defensive rebound by Team,,32,25
129,2,10:10.0,Offensive foul by D. Bertāns (drawn by C. Joseph),,32,25
130,2,10:10.0,Turnover by D. Bertāns (offensive foul),,32,25
131,2,9:53.0,,C. Joseph makes 2-pt layup from 2 ft,32,27
132,2,9:53.0,San Antonio full timeout,,32,27
133,2,9:53.0,D. Cunningham enters the game for D. Bertāns,,32,27
134,2,9:44.0,D. DeRozan misses 2-pt jump shot from 18 ft,,32,27
135,2,9:41.0,,Defensive rebound by A. Holiday,32,27
136,2,9:34.0,,Offensive foul by K. O'Quinn (drawn by D. DeRozan),32,27
137,2,9:34.0,,Turnover by K. O'Quinn (offensive foul),32,27
138,2,9:34.0,,D. Sabonis enters the game for K. O'Quinn,32,27
139,2,9:20.0,L. Aldridge makes 2-pt jump shot from 16 ft,,34,27
140,2,9:11.0,,Personal foul by D. White (drawn by C. Joseph),34,27
141,2,9:02.0,,A. Holiday misses 2-pt jump shot from 13 ft,34,27
142,2,9:02.0,Defensive rebound by D. White,,34,27
143,2,8:52.0,D. DeRozan makes 2-pt jump shot from 7 ft,,36,27
144,2,8:40.0,,T. Leaf misses 3-pt jump shot from 27 ft,36,27
145,2,8:38.0,Defensive rebound by D. White,,36,27
146,2,8:29.0,B. Forbes misses 3-pt jump shot from 27 ft,,36,27
147,2,8:26.0,,Defensive rebound by A. Holiday,36,27
148,2,8:12.0,,C. Joseph misses 2-pt jump shot from 10 ft,36,27
149,2,8:09.0,Defensive rebound by B. Forbes,,36,27
150,2,8:01.0,B. Forbes misses 2-pt layup from 2 ft (block by A. Holiday),,36,27
151,2,8:01.0,,Defensive rebound by D. Sabonis,36,27
152,2,7:58.0,,Offensive foul by A. Holiday (drawn by D. White),36,27
153,2,7:58.0,,Turnover by A. Holiday (offensive foul),36,27
154,2,7:58.0,,T. Evans enters the game for A. Holiday,36,27
155,2,7:58.0,,T. Young enters the game for T. Leaf,36,27
156,2,7:44.0,D. DeRozan misses 2-pt jump shot from 16 ft,,36,27
157,2,7:40.0,,Defensive rebound by D. Sabonis,36,27
158,2,7:32.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),36,29
159,2,7:32.0,,Shooting foul by D. White (drawn by D. Sabonis),36,29
160,2,7:32.0,M. Belinelli enters the game for D. White,,36,29
161,2,7:32.0,,B. Bogdanović enters the game for D. McDermott,36,29
162,2,7:32.0,,D. Sabonis misses free throw 1 of 1,36,29
163,2,7:30.0,Defensive rebound by L. Aldridge,,36,29
164,2,7:16.0,D. DeRozan makes 2-pt jump shot from 18 ft,,38,29
165,2,6:59.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Sabonis),38,31
166,2,6:38.0,L. Aldridge makes 2-pt jump shot from 9 ft,,40,31
167,2,6:22.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by T. Evans),40,33
168,2,6:05.0,Turnover by B. Forbes (bad pass),,40,33
169,2,6:05.0,P. Mills enters the game for B. Forbes,,40,33
170,2,5:55.0,,D. Sabonis makes 2-pt jump shot from 11 ft (assist by C. Joseph),40,35
171,2,5:32.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by M. Belinelli),,42,35
172,2,5:21.0,,Turnover by B. Bogdanović (bad pass; steal by P. Mills),42,35
173,2,5:05.0,D. Cunningham misses 2-pt jump shot from 7 ft,,42,35
174,2,5:02.0,Offensive rebound by L. Aldridge,,42,35
175,2,5:02.0,L. Aldridge misses 2-pt layup from 1 ft,,42,35
176,2,5:01.0,,Defensive rebound by C. Joseph,42,35
177,2,4:55.0,,Turnover by D. Sabonis (3 sec),42,35
178,2,4:55.0,R. Gay enters the game for D. Cunningham,,42,35
179,2,4:43.0,Shooting foul by B. Bogdanović (drawn by D. DeRozan),,42,35
180,2,4:43.0,D. DeRozan makes free throw 1 of 2,,43,35
181,2,4:43.0,,D. Collison enters the game for C. Joseph,43,35
182,2,4:43.0,D. DeRozan misses free throw 2 of 2,,43,35
183,2,4:41.0,,Defensive rebound by D. Sabonis,43,35
184,2,4:32.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by D. Collison),43,37
185,2,4:12.0,M. Belinelli misses 3-pt jump shot from 26 ft,,43,37
186,2,4:08.0,Offensive rebound by L. Aldridge,,43,37
187,2,4:07.0,L. Aldridge misses 2-pt layup at rim,,43,37
188,2,4:04.0,,Defensive rebound by T. Young,43,37
189,2,3:58.0,,T. Evans misses 3-pt jump shot from 28 ft,43,37
190,2,3:55.0,Defensive rebound by M. Belinelli,,43,37
191,2,3:46.0,Personal foul by D. Collison (drawn by M. Belinelli),,43,37
192,2,3:36.0,P. Mills makes 2-pt layup from 1 ft (assist by D. DeRozan),,45,37
193,2,3:26.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,45,37
194,2,3:23.0,Defensive rebound by R. Gay,,45,37
195,2,3:18.0,R. Gay misses 3-pt jump shot from 30 ft,,45,37
196,2,3:14.0,,Defensive rebound by D. Collison,45,37
197,2,3:06.0,,T. Young misses 3-pt jump shot from 24 ft,45,37
198,2,3:03.0,Defensive rebound by M. Belinelli,,45,37
199,2,2:58.0,San Antonio full timeout,,45,37
200,2,2:43.0,L. Aldridge misses 3-pt jump shot from 27 ft,,45,37
201,2,2:41.0,,Defensive rebound by T. Evans,45,37
202,2,2:29.0,,T. Young makes 2-pt jump shot from 4 ft (assist by T. Evans),45,39
203,2,2:12.0,L. Aldridge misses 2-pt layup at rim,,45,39
204,2,2:10.0,,Defensive rebound by B. Bogdanović,45,39
205,2,2:04.0,,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by D. Collison),45,41
206,2,1:45.0,P. Mills makes 2-pt jump shot from 18 ft (assist by L. Aldridge),,47,41
207,2,1:33.0,,B. Bogdanović misses 2-pt jump shot from 3 ft (block by D. DeRozan),47,41
208,2,1:31.0,Defensive rebound by D. DeRozan,,47,41
209,2,1:28.0,M. Belinelli makes 3-pt jump shot from 28 ft,,50,41
210,2,1:13.0,,T. Evans misses 2-pt jump shot from 19 ft,50,41
211,2,1:10.0,,Offensive rebound by T. Evans,50,41
212,2,1:03.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Evans),50,43
213,2,0:42.0,L. Aldridge makes 2-pt layup at rim (assist by D. DeRozan),,52,43
214,2,0:34.0,,T. Evans makes 2-pt layup from 1 ft,52,45
215,2,0:15.0,D. DeRozan makes 2-pt jump shot from 17 ft,,54,45
216,2,0:04.0,,Personal take foul by D. DeRozan (drawn by D. Collison),54,45
217,2,0:00.0,,T. Evans misses 3-pt jump shot from 31 ft,54,45
218,2,0:00.0,,Offensive rebound by Team,54,45
219,3,11:46.0,,T. Evans misses 2-pt layup from 3 ft (block by L. Aldridge),54,45
220,3,11:46.0,,Offensive rebound by Team,54,45
221,3,11:39.0,,T. Evans misses 2-pt layup from 3 ft,54,45
222,3,11:34.0,,Offensive rebound by D. Sabonis,54,45
223,3,11:34.0,,D. Sabonis makes 2-pt layup from 1 ft,54,47
224,3,11:20.0,D. DeRozan misses 2-pt jump shot from 7 ft,,54,47
225,3,11:17.0,,Defensive rebound by D. Sabonis,54,47
226,3,11:12.0,,T. Evans misses 3-pt jump shot from 26 ft,54,47
227,3,11:09.0,Defensive rebound by R. Gay,,54,47
228,3,10:58.0,L. Aldridge misses 2-pt jump shot from 18 ft,,54,47
229,3,10:55.0,Offensive rebound by D. Cunningham,,54,47
230,3,10:49.0,Turnover by D. DeRozan (lost ball; steal by T. Evans),,54,47
231,3,10:44.0,,D. Collison misses 3-pt jump shot from 26 ft,54,47
232,3,10:41.0,Defensive rebound by R. Gay,,54,47
233,3,10:26.0,Shooting foul by T. Young (drawn by L. Aldridge),,54,47
234,3,10:26.0,L. Aldridge makes free throw 1 of 2,,55,47
235,3,10:26.0,L. Aldridge makes free throw 2 of 2,,56,47
236,3,10:14.0,,Personal foul by R. Gay (drawn by T. Young),56,47
