,QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,J. Richardson makes 2-pt layup from 2 ft (assist by K. Olynyk),,2,0
1,1,11:47.0,,Violation by Team (def goaltending),2,0
2,1,11:25.0,,B. Hield misses 2-pt jump shot from 16 ft,2,0
3,1,11:22.0,Defensive rebound by J. Winslow,,2,0
4,1,11:14.0,D. Waiters misses 2-pt layup from 2 ft (block by B. Hield),,2,0
5,1,11:14.0,Offensive rebound by Team,,2,0
6,1,11:11.0,J. Richardson misses 2-pt jump shot from 19 ft,,2,0
7,1,11:08.0,,Defensive rebound by Team,2,0
8,1,11:08.0,Loose ball foul by H. Whiteside (drawn by W. Cauley-Stein),,2,0
9,1,10:57.0,,Turnover by D. Fox (bad pass; steal by H. Whiteside),2,0
10,1,10:46.0,Turnover by K. Olynyk (bad pass; steal by W. Cauley-Stein),,2,0
11,1,10:38.0,,B. Hield misses 3-pt jump shot from 25 ft,2,0
12,1,10:35.0,Defensive rebound by H. Whiteside,,2,0
13,1,10:31.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Waiters),,5,0
14,1,10:11.0,,N. Bjelica misses 2-pt layup from 3 ft,5,0
15,1,10:07.0,,Offensive rebound by N. Bjelica,5,0
16,1,10:07.0,,N. Bjelica misses 2-pt layup at rim,5,0
17,1,10:07.0,Defensive rebound by H. Whiteside,,5,0
18,1,9:56.0,H. Whiteside misses 2-pt hook shot from 5 ft,,5,0
19,1,9:53.0,,Defensive rebound by W. Cauley-Stein,5,0
20,1,9:43.0,,H. Barnes misses 2-pt jump shot from 17 ft,5,0
21,1,9:39.0,Defensive rebound by H. Whiteside,,5,0
22,1,9:25.0,D. Waiters misses 2-pt jump shot from 20 ft,,5,0
23,1,9:22.0,,Defensive rebound by W. Cauley-Stein,5,0
24,1,9:17.0,,D. Fox misses 2-pt layup from 3 ft (block by K. Olynyk),5,0
25,1,9:13.0,Defensive rebound by J. Winslow,,5,0
26,1,9:04.0,H. Whiteside misses 2-pt layup from 3 ft,,5,0
27,1,9:02.0,,Defensive rebound by W. Cauley-Stein,5,0
28,1,8:58.0,,N. Bjelica misses 3-pt jump shot from 23 ft,5,0
29,1,8:54.0,Defensive rebound by H. Whiteside,,5,0
30,1,8:40.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),,7,0
31,1,8:39.0,,Sacramento full timeout,7,0
32,1,8:26.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),7,2
33,1,8:09.0,H. Whiteside makes 2-pt hook shot from 6 ft,,9,2
34,1,7:54.0,,H. Barnes misses 2-pt jump shot from 9 ft,9,2
35,1,7:51.0,,Offensive rebound by N. Bjelica,9,2
36,1,7:51.0,,N. Bjelica makes 2-pt layup at rim,9,4
37,1,7:31.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Richardson),,12,4
38,1,7:20.0,,Shooting foul by J. Winslow (drawn by D. Fox),12,4
39,1,7:20.0,,D. Fox misses free throw 1 of 2,12,4
40,1,7:20.0,,Offensive rebound by Team,12,4
41,1,7:20.0,,D. Fox makes free throw 2 of 2,12,5
42,1,7:09.0,K. Olynyk makes 2-pt jump shot from 8 ft (assist by J. Winslow),,14,5
43,1,6:58.0,,H. Barnes misses 2-pt layup from 3 ft (block by H. Whiteside),14,5
44,1,6:55.0,Defensive rebound by H. Whiteside,,14,5
45,1,6:50.0,J. Winslow misses 2-pt jump shot from 10 ft,,14,5
46,1,6:50.0,,Defensive rebound by B. Hield,14,5
47,1,6:43.0,,Shooting foul by K. Olynyk (drawn by N. Bjelica),14,5
48,1,6:43.0,,N. Bjelica makes free throw 1 of 2,14,6
49,1,6:43.0,,N. Bjelica makes free throw 2 of 2,14,7
50,1,6:36.0,Shooting foul by D. Fox (drawn by J. Winslow),,14,7
51,1,6:36.0,J. Winslow misses free throw 1 of 2,,14,7
52,1,6:36.0,Offensive rebound by Team,,14,7
53,1,6:36.0,,M. Bagley enters the game for N. Bjelica,14,7
54,1,6:36.0,J. Winslow makes free throw 2 of 2,,15,7
55,1,6:20.0,,M. Bagley misses 2-pt jump shot from 15 ft,15,7
56,1,6:16.0,Defensive rebound by H. Whiteside,,15,7
57,1,6:04.0,H. Whiteside makes 2-pt layup from 2 ft (assist by K. Olynyk),,17,7
58,1,5:57.0,,Turnover by M. Bagley (out of bounds lost ball),17,7
59,1,5:57.0,D. Wade enters the game for J. Richardson,,17,7
60,1,5:44.0,D. Waiters misses 3-pt jump shot from 25 ft,,17,7
61,1,5:42.0,Offensive rebound by H. Whiteside,,17,7
62,1,5:41.0,H. Whiteside misses 2-pt jump shot from 3 ft,,17,7
63,1,5:41.0,,Defensive rebound by H. Barnes,17,7
64,1,5:36.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),17,10
65,1,5:12.0,Turnover by J. Winslow (bad pass; steal by D. Fox),,17,10
66,1,5:08.0,,D. Fox makes 2-pt dunk from 1 ft,17,12
67,1,4:53.0,Personal foul by M. Bagley (drawn by K. Olynyk),,17,12
68,1,4:43.0,J. Winslow misses 3-pt jump shot from 26 ft,,17,12
69,1,4:36.0,,Defensive rebound by B. Hield,17,12
70,1,4:35.0,,Turnover by B. Hield (bad pass; steal by H. Whiteside),17,12
71,1,4:31.0,H. Whiteside makes 2-pt hook shot from 1 ft,,19,12
