,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
0,1,11:38.0,D. Lillard misses 2-pt jump shot from 15 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Smart,0,0
2,1,11:29.0,,K. Irving makes 2-pt jump shot from 12 ft,0,2
3,1,11:17.0,D. Lillard makes 3-pt jump shot from 27 ft,,3,2
4,1,10:55.0,,K. Irving makes 2-pt jump shot from 4 ft,3,4
5,1,10:40.0,C. McCollum misses 2-pt jump shot from 18 ft,,3,4
6,1,10:38.0,Offensive rebound by A. Aminu,,3,4
7,1,10:36.0,C. McCollum misses 3-pt jump shot from 26 ft,,3,4
8,1,10:34.0,,Defensive rebound by M. Morris,3,4
9,1,10:22.0,,Turnover by M. Morris (lost ball; steal by A. Aminu),3,4
10,1,10:10.0,C. McCollum makes 2-pt jump shot from 18 ft,,5,4
11,1,9:51.0,,J. Tatum misses 2-pt jump shot from 17 ft,5,4
12,1,9:49.0,Defensive rebound by J. Nurkić,,5,4
13,1,9:35.0,J. Nurkić misses 2-pt hook shot from 7 ft,,5,4
14,1,9:33.0,,Defensive rebound by A. Horford,5,4
15,1,9:27.0,,Turnover by A. Horford (lost ball; steal by M. Harkless),5,4
16,1,9:23.0,M. Harkless makes 2-pt dunk from 1 ft,,7,4
17,1,9:02.0,,K. Irving misses 2-pt jump shot from 9 ft,7,4
18,1,9:00.0,Defensive rebound by J. Nurkić,,7,4
19,1,8:53.0,Personal foul by M. Smart (drawn by A. Aminu),,7,4
20,1,8:43.0,J. Nurkić misses 2-pt layup from 2 ft (block by K. Irving),,7,4
21,1,8:40.0,,Defensive rebound by J. Tatum,7,4
22,1,8:28.0,,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),7,6
23,1,8:11.0,A. Aminu misses 2-pt jump shot from 8 ft,,7,6
24,1,8:09.0,,Defensive rebound by K. Irving,7,6
25,1,8:04.0,,M. Morris misses 3-pt jump shot from 26 ft,7,6
26,1,8:02.0,Defensive rebound by A. Aminu,,7,6
27,1,7:53.0,D. Lillard makes 2-pt layup from 2 ft,,9,6
28,1,7:34.0,,Turnover by J. Tatum (lost ball; steal by M. Harkless),9,6
29,1,7:30.0,Shooting foul by M. Smart (drawn by A. Aminu),,9,6
30,1,7:30.0,A. Aminu misses free throw 1 of 2,,9,6
31,1,7:30.0,Offensive rebound by Team,,9,6
32,1,7:30.0,A. Aminu makes free throw 2 of 2,,10,6
33,1,7:10.0,,A. Horford misses 2-pt hook shot from 6 ft,10,6
34,1,7:09.0,,Offensive rebound by M. Morris,10,6
35,1,7:09.0,,M. Morris misses 2-pt layup at rim,10,6
36,1,7:07.0,Defensive rebound by A. Aminu,,10,6
37,1,7:01.0,Turnover by C. McCollum (bad pass),,10,6
38,1,7:01.0,,Boston full timeout,10,6
39,1,6:40.0,,K. Irving misses 2-pt jump shot from 7 ft,10,6
40,1,6:38.0,Defensive rebound by D. Lillard,,10,6
41,1,6:27.0,M. Harkless misses 3-pt jump shot from 23 ft,,10,6
42,1,6:25.0,,Defensive rebound by Team,10,6
