,QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
0,1,11:47.0,B. Griffin misses 2-pt layup at rim,,0,0
1,1,11:46.0,Offensive rebound by B. Griffin,,0,0
2,1,11:46.0,B. Griffin misses 2-pt layup from 2 ft,,0,0
3,1,11:46.0,Offensive rebound by B. Griffin,,0,0
4,1,11:44.0,B. Griffin misses 2-pt layup at rim,,0,0
5,1,11:44.0,,Defensive rebound by W. Barton,0,0
6,1,11:32.0,,N. Jokić misses 2-pt hook shot from 1 ft,0,0
7,1,11:32.0,Defensive rebound by A. Drummond,,0,0
8,1,11:25.0,Shooting foul by J. Murray (drawn by R. Jackson),,0,0
9,1,11:25.0,R. Jackson misses free throw 1 of 2,,0,0
10,1,11:25.0,Offensive rebound by Team,,0,0
11,1,11:25.0,R. Jackson makes free throw 2 of 2,,1,0
12,1,11:11.0,,N. Jokić makes 2-pt jump shot from 16 ft (assist by P. Millsap),1,2
13,1,10:49.0,B. Griffin misses 3-pt jump shot from 25 ft,,1,2
14,1,10:47.0,,Defensive rebound by W. Barton,1,2
15,1,10:41.0,,W. Barton misses 2-pt jump shot from 8 ft,1,2
16,1,10:40.0,,Offensive rebound by N. Jokić,1,2
17,1,10:37.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by P. Millsap),1,5
18,1,10:14.0,R. Jackson misses 3-pt jump shot from 24 ft,,1,5
19,1,10:12.0,,Defensive rebound by W. Barton,1,5
20,1,10:06.0,,W. Barton makes 2-pt layup from 2 ft,1,7
21,1,10:01.0,Detroit full timeout,,1,7
22,1,9:53.0,Turnover by A. Drummond (lost ball; steal by W. Barton),,1,7
23,1,9:37.0,,Turnover by P. Millsap (traveling),1,7
24,1,9:12.0,B. Griffin misses 3-pt jump shot from 22 ft,,1,7
25,1,9:08.0,,Defensive rebound by J. Murray,1,7
26,1,8:58.0,,J. Murray makes 2-pt jump shot from 18 ft (assist by P. Millsap),1,9
27,1,8:34.0,R. Jackson misses 2-pt jump shot from 7 ft,,1,9
28,1,8:29.0,Offensive rebound by A. Drummond,,1,9
29,1,8:29.0,A. Drummond misses 2-pt layup at rim,,1,9
30,1,8:29.0,,Defensive rebound by P. Millsap,1,9
31,1,8:24.0,,Shooting foul by A. Drummond (drawn by P. Millsap),1,9
32,1,8:24.0,,P. Millsap makes free throw 1 of 2,1,10
33,1,8:24.0,,P. Millsap makes free throw 2 of 2,1,11
34,1,8:05.0,Personal foul by G. Harris (drawn by A. Drummond),,1,11
35,1,7:59.0,W. Ellington misses 3-pt jump shot from 24 ft,,1,11
36,1,7:56.0,Offensive rebound by A. Drummond,,1,11
37,1,7:44.0,A. Drummond misses 2-pt jump shot from 9 ft,,1,11
38,1,7:41.0,,Defensive rebound by N. Jokić,1,11
39,1,7:39.0,,Turnover by N. Jokić (bad pass; steal by R. Jackson),1,11
40,1,7:36.0,R. Jackson makes 2-pt layup from 2 ft,,3,11
41,1,7:19.0,,W. Barton misses 2-pt jump shot from 15 ft,3,11
42,1,7:16.0,,Offensive rebound by N. Jokić,3,11
43,1,7:06.0,,P. Millsap misses 2-pt jump shot from 14 ft,3,11
44,1,7:02.0,Defensive rebound by R. Jackson,,3,11
45,1,6:50.0,R. Jackson misses 3-pt jump shot from 25 ft,,3,11
46,1,6:46.0,Offensive rebound by A. Drummond,,3,11
47,1,6:45.0,Personal foul by N. Jokić (drawn by A. Drummond),,3,11
48,1,6:31.0,A. Drummond misses 2-pt jump shot from 17 ft,,3,11
49,1,6:28.0,,Defensive rebound by W. Barton,3,11
50,1,6:11.0,,Personal foul by A. Drummond (drawn by N. Jokić),3,11
51,1,6:11.0,L. Kennard enters the game for A. Drummond,,3,11
52,1,6:11.0,T. Maker enters the game for W. Ellington,,3,11
53,1,6:11.0,I. Smith enters the game for R. Jackson,,3,11
54,1,6:07.0,,G. Harris misses 2-pt layup from 2 ft,3,11
55,1,6:05.0,Defensive rebound by L. Kennard,,3,11
56,1,5:47.0,B. Griffin misses 2-pt jump shot from 3 ft,,3,11
57,1,5:44.0,Offensive rebound by B. Griffin,,3,11
58,1,5:44.0,B. Griffin misses 2-pt layup at rim,,3,11
59,1,5:43.0,Offensive rebound by B. Griffin,,3,11
60,1,5:43.0,B. Griffin misses 2-pt layup at rim,,3,11
61,1,5:42.0,Offensive rebound by B. Griffin,,3,11
62,1,5:40.0,B. Griffin misses 2-pt layup at rim,,3,11
63,1,5:40.0,,Defensive rebound by P. Millsap,3,11
64,1,5:36.0,,W. Barton misses 3-pt jump shot from 22 ft,3,11
65,1,5:31.0,,N. Jokić makes 2-pt layup from 1 ft,3,13
66,1,5:31.0,,Offensive rebound by N. Jokić,3,13
67,1,5:21.0,B. Griffin misses 3-pt jump shot from 25 ft,,3,13
68,1,5:20.0,Offensive rebound by B. Griffin,,3,13
69,1,5:18.0,B. Griffin makes 2-pt layup from 2 ft,,5,13
70,1,5:17.0,,Denver full timeout,5,13
71,1,5:17.0,L. Galloway enters the game for B. Brown,,5,13
72,1,5:17.0,Z. Pachulia enters the game for B. Griffin,,5,13
73,1,5:17.0,,M. Morris enters the game for P. Millsap,5,13
74,1,5:17.0,,M. Plumlee enters the game for J. Murray,5,13
75,1,5:02.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by G. Harris),5,15
76,1,4:42.0,L. Kennard misses 2-pt jump shot from 13 ft,,5,15
77,1,4:40.0,,Defensive rebound by M. Plumlee,5,15
78,1,4:36.0,,M. Morris misses 3-pt jump shot from 24 ft,5,15
79,1,4:32.0,Defensive rebound by I. Smith,,5,15
