,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,Shooting foul by J. Isaac (drawn by J. Green),0,0
1,1,11:45.0,,J. Green makes free throw 1 of 2,0,1
2,1,11:45.0,,J. Green makes free throw 2 of 2,0,2
3,1,11:24.0,E. Fournier misses 3-pt jump shot from 26 ft,,0,2
4,1,11:21.0,Offensive rebound by J. Isaac,,0,2
5,1,11:19.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Isaac),,3,2
6,1,11:09.0,,B. Portis misses 3-pt jump shot from 28 ft,3,2
7,1,11:06.0,Defensive rebound by J. Isaac,,3,2
8,1,10:51.0,N. Vučević misses 2-pt hook shot from 7 ft,,3,2
9,1,10:49.0,,Defensive rebound by T. Ariza,3,2
10,1,10:33.0,,T. Ariza makes 2-pt layup from 1 ft (assist by B. Beal),3,4
11,1,10:17.0,N. Vučević misses 2-pt hook shot from 11 ft,,3,4
12,1,10:12.0,,Defensive rebound by B. Beal,3,4
13,1,10:02.0,,B. Beal misses 3-pt jump shot from 26 ft,3,4
14,1,9:59.0,Defensive rebound by J. Isaac,,3,4
15,1,9:50.0,N. Vučević makes 2-pt dunk from 2 ft (assist by E. Fournier),,5,4
16,1,9:34.0,,B. Beal misses 2-pt layup from 2 ft,5,4
17,1,9:30.0,,Offensive rebound by B. Portis,5,4
18,1,9:30.0,,B. Portis makes 2-pt layup at rim,5,6
19,1,9:16.0,N. Vučević makes 2-pt hook shot from 9 ft,,7,6
20,1,9:05.0,,B. Portis misses 2-pt jump shot from 7 ft,7,6
21,1,9:03.0,Defensive rebound by N. Vučević,,7,6
22,1,8:53.0,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),,9,6
23,1,8:32.0,,T. Satoranský makes 2-pt layup from 2 ft,9,8
24,1,8:17.0,J. Isaac misses 3-pt jump shot from 26 ft,,9,8
25,1,8:14.0,,Defensive rebound by J. Green,9,8
26,1,7:59.0,,J. Green makes 3-pt jump shot from 23 ft (assist by B. Beal),9,11
27,1,7:38.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Isaac),,12,11
28,1,7:27.0,,B. Beal makes 2-pt jump shot from 14 ft (assist by T. Satoranský),12,13
29,1,7:09.0,Personal foul by T. Ariza (drawn by A. Gordon),,12,13
30,1,6:59.0,J. Isaac misses 2-pt jump shot from 18 ft,,12,13
31,1,6:56.0,,Defensive rebound by T. Satoranský,12,13
