,QUARTER,TIME_REMAINING,DENVER_ACTION,MIAMI_ACTION,DENVER_SCORE,MIAMI_SCORE
0,1,11:34.0,,H. Whiteside misses 2-pt jump shot from 14 ft,0,0
1,1,11:30.0,Defensive rebound by T. Craig,,0,0
2,1,11:18.0,M. Beasley misses 3-pt jump shot from 25 ft,,0,0
3,1,11:17.0,,Defensive rebound by J. Richardson,0,0
4,1,11:17.0,,Personal foul by M. Beasley (drawn by J. Richardson),0,0
5,1,11:05.0,,Turnover by J. Johnson (bad pass),0,0
6,1,10:54.0,J. Murray makes 2-pt layup from 3 ft (assist by P. Millsap),,2,0
7,1,10:30.0,,J. Winslow misses 2-pt jump shot from 19 ft,2,0
8,1,10:26.0,,Offensive rebound by H. Whiteside,2,0
9,1,10:24.0,,H. Whiteside makes 2-pt dunk from 2 ft,2,2
10,1,10:02.0,J. Murray misses 2-pt jump shot from 10 ft (block by R. McGruder),,2,2
11,1,9:58.0,Offensive rebound by N. Jokić,,2,2
12,1,9:56.0,N. Jokić misses 2-pt jump shot from 22 ft,,2,2
13,1,9:52.0,Offensive rebound by J. Murray,,2,2
14,1,9:45.0,P. Millsap misses 2-pt jump shot from 16 ft,,2,2
15,1,9:40.0,,Defensive rebound by H. Whiteside,2,2
16,1,9:33.0,,H. Whiteside misses 2-pt hook shot from 9 ft,2,2
17,1,9:29.0,Defensive rebound by P. Millsap,,2,2
18,1,9:20.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by P. Millsap),,4,2
19,1,9:20.0,,Violation by Team (def goaltending),4,2
20,1,9:13.0,,Offensive foul by J. Winslow (drawn by T. Craig),4,2
21,1,9:13.0,,Turnover by J. Winslow (offensive foul),4,2
22,1,9:00.0,T. Craig misses 3-pt jump shot from 24 ft,,4,2
23,1,8:57.0,,Defensive rebound by H. Whiteside,4,2
24,1,8:46.0,,H. Whiteside makes 2-pt hook shot from 5 ft (assist by J. Winslow),4,4
25,1,8:34.0,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),,6,4
26,1,8:13.0,,J. Winslow misses 3-pt jump shot from 24 ft,6,4
27,1,8:10.0,Defensive rebound by P. Millsap,,6,4
28,1,8:05.0,P. Millsap misses 2-pt layup from 13 ft (block by H. Whiteside),,6,4
29,1,8:01.0,Offensive rebound by P. Millsap,,6,4
30,1,7:59.0,P. Millsap misses 2-pt jump shot from 13 ft,,6,4
31,1,7:59.0,,Defensive rebound by H. Whiteside,6,4
32,1,7:46.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Winslow),6,7
33,1,7:31.0,N. Jokić makes 2-pt jump shot from 11 ft (assist by J. Murray),,8,7
34,1,7:22.0,,J. Winslow misses 2-pt jump shot from 11 ft,8,7
35,1,7:19.0,Defensive rebound by T. Craig,,8,7
36,1,7:17.0,J. Murray misses 3-pt jump shot from 27 ft,,8,7
37,1,7:12.0,,Defensive rebound by J. Johnson,8,7
38,1,6:51.0,,H. Whiteside misses 2-pt hook shot from 7 ft,8,7
39,1,6:48.0,Defensive rebound by J. Murray,,8,7
40,1,6:44.0,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),,10,7
41,1,6:34.0,,J. Johnson misses 2-pt jump shot from 7 ft,10,7
42,1,6:29.0,Defensive rebound by N. Jokić,,10,7
43,1,6:27.0,M. Beasley makes 2-pt layup from 4 ft (assist by J. Murray),,12,7
44,1,6:27.0,,Miami full timeout,12,7
45,1,6:08.0,,J. Johnson misses 3-pt jump shot from 22 ft,12,7
46,1,6:05.0,,Offensive rebound by H. Whiteside,12,7
47,1,6:05.0,Violation by Team (kicked ball),,12,7
48,1,5:51.0,,R. McGruder misses 2-pt jump shot from 7 ft,12,7
49,1,5:46.0,,H. Whiteside misses 2-pt layup at rim,12,7
50,1,5:46.0,,Offensive rebound by H. Whiteside,12,7
51,1,5:46.0,Defensive rebound by N. Jokić,,12,7
52,1,5:46.0,Turnover by N. Jokić (bad pass),,12,7
53,1,5:31.0,,Shooting foul by T. Craig (drawn by H. Whiteside),12,7
54,1,5:31.0,,H. Whiteside misses free throw 1 of 2,12,7
55,1,5:31.0,,Offensive rebound by Team,12,7
56,1,5:31.0,,D. Wade enters the game for J. Winslow,12,7
57,1,5:31.0,,H. Whiteside makes free throw 2 of 2,12,8
58,1,5:11.0,N. Jokić misses 2-pt jump shot from 11 ft,,12,8
59,1,5:08.0,Offensive rebound by P. Millsap,,12,8
60,1,5:08.0,Personal foul by R. McGruder (drawn by P. Millsap),,12,8
61,1,5:00.0,Personal foul by R. McGruder (drawn by J. Murray),,12,8
62,1,5:00.0,N. Jokić misses 2-pt jump shot from 6 ft,,12,8
63,1,4:47.0,,Defensive rebound by H. Whiteside,12,8
64,1,4:40.0,,J. Richardson misses 2-pt jump shot from 10 ft,12,8
65,1,4:36.0,Defensive rebound by J. Murray,,12,8
66,1,4:28.0,J. Murray misses 2-pt jump shot from 16 ft,,12,8
67,1,4:23.0,,Defensive rebound by J. Johnson,12,8
68,1,4:09.0,,J. Richardson misses 3-pt jump shot from 25 ft,12,8
69,1,4:08.0,,Offensive rebound by H. Whiteside,12,8
70,1,4:08.0,,H. Whiteside makes 2-pt layup from 3 ft,12,10
71,1,4:08.0,,Shooting foul by N. Jokić (drawn by H. Whiteside),12,10
72,1,4:08.0,M. Morris enters the game for P. Millsap,,12,10
73,1,4:08.0,M. Plumlee enters the game for J. Murray,,12,10
74,1,4:08.0,,T. Johnson enters the game for J. Johnson,12,10
75,1,4:08.0,,K. Olynyk enters the game for R. McGruder,12,10
76,1,4:08.0,,H. Whiteside misses free throw 1 of 1,12,10
77,1,4:06.0,Defensive rebound by T. Craig,,12,10
78,1,3:59.0,Personal foul by K. Olynyk (drawn by N. Jokić),,12,10
79,1,3:45.0,N. Jokić misses 2-pt jump shot from 6 ft,,12,10
80,1,3:45.0,Offensive rebound by N. Jokić,,12,10
81,1,3:45.0,Shooting foul by H. Whiteside (drawn by N. Jokić),,12,10
82,1,3:45.0,N. Jokić makes free throw 1 of 2,,13,10
83,1,3:45.0,N. Jokić makes free throw 2 of 2,,14,10
84,1,3:31.0,,J. Richardson misses 2-pt jump shot from 11 ft,14,10
85,1,3:29.0,Defensive rebound by Team,,14,10
86,1,3:29.0,,Loose ball foul by J. Richardson (drawn by N. Jokić),14,10
87,1,3:29.0,N. Jokić makes free throw 1 of 2,,15,10
88,1,3:29.0,N. Jokić makes free throw 2 of 2,,16,10
89,1,3:18.0,,T. Johnson misses 3-pt jump shot from 24 ft,16,10
90,1,3:17.0,Defensive rebound by Team,,16,10
91,1,3:17.0,,Loose ball foul by K. Olynyk (drawn by M. Plumlee),16,10
92,1,3:17.0,M. Plumlee misses free throw 1 of 2,,16,10
93,1,3:17.0,Offensive rebound by Team,,16,10
94,1,3:17.0,T. Lyles enters the game for N. Jokić,,16,10
95,1,3:17.0,,B. Adebayo enters the game for H. Whiteside,16,10
96,1,3:17.0,M. Plumlee misses free throw 2 of 2,,16,10
97,1,3:13.0,Offensive rebound by T. Craig,,16,10
98,1,3:11.0,M. Plumlee makes 2-pt dunk from 3 ft (assist by T. Craig),,18,10
99,1,3:00.0,,K. Olynyk misses 3-pt jump shot from 26 ft,18,10
100,1,2:58.0,Defensive rebound by M. Plumlee,,18,10
101,1,2:43.0,M. Beasley misses 3-pt jump shot from 26 ft,,18,10
102,1,2:38.0,,Defensive rebound by T. Johnson,18,10
103,1,2:29.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by T. Johnson),18,12
104,1,2:13.0,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),,20,12
105,1,1:53.0,,J. Richardson makes 2-pt jump shot from 21 ft,20,14
106,1,1:40.0,Turnover by M. Plumlee (bad pass; steal by T. Johnson),,20,14
107,1,1:35.0,,J. Richardson misses 3-pt jump shot from 24 ft,20,14
108,1,1:30.0,Defensive rebound by M. Morris,,20,14
109,1,1:28.0,M. Morris misses 2-pt layup from 10 ft,,20,14
110,1,1:23.0,,Defensive rebound by J. Richardson,20,14
111,1,1:14.0,,Shooting foul by M. Plumlee (drawn by J. Richardson),20,14
112,1,1:14.0,Denver full timeout,,20,14
113,1,1:14.0,B. Goodwin enters the game for M. Beasley,,20,14
114,1,1:14.0,J. Murray enters the game for T. Craig,,20,14
115,1,1:14.0,,J. Richardson makes free throw 1 of 2,20,15
116,1,1:14.0,,J. Richardson makes free throw 2 of 2,20,16
117,1,0:59.0,T. Lyles makes 2-pt jump shot from 12 ft,,22,16
118,1,0:47.0,,Shooting foul by J. Murray (drawn by K. Olynyk),22,16
119,1,0:47.0,,K. Olynyk makes free throw 1 of 2,22,17
120,1,0:47.0,,D. Waiters enters the game for J. Richardson,22,17
121,1,0:47.0,,K. Olynyk makes free throw 2 of 2,22,18
