,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
0,1,11:41.0,,C. Capela misses 2-pt hook shot from 8 ft,0,0
1,1,11:40.0,,Offensive rebound by P. Tucker,0,0
2,1,11:40.0,,P. Tucker misses 2-pt layup at rim,0,0
3,1,11:39.0,Defensive rebound by G. Antetokounmpo,,0,0
4,1,11:22.0,Personal foul by P. Tucker (drawn by B. Lopez),,0,0
5,1,11:13.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),,2,0
6,1,10:58.0,,C. Capela makes 2-pt hook shot from 9 ft (assist by A. Rivers),2,2
7,1,10:46.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by M. Brogdon),,4,2
8,1,10:24.0,,D. House misses 2-pt hook shot from 6 ft,4,2
9,1,10:23.0,Defensive rebound by B. Lopez,,4,2
10,1,10:08.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,4,2
11,1,10:06.0,,Defensive rebound by J. Harden,4,2
12,1,10:02.0,,Shooting foul by B. Lopez (drawn by C. Capela),4,2
13,1,10:02.0,,C. Capela makes free throw 1 of 2,4,3
14,1,10:02.0,,C. Capela makes free throw 2 of 2,4,4
15,1,9:45.0,Shooting foul by A. Rivers (drawn by M. Brogdon),,4,4
16,1,9:45.0,M. Brogdon makes free throw 1 of 2,,5,4
17,1,9:45.0,M. Brogdon makes free throw 2 of 2,,6,4
18,1,9:26.0,,J. Harden misses 2-pt jump shot from 7 ft (block by B. Lopez),6,4
19,1,9:23.0,Defensive rebound by E. Bledsoe,,6,4
20,1,9:20.0,E. Bledsoe makes 2-pt layup from 2 ft,,8,4
21,1,9:08.0,,C. Capela misses 2-pt layup from 1 ft,8,4
22,1,9:08.0,,Offensive rebound by Team,8,4
23,1,9:08.0,,Turnover by C. Capela (traveling),8,4
24,1,8:47.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Harden),,8,4
25,1,8:38.0,,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),8,7
26,1,8:21.0,M. Brogdon makes 2-pt layup from 2 ft,,10,7
27,1,8:06.0,,A. Rivers makes 3-pt jump shot from 25 ft,10,10
28,1,7:53.0,M. Brogdon misses 3-pt jump shot from 23 ft,,10,10
29,1,7:51.0,,Defensive rebound by C. Capela,10,10
30,1,7:40.0,,A. Rivers misses 3-pt jump shot from 28 ft,10,10
31,1,7:38.0,Defensive rebound by M. Brogdon,,10,10
32,1,7:33.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,13,10
33,1,7:19.0,,Shooting foul by E. Bledsoe (drawn by J. Harden),13,10
34,1,7:19.0,,J. Harden makes free throw 1 of 2,13,11
35,1,7:19.0,S. Brown enters the game for M. Brogdon,,13,11
36,1,7:19.0,,G. Green enters the game for D. House,13,11
37,1,7:19.0,,J. Harden makes free throw 2 of 2,13,12
38,1,7:08.0,E. Bledsoe misses 2-pt layup from 2 ft (block by A. Rivers),,13,12
39,1,7:07.0,,Defensive rebound by Team,13,12
40,1,6:56.0,,J. Harden misses 2-pt layup from 3 ft,13,12
41,1,6:55.0,Defensive rebound by G. Antetokounmpo,,13,12
42,1,6:50.0,K. Middleton misses 3-pt jump shot from 26 ft,,13,12
43,1,6:48.0,,Defensive rebound by A. Rivers,13,12
44,1,6:40.0,,J. Harden misses 3-pt jump shot from 26 ft,13,12
45,1,6:37.0,Defensive rebound by G. Antetokounmpo,,13,12
46,1,6:31.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by S. Brown),,16,12
47,1,6:30.0,,Houston full timeout,16,12
48,1,6:18.0,,J. Harden misses 3-pt jump shot from 26 ft,16,12
49,1,6:16.0,Defensive rebound by S. Brown,,16,12
50,1,6:07.0,S. Brown misses 3-pt jump shot from 26 ft,,16,12
51,1,6:06.0,,Defensive rebound by J. Harden,16,12
52,1,5:55.0,,P. Tucker misses 3-pt jump shot from 25 ft,16,12
53,1,5:54.0,,Offensive rebound by C. Capela,16,12
54,1,5:50.0,,G. Green misses 3-pt jump shot from 23 ft,16,12
55,1,5:48.0,Defensive rebound by G. Antetokounmpo,,16,12
56,1,5:28.0,S. Brown makes 3-pt jump shot from 24 ft (assist by K. Middleton),,19,12
57,1,5:12.0,,J. Harden makes 2-pt jump shot from 9 ft (assist by P. Tucker),19,14
58,1,5:06.0,Shooting foul by A. Rivers (drawn by K. Middleton),,19,14
59,1,5:06.0,K. Middleton makes free throw 1 of 2,,20,14
60,1,5:06.0,G. Hill enters the game for G. Antetokounmpo,,20,14
61,1,5:06.0,E. İlyasova enters the game for E. Bledsoe,,20,14
62,1,5:06.0,,J. Ennis enters the game for A. Rivers,20,14
63,1,5:06.0,K. Middleton makes free throw 2 of 2,,21,14
64,1,4:48.0,,G. Green makes 2-pt jump shot from 19 ft (assist by P. Tucker),21,16
65,1,4:18.0,S. Brown misses 2-pt layup from 2 ft,,21,16
66,1,4:16.0,,Defensive rebound by P. Tucker,21,16
67,1,4:00.0,,Offensive foul by J. Harden (drawn by E. İlyasova),21,16
68,1,4:00.0,,Turnover by J. Harden (offensive foul),21,16
69,1,4:00.0,T. Maker enters the game for B. Lopez,,21,16
70,1,4:00.0,,G. Clark enters the game for P. Tucker,21,16
71,1,3:44.0,K. Middleton misses 2-pt jump shot from 17 ft,,21,16
72,1,3:43.0,Offensive rebound by T. Maker,,21,16
73,1,3:43.0,T. Maker misses 2-pt layup from 1 ft,,21,16
74,1,3:41.0,,Defensive rebound by Team,21,16
75,1,3:28.0,,J. Harden misses 2-pt layup from 2 ft,21,16
76,1,3:27.0,,Offensive rebound by C. Capela,21,16
77,1,3:27.0,,Shooting foul by E. İlyasova (drawn by C. Capela),21,16
78,1,3:27.0,,C. Capela makes free throw 1 of 2,21,17
79,1,3:27.0,M. Brogdon enters the game for K. Middleton,,21,17
80,1,3:27.0,,C. Capela makes free throw 2 of 2,21,18
81,1,3:07.0,G. Hill misses 3-pt jump shot from 26 ft,,21,18
82,1,3:05.0,,Defensive rebound by G. Green,21,18
83,1,2:56.0,,J. Harden makes 2-pt jump shot from 6 ft,21,20
84,1,2:36.0,M. Brogdon misses 2-pt layup from 3 ft (block by C. Capela),,21,20
85,1,2:35.0,,Defensive rebound by C. Capela,21,20
86,1,2:22.0,,Turnover by G. Green (lost ball; steal by G. Hill),21,20
87,1,2:18.0,S. Brown makes 2-pt layup from 1 ft (assist by G. Hill),,23,20
88,1,1:55.0,,G. Clark makes 3-pt jump shot from 26 ft (assist by J. Harden),23,23
89,1,1:54.0,Milwaukee full timeout,,23,23
90,1,1:54.0,,B. Knight enters the game for C. Capela,23,23
91,1,1:54.0,,A. Rivers enters the game for J. Ennis,23,23
92,1,1:54.0,,P. Tucker enters the game for J. Harden,23,23
93,1,1:40.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by G. Hill),,26,23
94,1,1:24.0,,G. Green misses 3-pt jump shot from 25 ft,26,23
95,1,1:23.0,Defensive rebound by E. İlyasova,,26,23
96,1,1:10.0,Turnover by E. İlyasova (traveling),,26,23
97,1,1:10.0,G. Antetokounmpo enters the game for T. Maker,,26,23
98,1,0:55.0,,G. Green makes 3-pt jump shot from 27 ft (assist by G. Clark),26,26
99,1,0:40.0,S. Brown misses 3-pt jump shot from 23 ft,,26,26
100,1,0:38.0,,Defensive rebound by B. Knight,26,26
101,1,0:26.0,,G. Green misses 3-pt jump shot from 27 ft,26,26
102,1,0:23.0,Defensive rebound by E. İlyasova,,26,26
103,1,0:19.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft (block by P. Tucker),,26,26
104,1,0:17.0,Offensive rebound by S. Brown,,26,26
105,1,0:12.0,G. Hill misses 3-pt jump shot from 24 ft,,26,26
106,1,0:11.0,,Defensive rebound by G. Clark,26,26
107,1,0:00.0,,A. Rivers makes 3-pt jump shot from 26 ft,26,29
108,2,11:43.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,26,29
109,2,11:42.0,Offensive rebound by G. Antetokounmpo,,26,29
110,2,11:32.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,26,29
111,2,11:29.0,,Defensive rebound by J. Ennis,26,29
112,2,11:20.0,,Shooting foul by E. Bledsoe (drawn by A. Rivers),26,29
113,2,11:20.0,,A. Rivers makes free throw 1 of 2,26,30
114,2,11:20.0,,A. Rivers makes free throw 2 of 2,26,31
115,2,11:00.0,T. Snell makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,28,31
116,2,10:50.0,,G. Green misses 2-pt layup from 2 ft,28,31
117,2,10:48.0,Defensive rebound by G. Antetokounmpo,,28,31
118,2,10:37.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by S. Brown),,30,31
119,2,10:22.0,,A. Rivers misses 3-pt jump shot from 27 ft,30,31
120,2,10:21.0,Defensive rebound by G. Antetokounmpo,,30,31
121,2,10:16.0,Offensive foul by G. Antetokounmpo (drawn by P. Tucker),,30,31
122,2,10:16.0,Turnover by G. Antetokounmpo (offensive foul),,30,31
123,2,10:16.0,G. Hill enters the game for S. Brown,,30,31
124,2,10:02.0,,Turnover by P. Tucker (bad pass),30,31
125,2,9:49.0,Turnover by E. Bledsoe (bad pass; steal by P. Tucker),,30,31
126,2,9:35.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by P. Tucker),30,34
127,2,9:21.0,Offensive foul by M. Brogdon (drawn by P. Tucker),,30,34
128,2,9:21.0,Turnover by M. Brogdon (offensive foul),,30,34
129,2,9:10.0,,P. Tucker misses 2-pt jump shot from 22 ft,30,34
130,2,9:08.0,Defensive rebound by M. Brogdon,,30,34
131,2,8:57.0,Turnover by E. Bledsoe (bad pass; steal by G. Green),,30,34
132,2,8:54.0,,Turnover by G. Green (bad pass; steal by M. Brogdon),30,34
133,2,8:51.0,M. Brogdon makes 2-pt layup from 2 ft,,32,34
134,2,8:40.0,,B. Knight misses 3-pt jump shot from 25 ft,32,34
135,2,8:38.0,Defensive rebound by G. Antetokounmpo,,32,34
136,2,8:27.0,M. Brogdon makes 2-pt layup from 1 ft (assist by T. Snell),,34,34
