,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
0,1,11:39.0,,N. Vučević makes 2-pt hook shot from 9 ft,0,2
1,1,11:24.0,J. Murray misses 2-pt jump shot from 12 ft,,0,2
2,1,11:22.0,,Defensive rebound by N. Vučević,0,2
3,1,11:11.0,,A. Gordon misses 2-pt jump shot from 8 ft,0,2
4,1,11:09.0,Defensive rebound by N. Jokić,,0,2
5,1,11:07.0,Turnover by P. Millsap (back court),,0,2
6,1,10:52.0,,E. Fournier misses 3-pt jump shot from 29 ft,0,2
7,1,10:49.0,Defensive rebound by P. Millsap,,0,2
8,1,10:35.0,N. Jokić misses 2-pt layup from 5 ft,,0,2
9,1,10:31.0,,Defensive rebound by N. Vučević,0,2
10,1,10:24.0,,N. Vučević makes 2-pt hook shot from 2 ft (assist by D. Augustin),0,4
11,1,10:04.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),,2,4
12,1,9:53.0,,Personal foul by P. Millsap (drawn by A. Gordon),2,4
13,1,9:43.0,,J. Simmons misses 3-pt jump shot from 23 ft,2,4
14,1,9:39.0,Defensive rebound by J. Murray,,2,4
15,1,9:37.0,J. Murray makes 2-pt layup from 1 ft,,4,4
16,1,9:17.0,,A. Gordon misses 2-pt layup from 2 ft,4,4
17,1,9:15.0,Defensive rebound by N. Jokić,,4,4
18,1,9:08.0,J. Murray misses 2-pt layup from 1 ft,,4,4
19,1,9:05.0,Offensive rebound by J. Murray,,4,4
20,1,8:53.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by J. Murray),,7,4
21,1,8:43.0,,Personal foul by N. Jokić (drawn by D. Augustin),7,4
22,1,8:37.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by J. Simmons),7,6
23,1,8:25.0,J. Murray makes 2-pt jump shot from 13 ft,,9,6
24,1,8:06.0,,Turnover by E. Fournier (bad pass; steal by J. Murray),9,6
25,1,7:59.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by J. Murray),,12,6
26,1,7:33.0,,N. Vučević misses 2-pt hook shot from 10 ft,12,6
27,1,7:30.0,Defensive rebound by J. Hernangómez,,12,6
28,1,7:23.0,J. Murray makes 2-pt jump shot from 11 ft (assist by N. Jokić),,14,6
29,1,7:15.0,,Orlando full timeout,14,6
30,1,6:56.0,,E. Fournier makes 2-pt layup from 2 ft,14,8
31,1,6:44.0,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by N. Jokić),,17,8
32,1,6:33.0,,D. Augustin misses 3-pt jump shot from 26 ft,17,8
33,1,6:29.0,Defensive rebound by N. Jokić,,17,8
34,1,6:18.0,P. Millsap makes 2-pt layup from 7 ft (assist by N. Jokić),,19,8
35,1,6:18.0,Shooting foul by A. Gordon (drawn by P. Millsap),,19,8
36,1,6:18.0,P. Millsap makes free throw 1 of 1,,20,8
37,1,6:01.0,,J. Simmons makes 2-pt layup from 6 ft,20,10
38,1,5:45.0,J. Murray makes 2-pt jump shot from 19 ft (assist by N. Jokić),,22,10
39,1,5:31.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),22,13
40,1,5:18.0,J. Murray misses 2-pt jump shot from 13 ft,,22,13
41,1,5:16.0,,Defensive rebound by N. Vučević,22,13
42,1,5:06.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by N. Vučević),22,16
43,1,4:46.0,P. Millsap misses 2-pt jump shot from 16 ft,,22,16
44,1,4:43.0,,Defensive rebound by N. Vučević,22,16
45,1,4:33.0,,A. Gordon misses 3-pt jump shot from 23 ft,22,16
46,1,4:30.0,Defensive rebound by J. Hernangómez,,22,16
47,1,4:21.0,P. Millsap misses 2-pt hook shot from 7 ft,,22,16
48,1,4:19.0,Offensive rebound by T. Craig,,22,16
49,1,4:08.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),,25,16
50,1,3:52.0,,A. Gordon makes 2-pt jump shot from 12 ft,25,18
51,1,3:38.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,25,18
52,1,3:35.0,,Defensive rebound by A. Gordon,25,18
53,1,3:30.0,,A. Gordon makes 2-pt layup from 2 ft,25,20
54,1,3:23.0,Denver full timeout,,25,20
55,1,3:23.0,M. Morris enters the game for P. Millsap,,25,20
56,1,3:23.0,M. Plumlee enters the game for J. Murray,,25,20
57,1,3:23.0,,J. Grant enters the game for D. Augustin,25,20
58,1,3:23.0,,J. Isaac enters the game for E. Fournier,25,20
59,1,3:23.0,,T. Ross enters the game for J. Simmons,25,20
60,1,3:10.0,N. Jokić misses 2-pt jump shot from 18 ft,,25,20
61,1,3:08.0,,Defensive rebound by A. Gordon,25,20
62,1,3:08.0,,Personal foul by M. Plumlee (drawn by A. Gordon),25,20
63,1,2:58.0,,N. Vučević misses 2-pt hook shot from 6 ft,25,20
64,1,2:55.0,Defensive rebound by M. Plumlee,,25,20
65,1,2:43.0,Personal foul by J. Isaac (drawn by N. Jokić),,25,20
66,1,2:43.0,M. Beasley enters the game for T. Craig,,25,20
67,1,2:36.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Beasley),,27,20
68,1,2:19.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Isaac),27,23
69,1,1:59.0,Shooting foul by N. Vučević (drawn by M. Plumlee),,27,23
70,1,1:59.0,,Technical foul by N. Vučević,27,23
71,1,1:59.0,M. Morris misses technical free throw,,27,23
72,1,1:59.0,Offensive rebound by Team,,27,23
73,1,1:59.0,M. Plumlee makes free throw 1 of 2,,28,23
74,1,1:59.0,T. Lyles enters the game for N. Jokić,,28,23
75,1,1:59.0,,M. Bamba enters the game for N. Vučević,28,23
76,1,1:59.0,M. Plumlee makes free throw 2 of 2,,29,23
77,1,1:43.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by M. Bamba),29,26
78,1,1:24.0,M. Plumlee makes 2-pt hook shot from 3 ft,,31,26
79,1,0:59.0,,A. Gordon misses 2-pt layup from 4 ft (block by M. Plumlee),31,26
80,1,0:59.0,,Offensive rebound by Team,31,26
81,1,0:59.0,,Orlando full timeout,31,26
82,1,0:55.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by J. Isaac),31,28
83,1,0:35.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,31,28
84,1,0:32.0,,Defensive rebound by M. Bamba,31,28
85,1,0:19.0,,Turnover by J. Isaac (out of bounds lost ball),31,28
86,1,0:00.0,T. Lyles misses 2-pt jump shot from 15 ft (block by J. Isaac),,31,28
87,1,0:00.0,,Defensive rebound by J. Isaac,31,28
88,2,11:46.0,J. Murray misses 2-pt layup from 2 ft,,31,28
89,2,11:43.0,,Defensive rebound by M. Bamba,31,28
90,2,11:37.0,,J. Isaac misses 2-pt jump shot from 16 ft,31,28
91,2,11:33.0,Defensive rebound by J. Murray,,31,28
92,2,11:26.0,Turnover by M. Morris (bad pass; steal by T. Ross),,31,28
93,2,11:19.0,,J. Isaac makes 2-pt layup from 1 ft (assist by T. Ross),31,30
94,2,11:05.0,Turnover by M. Beasley (lost ball; steal by J. Isaac),,31,30
95,2,10:52.0,,J. Isaac misses 3-pt jump shot from 22 ft,31,30
96,2,10:49.0,Defensive rebound by M. Morris,,31,30
97,2,10:29.0,M. Morris makes 2-pt layup from 5 ft,,33,30
98,2,10:16.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by M. Bamba),33,33
99,2,9:55.0,M. Beasley misses 3-pt jump shot from 26 ft,,33,33
100,2,9:51.0,,Defensive rebound by M. Bamba,33,33
101,2,9:46.0,,T. Ross misses 3-pt jump shot from 30 ft,33,33
102,2,9:41.0,Defensive rebound by M. Plumlee,,33,33
103,2,9:31.0,T. Lyles makes 2-pt dunk from 2 ft (assist by M. Plumlee),,35,33
104,2,9:16.0,,Turnover by E. Fournier (bad pass),35,33
105,2,9:00.0,T. Lyles misses 2-pt jump shot from 22 ft,,35,33
106,2,8:57.0,,Defensive rebound by E. Fournier,35,33
107,2,8:42.0,,J. Isaac makes 2-pt jump shot from 10 ft,35,35
108,2,8:25.0,T. Lyles misses 3-pt jump shot from 25 ft,,35,35
109,2,8:22.0,,Defensive rebound by M. Bamba,35,35
110,2,8:09.0,,M. Bamba makes 3-pt jump shot from 23 ft (assist by E. Fournier),35,38
111,2,7:51.0,M. Morris makes 2-pt layup from 3 ft (assist by M. Plumlee),,37,38
112,2,7:34.0,,J. Grant misses 3-pt jump shot from 27 ft,37,38
113,2,7:31.0,Defensive rebound by M. Plumlee,,37,38
114,2,7:12.0,M. Plumlee makes 2-pt jump shot from 11 ft,,39,38
115,2,6:56.0,,M. Bamba makes 3-pt jump shot from 28 ft,39,41
116,2,6:45.0,Personal foul by E. Fournier (drawn by J. Murray),,39,41
117,2,6:45.0,,Orlando full timeout,39,41
118,2,6:45.0,,Technical foul by E. Fournier,39,41
119,2,6:45.0,N. Jokić enters the game for M. Plumlee,,39,41
120,2,6:45.0,,A. Gordon enters the game for J. Isaac,39,41
121,2,6:45.0,J. Murray makes technical free throw,,40,41
122,2,6:39.0,Personal foul by M. Bamba (drawn by J. Murray),,40,41
123,2,6:29.0,N. Jokić makes 2-pt layup from 1 ft,,42,41
124,2,6:14.0,,Turnover by M. Bamba (bad pass; steal by N. Jokić),42,41
125,2,6:09.0,T. Lyles makes 2-pt layup from 1 ft (assist by N. Jokić),,44,41
126,2,5:44.0,,M. Bamba makes 2-pt layup from 1 ft (assist by A. Gordon),44,43
127,2,5:31.0,J. Murray makes 2-pt layup from 9 ft (assist by N. Jokić),,46,43
128,2,5:12.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by J. Grant),46,45
129,2,5:01.0,Shooting foul by E. Fournier (drawn by J. Murray),,46,45
130,2,5:01.0,T. Craig enters the game for M. Beasley,,46,45
131,2,5:01.0,J. Hernangómez enters the game for T. Lyles,,46,45
132,2,5:01.0,P. Millsap enters the game for M. Morris,,46,45
133,2,5:01.0,,J. Simmons enters the game for M. Bamba,46,45
134,2,5:01.0,,N. Vučević enters the game for E. Fournier,46,45
135,2,5:01.0,J. Murray makes free throw 1 of 2,,47,45
136,2,5:01.0,J. Murray makes free throw 2 of 2,,48,45
137,2,4:53.0,,Personal foul by J. Murray (drawn by N. Vučević),48,45
138,2,4:37.0,,J. Simmons misses 3-pt jump shot from 26 ft,48,45
139,2,4:34.0,Defensive rebound by T. Craig,,48,45
140,2,4:28.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,50,45
141,2,4:19.0,,Personal foul by J. Hernangómez (drawn by J. Simmons),50,45
142,2,4:12.0,,N. Vučević makes 2-pt hook shot from 12 ft (assist by A. Gordon),50,47
143,2,4:04.0,,Violation by Team (kicked ball),50,47
144,2,3:53.0,N. Jokić misses 2-pt layup from 3 ft,,50,47
145,2,3:51.0,,Defensive rebound by N. Vučević,50,47
146,2,3:45.0,,N. Vučević makes 2-pt layup from 1 ft (assist by J. Grant),50,49
147,2,3:32.0,J. Murray makes 2-pt jump shot from 16 ft,,52,49
148,2,3:22.0,,Orlando full timeout,52,49
149,2,3:22.0,,D. Augustin enters the game for J. Grant,52,49
150,2,3:22.0,,J. Isaac enters the game for T. Ross,52,49
151,2,3:10.0,,Turnover by N. Vučević (lost ball; steal by J. Hernangómez),52,49
152,2,2:56.0,J. Murray misses 2-pt jump shot from 14 ft,,52,49
153,2,2:54.0,,Defensive rebound by N. Vučević,52,49
154,2,2:39.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Simmons),52,52
155,2,2:16.0,J. Murray misses 2-pt jump shot from 17 ft,,52,52
156,2,2:12.0,,Defensive rebound by J. Isaac,52,52
