,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHARLOTTE_ACTION,DALLAS_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,W. Matthews misses 3-pt jump shot from 26 ft,,0,0
1,1,11:40.0,,Defensive rebound by W. Hernangómez,0,0
2,1,11:32.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),0,3
3,1,11:12.0,L. Dončić misses 3-pt jump shot from 29 ft,,0,3
4,1,11:09.0,Offensive rebound by D. Jordan,,0,3
5,1,11:04.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Smith),,3,3
6,1,10:42.0,,W. Hernangómez misses 2-pt hook shot from 7 ft,3,3
7,1,10:40.0,Defensive rebound by L. Dončić,,3,3
8,1,10:34.0,Turnover by L. Dončić (bad pass; steal by D. Graham),,3,3
9,1,10:30.0,,N. Batum makes 2-pt layup from 2 ft (assist by K. Walker),3,5
10,1,10:14.0,D. Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),,6,5
11,1,9:59.0,,D. Graham makes 3-pt jump shot from 25 ft (assist by M. Williams),6,8
12,1,9:47.0,H. Barnes misses 3-pt jump shot from 26 ft,,6,8
13,1,9:43.0,,Defensive rebound by K. Walker,6,8
14,1,9:38.0,,K. Walker makes 2-pt layup from 1 ft,6,10
15,1,9:21.0,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,9,10
16,1,8:58.0,,W. Hernangómez misses 2-pt jump shot from 17 ft,9,10
17,1,8:56.0,Defensive rebound by L. Dončić,,9,10
18,1,8:40.0,L. Dončić makes 3-pt jump shot from 23 ft (assist by D. Smith),,12,10
19,1,8:25.0,,N. Batum misses 2-pt jump shot from 17 ft,12,10
20,1,8:20.0,,Offensive rebound by W. Hernangómez,12,10
21,1,8:20.0,,W. Hernangómez makes 2-pt layup from 1 ft,12,12
22,1,8:20.0,Personal foul by D. Graham (drawn by W. Matthews),,12,12
23,1,8:12.0,D. Smith misses 3-pt jump shot from 25 ft,,12,12
24,1,8:11.0,Offensive rebound by L. Dončić,,12,12
25,1,8:10.0,L. Dončić misses 2-pt layup from 2 ft,,12,12
26,1,8:09.0,,Defensive rebound by W. Hernangómez,12,12
27,1,7:53.0,,M. Williams makes 2-pt jump shot from 8 ft,12,14
28,1,7:45.0,W. Matthews misses 3-pt jump shot from 25 ft,,12,14
29,1,7:45.0,,Defensive rebound by W. Hernangómez,12,14
30,1,7:35.0,,K. Walker makes 2-pt jump shot from 10 ft,12,16
31,1,7:35.0,Dallas full timeout,,12,16
32,1,7:14.0,L. Dončić misses 2-pt jump shot from 20 ft,,12,16
33,1,7:11.0,,Defensive rebound by D. Graham,12,16
34,1,7:03.0,,D. Graham misses 2-pt layup from 4 ft (block by W. Matthews),12,16
35,1,7:00.0,Defensive rebound by W. Matthews,,12,16
36,1,6:57.0,D. Smith makes 2-pt dunk from 1 ft (assist by H. Barnes),,14,16
37,1,6:34.0,,K. Walker misses 2-pt jump shot from 23 ft,14,16
38,1,6:31.0,Defensive rebound by D. Jordan,,14,16
39,1,6:24.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,17,16
40,1,6:14.0,,K. Walker misses 3-pt jump shot from 26 ft,17,16
41,1,6:11.0,Defensive rebound by D. Jordan,,17,16
42,1,6:11.0,,M. Kidd-Gilchrist enters the game for M. Williams,17,16
43,1,5:55.0,L. Dončić misses 2-pt jump shot from 12 ft,,17,16
44,1,5:53.0,Offensive rebound by D. Jordan,,17,16
45,1,5:50.0,D. Smith makes 2-pt jump shot from 18 ft (assist by D. Jordan),,19,16
46,1,5:26.0,,Shooting foul by D. Jordan (drawn by M. Kidd-Gilchrist),19,16
47,1,5:26.0,Technical foul by D. Jordan,,19,16
48,1,5:26.0,,K. Walker makes technical free throw,19,17
49,1,5:26.0,,M. Kidd-Gilchrist makes free throw 1 of 2,19,18
50,1,5:26.0,,M. Kidd-Gilchrist makes free throw 2 of 2,19,19
51,1,5:10.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,22,19
52,1,4:54.0,,D. Graham makes 3-pt jump shot from 28 ft (assist by M. Kidd-Gilchrist),22,22
53,1,4:37.0,Personal foul by W. Hernangómez (drawn by W. Matthews),,22,22
54,1,4:31.0,W. Matthews makes 2-pt jump shot from 8 ft,,24,22
55,1,4:30.0,,Charlotte full timeout,24,22
56,1,4:16.0,,K. Walker misses 2-pt jump shot from 19 ft (block by H. Barnes),24,22
57,1,4:13.0,Defensive rebound by D. Jordan,,24,22
58,1,4:12.0,Shooting foul by M. Kidd-Gilchrist (drawn by H. Barnes),,24,22
59,1,4:12.0,H. Barnes makes free throw 1 of 2,,25,22
60,1,4:12.0,J. Barea enters the game for D. Smith,,25,22
61,1,4:12.0,H. Barnes makes free throw 2 of 2,,26,22
62,1,3:50.0,,W. Hernangómez misses 2-pt layup from 2 ft,26,22
63,1,3:48.0,Defensive rebound by D. Jordan,,26,22
64,1,3:31.0,W. Matthews makes 2-pt jump shot from 15 ft,,28,22
65,1,3:17.0,,Personal foul by J. Barea (drawn by D. Graham),28,22
66,1,3:17.0,D. Harris enters the game for H. Barnes,,28,22
67,1,3:17.0,D. Nowitzki enters the game for D. Jordan,,28,22
68,1,3:17.0,D. Powell enters the game for W. Matthews,,28,22
