,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
0,1,11:38.0,,J. Nurkić misses 2-pt jump shot from 17 ft,0,0
1,1,11:36.0,,Offensive rebound by A. Aminu,0,0
2,1,11:35.0,,Turnover by M. Harkless (off goaltending),0,0
3,1,11:17.0,D. DeRozan misses 2-pt jump shot from 13 ft,,0,0
4,1,11:16.0,Offensive rebound by L. Aldridge,,0,0
5,1,11:12.0,B. Forbes makes 3-pt jump shot from 30 ft (assist by R. Gay),,3,0
6,1,11:01.0,,Offensive foul by M. Harkless (drawn by B. Forbes),3,0
7,1,11:01.0,,Turnover by M. Harkless (offensive foul),3,0
8,1,10:46.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. Bertāns),,5,0
9,1,10:30.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),5,2
10,1,10:16.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,7,2
11,1,10:05.0,,D. Lillard misses 3-pt jump shot from 26 ft,7,2
12,1,10:03.0,,Offensive rebound by A. Aminu,7,2
13,1,9:52.0,,J. Nurkić misses 2-pt layup from 2 ft,7,2
14,1,9:49.0,Defensive rebound by B. Forbes,,7,2
15,1,9:40.0,L. Aldridge misses 2-pt jump shot from 21 ft,,7,2
16,1,9:38.0,,Defensive rebound by C. McCollum,7,2
17,1,9:32.0,,C. McCollum misses 3-pt jump shot from 25 ft,7,2
18,1,9:29.0,Defensive rebound by D. DeRozan,,7,2
19,1,9:22.0,D. DeRozan misses 2-pt jump shot from 21 ft,,7,2
20,1,9:20.0,,Defensive rebound by J. Nurkić,7,2
21,1,9:13.0,,D. Lillard makes 2-pt layup from 1 ft,7,4
22,1,8:59.0,Personal foul by M. Harkless (drawn by L. Aldridge),,7,4
23,1,8:49.0,D. DeRozan misses 2-pt jump shot from 3 ft,,7,4
24,1,8:47.0,Offensive rebound by L. Aldridge,,7,4
25,1,8:47.0,Shooting foul by J. Nurkić (drawn by L. Aldridge),,7,4
26,1,8:47.0,L. Aldridge misses free throw 1 of 2,,7,4
27,1,8:47.0,Offensive rebound by Team,,7,4
28,1,8:47.0,L. Aldridge makes free throw 2 of 2,,8,4
29,1,8:39.0,,Personal foul by B. Forbes (drawn by J. Nurkić),8,4
30,1,8:34.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),8,7
31,1,8:16.0,L. Aldridge misses 2-pt layup from 1 ft,,8,7
32,1,8:13.0,,Defensive rebound by C. McCollum,8,7
33,1,8:03.0,,J. Nurkić misses 2-pt layup from 1 ft,8,7
34,1,8:02.0,Defensive rebound by B. Forbes,,8,7
35,1,7:49.0,R. Gay makes 2-pt jump shot from 2 ft,,10,7
36,1,7:25.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),10,9
37,1,6:57.0,D. DeRozan makes 2-pt jump shot from 14 ft (assist by R. Gay),,12,9
38,1,6:41.0,,D. Lillard makes 2-pt jump shot from 21 ft,12,11
39,1,6:27.0,R. Gay makes 2-pt hook shot from 6 ft,,14,11
40,1,6:14.0,,D. Lillard misses 3-pt jump shot from 25 ft,14,11
41,1,6:13.0,Defensive rebound by D. Bertāns,,14,11
42,1,6:04.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,17,11
43,1,6:04.0,,Portland full timeout,17,11
44,1,6:04.0,M. Belinelli enters the game for D. Bertāns,,17,11
45,1,6:04.0,P. Mills enters the game for B. Forbes,,17,11
46,1,5:49.0,,Shooting foul by P. Mills (drawn by D. Lillard),17,11
47,1,5:49.0,,D. Lillard makes free throw 1 of 2,17,12
48,1,5:49.0,,J. Layman enters the game for M. Harkless,17,12
49,1,5:49.0,,D. Lillard makes free throw 2 of 2,17,13
