,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:39.0,,Turnover by J. Jackson (bad pass; steal by J. Harden),0,0
1,1,11:31.0,J. Harden makes 2-pt layup from 3 ft,,2,0
2,1,11:31.0,Shooting foul by M. Bridges (drawn by J. Harden),,2,0
3,1,11:31.0,J. Harden misses free throw 1 of 1,,2,0
4,1,11:27.0,,Defensive rebound by D. Booker,2,0
5,1,11:13.0,,Personal foul by J. Harden (drawn by D. Booker),2,0
6,1,11:05.0,,Turnover by E. Okobo (bad pass; steal by J. Ennis),2,0
7,1,11:00.0,J. Ennis makes 2-pt dunk from 1 ft,,4,0
8,1,10:43.0,,Personal foul by J. Harden (drawn by D. Ayton),4,0
9,1,10:29.0,,J. Jackson makes 2-pt dunk from 1 ft,4,2
10,1,10:07.0,P. Tucker misses 3-pt jump shot from 24 ft,,4,2
11,1,10:05.0,Offensive rebound by K. Faried,,4,2
12,1,9:54.0,J. Ennis misses 3-pt jump shot from 23 ft,,4,2
13,1,9:52.0,,Defensive rebound by D. Booker,4,2
14,1,9:49.0,,D. Booker misses 3-pt jump shot from 27 ft,4,2
15,1,9:45.0,Defensive rebound by J. Harden,,4,2
16,1,9:42.0,J. Harden makes 2-pt layup from 1 ft,,6,2
17,1,9:42.0,Shooting foul by J. Jackson (drawn by J. Harden),,6,2
18,1,9:42.0,J. Harden makes free throw 1 of 1,,7,2
19,1,9:19.0,,D. Ayton makes 2-pt hook shot from 8 ft (assist by E. Okobo),7,4
20,1,9:08.0,K. Faried makes 2-pt dunk from 2 ft (assist by C. Paul),,9,4
21,1,8:59.0,,Turnover by E. Okobo (bad pass; steal by C. Paul),9,4
22,1,8:59.0,Personal foul by E. Okobo (drawn by C. Paul),,9,4
23,1,8:42.0,Turnover by C. Paul (bad pass; steal by E. Okobo),,9,4
24,1,8:36.0,,Turnover by E. Okobo (bad pass; steal by C. Paul),9,4
25,1,8:34.0,K. Faried misses 2-pt jump shot from 4 ft,,9,4
26,1,8:33.0,,Defensive rebound by E. Okobo,9,4
27,1,8:23.0,,D. Ayton makes 2-pt jump shot from 15 ft (assist by E. Okobo),9,6
28,1,8:03.0,C. Paul misses 2-pt jump shot from 12 ft,,9,6
29,1,8:03.0,,Defensive rebound by Team,9,6
30,1,8:03.0,Loose ball foul by K. Faried (drawn by J. Jackson),,9,6
31,1,7:52.0,,J. Jackson misses 3-pt jump shot from 23 ft,9,6
32,1,7:48.0,Defensive rebound by K. Faried,,9,6
33,1,7:28.0,Turnover by C. Paul (bad pass; steal by J. Jackson),,9,6
34,1,7:26.0,,Turnover by J. Jackson (lost ball; steal by J. Ennis),9,6
35,1,7:24.0,K. Faried misses 2-pt layup at rim,,9,6
36,1,7:24.0,,Defensive rebound by D. Ayton,9,6
37,1,7:12.0,,E. Okobo misses 3-pt jump shot from 29 ft,9,6
38,1,7:09.0,Defensive rebound by P. Tucker,,9,6
39,1,7:05.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),,12,6
40,1,7:04.0,,Phoenix full timeout,12,6
41,1,7:04.0,N. Hilário enters the game for K. Faried,,12,6
42,1,7:04.0,A. Rivers enters the game for C. Paul,,12,6
43,1,7:04.0,,K. Oubre enters the game for E. Okobo,12,6
44,1,6:43.0,,J. Jackson makes 2-pt jump shot from 13 ft,12,8
45,1,6:18.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by A. Rivers),,15,8
46,1,6:03.0,,D. Booker makes 2-pt layup from 2 ft,15,10
47,1,6:03.0,,Shooting foul by N. Hilário (drawn by D. Booker),15,10
48,1,6:03.0,G. Green enters the game for J. Ennis,,15,10
49,1,6:03.0,,D. Booker misses free throw 1 of 1,15,10
50,1,6:01.0,Defensive rebound by P. Tucker,,15,10
51,1,5:45.0,J. Harden misses 2-pt layup from 2 ft,,15,10
52,1,5:43.0,Offensive rebound by N. Hilário,,15,10
53,1,5:42.0,N. Hilário makes 2-pt layup from 2 ft,,17,10
54,1,5:27.0,,J. Jackson misses 3-pt jump shot from 23 ft,17,10
55,1,5:25.0,Defensive rebound by P. Tucker,,17,10
56,1,5:20.0,,Violation by Team (kicked ball),17,10
57,1,5:14.0,J. Harden misses 3-pt jump shot from 24 ft,,17,10
58,1,5:12.0,,Defensive rebound by D. Booker,17,10
59,1,5:09.0,,J. Jackson misses 2-pt layup from 6 ft,17,10
60,1,5:06.0,,Offensive rebound by J. Jackson,17,10
61,1,5:04.0,,J. Jackson makes 2-pt layup from 2 ft,17,12
62,1,4:45.0,A. Rivers misses 3-pt jump shot from 26 ft,,17,12
63,1,4:42.0,,Defensive rebound by D. Ayton,17,12
64,1,4:38.0,,M. Bridges misses 2-pt layup from 2 ft,17,12
65,1,4:35.0,Defensive rebound by J. Harden,,17,12
66,1,4:27.0,J. Harden misses 2-pt layup from 5 ft,,17,12
67,1,4:24.0,,Defensive rebound by J. Jackson,17,12
68,1,4:20.0,,K. Oubre makes 2-pt hook shot from 4 ft (assist by J. Jackson),17,14
69,1,4:03.0,Turnover by J. Harden (bad pass; steal by M. Bridges),,17,14
70,1,3:59.0,,D. Booker makes 2-pt layup from 1 ft (assist by M. Bridges),17,16
71,1,3:43.0,A. Rivers makes 2-pt jump shot from 8 ft,,19,16
72,1,3:25.0,,D. Booker misses 2-pt layup from 2 ft,19,16
73,1,3:23.0,Defensive rebound by G. Green,,19,16
74,1,3:18.0,J. Harden makes 2-pt layup from 3 ft,,21,16
75,1,3:04.0,,D. Ayton makes 2-pt layup from 8 ft,21,18
76,1,3:04.0,,Shooting foul by N. Hilário (drawn by D. Ayton),21,18
77,1,3:04.0,,D. Ayton makes free throw 1 of 1,21,19
78,1,2:54.0,G. Green makes 2-pt jump shot from 15 ft (assist by J. Harden),,23,19
79,1,2:30.0,,J. Jackson misses 2-pt layup from 2 ft,23,19
80,1,2:27.0,Defensive rebound by J. Harden,,23,19
81,1,2:24.0,G. Green misses 3-pt jump shot from 25 ft,,23,19
82,1,2:20.0,,Defensive rebound by D. Ayton,23,19
83,1,2:10.0,,K. Oubre makes 2-pt layup from 2 ft,23,21
84,1,1:57.0,Shooting foul by K. Oubre (drawn by J. Harden),,23,21
85,1,1:57.0,Houston full timeout,,23,21
