,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),0,3
1,1,11:17.0,T. Warren misses 3-pt jump shot from 26 ft,,0,3
2,1,11:14.0,,Defensive rebound by B. Forbes,0,3
3,1,11:09.0,,R. Gay misses 3-pt jump shot from 28 ft,0,3
4,1,11:06.0,Defensive rebound by J. Jackson,,0,3
5,1,11:00.0,Personal foul by R. Gay (drawn by J. Jackson),,0,3
6,1,10:49.0,D. Ayton misses 2-pt jump shot from 17 ft,,0,3
7,1,10:46.0,,Defensive rebound by B. Forbes,0,3
8,1,10:35.0,,L. Aldridge misses 2-pt jump shot from 21 ft,0,3
9,1,10:32.0,Defensive rebound by D. Melton,,0,3
10,1,10:18.0,D. Melton makes 3-pt jump shot from 25 ft (assist by D. Ayton),,3,3
11,1,10:10.0,,Personal foul by M. Bridges (drawn by D. DeRozan),3,3
12,1,9:52.0,,R. Gay makes 2-pt layup from 8 ft (assist by D. White),3,5
13,1,9:42.0,M. Bridges misses 3-pt jump shot from 26 ft,,3,5
14,1,9:39.0,,Defensive rebound by D. DeRozan,3,5
15,1,9:33.0,,Personal foul by D. Ayton (drawn by L. Aldridge),3,5
16,1,9:24.0,,D. DeRozan makes 2-pt layup from 7 ft,3,7
17,1,9:12.0,J. Jackson misses 2-pt jump shot from 9 ft,,3,7
18,1,9:10.0,Offensive rebound by D. Ayton,,3,7
19,1,9:09.0,D. Ayton misses 2-pt layup at rim,,3,7
20,1,9:07.0,,Defensive rebound by L. Aldridge,3,7
21,1,9:00.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),3,10
22,1,9:00.0,Phoenix full timeout,,3,10
23,1,8:46.0,D. Melton makes 3-pt jump shot from 25 ft (assist by T. Warren),,6,10
24,1,8:36.0,,Turnover by L. Aldridge (bad pass; steal by J. Jackson),6,10
25,1,8:23.0,Turnover by J. Jackson (lost ball; steal by D. White),,6,10
26,1,8:19.0,,Shooting foul by D. Melton (drawn by B. Forbes),6,10
27,1,8:19.0,,B. Forbes makes free throw 1 of 3,6,11
28,1,8:19.0,,B. Forbes makes free throw 2 of 3,6,12
29,1,8:19.0,,B. Forbes makes free throw 3 of 3,6,13
30,1,8:06.0,T. Warren makes 3-pt jump shot from 22 ft (assist by D. Melton),,9,13
31,1,7:49.0,,B. Forbes makes 2-pt jump shot from 3 ft (assist by D. DeRozan),9,15
32,1,7:33.0,Turnover by M. Bridges (bad pass),,9,15
33,1,7:25.0,,Personal foul by T. Warren (drawn by L. Aldridge),9,15
34,1,7:17.0,,D. White misses 2-pt jump shot from 21 ft,9,15
35,1,7:14.0,Defensive rebound by D. Ayton,,9,15
36,1,7:07.0,M. Bridges misses 2-pt jump shot from 11 ft,,9,15
37,1,7:03.0,,Defensive rebound by D. DeRozan,9,15
38,1,6:54.0,,D. White misses 3-pt jump shot from 26 ft,9,15
39,1,6:51.0,Defensive rebound by D. Melton,,9,15
40,1,6:41.0,T. Warren makes 2-pt jump shot from 14 ft (assist by D. Ayton),,11,15
41,1,6:24.0,,Turnover by L. Aldridge (bad pass),11,15
42,1,6:24.0,J. Evans enters the game for D. Melton,,11,15
43,1,6:24.0,,P. Mills enters the game for D. White,11,15
44,1,6:09.0,J. Evans misses 2-pt jump shot from 9 ft,,11,15
45,1,6:05.0,Offensive rebound by D. Ayton,,11,15
46,1,6:00.0,J. Jackson misses 2-pt layup from 6 ft (block by R. Gay),,11,15
47,1,6:00.0,,Defensive rebound by R. Gay,11,15
48,1,5:46.0,,R. Gay makes 2-pt layup from 2 ft,11,17
49,1,5:44.0,Personal foul by R. Gay (drawn by T. Warren),,11,17
50,1,5:44.0,,M. Belinelli enters the game for B. Forbes,11,17
51,1,5:33.0,T. Warren makes 2-pt jump shot from 17 ft,,13,17
52,1,5:13.0,,L. Aldridge misses 2-pt hook shot from 7 ft,13,17
53,1,5:09.0,Defensive rebound by D. Ayton,,13,17
54,1,4:59.0,T. Warren makes 2-pt jump shot from 8 ft,,15,17
55,1,4:58.0,,San Antonio full timeout,15,17
56,1,4:58.0,T. Daniels enters the game for T. Warren,,15,17
57,1,4:58.0,,D. Cunningham enters the game for R. Gay,15,17
58,1,4:45.0,,L. Aldridge misses 2-pt jump shot from 22 ft,15,17
59,1,4:42.0,Defensive rebound by D. Ayton,,15,17
60,1,4:30.0,J. Jackson misses 2-pt jump shot from 6 ft,,15,17
61,1,4:27.0,,Defensive rebound by L. Aldridge,15,17
62,1,4:18.0,,L. Aldridge makes 2-pt layup from 9 ft,15,19
63,1,4:01.0,D. Ayton makes 2-pt jump shot from 17 ft,,17,19
64,1,3:44.0,,D. DeRozan misses 2-pt jump shot from 11 ft,17,19
65,1,3:40.0,Defensive rebound by M. Bridges,,17,19
66,1,3:34.0,J. Jackson misses 2-pt hook shot from 7 ft,,17,19
67,1,3:29.0,,Defensive rebound by D. Cunningham,17,19
68,1,3:25.0,,L. Aldridge misses 2-pt layup from 5 ft,17,19
69,1,3:25.0,,Offensive rebound by L. Aldridge,17,19
70,1,3:14.0,,M. Belinelli misses 2-pt layup from 6 ft,17,19
71,1,3:14.0,Defensive rebound by Team,,17,19
72,1,3:14.0,R. Holmes enters the game for D. Ayton,,17,19
73,1,3:14.0,,J. Poeltl enters the game for L. Aldridge,17,19
74,1,3:02.0,J. Evans misses 2-pt jump shot from 17 ft,,17,19
75,1,2:59.0,,Defensive rebound by D. Cunningham,17,19
76,1,2:48.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by D. DeRozan),17,22
77,1,2:33.0,Turnover by J. Jackson (offensive foul),,17,22
78,1,2:33.0,Offensive foul by J. Jackson (drawn by J. Poeltl),,17,22
79,1,2:33.0,,B. Forbes enters the game for D. DeRozan,17,22
80,1,2:12.0,,B. Forbes misses 2-pt layup from 4 ft,17,22
81,1,2:09.0,,Offensive rebound by J. Poeltl,17,22
82,1,2:08.0,,Turnover by J. Poeltl (back court),17,22
83,1,1:54.0,R. Holmes misses 2-pt jump shot from 7 ft,,17,22
84,1,1:51.0,,Defensive rebound by B. Forbes,17,22
85,1,1:47.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by B. Forbes),17,25
86,1,1:27.0,J. Jackson misses 2-pt jump shot from 6 ft,,17,25
87,1,1:24.0,,Defensive rebound by J. Poeltl,17,25
88,1,1:07.0,,Turnover by P. Mills (out of bounds lost ball),17,25
89,1,0:46.0,Shooting foul by J. Poeltl (drawn by R. Holmes),,17,25
90,1,0:46.0,R. Holmes makes free throw 1 of 2,,18,25
91,1,0:46.0,R. Holmes misses free throw 2 of 2,,18,25
92,1,0:44.0,,Defensive rebound by J. Poeltl,18,25
93,1,0:36.0,,M. Belinelli makes 2-pt layup from 4 ft (assist by P. Mills),18,27
94,1,0:22.0,Turnover by T. Daniels (offensive foul),,18,27
95,1,0:22.0,Offensive foul by T. Daniels (drawn by B. Forbes),,18,27
96,1,0:06.0,,J. Poeltl makes 2-pt layup from 6 ft (assist by P. Mills),18,29
97,1,0:00.0,R. Holmes makes 2-pt layup from 5 ft (assist by J. Evans),,20,29
98,2,11:38.0,T. Daniels misses 3-pt jump shot from 25 ft,,20,29
99,2,11:35.0,Offensive rebound by Team,,20,29
100,2,11:27.0,Turnover by D. Melton (bad pass),,20,29
101,2,11:06.0,,B. Forbes misses 2-pt jump shot from 8 ft (block by R. Holmes),20,29
102,2,11:06.0,,Offensive rebound by Team,20,29
103,2,11:04.0,,M. Belinelli misses 2-pt jump shot from 16 ft,20,29
104,2,11:00.0,Defensive rebound by R. Holmes,,20,29
105,2,10:44.0,J. Evans makes 2-pt jump shot from 18 ft (assist by D. Melton),,22,29
106,2,10:24.0,,D. Cunningham makes 2-pt jump shot from 10 ft,22,31
107,2,10:12.0,Offensive foul by D. Bender (drawn by M. Belinelli),,22,31
108,2,10:12.0,Turnover by D. Bender (offensive foul),,22,31
109,2,10:12.0,,D. White enters the game for P. Mills,22,31
110,2,10:04.0,,Personal foul by T. Daniels (drawn by M. Belinelli),22,31
111,2,9:55.0,,D. Cunningham misses 2-pt jump shot from 7 ft,22,31
112,2,9:49.0,,Offensive rebound by J. Poeltl,22,31
113,2,9:49.0,,J. Poeltl misses 2-pt layup from 1 ft,22,31
114,2,9:48.0,,Offensive rebound by J. Poeltl,22,31
115,2,9:46.0,,M. Belinelli misses 3-pt jump shot from 26 ft,22,31
116,2,9:43.0,Defensive rebound by D. Melton,,22,31
117,2,9:42.0,Turnover by D. Melton (out of bounds lost ball),,22,31
118,2,9:42.0,,R. Gay enters the game for M. Belinelli,22,31
119,2,9:21.0,,B. Forbes misses 2-pt jump shot from 10 ft,22,31
120,2,9:17.0,Defensive rebound by J. Evans,,22,31
121,2,9:03.0,D. Melton misses 2-pt jump shot from 9 ft,,22,31
122,2,9:01.0,,Defensive rebound by J. Poeltl,22,31
123,2,8:53.0,,Turnover by R. Gay (lost ball; steal by J. Evans),22,31
124,2,8:49.0,Turnover by D. Melton (bad pass; steal by D. White),,22,31
125,2,8:45.0,,Turnover by D. White (bad pass),22,31
126,2,8:45.0,M. Bridges enters the game for J. Evans,,22,31
127,2,8:34.0,D. Bender makes 2-pt layup from 2 ft (assist by R. Holmes),,24,31
128,2,8:33.0,,San Antonio full timeout,24,31
129,2,8:33.0,,L. Aldridge enters the game for B. Forbes,24,31
130,2,8:33.0,,D. DeRozan enters the game for J. Poeltl,24,31
131,2,8:15.0,,Personal foul by T. Daniels (drawn by L. Aldridge),24,31
132,2,8:10.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),24,33
133,2,7:55.0,Shooting foul by D. White (drawn by T. Daniels),,24,33
134,2,7:55.0,T. Daniels makes free throw 1 of 3,,25,33
135,2,7:55.0,T. Daniels misses free throw 2 of 3,,25,33
136,2,7:55.0,Offensive rebound by Team,,25,33
137,2,7:55.0,T. Daniels makes free throw 3 of 3,,26,33
138,2,7:37.0,,L. Aldridge makes 2-pt jump shot from 12 ft,26,35
139,2,7:37.0,,Shooting foul by D. Bender (drawn by L. Aldridge),26,35
140,2,7:37.0,,L. Aldridge misses free throw 1 of 1,26,35
141,2,7:36.0,Defensive rebound by D. Bender,,26,35
142,2,7:22.0,M. Bridges misses 3-pt jump shot from 26 ft,,26,35
143,2,7:17.0,,Defensive rebound by R. Gay,26,35
144,2,7:08.0,,L. Aldridge makes 2-pt jump shot from 10 ft (assist by D. White),26,37
145,2,6:54.0,D. Melton makes 3-pt jump shot from 27 ft (assist by R. Holmes),,29,37
146,2,6:33.0,,D. Cunningham makes 3-pt jump shot from 25 ft (assist by R. Gay),29,40
147,2,6:21.0,R. Holmes makes 2-pt jump shot from 7 ft (assist by D. Melton),,31,40
148,2,6:21.0,Shooting foul by L. Aldridge (drawn by R. Holmes),,31,40
149,2,6:21.0,,M. Belinelli enters the game for D. Cunningham,31,40
150,2,6:21.0,R. Holmes makes free throw 1 of 1,,32,40
151,2,6:10.0,,Personal foul by R. Holmes (drawn by L. Aldridge),32,40
152,2,6:10.0,G. King enters the game for D. Bender,,32,40
153,2,6:10.0,T. Warren enters the game for T. Daniels,,32,40
154,2,6:10.0,,P. Mills enters the game for D. White,32,40
155,2,6:02.0,,L. Aldridge misses 2-pt jump shot from 7 ft,32,40
156,2,5:56.0,Defensive rebound by G. King,,32,40
157,2,5:49.0,D. Melton misses 2-pt layup from 3 ft (block by L. Aldridge),,32,40
158,2,5:45.0,,Defensive rebound by L. Aldridge,32,40
159,2,5:39.0,,Shooting foul by M. Bridges (drawn by D. DeRozan),32,40
160,2,5:39.0,,D. DeRozan makes free throw 1 of 2,32,41
161,2,5:39.0,,D. DeRozan misses free throw 2 of 2,32,41
162,2,5:34.0,Defensive rebound by T. Warren,,32,41
163,2,5:15.0,T. Warren misses 3-pt jump shot from 26 ft,,32,41
164,2,5:15.0,Offensive rebound by M. Bridges,,32,41
165,2,5:07.0,M. Bridges makes 2-pt layup at rim,,34,41
166,2,5:04.0,,Personal foul by M. Bridges (drawn by P. Mills),34,41
167,2,5:04.0,,P. Mills makes free throw 1 of 2,34,42
168,2,5:04.0,,P. Mills makes free throw 2 of 2,34,43
169,2,5:00.0,Phoenix full timeout,,34,43
170,2,5:00.0,D. Ayton enters the game for M. Bridges,,34,43
171,2,5:00.0,J. Evans enters the game for R. Holmes,,34,43
172,2,5:00.0,J. Jackson enters the game for D. Melton,,34,43
173,2,4:53.0,J. Evans makes 2-pt layup from 8 ft,,36,43
174,2,4:41.0,,D. DeRozan misses 2-pt jump shot from 10 ft,36,43
175,2,4:40.0,,Offensive rebound by Team,36,43
176,2,4:29.0,,L. Aldridge misses 2-pt jump shot from 14 ft,36,43
177,2,4:25.0,Defensive rebound by T. Warren,,36,43
178,2,4:22.0,Shooting foul by D. DeRozan (drawn by T. Warren),,36,43
