,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:54.0,,T. Ariza makes 2-pt layup from 1 ft,0,2
1,1,11:38.0,D. Dedmon misses 2-pt dunk from 3 ft (block by T. Bryant),,0,2
2,1,11:37.0,,Defensive rebound by Team,0,2
3,1,11:14.0,,T. Satoranský makes 2-pt jump shot from 6 ft (assist by B. Beal),0,4
4,1,11:00.0,Personal foul by T. Satoranský (drawn by K. Huerter),,0,4
5,1,10:56.0,,Violation by Team (kicked ball),0,4
6,1,10:45.0,T. Young misses 2-pt jump shot from 5 ft,,0,4
7,1,10:43.0,,Defensive rebound by T. Bryant,0,4
8,1,10:31.0,,O. Porter misses 2-pt jump shot from 15 ft,0,4
9,1,10:28.0,Defensive rebound by T. Young,,0,4
10,1,10:23.0,D. Dedmon misses 3-pt jump shot from 29 ft,,0,4
11,1,10:20.0,,Defensive rebound by T. Bryant,0,4
12,1,10:14.0,,Shooting foul by T. Young (drawn by T. Ariza),0,4
13,1,10:14.0,,T. Ariza misses free throw 1 of 3,0,4
14,1,10:14.0,,Offensive rebound by Team,0,4
15,1,10:14.0,,T. Ariza makes free throw 2 of 3,0,5
16,1,10:14.0,,T. Ariza makes free throw 3 of 3,0,6
17,1,10:02.0,J. Collins misses 2-pt layup from 3 ft (block by O. Porter),,0,6
18,1,10:00.0,Offensive rebound by J. Collins,,0,6
19,1,10:00.0,J. Collins makes 2-pt layup from 3 ft,,2,6
20,1,9:53.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),2,8
21,1,9:44.0,Personal foul by B. Beal (drawn by T. Young),,2,8
22,1,9:36.0,K. Huerter makes 3-pt jump shot from 26 ft,,5,8
23,1,9:19.0,,O. Porter misses 3-pt jump shot from 27 ft,5,8
24,1,9:16.0,Defensive rebound by T. Young,,5,8
25,1,9:10.0,D. Dedmon makes 2-pt layup from 3 ft (assist by T. Young),,7,8
26,1,8:58.0,,T. Ariza misses 2-pt layup from 4 ft (block by D. Dedmon),7,8
27,1,8:56.0,Defensive rebound by J. Collins,,7,8
28,1,8:51.0,T. Young misses 2-pt jump shot from 23 ft,,7,8
29,1,8:49.0,Offensive rebound by J. Collins,,7,8
30,1,8:48.0,T. Prince makes 3-pt jump shot from 26 ft (assist by J. Collins),,10,8
31,1,8:32.0,,T. Bryant misses 2-pt jump shot from 19 ft,10,8
32,1,8:28.0,Defensive rebound by J. Collins,,10,8
33,1,8:23.0,T. Prince misses 3-pt jump shot from 23 ft,,10,8
34,1,8:20.0,,Defensive rebound by O. Porter,10,8
35,1,8:12.0,,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),10,10
36,1,7:55.0,Turnover by D. Dedmon (bad pass),,10,10
37,1,7:48.0,,B. Beal misses 3-pt jump shot from 26 ft,10,10
38,1,7:47.0,,Offensive rebound by Team,10,10
39,1,7:34.0,,T. Ariza makes 2-pt layup from 2 ft,10,12
40,1,7:14.0,T. Prince makes 2-pt jump shot from 13 ft,,12,12
41,1,7:07.0,,Shooting foul by K. Huerter (drawn by T. Satoranský),12,12
42,1,7:07.0,,T. Satoranský makes free throw 1 of 2,12,13
43,1,7:07.0,,T. Satoranský makes free throw 2 of 2,12,14
44,1,6:49.0,K. Huerter misses 2-pt jump shot from 14 ft,,12,14
45,1,6:46.0,,Defensive rebound by B. Beal,12,14
46,1,6:35.0,,O. Porter misses 3-pt jump shot from 23 ft,12,14
47,1,6:35.0,Defensive rebound by T. Young,,12,14
48,1,6:24.0,T. Young makes 2-pt jump shot from 6 ft,,14,14
49,1,6:18.0,,Turnover by T. Satoranský (bad pass; steal by T. Prince),14,14
50,1,6:15.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Prince),,17,14
51,1,6:13.0,,Washington full timeout,17,14
