,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
0,1,11:38.0,,R. Lopez makes 2-pt hook shot from 7 ft,0,2
1,1,11:21.0,J. Holiday misses 3-pt jump shot from 26 ft,,0,2
2,1,11:18.0,Offensive rebound by F. Jackson,,0,2
3,1,11:10.0,J. Okafor makes 2-pt dunk from 1 ft (assist by F. Jackson),,2,2
4,1,10:52.0,,L. Markkanen misses 3-pt jump shot from 27 ft,2,2
5,1,10:52.0,,Offensive rebound by R. Lopez,2,2
6,1,10:42.0,,W. Selden makes 3-pt jump shot from 26 ft,2,5
7,1,10:20.0,F. Jackson makes 2-pt layup from 2 ft,,4,5
8,1,10:02.0,,K. Dunn makes 3-pt jump shot from 24 ft (assist by Z. LaVine),4,8
9,1,9:52.0,J. Holiday misses 3-pt jump shot from 24 ft,,4,8
10,1,9:48.0,,Defensive rebound by K. Dunn,4,8
11,1,9:39.0,,Z. LaVine makes 2-pt jump shot from 22 ft,4,10
12,1,9:34.0,New Orleans full timeout,,4,10
13,1,9:24.0,D. Miller makes 3-pt jump shot from 25 ft,,7,10
14,1,8:59.0,,L. Markkanen makes 2-pt jump shot from 17 ft (assist by K. Dunn),7,12
15,1,8:50.0,Personal foul by Z. LaVine (drawn by J. Okafor),,7,12
16,1,8:49.0,Turnover by F. Jackson (bad pass; steal by K. Dunn),,7,12
17,1,8:43.0,,K. Dunn makes 2-pt layup from 2 ft,7,14
18,1,8:29.0,K. Williams makes 3-pt jump shot from 25 ft (assist by J. Holiday),,10,14
19,1,8:05.0,,L. Markkanen misses 2-pt hook shot from 7 ft,10,14
20,1,8:01.0,Defensive rebound by K. Williams,,10,14
21,1,7:55.0,J. Holiday misses 3-pt jump shot from 23 ft,,10,14
22,1,7:54.0,,Defensive rebound by Team,10,14
23,1,7:41.0,Violation by Team (kicked ball),,10,14
