,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,L. Dončić makes 2-pt hook shot from 8 ft,,2,0
1,1,11:22.0,,A. Davis misses 2-pt jump shot from 13 ft,2,0
2,1,11:22.0,Defensive rebound by D. Finney-Smith,,2,0
3,1,11:12.0,D. Jordan misses 2-pt hook shot from 4 ft,,2,0
4,1,11:09.0,,Defensive rebound by J. Randle,2,0
5,1,11:03.0,,J. Randle makes 3-pt jump shot from 27 ft (assist by A. Davis),2,3
6,1,10:43.0,D. Finney-Smith makes 2-pt layup from 2 ft,,4,3
7,1,10:35.0,,J. Randle misses 3-pt jump shot from 26 ft,4,3
8,1,10:32.0,Defensive rebound by H. Barnes,,4,3
9,1,10:26.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Dončić),,7,3
10,1,10:10.0,,S. Hill misses 3-pt jump shot from 23 ft,7,3
11,1,10:08.0,Defensive rebound by D. Jordan,,7,3
12,1,9:57.0,Shooting foul by J. Holiday (drawn by L. Dončić),,7,3
13,1,9:57.0,L. Dončić makes free throw 1 of 2,,8,3
14,1,9:57.0,L. Dončić makes free throw 2 of 2,,9,3
15,1,9:50.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),9,5
16,1,9:40.0,,Violation by Team (kicked ball),9,5
17,1,9:33.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),,12,5
18,1,9:16.0,,A. Davis makes 2-pt jump shot from 18 ft,12,7
19,1,8:57.0,H. Barnes makes 2-pt layup from 2 ft (assist by L. Dončić),,14,7
20,1,8:45.0,,Turnover by T. Frazier (bad pass),14,7
21,1,8:33.0,Turnover by H. Barnes (out of bounds lost ball),,14,7
22,1,8:18.0,,J. Randle makes 2-pt layup from 3 ft,14,9
23,1,7:57.0,L. Dončić misses 2-pt jump shot from 16 ft,,14,9
24,1,7:53.0,,Defensive rebound by T. Frazier,14,9
25,1,7:51.0,,A. Davis makes 2-pt dunk from 1 ft (assist by T. Frazier),14,11
26,1,7:26.0,Turnover by H. Barnes (bad pass; steal by T. Frazier),,14,11
27,1,7:21.0,,J. Randle makes 2-pt layup from 2 ft (assist by T. Frazier),14,13
28,1,7:21.0,Dallas full timeout,,14,13
29,1,7:06.0,Turnover by D. Jordan (traveling),,14,13
30,1,7:03.0,,Turnover by S. Hill (bad pass; steal by W. Matthews),14,13
31,1,6:57.0,W. Matthews misses 3-pt jump shot from 25 ft,,14,13
32,1,6:55.0,,Defensive rebound by T. Frazier,14,13
33,1,6:44.0,,J. Randle makes 2-pt hook shot from 6 ft,14,15
34,1,6:33.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,17,15
35,1,6:23.0,,A. Davis makes 2-pt dunk from 1 ft (assist by T. Frazier),17,17
36,1,6:11.0,L. Dončić misses 2-pt layup from 4 ft,,17,17
37,1,6:09.0,,Defensive rebound by T. Frazier,17,17
38,1,6:03.0,,Shooting foul by D. Finney-Smith (drawn by J. Holiday),17,17
39,1,6:03.0,,J. Holiday makes free throw 1 of 2,17,18
40,1,6:03.0,D. Harris enters the game for W. Matthews,,17,18
41,1,6:03.0,,J. Holiday makes free throw 2 of 2,17,19
42,1,5:50.0,Turnover by L. Dončić (bad pass; steal by J. Holiday),,17,19
43,1,5:44.0,,T. Frazier makes 2-pt layup from 2 ft (assist by A. Davis),17,21
44,1,5:23.0,H. Barnes misses 3-pt jump shot from 26 ft,,17,21
45,1,5:23.0,,Defensive rebound by Team,17,21
46,1,5:23.0,Loose ball foul by D. Jordan (drawn by T. Frazier),,17,21
47,1,5:16.0,,A. Davis misses 2-pt jump shot from 16 ft,17,21
48,1,5:12.0,Defensive rebound by L. Dončić,,17,21
49,1,5:08.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,20,21
50,1,4:50.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),20,23
51,1,4:35.0,L. Dončić misses 3-pt jump shot from 26 ft,,20,23
52,1,4:32.0,,Defensive rebound by J. Randle,20,23
53,1,4:21.0,,Def 3 sec tech foul by Team,20,23
54,1,4:21.0,,A. Davis makes technical free throw,20,24
55,1,4:21.0,J. Barea enters the game for H. Barnes,,20,24
56,1,4:21.0,M. Kleber enters the game for L. Dončić,,20,24
57,1,4:21.0,,C. Diallo enters the game for T. Frazier,20,24
58,1,4:21.0,,E. Moore enters the game for J. Randle,20,24
59,1,4:14.0,,Personal foul by M. Kleber (drawn by J. Holiday),20,24
60,1,4:10.0,,A. Davis misses 2-pt dunk from 1 ft,20,24
61,1,4:09.0,Defensive rebound by Team,,20,24
62,1,3:53.0,M. Kleber misses 2-pt jump shot from 12 ft,,20,24
63,1,3:51.0,Offensive rebound by M. Kleber,,20,24
64,1,3:49.0,M. Kleber misses 2-pt layup from 4 ft (block by A. Davis),,20,24
65,1,3:45.0,,Defensive rebound by E. Moore,20,24
66,1,3:42.0,,Turnover by J. Holiday (bad pass; steal by J. Barea),20,24
67,1,3:37.0,J. Barea misses 2-pt jump shot from 8 ft,,20,24
68,1,3:33.0,Offensive rebound by D. Finney-Smith,,20,24
69,1,3:33.0,D. Finney-Smith misses 2-pt layup at rim,,20,24
70,1,3:33.0,Offensive rebound by Team,,20,24
71,1,3:33.0,W. Matthews enters the game for D. Finney-Smith,,20,24
72,1,3:33.0,D. Powell enters the game for D. Jordan,,20,24
73,1,3:33.0,,D. Miller enters the game for S. Hill,20,24
74,1,3:26.0,D. Harris misses 3-pt jump shot from 22 ft,,20,24
75,1,3:21.0,Offensive rebound by D. Powell,,20,24
76,1,3:18.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by W. Matthews),,23,24
77,1,3:03.0,,A. Davis makes 2-pt jump shot from 15 ft,23,26
78,1,2:48.0,M. Kleber misses 3-pt jump shot from 27 ft,,23,26
