,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:44.0,J. Brown misses 3-pt jump shot from 27 ft,,0,0
1,1,11:40.0,,Defensive rebound by B. Bogdanović,0,0
2,1,11:20.0,,M. Turner misses 2-pt jump shot from 19 ft,0,0
3,1,11:17.0,Defensive rebound by J. Brown,,0,0
4,1,11:14.0,J. Tatum misses 3-pt jump shot from 25 ft,,0,0
5,1,11:07.0,,Defensive rebound by V. Oladipo,0,0
6,1,11:06.0,,Personal foul by J. Tatum (drawn by T. Young),0,0
7,1,11:00.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),0,2
8,1,10:43.0,A. Horford misses 3-pt jump shot from 27 ft,,0,2
9,1,10:40.0,,Defensive rebound by M. Turner,0,2
10,1,10:29.0,,Shooting foul by K. Irving (drawn by B. Bogdanović),0,2
11,1,10:29.0,,B. Bogdanović makes free throw 1 of 2,0,3
12,1,10:29.0,,B. Bogdanović misses free throw 2 of 2,0,3
13,1,10:27.0,Defensive rebound by J. Tatum,,0,3
14,1,10:15.0,K. Irving misses 3-pt jump shot from 26 ft,,0,3
15,1,10:12.0,,Defensive rebound by V. Oladipo,0,3
16,1,10:08.0,,V. Oladipo misses 3-pt jump shot from 28 ft,0,3
17,1,10:05.0,Defensive rebound by J. Brown,,0,3
18,1,10:01.0,Turnover by K. Irving (lost ball; steal by B. Bogdanović),,0,3
19,1,9:56.0,,D. Collison makes 2-pt layup from 3 ft (assist by V. Oladipo),0,5
20,1,9:36.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,5
21,1,9:32.0,,Defensive rebound by T. Young,0,5
22,1,9:19.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,0,5
23,1,9:15.0,Defensive rebound by J. Tatum,,0,5
24,1,9:12.0,J. Brown misses 2-pt layup from 1 ft,,0,5
25,1,9:08.0,Offensive rebound by G. Hayward,,0,5
26,1,9:08.0,G. Hayward misses 2-pt layup from 1 ft,,0,5
27,1,9:08.0,Offensive rebound by J. Brown,,0,5
28,1,9:08.0,J. Brown misses 2-pt layup from 1 ft,,0,5
29,1,9:08.0,,Defensive rebound by M. Turner,0,5
30,1,9:03.0,,T. Young makes 2-pt dunk from 2 ft (assist by D. Collison),0,7
31,1,8:48.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,7
32,1,8:45.0,Offensive rebound by A. Horford,,0,7
33,1,8:45.0,A. Horford makes 2-pt layup from 1 ft,,2,7
34,1,8:26.0,,T. Young misses 2-pt hook shot from 2 ft,2,7
35,1,8:20.0,Defensive rebound by A. Horford,,2,7
36,1,8:16.0,J. Tatum misses 3-pt jump shot from 29 ft,,2,7
37,1,8:14.0,Offensive rebound by G. Hayward,,2,7
38,1,8:13.0,J. Brown misses 3-pt jump shot from 23 ft,,2,7
39,1,8:09.0,,Defensive rebound by T. Young,2,7
40,1,8:00.0,,Personal foul by G. Hayward (drawn by M. Turner),2,7
41,1,7:57.0,,Personal foul by K. Irving (drawn by B. Bogdanović),2,7
42,1,7:52.0,,V. Oladipo misses 2-pt jump shot from 19 ft,2,7
43,1,7:49.0,Defensive rebound by K. Irving,,2,7
44,1,7:44.0,Shooting foul by D. Collison (drawn by K. Irving),,2,7
45,1,7:44.0,K. Irving makes free throw 1 of 2,,3,7
46,1,7:44.0,K. Irving makes free throw 2 of 2,,4,7
47,1,7:28.0,,T. Young misses 2-pt hook shot from 5 ft,4,7
48,1,7:25.0,Defensive rebound by A. Horford,,4,7
49,1,7:21.0,J. Brown makes 2-pt layup from 1 ft (assist by K. Irving),,6,7
50,1,6:56.0,,T. Young misses 3-pt jump shot from 23 ft,6,7
51,1,6:53.0,Defensive rebound by K. Irving,,6,7
52,1,6:51.0,Turnover by K. Irving (bad pass; steal by B. Bogdanović),,6,7
53,1,6:44.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,6,7
54,1,6:41.0,Defensive rebound by Team,,6,7
55,1,6:41.0,,Loose ball foul by T. Young (drawn by J. Tatum),6,7
56,1,6:41.0,,Indiana full timeout,6,7
57,1,6:41.0,M. Morris enters the game for J. Brown,,6,7
58,1,6:41.0,M. Smart enters the game for G. Hayward,,6,7
59,1,6:25.0,M. Morris makes 2-pt layup from 4 ft,,8,7
60,1,6:25.0,Shooting foul by V. Oladipo (drawn by M. Morris),,8,7
61,1,6:25.0,M. Morris makes free throw 1 of 1,,9,7
62,1,6:04.0,,Turnover by V. Oladipo (out of bounds lost ball),9,7
63,1,5:44.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Morris),,12,7
64,1,5:25.0,,D. Collison makes 2-pt layup from 1 ft,12,9
65,1,5:18.0,K. Irving makes 2-pt jump shot from 13 ft,,14,9
66,1,4:58.0,,V. Oladipo misses 3-pt jump shot from 26 ft,14,9
67,1,4:58.0,,Offensive rebound by M. Turner,14,9
68,1,4:56.0,,Personal foul by M. Smart (drawn by M. Turner),14,9
69,1,4:56.0,,C. Joseph enters the game for B. Bogdanović,14,9
70,1,4:56.0,,D. Sabonis enters the game for T. Young,14,9
71,1,4:56.0,,M. Turner makes free throw 1 of 2,14,10
72,1,4:56.0,,M. Turner makes free throw 2 of 2,14,11
73,1,4:40.0,M. Morris makes 2-pt jump shot from 19 ft,,16,11
74,1,4:28.0,,D. Collison misses 3-pt jump shot from 26 ft,16,11
75,1,4:26.0,,Offensive rebound by V. Oladipo,16,11
76,1,4:22.0,,V. Oladipo misses 2-pt jump shot from 16 ft (block by J. Tatum),16,11
77,1,4:19.0,Defensive rebound by K. Irving,,16,11
78,1,4:19.0,Boston full timeout,,16,11
79,1,4:03.0,M. Morris misses 3-pt jump shot from 27 ft,,16,11
80,1,3:57.0,Offensive rebound by J. Tatum,,16,11
81,1,3:57.0,J. Tatum makes 2-pt dunk from 1 ft,,18,11
82,1,3:44.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Sabonis),18,14
83,1,3:35.0,K. Irving makes 2-pt jump shot from 12 ft,,20,14
84,1,3:18.0,,Turnover by V. Oladipo (bad pass; steal by M. Smart),20,14
85,1,3:16.0,M. Smart makes 3-pt jump shot from 26 ft,,23,14
86,1,2:50.0,,Personal foul by M. Smart (drawn by V. Oladipo),23,14
87,1,2:50.0,A. Baynes enters the game for A. Horford,,23,14
88,1,2:50.0,T. Rozier enters the game for K. Irving,,23,14
89,1,2:50.0,,T. Evans enters the game for D. Collison,23,14
90,1,2:50.0,,V. Oladipo makes free throw 1 of 2,23,15
91,1,2:50.0,,V. Oladipo makes free throw 2 of 2,23,16
92,1,2:28.0,M. Smart misses 3-pt jump shot from 28 ft,,23,16
93,1,2:24.0,,Defensive rebound by D. Sabonis,23,16
94,1,2:16.0,,M. Turner makes 2-pt layup from 2 ft (assist by T. Evans),23,18
95,1,2:13.0,M. Morris makes 3-pt jump shot from 28 ft (assist by M. Smart),,26,18
96,1,1:47.0,,Turnover by V. Oladipo (bad pass; steal by M. Smart),26,18
97,1,1:47.0,J. Brown enters the game for J. Tatum,,26,18
98,1,1:47.0,,T. Leaf enters the game for V. Oladipo,26,18
99,1,1:47.0,,D. McDermott enters the game for M. Turner,26,18
100,1,1:30.0,M. Smart misses 3-pt jump shot from 27 ft,,26,18
101,1,1:24.0,,Defensive rebound by C. Joseph,26,18
102,1,1:16.0,Violation by Team (kicked ball),,26,18
103,1,1:03.0,,D. Sabonis misses 2-pt jump shot from 22 ft,26,18
104,1,0:59.0,,Offensive rebound by T. Leaf,26,18
105,1,0:55.0,,T. Evans misses 3-pt jump shot from 26 ft,26,18
106,1,0:52.0,Defensive rebound by T. Rozier,,26,18
107,1,0:47.0,M. Morris misses 3-pt jump shot from 26 ft,,26,18
108,1,0:44.0,,Defensive rebound by T. Leaf,26,18
109,1,0:37.0,,D. McDermott misses 2-pt jump shot from 20 ft,26,18
110,1,0:34.0,Defensive rebound by J. Brown,,26,18
111,1,0:24.0,J. Brown makes 2-pt layup from 1 ft (assist by T. Rozier),,28,18
112,1,0:03.0,,Offensive foul by T. Evans (drawn by M. Smart),28,18
113,1,0:03.0,,Turnover by T. Evans (offensive foul),28,18
114,1,0:03.0,K. Irving enters the game for A. Baynes,,28,18
115,1,0:03.0,,D. Collison enters the game for D. McDermott,28,18
