,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:37.0,,Personal foul by T. Bryant (drawn by D. Collison),0,0
1,1,11:25.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,0,3
2,1,11:05.0,J. Green misses 2-pt layup from 4 ft,,0,3
3,1,11:02.0,Offensive rebound by J. Green,,0,3
4,1,11:02.0,J. Green makes 2-pt layup at rim,,2,3
5,1,10:49.0,,D. Collison makes 2-pt layup from 3 ft,2,5
6,1,10:41.0,T. Bryant misses 2-pt layup from 1 ft,,2,5
7,1,10:39.0,,Defensive rebound by M. Turner,2,5
8,1,10:32.0,,D. Collison misses 3-pt jump shot from 26 ft,2,5
9,1,10:29.0,Defensive rebound by J. Wall,,2,5
10,1,10:25.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by J. Wall),,5,5
11,1,10:11.0,,Personal foul by J. Wall (drawn by V. Oladipo),5,5
12,1,10:02.0,,T. Young misses 3-pt jump shot from 23 ft,5,5
13,1,9:59.0,Defensive rebound by B. Beal,,5,5
14,1,9:50.0,T. Bryant misses 2-pt layup from 5 ft (block by D. Collison),,5,5
15,1,9:48.0,,Defensive rebound by D. Collison,5,5
16,1,9:45.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by V. Oladipo),5,7
17,1,9:34.0,B. Beal misses 2-pt jump shot from 15 ft,,5,7
18,1,9:31.0,,Defensive rebound by M. Turner,5,7
19,1,9:20.0,,T. Young misses 2-pt layup from 1 ft,5,7
20,1,9:19.0,Defensive rebound by T. Bryant,,5,7
21,1,9:12.0,B. Beal misses 2-pt jump shot from 8 ft,,5,7
22,1,9:09.0,,Defensive rebound by M. Turner,5,7
23,1,9:03.0,,D. Collison misses 2-pt jump shot from 16 ft,5,7
24,1,9:00.0,Defensive rebound by T. Ariza,,5,7
25,1,8:46.0,Personal foul by V. Oladipo (drawn by B. Beal),,5,7
26,1,8:35.0,J. Green makes 2-pt jump shot from 21 ft (assist by B. Beal),,7,7
27,1,8:17.0,,M. Turner misses 2-pt jump shot from 19 ft,7,7
