,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
0,1,11:39.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,0,0
1,1,11:36.0,Defensive rebound by J. Bell,,0,0
2,1,11:23.0,D. Cousins misses 2-pt layup from 3 ft (block by M. Turner),,0,0
3,1,11:21.0,,Defensive rebound by T. Young,0,0
4,1,11:18.0,,E. Sumner misses 3-pt jump shot from 23 ft,0,0
5,1,11:16.0,Defensive rebound by D. Cousins,,0,0
6,1,11:08.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Cousins),,2,0
7,1,10:57.0,,T. Young misses 3-pt jump shot from 26 ft,2,0
8,1,10:54.0,Defensive rebound by D. Cousins,,2,0
9,1,10:48.0,K. Thompson misses 3-pt jump shot from 26 ft,,2,0
10,1,10:45.0,,Defensive rebound by M. Turner,2,0
11,1,10:33.0,,Shooting foul by K. Thompson (drawn by M. Turner),2,0
12,1,10:33.0,,M. Turner makes free throw 1 of 2,2,1
13,1,10:33.0,,M. Turner makes free throw 2 of 2,2,2
14,1,10:16.0,J. Bell makes 2-pt dunk from 2 ft (assist by K. Durant),,4,2
15,1,10:01.0,,Turnover by D. Collison (bad pass; steal by S. Curry),4,2
16,1,9:59.0,Offensive foul by S. Curry (drawn by D. Collison),,4,2
17,1,9:59.0,Turnover by S. Curry (offensive foul),,4,2
18,1,9:44.0,,Shooting foul by K. Durant (drawn by B. Bogdanović),4,2
19,1,9:44.0,,B. Bogdanović makes free throw 1 of 2,4,3
20,1,9:44.0,,B. Bogdanović makes free throw 2 of 2,4,4
21,1,9:32.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),,6,4
22,1,9:16.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),6,6
23,1,9:02.0,D. Cousins makes 2-pt layup from 1 ft,,8,6
24,1,8:47.0,,Turnover by B. Bogdanović (off goaltending),8,6
25,1,8:35.0,Personal foul by B. Bogdanović (drawn by S. Curry),,8,6
26,1,8:21.0,K. Durant misses 3-pt jump shot from 29 ft,,8,6
