,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
0,1,11:39.0,,C. McCollum makes 2-pt jump shot from 6 ft,0,2
1,1,11:21.0,Personal foul by C. McCollum (drawn by L. Markkanen),,0,2
2,1,11:14.0,Z. LaVine misses 2-pt layup from 1 ft,,0,2
3,1,11:11.0,Offensive rebound by W. Carter,,0,2
4,1,11:11.0,W. Carter makes 2-pt layup from 1 ft,,2,2
5,1,11:02.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),2,4
6,1,10:50.0,K. Dunn makes 2-pt jump shot from 21 ft (assist by L. Markkanen),,4,4
7,1,10:34.0,,J. Layman misses 2-pt jump shot from 12 ft,4,4
8,1,10:32.0,Defensive rebound by K. Dunn,,4,4
9,1,10:28.0,Z. LaVine misses 2-pt layup from 2 ft,,4,4
10,1,10:28.0,,Defensive rebound by J. Nurkić,4,4
11,1,10:19.0,,C. McCollum misses 3-pt jump shot from 28 ft,4,4
12,1,10:14.0,Defensive rebound by C. Hutchison,,4,4
13,1,10:08.0,K. Dunn misses 3-pt jump shot from 26 ft,,4,4
14,1,10:04.0,,Defensive rebound by D. Lillard,4,4
15,1,9:57.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),4,6
16,1,9:40.0,Turnover by K. Dunn (bad pass; steal by J. Nurkić),,4,6
17,1,9:31.0,,J. Layman misses 3-pt jump shot from 26 ft,4,6
18,1,9:28.0,,Offensive rebound by C. McCollum,4,6
19,1,9:28.0,,C. McCollum makes 2-pt jump shot from 17 ft,4,8
20,1,9:09.0,L. Markkanen misses 3-pt jump shot from 28 ft,,4,8
21,1,9:06.0,,Defensive rebound by J. Nurkić,4,8
22,1,9:00.0,,Turnover by J. Nurkić (bad pass),4,8
23,1,8:53.0,Z. LaVine makes 2-pt jump shot from 8 ft,,6,8
24,1,8:31.0,,D. Lillard makes 3-pt jump shot from 27 ft,6,11
25,1,8:15.0,C. Hutchison makes 2-pt layup from 1 ft (assist by K. Dunn),,8,11
26,1,8:01.0,,J. Layman misses 3-pt jump shot from 22 ft,8,11
27,1,7:58.0,Defensive rebound by K. Dunn,,8,11
28,1,7:51.0,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),,10,11
29,1,7:39.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),10,13
30,1,7:19.0,K. Dunn misses 2-pt jump shot from 9 ft (block by A. Aminu),,10,13
31,1,7:14.0,,Defensive rebound by J. Nurkić,10,13
32,1,7:11.0,,A. Aminu misses 2-pt layup from 2 ft,10,13
33,1,7:09.0,Defensive rebound by L. Markkanen,,10,13
34,1,6:56.0,L. Markkanen misses 2-pt hook shot from 5 ft,,10,13
35,1,6:53.0,,Defensive rebound by J. Nurkić,10,13
36,1,6:48.0,,D. Lillard misses 3-pt jump shot from 32 ft,10,13
37,1,6:45.0,Defensive rebound by L. Markkanen,,10,13
38,1,6:33.0,Turnover by Z. LaVine (traveling),,10,13
39,1,6:33.0,,Portland full timeout,10,13
40,1,6:20.0,,Offensive foul by J. Nurkić (drawn by C. Hutchison),10,13
41,1,6:20.0,,Turnover by J. Nurkić (offensive foul),10,13
42,1,6:08.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,12,13
43,1,5:53.0,,D. Lillard misses 2-pt layup from 2 ft (block by L. Markkanen),12,13
44,1,5:51.0,,Offensive rebound by J. Layman,12,13
45,1,5:48.0,,J. Nurkić misses 3-pt jump shot from 25 ft,12,13
46,1,5:46.0,Defensive rebound by K. Dunn,,12,13
47,1,5:38.0,Z. LaVine makes 3-pt jump shot from 25 ft,,15,13
48,1,5:25.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),15,15
49,1,5:13.0,W. Carter makes 2-pt layup from 2 ft (assist by Z. LaVine),,17,15
50,1,5:01.0,,C. McCollum makes 2-pt jump shot from 11 ft,17,17
51,1,4:45.0,W. Carter misses 2-pt jump shot from 8 ft,,17,17
52,1,4:43.0,,Defensive rebound by J. Layman,17,17
53,1,4:38.0,,C. McCollum misses 3-pt jump shot from 24 ft,17,17
54,1,4:35.0,Defensive rebound by W. Carter,,17,17
55,1,4:33.0,Turnover by K. Dunn (bad pass),,17,17
56,1,4:33.0,,E. Turner enters the game for J. Layman,17,17
57,1,4:17.0,,A. Aminu misses 3-pt jump shot from 26 ft,17,17
58,1,4:15.0,Defensive rebound by K. Dunn,,17,17
59,1,4:09.0,Turnover by K. Dunn (traveling),,17,17
60,1,4:09.0,,S. Curry enters the game for C. McCollum,17,17
61,1,3:54.0,,Turnover by A. Aminu (traveling),17,17
62,1,3:42.0,K. Dunn misses 2-pt jump shot from 3 ft,,17,17
63,1,3:39.0,,Defensive rebound by E. Turner,17,17
64,1,3:30.0,,E. Turner makes 2-pt jump shot from 12 ft,17,19
65,1,3:14.0,K. Dunn makes 3-pt jump shot from 26 ft (assist by W. Carter),,20,19
66,1,2:59.0,,J. Nurkić makes 2-pt jump shot from 18 ft (assist by D. Lillard),20,21
67,1,2:44.0,L. Markkanen makes 2-pt jump shot from 15 ft,,22,21
68,1,2:30.0,,E. Turner misses 2-pt jump shot from 15 ft,22,21
69,1,2:29.0,,Offensive rebound by E. Turner,22,21
70,1,2:26.0,,S. Curry misses 3-pt jump shot from 24 ft,22,21
71,1,2:23.0,Defensive rebound by Z. LaVine,,22,21
72,1,2:17.0,Turnover by Z. LaVine (bad pass),,22,21
73,1,2:17.0,Chicago full timeout,,22,21
74,1,2:17.0,R. Arcidiacono enters the game for C. Hutchison,,22,21
75,1,2:17.0,B. Portis enters the game for L. Markkanen,,22,21
76,1,2:17.0,,Z. Collins enters the game for A. Aminu,22,21
77,1,2:17.0,,M. Leonard enters the game for J. Nurkić,22,21
78,1,1:58.0,,Z. Collins makes 2-pt jump shot from 14 ft (assist by D. Lillard),22,23
79,1,1:43.0,Z. LaVine makes 2-pt layup from 1 ft,,24,23
80,1,1:22.0,,M. Leonard makes 2-pt hook shot from 14 ft (assist by E. Turner),24,25
81,1,1:03.0,Turnover by Z. LaVine (traveling),,24,25
82,1,0:54.0,,Turnover by S. Curry (bad pass; steal by K. Dunn),24,25
83,1,0:52.0,K. Dunn makes 2-pt dunk from 1 ft,,26,25
84,1,0:34.0,,D. Lillard makes 3-pt jump shot from 27 ft,26,28
85,1,0:14.0,Z. LaVine makes 3-pt jump shot from 29 ft (assist by K. Dunn),,29,28
86,1,0:02.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Lillard),29,30
87,2,11:43.0,B. Portis misses 2-pt hook shot from 5 ft,,29,30
88,2,11:42.0,Offensive rebound by Team,,29,30
89,2,11:42.0,,Loose ball foul by M. Leonard (drawn by R. Lopez),29,30
90,2,11:27.0,S. Harrison misses 2-pt jump shot from 5 ft,,29,30
91,2,11:25.0,,Defensive rebound by M. Leonard,29,30
92,2,11:14.0,,S. Curry makes 3-pt jump shot from 25 ft,29,33
93,2,10:58.0,Shooting foul by S. Curry (drawn by A. Blakeney),,29,33
94,2,10:58.0,A. Blakeney makes free throw 1 of 2,,30,33
95,2,10:58.0,A. Blakeney makes free throw 2 of 2,,31,33
96,2,10:36.0,,S. Curry makes 2-pt layup from 3 ft,31,35
97,2,10:14.0,Turnover by S. Harrison (bad pass; steal by M. Leonard),,31,35
98,2,10:07.0,,Turnover by S. Curry (bad pass; steal by R. Lopez),31,35
99,2,9:58.0,A. Blakeney makes 2-pt jump shot from 15 ft,,33,35
100,2,9:36.0,,S. Curry misses 3-pt jump shot from 24 ft,33,35
101,2,9:35.0,Defensive rebound by B. Portis,,33,35
102,2,9:27.0,A. Blakeney misses 2-pt jump shot from 15 ft,,33,35
103,2,9:24.0,,Defensive rebound by Z. Collins,33,35
104,2,9:17.0,,Personal foul by S. Harrison (drawn by E. Turner),33,35
105,2,9:05.0,,N. Stauskas makes 3-pt jump shot from 23 ft (assist by M. Leonard),33,38
106,2,8:51.0,B. Portis misses 3-pt jump shot from 25 ft,,33,38
107,2,8:49.0,,Defensive rebound by N. Stauskas,33,38
