,QUARTER,TIME_REMAINING,DALLAS_ACTION,BROOKLYN_ACTION,DALLAS_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,R. Kurucs makes 2-pt dunk from 1 ft (assist by D. Russell),0,2
1,1,11:26.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,0,2
2,1,11:23.0,,Defensive rebound by D. Russell,0,2
3,1,11:17.0,,J. Harris makes 2-pt jump shot from 18 ft (assist by D. Russell),0,4
4,1,11:02.0,D. Powell makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,3,4
5,1,10:49.0,,D. Russell misses 3-pt jump shot from 25 ft,3,4
6,1,10:44.0,Defensive rebound by D. Powell,,3,4
7,1,10:28.0,Turnover by J. Brunson (bad pass; steal by J. Allen),,3,4
8,1,10:23.0,,Offensive foul by D. Russell (drawn by T. Hardaway),3,4
9,1,10:23.0,,Turnover by D. Russell (offensive foul),3,4
10,1,10:10.0,J. Brunson makes 2-pt jump shot from 15 ft (assist by D. Powell),,5,4
11,1,9:57.0,,Offensive foul by R. Kurucs (drawn by J. Brunson),5,4
12,1,9:57.0,,Turnover by R. Kurucs (offensive foul),5,4
13,1,9:46.0,L. Dončić misses 3-pt jump shot from 25 ft,,5,4
14,1,9:43.0,,Defensive rebound by R. Kurucs,5,4
15,1,9:40.0,,R. Kurucs misses 2-pt layup from 1 ft,5,4
16,1,9:39.0,Defensive rebound by T. Hardaway,,5,4
17,1,9:32.0,J. Brunson makes 2-pt layup from 2 ft (assist by T. Hardaway),,7,4
18,1,9:25.0,,Brooklyn full timeout,7,4
19,1,9:25.0,D. Finney-Smith enters the game for L. Dončić,,7,4
20,1,9:16.0,,R. Kurucs misses 3-pt jump shot from 26 ft,7,4
21,1,9:11.0,Defensive rebound by J. Brunson,,7,4
22,1,8:59.0,T. Hardaway misses 2-pt dunk from 1 ft (block by R. Kurucs),,7,4
23,1,8:57.0,,Defensive rebound by Team,7,4
24,1,8:42.0,,J. Harris misses 3-pt jump shot from 25 ft,7,4
25,1,8:36.0,Defensive rebound by D. Finney-Smith,,7,4
26,1,8:31.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,7,4
27,1,8:27.0,,Defensive rebound by J. Allen,7,4
28,1,8:26.0,,Personal foul by T. Hardaway (drawn by J. Allen),7,4
29,1,8:18.0,,D. Russell makes 3-pt jump shot from 25 ft,7,7
30,1,8:05.0,Personal foul by A. Crabbe (drawn by T. Hardaway),,7,7
31,1,7:58.0,T. Hardaway makes 2-pt jump shot from 19 ft (assist by D. Powell),,9,7
32,1,7:48.0,,D. Russell misses 3-pt jump shot from 26 ft,9,7
33,1,7:45.0,Defensive rebound by D. Nowitzki,,9,7
34,1,7:38.0,Shooting foul by J. Harris (drawn by D. Powell),,9,7
35,1,7:38.0,D. Powell misses free throw 1 of 2,,9,7
36,1,7:38.0,Offensive rebound by Team,,9,7
37,1,7:38.0,L. Dončić enters the game for D. Nowitzki,,9,7
38,1,7:38.0,D. Powell makes free throw 2 of 2,,10,7
39,1,7:20.0,,D. Russell makes 2-pt jump shot from 12 ft,10,9
40,1,7:03.0,L. Dončić misses 2-pt jump shot from 11 ft,,10,9
41,1,6:59.0,,Defensive rebound by A. Crabbe,10,9
42,1,6:55.0,,Turnover by D. Russell (bad pass; steal by L. Dončić),10,9
43,1,6:55.0,,D. Carroll enters the game for R. Kurucs,10,9
44,1,6:46.0,Offensive foul by T. Hardaway (drawn by J. Harris),,10,9
45,1,6:46.0,Turnover by T. Hardaway (offensive foul),,10,9
46,1,6:36.0,,Personal foul by D. Powell (drawn by J. Harris),10,9
47,1,6:36.0,C. Lee enters the game for T. Hardaway,,10,9
48,1,6:23.0,,J. Allen makes 2-pt dunk from 1 ft (assist by D. Carroll),10,11
