,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
0,1,11:42.0,,M. Morris misses 2-pt jump shot from 13 ft,0,0
1,1,11:40.0,Defensive rebound by I. Zubac,,0,0
2,1,11:30.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Smart),,0,0
3,1,11:23.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),0,3
4,1,11:07.0,Turnover by D. Gallinari (bad pass),,0,3
5,1,11:00.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),0,5
6,1,10:43.0,Turnover by P. Beverley (traveling),,0,5
7,1,10:35.0,,Personal foul by D. Gallinari (drawn by J. Tatum),0,5
8,1,10:30.0,,A. Horford misses 2-pt jump shot from 20 ft,0,5
9,1,10:28.0,Defensive rebound by D. Gallinari,,0,5
10,1,10:12.0,D. Gallinari misses 2-pt layup from 7 ft (block by A. Horford),,0,5
11,1,10:10.0,,Defensive rebound by K. Irving,0,5
12,1,10:06.0,,Shooting foul by I. Zubac (drawn by M. Morris),0,5
13,1,10:06.0,,M. Morris makes free throw 1 of 2,0,6
14,1,10:06.0,,M. Morris makes free throw 2 of 2,0,7
15,1,9:54.0,D. Gallinari misses 3-pt jump shot from 27 ft,,0,7
16,1,9:52.0,,Defensive rebound by M. Morris,0,7
17,1,9:43.0,,K. Irving makes 2-pt jump shot from 12 ft,0,9
18,1,9:27.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,,0,9
19,1,9:27.0,Offensive rebound by I. Zubac,,0,9
20,1,9:27.0,I. Zubac makes 2-pt layup from 3 ft,,2,9
21,1,9:25.0,Personal foul by A. Horford (drawn by I. Zubac),,2,9
22,1,9:25.0,I. Zubac makes free throw 1 of 1,,3,9
23,1,9:17.0,,Def 3 sec tech foul by Team,3,9
24,1,9:17.0,,K. Irving makes technical free throw,3,10
25,1,9:10.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),3,12
