,QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
0,1,11:47.0,,K. Leonard makes 2-pt jump shot from 9 ft,0,2
1,1,11:31.0,Turnover by A. Gordon (lost ball; steal by K. Lowry),,0,2
2,1,11:17.0,,Turnover by K. Lowry (bad pass; steal by A. Gordon),0,2
3,1,11:08.0,D. Augustin makes 2-pt jump shot from 13 ft,,2,2
4,1,10:55.0,,P. Siakam makes 2-pt layup from 3 ft (assist by K. Leonard),2,4
5,1,10:44.0,N. Vučević misses 3-pt jump shot from 26 ft,,2,4
6,1,10:41.0,,Defensive rebound by M. Gasol,2,4
7,1,10:37.0,,D. Green misses 3-pt jump shot from 26 ft,2,4
8,1,10:35.0,Defensive rebound by N. Vučević,,2,4
9,1,10:30.0,Personal foul by K. Lowry (drawn by D. Augustin),,2,4
10,1,10:22.0,A. Gordon misses 2-pt jump shot from 11 ft,,2,4
11,1,10:19.0,,Defensive rebound by K. Lowry,2,4
12,1,10:16.0,,Personal foul by D. Augustin (drawn by K. Lowry),2,4
13,1,10:10.0,,K. Leonard makes 2-pt jump shot from 17 ft,2,6
14,1,9:53.0,E. Fournier makes 2-pt jump shot from 16 ft (assist by N. Vučević),,4,6
15,1,9:43.0,,M. Gasol misses 3-pt jump shot from 26 ft,4,6
16,1,9:40.0,Defensive rebound by A. Gordon,,4,6
17,1,9:33.0,D. Augustin misses 2-pt jump shot from 1 ft,,4,6
18,1,9:30.0,,Defensive rebound by K. Leonard,4,6
19,1,9:27.0,,D. Green misses 3-pt jump shot from 23 ft,4,6
20,1,9:27.0,,Offensive rebound by Team,4,6
21,1,9:13.0,,P. Siakam misses 2-pt jump shot from 2 ft (block by J. Isaac),4,6
22,1,9:10.0,Defensive rebound by A. Gordon,,4,6
23,1,9:08.0,Shooting foul by D. Green (drawn by A. Gordon),,4,6
24,1,9:08.0,A. Gordon makes free throw 1 of 2,,5,6
25,1,9:08.0,A. Gordon makes free throw 2 of 2,,6,6
26,1,8:47.0,,K. Leonard makes 3-pt jump shot from 26 ft,6,9
27,1,8:34.0,E. Fournier misses 2-pt jump shot from 2 ft,,6,9
28,1,8:34.0,,Defensive rebound by D. Green,6,9
29,1,8:34.0,,Personal foul by E. Fournier (drawn by D. Green),6,9
30,1,8:19.0,,M. Gasol makes 2-pt jump shot from 4 ft (assist by K. Lowry),6,11
31,1,7:57.0,J. Isaac makes 2-pt layup from 2 ft (assist by D. Augustin),,8,11
32,1,7:50.0,,K. Lowry misses 3-pt jump shot from 25 ft,8,11
33,1,7:49.0,Defensive rebound by Team,,8,11
34,1,7:34.0,E. Fournier misses 2-pt jump shot from 2 ft,,8,11
35,1,7:34.0,,Defensive rebound by Team,8,11
36,1,7:17.0,,P. Siakam misses 3-pt jump shot from 24 ft,8,11
37,1,7:14.0,Defensive rebound by J. Isaac,,8,11
38,1,7:06.0,N. Vučević misses 2-pt hook shot from 3 ft,,8,11
39,1,7:04.0,,Defensive rebound by M. Gasol,8,11
40,1,6:52.0,,Personal foul by J. Isaac (drawn by K. Leonard),8,11
41,1,6:52.0,,Toronto full timeout,8,11
42,1,6:49.0,,Personal foul by A. Gordon (drawn by K. Leonard),8,11
43,1,6:43.0,,K. Lowry misses 3-pt jump shot from 26 ft,8,11
44,1,6:40.0,Defensive rebound by J. Isaac,,8,11
45,1,6:34.0,D. Augustin makes 2-pt hook shot from 6 ft,,10,11
46,1,6:20.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by P. Siakam),10,13
47,1,5:51.0,N. Vučević misses 2-pt hook shot from 2 ft,,10,13
48,1,5:49.0,,Defensive rebound by P. Siakam,10,13
49,1,5:39.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by M. Gasol),10,15
50,1,5:22.0,D. Augustin makes 2-pt layup from 1 ft,,12,15
51,1,5:22.0,,Violation by Team (def goaltending),12,15
52,1,5:12.0,,P. Siakam makes 2-pt hook shot from 2 ft,12,17
53,1,5:12.0,W. Iwundu enters the game for E. Fournier,,12,17
54,1,5:12.0,T. Ross enters the game for J. Isaac,,12,17
55,1,5:12.0,,F. VanVleet enters the game for K. Lowry,12,17
56,1,4:44.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by T. Ross),,15,17
57,1,4:44.0,,S. Ibaka enters the game for P. Siakam,15,17
58,1,4:17.0,,S. Ibaka misses 2-pt hook shot from 4 ft,15,17
59,1,4:15.0,Defensive rebound by A. Gordon,,15,17
60,1,4:12.0,Shooting foul by D. Green (drawn by T. Ross),,15,17
61,1,4:12.0,T. Ross makes free throw 1 of 3,,16,17
62,1,4:12.0,T. Ross makes free throw 2 of 3,,17,17
63,1,4:12.0,M. Carter-Williams enters the game for D. Augustin,,17,17
64,1,4:12.0,,N. Powell enters the game for D. Green,17,17
65,1,4:12.0,T. Ross makes free throw 3 of 3,,18,17
66,1,3:52.0,,Shooting foul by W. Iwundu (drawn by K. Leonard),18,17
67,1,3:52.0,,K. Leonard makes free throw 1 of 2,18,18
68,1,3:52.0,,K. Leonard makes free throw 2 of 2,18,19
69,1,3:36.0,W. Iwundu misses 3-pt jump shot from 23 ft,,18,19
70,1,3:34.0,,Defensive rebound by M. Gasol,18,19
71,1,3:15.0,,M. Gasol misses 2-pt jump shot from 12 ft,18,19
72,1,3:12.0,Defensive rebound by T. Ross,,18,19
73,1,3:05.0,T. Ross misses 2-pt layup from 2 ft,,18,19
74,1,3:03.0,,Defensive rebound by K. Leonard,18,19
75,1,2:49.0,,Turnover by S. Ibaka (lost ball; steal by T. Ross),18,19
76,1,2:46.0,Offensive foul by W. Iwundu (drawn by M. Gasol),,18,19
77,1,2:46.0,Turnover by W. Iwundu (offensive foul),,18,19
78,1,2:46.0,Orlando full timeout,,18,19
79,1,2:46.0,K. Birch enters the game for A. Gordon,,18,19
80,1,2:46.0,J. Isaac enters the game for N. Vučević,,18,19
81,1,2:46.0,,J. Meeks enters the game for M. Gasol,18,19
82,1,2:46.0,,P. Siakam enters the game for K. Leonard,18,19
83,1,2:29.0,,F. VanVleet makes 3-pt jump shot from 30 ft,18,22
84,1,2:11.0,K. Birch misses 2-pt hook shot from 4 ft,,18,22
85,1,2:08.0,,Defensive rebound by S. Ibaka,18,22
86,1,1:54.0,,F. VanVleet makes 3-pt jump shot from 29 ft (assist by J. Meeks),18,25
87,1,1:38.0,Shooting foul by S. Ibaka (drawn by K. Birch),,18,25
88,1,1:38.0,K. Birch makes free throw 1 of 2,,19,25
89,1,1:38.0,K. Birch makes free throw 2 of 2,,20,25
90,1,1:27.0,,J. Meeks misses 2-pt jump shot from 3 ft,20,25
91,1,1:25.0,Defensive rebound by K. Birch,,20,25
92,1,1:16.0,J. Isaac misses 3-pt jump shot from 23 ft,,20,25
93,1,1:12.0,,Defensive rebound by N. Powell,20,25
94,1,1:08.0,,J. Meeks makes 2-pt jump shot from 9 ft (assist by P. Siakam),20,27
95,1,1:08.0,,Shooting foul by W. Iwundu (drawn by J. Meeks),20,27
96,1,1:08.0,E. Fournier enters the game for W. Iwundu,,20,27
97,1,1:08.0,,J. Meeks makes free throw 1 of 1,20,28
98,1,0:54.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by K. Birch),,23,28
99,1,0:46.0,,P. Siakam makes 2-pt dunk from 2 ft,23,30
100,1,0:23.0,J. Isaac misses 2-pt jump shot from 13 ft,,23,30
101,1,0:20.0,,Defensive rebound by N. Powell,23,30
102,1,0:07.0,,Turnover by F. VanVleet (bad pass; steal by T. Ross),23,30
103,1,0:03.0,T. Ross makes 2-pt layup from 1 ft,,25,30
104,1,0:00.0,,F. VanVleet misses 3-pt jump shot from 27 ft,25,30
105,1,0:00.0,,Offensive rebound by Team,25,30
106,2,11:48.0,M. Carter-Williams misses 3-pt jump shot from 23 ft,,25,30
107,2,11:44.0,Offensive rebound by J. Isaac,,25,30
108,2,11:41.0,T. Ross misses 3-pt jump shot from 25 ft,,25,30
109,2,11:38.0,,Defensive rebound by K. Lowry,25,30
110,2,11:31.0,,S. Ibaka makes 2-pt hook shot from 9 ft (assist by K. Lowry),25,32
111,2,11:12.0,E. Fournier makes 2-pt jump shot from 21 ft,,27,32
112,2,10:50.0,,P. Siakam misses 3-pt jump shot from 23 ft,27,32
113,2,10:46.0,Defensive rebound by M. Carter-Williams,,27,32
114,2,10:41.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,27,32
115,2,10:38.0,Offensive rebound by K. Birch,,27,32
116,2,10:37.0,K. Birch misses 2-pt jump shot from 12 ft,,27,32
117,2,10:37.0,,Defensive rebound by S. Ibaka,27,32
118,2,10:32.0,,Shooting foul by K. Birch (drawn by N. Powell),27,32
119,2,10:32.0,,N. Powell makes free throw 1 of 2,27,33
120,2,10:32.0,,N. Powell makes free throw 2 of 2,27,34
121,2,10:12.0,E. Fournier misses 2-pt layup from 4 ft,,27,34
122,2,10:10.0,,Defensive rebound by P. Siakam,27,34
123,2,10:02.0,,S. Ibaka misses 2-pt jump shot from 14 ft,27,34
124,2,10:00.0,Defensive rebound by E. Fournier,,27,34
125,2,9:52.0,E. Fournier misses 2-pt jump shot from 12 ft,,27,34
126,2,9:50.0,,Defensive rebound by S. Ibaka,27,34
127,2,9:46.0,,K. Lowry misses 3-pt jump shot from 26 ft,27,34
128,2,9:43.0,Defensive rebound by T. Ross,,27,34
129,2,9:38.0,Offensive foul by T. Ross (drawn by K. Lowry),,27,34
130,2,9:38.0,Turnover by T. Ross (offensive foul),,27,34
131,2,9:38.0,,Toronto full timeout,27,34
132,2,9:14.0,,N. Powell misses 2-pt jump shot from 18 ft,27,34
133,2,9:11.0,Defensive rebound by K. Birch,,27,34
134,2,9:01.0,M. Carter-Williams makes 3-pt jump shot from 25 ft,,30,34
135,2,8:42.0,,N. Powell misses 3-pt jump shot from 23 ft,30,34
136,2,8:39.0,Defensive rebound by M. Carter-Williams,,30,34
137,2,8:25.0,M. Carter-Williams misses 2-pt jump shot from 6 ft,,30,34
138,2,8:24.0,,Defensive rebound by N. Powell,30,34
139,2,8:20.0,,F. VanVleet misses 3-pt jump shot from 25 ft,30,34
140,2,8:17.0,Defensive rebound by J. Isaac,,30,34
141,2,8:05.0,T. Ross misses 2-pt jump shot from 14 ft,,30,34
142,2,8:02.0,Offensive rebound by J. Isaac,,30,34
143,2,8:01.0,J. Isaac misses 2-pt layup from 1 ft,,30,34
144,2,8:01.0,Offensive rebound by J. Isaac,,30,34
145,2,7:58.0,J. Isaac makes 2-pt layup at rim,,32,34
146,2,7:36.0,,F. VanVleet makes 2-pt hook shot from 3 ft (assist by K. Lowry),32,36
147,2,7:26.0,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,35,36
148,2,7:09.0,,P. Siakam misses 2-pt hook shot from 3 ft,35,36
149,2,7:07.0,Defensive rebound by T. Ross,,35,36
150,2,7:04.0,Personal foul by P. Siakam (drawn by T. Ross),,35,36
151,2,7:04.0,D. Augustin enters the game for K. Birch,,35,36
152,2,7:04.0,A. Gordon enters the game for M. Carter-Williams,,35,36
153,2,7:04.0,N. Vučević enters the game for E. Fournier,,35,36
154,2,7:04.0,,M. Gasol enters the game for S. Ibaka,35,36
155,2,7:04.0,,D. Green enters the game for N. Powell,35,36
156,2,7:04.0,,K. Leonard enters the game for P. Siakam,35,36
