,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
0,1,11:43.0,Personal foul by J. Holiday (drawn by A. Gordon),,0,0
1,1,11:37.0,A. Gordon misses 2-pt hook shot from 3 ft,,0,0
2,1,11:34.0,,Defensive rebound by J. Holiday,0,0
3,1,11:28.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,0,0
4,1,11:26.0,Defensive rebound by Team,,0,0
5,1,11:11.0,N. Vučević misses 2-pt hook shot from 5 ft,,0,0
6,1,11:08.0,,Defensive rebound by J. Holiday,0,0
7,1,11:03.0,,A. Bradley misses 2-pt jump shot from 17 ft,0,0
8,1,10:58.0,Defensive rebound by E. Fournier,,0,0
9,1,10:48.0,N. Vučević misses 2-pt hook shot from 8 ft,,0,0
10,1,10:44.0,,Defensive rebound by J. Valančiūnas,0,0
11,1,10:25.0,,B. Caboclo makes 2-pt layup from 3 ft (assist by A. Bradley),0,2
12,1,10:03.0,A. Gordon misses 2-pt jump shot from 14 ft,,0,2
13,1,10:02.0,,Defensive rebound by M. Conley,0,2
14,1,9:55.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,0,2
15,1,9:51.0,Defensive rebound by A. Gordon,,0,2
16,1,9:42.0,D. Augustin misses 2-pt layup from 4 ft (block by B. Caboclo),,0,2
17,1,9:42.0,Offensive rebound by Team,,0,2
18,1,9:35.0,E. Fournier misses 2-pt jump shot from 7 ft (block by J. Valančiūnas),,0,2
19,1,9:32.0,Offensive rebound by E. Fournier,,0,2
20,1,9:31.0,Personal foul by J. Holiday (drawn by J. Isaac),,0,2
21,1,9:20.0,N. Vučević misses 3-pt jump shot from 25 ft,,0,2
22,1,9:17.0,,Defensive rebound by J. Holiday,0,2
23,1,9:08.0,,M. Conley makes 2-pt jump shot from 5 ft,0,4
24,1,8:55.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,3,4
25,1,8:38.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Valančiūnas),3,6
26,1,8:16.0,N. Vučević makes 2-pt jump shot from 10 ft,,5,6
27,1,8:01.0,,B. Caboclo misses 3-pt jump shot from 26 ft,5,6
28,1,7:58.0,,Offensive rebound by J. Valančiūnas,5,6
29,1,7:56.0,,J. Valančiūnas makes 2-pt dunk from 1 ft,5,8
30,1,7:27.0,N. Vučević misses 2-pt hook shot from 5 ft,,5,8
31,1,7:24.0,Offensive rebound by N. Vučević,,5,8
32,1,7:24.0,N. Vučević misses 2-pt layup from 3 ft,,5,8
33,1,7:23.0,,Defensive rebound by J. Valančiūnas,5,8
34,1,7:13.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by M. Conley),5,10
35,1,6:57.0,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),,7,10
36,1,6:43.0,,Shooting foul by E. Fournier (drawn by M. Conley),7,10
37,1,6:43.0,,Memphis full timeout,7,10
38,1,6:43.0,,C. Miles enters the game for J. Holiday,7,10
39,1,6:43.0,,M. Conley makes free throw 1 of 2,7,11
40,1,6:43.0,,M. Conley makes free throw 2 of 2,7,12
41,1,6:29.0,N. Vučević misses 2-pt hook shot from 8 ft,,7,12
42,1,6:26.0,,Defensive rebound by J. Valančiūnas,7,12
43,1,6:19.0,,M. Conley makes 2-pt jump shot from 16 ft,7,14
44,1,6:05.0,A. Gordon misses 2-pt jump shot from 12 ft,,7,14
45,1,6:02.0,,Defensive rebound by B. Caboclo,7,14
46,1,5:45.0,,M. Conley misses 2-pt jump shot from 9 ft,7,14
47,1,5:42.0,Defensive rebound by J. Isaac,,7,14
48,1,5:32.0,A. Gordon misses 3-pt jump shot from 23 ft,,7,14
49,1,5:31.0,Offensive rebound by N. Vučević,,7,14
50,1,5:30.0,A. Gordon misses 2-pt jump shot from 11 ft,,7,14
51,1,5:29.0,Offensive rebound by J. Isaac,,7,14
52,1,5:28.0,J. Isaac misses 2-pt layup from 2 ft,,7,14
