,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,J. Holiday misses 2-pt layup from 1 ft,0,0
1,1,11:36.0,,Offensive rebound by J. Holiday,0,0
2,1,11:34.0,,B. Caboclo makes 3-pt jump shot from 25 ft (assist by J. Holiday),0,3
3,1,11:15.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by J. Brunson),,3,3
4,1,10:51.0,,T. Dorsey misses 2-pt jump shot from 10 ft,3,3
5,1,10:48.0,Defensive rebound by D. Nowitzki,,3,3
6,1,10:41.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),,5,3
7,1,10:20.0,,Shooting foul by J. Brunson (drawn by J. Holiday),5,3
8,1,10:20.0,,J. Holiday makes free throw 1 of 2,5,4
9,1,10:20.0,,J. Holiday makes free throw 2 of 2,5,5
10,1,10:05.0,C. Lee misses 3-pt jump shot from 26 ft,,5,5
11,1,10:01.0,,Defensive rebound by I. Rabb,5,5
12,1,9:53.0,,T. Dorsey makes 3-pt jump shot from 26 ft (assist by D. Wright),5,8
13,1,9:31.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Nowitzki),,7,8
14,1,9:19.0,,J. Holiday misses 2-pt jump shot from 20 ft,7,8
15,1,9:17.0,,Offensive rebound by B. Caboclo,7,8
16,1,9:17.0,,B. Caboclo misses 2-pt layup at rim,7,8
17,1,9:17.0,Defensive rebound by D. Powell,,7,8
18,1,9:07.0,J. Brunson makes 2-pt jump shot from 10 ft,,9,8
19,1,8:51.0,,T. Dorsey misses 2-pt layup from 5 ft,9,8
20,1,8:51.0,Defensive rebound by Team,,9,8
21,1,8:38.0,D. Powell makes 2-pt layup from 3 ft (assist by J. Brunson),,11,8
22,1,8:38.0,Shooting foul by I. Rabb (drawn by D. Powell),,11,8
23,1,8:38.0,D. Powell makes free throw 1 of 1,,12,8
24,1,8:23.0,,Turnover by B. Caboclo (bad pass; steal by C. Lee),12,8
25,1,8:20.0,J. Jackson makes 2-pt layup from 1 ft (assist by C. Lee),,14,8
26,1,8:19.0,,Memphis full timeout,14,8
27,1,8:09.0,,Personal foul by C. Lee (drawn by T. Dorsey),14,8
28,1,8:02.0,,B. Caboclo misses 3-pt jump shot from 25 ft,14,8
29,1,7:58.0,Defensive rebound by D. Nowitzki,,14,8
30,1,7:47.0,J. Jackson makes 2-pt layup from 1 ft (assist by D. Powell),,16,8
31,1,7:36.0,,D. Wright misses 2-pt layup from 3 ft (block by D. Nowitzki),16,8
32,1,7:36.0,,Offensive rebound by Team,16,8
33,1,7:36.0,D. Finney-Smith enters the game for D. Nowitzki,,16,8
34,1,7:36.0,S. Mejri enters the game for D. Powell,,16,8
35,1,7:36.0,,C. Parsons enters the game for B. Caboclo,16,8
36,1,7:36.0,,T. Zeller enters the game for I. Rabb,16,8
37,1,7:20.0,,D. Wright misses 3-pt jump shot from 26 ft,16,8
38,1,7:17.0,,Offensive rebound by T. Zeller,16,8
39,1,7:16.0,,T. Zeller misses 2-pt hook shot from 3 ft,16,8
40,1,7:12.0,Defensive rebound by J. Brunson,,16,8
41,1,7:11.0,Personal foul by D. Wright (drawn by J. Brunson),,16,8
42,1,7:04.0,J. Brunson misses 2-pt jump shot from 2 ft,,16,8
43,1,7:01.0,,Defensive rebound by C. Parsons,16,8
44,1,6:57.0,,T. Dorsey makes 3-pt jump shot from 23 ft (assist by C. Parsons),16,11
45,1,6:39.0,Turnover by S. Mejri (traveling),,16,11
46,1,6:28.0,,D. Wright makes 2-pt layup from 1 ft,16,13
47,1,6:16.0,J. Jackson misses 3-pt jump shot from 26 ft,,16,13
