,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:40.0,J. Jackson makes 2-pt jump shot from 12 ft,,2,0
1,1,11:26.0,,Offensive foul by D. Jordan (drawn by D. Melton),2,0
2,1,11:26.0,,Turnover by D. Jordan (offensive foul),2,0
3,1,11:06.0,T. Warren misses 2-pt jump shot from 18 ft,,2,0
4,1,11:03.0,,Defensive rebound by L. Dončić,2,0
5,1,10:51.0,,Turnover by D. Jordan (lost ball; steal by D. Melton),2,0
6,1,10:39.0,T. Warren misses 2-pt jump shot from 11 ft (block by D. Jordan),,2,0
7,1,10:35.0,,Defensive rebound by M. Kleber,2,0
8,1,10:24.0,,D. Jordan makes 2-pt layup at rim (assist by W. Matthews),2,2
9,1,10:08.0,D. Ayton misses 2-pt jump shot from 12 ft,,2,2
10,1,10:06.0,,Defensive rebound by W. Matthews,2,2
11,1,9:58.0,,L. Dončić misses 2-pt jump shot from 6 ft (block by M. Bridges),2,2
12,1,9:56.0,,Offensive rebound by Team,2,2
13,1,9:51.0,,M. Kleber makes 3-pt jump shot from 23 ft (assist by W. Matthews),2,5
14,1,9:31.0,J. Jackson makes 3-pt jump shot from 27 ft,,5,5
15,1,9:14.0,,Turnover by M. Kleber (bad pass),5,5
16,1,8:58.0,T. Warren makes 2-pt layup from 5 ft,,7,5
17,1,8:47.0,,Shooting foul by D. Ayton (drawn by L. Dončić),7,5
18,1,8:47.0,,L. Dončić makes free throw 1 of 2,7,6
19,1,8:47.0,,L. Dončić misses free throw 2 of 2,7,6
20,1,8:44.0,Defensive rebound by D. Ayton,,7,6
21,1,8:27.0,T. Warren makes 2-pt dunk from 1 ft (assist by D. Melton),,9,6
22,1,8:06.0,,L. Dončić makes 2-pt layup from 3 ft (assist by W. Matthews),9,8
23,1,8:00.0,Personal foul by L. Dončić (drawn by D. Melton),,9,8
24,1,7:46.0,T. Warren makes 2-pt jump shot from 13 ft (assist by M. Bridges),,11,8
25,1,7:29.0,,D. Jordan misses 2-pt layup from 2 ft (block by M. Bridges),11,8
26,1,7:27.0,Defensive rebound by J. Jackson,,11,8
27,1,7:26.0,,Technical foul by D. Jordan,11,8
28,1,7:26.0,T. Warren misses technical free throw,,11,8
29,1,7:26.0,Offensive rebound by Team,,11,8
30,1,7:12.0,J. Jackson makes 2-pt jump shot from 13 ft,,13,8
31,1,7:12.0,,Dallas full timeout,13,8
32,1,6:51.0,,L. Dončić makes 3-pt jump shot from 27 ft (assist by D. Jordan),13,11
33,1,6:51.0,,Shooting foul by M. Bridges (drawn by L. Dončić),13,11
34,1,6:51.0,,L. Dončić makes free throw 1 of 1,13,12
35,1,6:31.0,J. Jackson makes 2-pt jump shot from 7 ft,,15,12
36,1,6:13.0,,Shooting foul by T. Warren (drawn by H. Barnes),15,12
37,1,6:13.0,,H. Barnes makes free throw 1 of 2,15,13
38,1,6:13.0,,J. Barea enters the game for L. Dončić,15,13
39,1,6:13.0,,H. Barnes makes free throw 2 of 2,15,14
40,1,5:59.0,D. Ayton misses 2-pt jump shot from 14 ft,,15,14
41,1,5:56.0,,Defensive rebound by M. Kleber,15,14
42,1,5:56.0,R. Holmes enters the game for D. Ayton,,15,14
43,1,5:56.0,E. Okobo enters the game for D. Melton,,15,14
44,1,5:46.0,,J. Barea makes 2-pt jump shot from 8 ft,15,16
45,1,5:33.0,E. Okobo makes 3-pt jump shot from 26 ft (assist by R. Holmes),,18,16
