,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHOENIX_ACTION,LA CLIPPERS_SCORE,PHOENIX_SCORE
0,1,11:42.0,,D. Ayton makes 2-pt jump shot from 17 ft (assist by T. Ariza),0,2
1,1,11:20.0,B. Marjanović misses 2-pt hook shot from 12 ft,,0,2
2,1,11:15.0,,Defensive rebound by D. Ayton,0,2
3,1,11:04.0,,Turnover by T. Ariza (out of bounds lost ball),0,2
4,1,10:54.0,T. Harris makes 2-pt layup from 3 ft (assist by B. Marjanović),,2,2
5,1,10:40.0,,T. Ariza misses 2-pt jump shot from 12 ft,2,2
6,1,10:37.0,Defensive rebound by B. Marjanović,,2,2
7,1,10:28.0,Turnover by T. Harris (bad pass; steal by T. Ariza),,2,2
8,1,10:20.0,,D. Melton misses 3-pt jump shot from 24 ft,2,2
9,1,10:17.0,Defensive rebound by T. Harris,,2,2
10,1,10:10.0,Turnover by T. Harris (lost ball; steal by D. Melton),,2,2
11,1,10:06.0,,D. Melton makes 2-pt dunk from 4 ft,2,4
12,1,9:50.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,4,4
13,1,9:34.0,,M. Bridges misses 2-pt jump shot from 16 ft,4,4
14,1,9:32.0,Defensive rebound by D. Gallinari,,4,4
15,1,9:22.0,B. Marjanović misses 2-pt hook shot from 6 ft,,4,4
16,1,9:19.0,,Defensive rebound by T. Warren,4,4
17,1,9:09.0,,D. Ayton makes 2-pt dunk from 3 ft (assist by D. Melton),4,6
18,1,8:47.0,Personal foul by T. Warren (drawn by D. Gallinari),,4,6
19,1,8:33.0,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,,4,6
20,1,8:31.0,Offensive rebound by B. Marjanović,,4,6
21,1,8:14.0,B. Marjanović misses 2-pt hook shot from 5 ft (block by D. Ayton),,4,6
22,1,8:08.0,,Defensive rebound by D. Ayton,4,6
23,1,8:06.0,,T. Warren makes 2-pt jump shot from 11 ft,4,8
24,1,7:49.0,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,,4,8
25,1,7:46.0,,Defensive rebound by D. Ayton,4,8
26,1,7:29.0,,T. Warren misses 3-pt jump shot from 24 ft,4,8
27,1,7:25.0,Defensive rebound by Team,,4,8
28,1,7:17.0,Personal foul by D. Melton (drawn by D. Gallinari),,4,8
29,1,7:10.0,D. Gallinari makes 2-pt jump shot from 20 ft,,6,8
30,1,6:55.0,,T. Warren misses 2-pt jump shot from 6 ft,6,8
31,1,6:52.0,Defensive rebound by B. Marjanović,,6,8
32,1,6:50.0,Shooting foul by M. Bridges (drawn by T. Harris),,6,8
33,1,6:50.0,,Phoenix full timeout,6,8
34,1,6:50.0,T. Harris makes free throw 1 of 2,,7,8
35,1,6:50.0,T. Harris makes free throw 2 of 2,,8,8
36,1,6:35.0,,Shooting foul by B. Marjanović (drawn by D. Ayton),8,8
37,1,6:35.0,,D. Ayton misses free throw 1 of 2,8,8
38,1,6:35.0,,Offensive rebound by Team,8,8
39,1,6:35.0,,J. Jackson enters the game for T. Warren,8,8
40,1,6:35.0,,D. Ayton makes free throw 2 of 2,8,9
41,1,6:18.0,A. Bradley misses 3-pt jump shot from 24 ft,,8,9
42,1,6:14.0,,Defensive rebound by T. Ariza,8,9
43,1,6:06.0,,D. Melton misses 2-pt jump shot from 11 ft,8,9
44,1,5:58.0,,Offensive rebound by D. Ayton,8,9
45,1,5:58.0,,D. Ayton makes 2-pt layup from 3 ft,8,11
46,1,5:54.0,Personal foul by D. Melton (drawn by S. Gilgeous-Alexander),,8,11
47,1,5:47.0,T. Harris misses 2-pt jump shot from 14 ft,,8,11
48,1,5:41.0,,Defensive rebound by D. Ayton,8,11
49,1,5:32.0,,D. Ayton misses 2-pt layup from 3 ft (block by B. Marjanović),8,11
50,1,5:29.0,Defensive rebound by T. Harris,,8,11
51,1,5:27.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by D. Ayton),,8,11
52,1,5:22.0,,Defensive rebound by J. Jackson,8,11
53,1,5:20.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Jackson),8,14
54,1,5:10.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by A. Bradley),,10,14
55,1,4:56.0,,M. Bridges makes 2-pt layup from 3 ft (assist by J. Jackson),10,16
56,1,4:56.0,,Shooting foul by S. Gilgeous-Alexander (drawn by M. Bridges),10,16
57,1,4:56.0,P. Beverley enters the game for D. Gallinari,,10,16
58,1,4:56.0,L. Williams enters the game for S. Gilgeous-Alexander,,10,16
59,1,4:56.0,,R. Holmes enters the game for D. Ayton,10,16
60,1,4:56.0,,E. Okobo enters the game for D. Melton,10,16
61,1,4:56.0,,M. Bridges makes free throw 1 of 1,10,17
62,1,4:46.0,A. Bradley makes 2-pt layup from 2 ft (assist by L. Williams),,12,17
63,1,4:38.0,,Personal foul by A. Bradley (drawn by E. Okobo),12,17
64,1,4:38.0,M. Harrell enters the game for B. Marjanović,,12,17
65,1,4:31.0,,R. Holmes makes 2-pt dunk from 3 ft (assist by J. Jackson),12,19
66,1,4:08.0,Turnover by M. Harrell (traveling),,12,19
67,1,3:56.0,,M. Bridges makes 3-pt jump shot from 26 ft (assist by E. Okobo),12,22
68,1,3:38.0,T. Harris makes 2-pt layup from 2 ft,,14,22
69,1,3:23.0,,T. Ariza misses 2-pt jump shot from 4 ft,14,22
70,1,3:21.0,,Offensive rebound by R. Holmes,14,22
71,1,3:21.0,,R. Holmes misses 2-pt layup from 1 ft,14,22
72,1,3:19.0,Defensive rebound by P. Beverley,,14,22
73,1,3:14.0,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Bradley),,17,22
74,1,2:54.0,,J. Jackson makes 2-pt layup from 3 ft,17,24
75,1,2:32.0,T. Harris misses 2-pt layup from 2 ft (block by R. Holmes),,17,24
76,1,2:30.0,Offensive rebound by A. Bradley,,17,24
77,1,2:26.0,A. Bradley makes 2-pt layup from 1 ft,,19,24
78,1,2:21.0,,T. Ariza misses 2-pt layup from 4 ft,19,24
79,1,2:21.0,,Offensive rebound by T. Ariza,19,24
80,1,2:20.0,,T. Ariza makes 2-pt layup at rim,19,26
81,1,2:20.0,Violation by Team (def goaltending),,19,26
82,1,2:13.0,M. Harrell misses 2-pt layup from 4 ft (block by R. Holmes),,19,26
83,1,2:06.0,,Defensive rebound by M. Bridges,19,26
84,1,2:04.0,,M. Bridges misses 3-pt jump shot from 27 ft,19,26
85,1,2:01.0,,Offensive rebound by J. Jackson,19,26
86,1,1:51.0,,E. Okobo misses 2-pt jump shot from 8 ft,19,26
87,1,1:48.0,Defensive rebound by L. Williams,,19,26
88,1,1:41.0,Shooting foul by R. Holmes (drawn by M. Harrell),,19,26
89,1,1:41.0,LA Clippers full timeout,,19,26
90,1,1:41.0,M. Scott enters the game for A. Bradley,,19,26
91,1,1:41.0,M. Teodosić enters the game for T. Harris,,19,26
92,1,1:41.0,,T. Daniels enters the game for M. Bridges,19,26
93,1,1:41.0,M. Harrell misses free throw 1 of 2,,19,26
94,1,1:41.0,Offensive rebound by Team,,19,26
95,1,1:41.0,M. Harrell misses free throw 2 of 2,,19,26
96,1,1:38.0,,Defensive rebound by T. Ariza,19,26
97,1,1:23.0,,J. Jackson misses 2-pt jump shot from 21 ft,19,26
98,1,1:20.0,Defensive rebound by L. Williams,,19,26
99,1,1:15.0,L. Williams makes 2-pt jump shot from 10 ft,,21,26
100,1,0:55.0,,T. Ariza misses 2-pt layup from 4 ft,21,26
101,1,0:54.0,,Offensive rebound by Team,21,26
102,1,0:54.0,Loose ball foul by M. Harrell (drawn by R. Holmes),,21,26
103,1,0:45.0,,T. Daniels misses 3-pt jump shot from 23 ft,21,26
104,1,0:43.0,Defensive rebound by M. Scott,,21,26
105,1,0:33.0,Turnover by M. Teodosić (bad pass; steal by R. Holmes),,21,26
106,1,0:30.0,,R. Holmes makes 2-pt layup from 2 ft (assist by E. Okobo),21,28
107,1,0:30.0,,Shooting foul by M. Harrell (drawn by R. Holmes),21,28
108,1,0:30.0,,R. Holmes makes free throw 1 of 1,21,29
109,1,0:18.0,Turnover by P. Beverley (lost ball; steal by E. Okobo),,21,29
110,1,0:04.0,,E. Okobo misses 3-pt jump shot from 28 ft,21,29
111,1,0:01.0,Defensive rebound by P. Beverley,,21,29
112,2,11:50.0,Turnover by M. Scott (bad pass; steal by T. Daniels),,21,29
113,2,11:35.0,,Turnover by E. Okobo (bad pass; steal by M. Scott),21,29
114,2,11:29.0,L. Williams makes 3-pt jump shot from 28 ft (assist by M. Scott),,24,29
115,2,11:06.0,,T. Daniels makes 2-pt jump shot from 19 ft,24,31
116,2,10:51.0,M. Teodosić misses 3-pt jump shot from 26 ft,,24,31
117,2,10:48.0,,Defensive rebound by E. Okobo,24,31
118,2,10:41.0,,Turnover by E. Okobo (bad pass),24,31
119,2,10:30.0,P. Beverley misses 2-pt layup from 3 ft,,24,31
120,2,10:28.0,,Defensive rebound by R. Holmes,24,31
121,2,10:21.0,,J. Jackson misses 2-pt layup from 3 ft,24,31
122,2,10:21.0,,Offensive rebound by R. Holmes,24,31
123,2,10:21.0,,Shooting foul by M. Scott (drawn by R. Holmes),24,31
124,2,10:21.0,,R. Holmes misses free throw 1 of 2,24,31
125,2,10:21.0,,Offensive rebound by Team,24,31
126,2,10:21.0,,R. Holmes misses free throw 2 of 2,24,31
127,2,10:20.0,Defensive rebound by M. Scott,,24,31
128,2,10:01.0,M. Teodosić makes 2-pt jump shot from 21 ft (assist by P. Beverley),,26,31
129,2,9:51.0,,Personal foul by M. Teodosić (drawn by M. Bridges),26,31
130,2,9:42.0,,J. Jackson makes 2-pt layup from 2 ft,26,33
131,2,9:26.0,M. Harrell makes 2-pt dunk from 1 ft (assist by M. Scott),,28,33
132,2,9:10.0,,R. Holmes misses 2-pt jump shot from 10 ft,28,33
133,2,9:08.0,Defensive rebound by L. Williams,,28,33
134,2,9:00.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,30,33
135,2,8:45.0,,J. Jackson misses 3-pt jump shot from 26 ft,30,33
136,2,8:42.0,Defensive rebound by P. Beverley,,30,33
137,2,8:36.0,M. Harrell makes 2-pt layup from 3 ft (assist by M. Teodosić),,32,33
138,2,8:36.0,Shooting foul by J. Jackson (drawn by M. Harrell),,32,33
139,2,8:36.0,,Phoenix full timeout,32,33
140,2,8:36.0,,D. Ayton enters the game for M. Bridges,32,33
141,2,8:36.0,,D. Melton enters the game for R. Holmes,32,33
142,2,8:36.0,,T. Warren enters the game for E. Okobo,32,33
143,2,8:36.0,M. Harrell misses free throw 1 of 1,,32,33
144,2,8:36.0,,Defensive rebound by D. Ayton,32,33
145,2,8:17.0,,D. Melton makes 2-pt layup from 2 ft (assist by D. Ayton),32,35
