,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
0,1,11:44.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by A. Wiggins),0,2
1,1,11:20.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by D. Russell),,2,2
2,1,11:04.0,,D. Rose misses 2-pt jump shot from 18 ft,2,2
3,1,11:02.0,Defensive rebound by D. Russell,,2,2
4,1,10:54.0,D. Russell misses 2-pt jump shot from 9 ft,,2,2
5,1,10:51.0,Offensive rebound by R. Hollis-Jefferson,,2,2
6,1,10:50.0,C. LeVert misses 3-pt jump shot from 26 ft,,2,2
7,1,10:48.0,,Defensive rebound by K. Towns,2,2
8,1,10:41.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),2,4
9,1,10:30.0,Shooting foul by A. Wiggins (drawn by D. Russell),,2,4
10,1,10:30.0,D. Russell makes free throw 1 of 2,,3,4
11,1,10:30.0,D. Russell makes free throw 2 of 2,,4,4
12,1,10:21.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),4,6
13,1,10:12.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Russell),,6,6
14,1,10:02.0,,J. Teague makes 2-pt layup from 1 ft,6,8
15,1,9:49.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by C. LeVert),,8,8
16,1,9:33.0,,J. Teague makes 2-pt jump shot from 12 ft,8,10
17,1,9:17.0,D. Russell misses 2-pt layup from 8 ft,,8,10
18,1,9:14.0,,Defensive rebound by K. Towns,8,10
19,1,9:09.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Teague),8,13
20,1,8:45.0,J. Dudley misses 2-pt jump shot from 15 ft,,8,13
21,1,8:42.0,,Defensive rebound by K. Towns,8,13
22,1,8:36.0,,Turnover by T. Gibson (lost ball; steal by J. Dudley),8,13
