,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,J. Embiid misses 2-pt hook shot from 10 ft,0,0
1,1,11:41.0,Defensive rebound by W. Cauley-Stein,,0,0
2,1,11:29.0,B. Hield makes 2-pt jump shot from 8 ft (assist by W. Cauley-Stein),,2,0
3,1,11:06.0,,T. Harris misses 3-pt jump shot from 24 ft,2,0
4,1,11:03.0,Defensive rebound by W. Cauley-Stein,,2,0
5,1,10:55.0,N. Bjelica misses 2-pt hook shot from 4 ft,,2,0
6,1,10:53.0,,Defensive rebound by J. Embiid,2,0
7,1,10:45.0,,B. Simmons makes 2-pt layup from 2 ft,2,2
8,1,10:27.0,H. Barnes misses 2-pt jump shot from 10 ft,,2,2
9,1,10:25.0,,Defensive rebound by T. Harris,2,2
10,1,10:16.0,,J. Embiid makes 2-pt jump shot from 14 ft,2,4
11,1,10:00.0,N. Bjelica misses 2-pt layup from 2 ft,,2,4
12,1,9:54.0,Offensive rebound by N. Bjelica,,2,4
13,1,9:54.0,N. Bjelica makes 2-pt layup from 1 ft,,4,4
14,1,9:49.0,,J. Redick makes 3-pt jump shot from 22 ft (assist by J. Butler),4,7
15,1,9:23.0,W. Cauley-Stein makes 2-pt layup from 2 ft,,6,7
16,1,9:14.0,,Turnover by J. Redick (bad pass),6,7
17,1,9:00.0,B. Hield misses 2-pt jump shot from 22 ft,,6,7
18,1,8:56.0,,Defensive rebound by B. Simmons,6,7
19,1,8:50.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),6,9
20,1,8:42.0,Personal foul by J. Embiid (drawn by W. Cauley-Stein),,6,9
21,1,8:33.0,Turnover by D. Fox (bad pass; steal by J. Butler),,6,9
22,1,8:27.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),6,11
23,1,8:19.0,N. Bjelica misses 3-pt jump shot from 26 ft,,6,11
24,1,8:17.0,,Defensive rebound by T. Harris,6,11
25,1,8:10.0,,B. Simmons makes 2-pt layup from 3 ft (assist by T. Harris),6,13
26,1,8:04.0,Sacramento full timeout,,6,13
27,1,7:51.0,Shooting foul by T. Harris (drawn by H. Barnes),,6,13
28,1,7:51.0,H. Barnes misses free throw 1 of 2,,6,13
29,1,7:51.0,Offensive rebound by Team,,6,13
30,1,7:51.0,H. Barnes misses free throw 2 of 2,,6,13
31,1,7:49.0,,Defensive rebound by J. Embiid,6,13
32,1,7:43.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by B. Simmons),6,15
33,1,7:26.0,N. Bjelica makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),,8,15
34,1,7:17.0,,J. Embiid makes 2-pt jump shot from 18 ft (assist by B. Simmons),8,17
35,1,7:05.0,D. Fox makes 2-pt jump shot from 7 ft,,10,17
36,1,6:48.0,,T. Harris misses 2-pt jump shot from 14 ft,10,17
37,1,6:43.0,,Offensive rebound by J. Embiid,10,17
38,1,6:43.0,,J. Embiid makes 2-pt dunk at rim,10,19
39,1,6:24.0,H. Barnes misses 2-pt jump shot from 9 ft,,10,19
40,1,6:22.0,,Defensive rebound by J. Embiid,10,19
41,1,6:16.0,,J. Embiid misses 3-pt jump shot from 26 ft,10,19
42,1,6:14.0,Defensive rebound by H. Barnes,,10,19
43,1,6:08.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Fox),,13,19
44,1,5:45.0,,J. Butler misses 2-pt jump shot from 9 ft,13,19
45,1,5:42.0,,Offensive rebound by J. Embiid,13,19
46,1,5:40.0,,J. Redick misses 3-pt jump shot from 23 ft,13,19
47,1,5:40.0,,Offensive rebound by Team,13,19
48,1,5:38.0,Loose ball foul by W. Cauley-Stein (drawn by J. Embiid),,13,19
49,1,5:38.0,H. Giles enters the game for W. Cauley-Stein,,13,19
50,1,5:38.0,,B. Marjanović enters the game for J. Embiid,13,19
51,1,5:38.0,,T. McConnell enters the game for J. Redick,13,19
52,1,5:38.0,,M. Scott enters the game for B. Simmons,13,19
53,1,5:37.0,,Turnover by J. Butler (bad pass),13,19
54,1,5:28.0,D. Fox makes 2-pt jump shot from 22 ft,,15,19
55,1,5:12.0,,T. McConnell misses 2-pt jump shot from 15 ft (block by D. Fox),15,19
56,1,5:12.0,,Offensive rebound by Team,15,19
57,1,5:12.0,M. Bagley enters the game for N. Bjelica,,15,19
58,1,5:04.0,,T. McConnell makes 2-pt layup from 2 ft,15,21
59,1,4:49.0,Turnover by H. Giles (bad pass; steal by M. Scott),,15,21
60,1,4:43.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by J. Butler),15,23
61,1,4:25.0,H. Giles makes 2-pt jump shot from 11 ft (assist by M. Bagley),,17,23
62,1,4:10.0,,B. Marjanović makes 2-pt hook shot from 5 ft (assist by T. McConnell),17,25
63,1,4:02.0,B. Hield misses 3-pt jump shot from 26 ft,,17,25
64,1,3:59.0,,Defensive rebound by B. Marjanović,17,25
65,1,3:49.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by T. Harris),17,27
66,1,3:41.0,B. Hield misses 3-pt jump shot from 24 ft,,17,27
67,1,3:37.0,,Defensive rebound by M. Scott,17,27
68,1,3:32.0,,T. Harris misses 3-pt jump shot from 23 ft,17,27
69,1,3:30.0,Defensive rebound by H. Barnes,,17,27
70,1,3:25.0,M. Bagley makes 2-pt jump shot from 1 ft (assist by H. Barnes),,19,27
71,1,3:25.0,,Philadelphia full timeout,19,27
72,1,3:25.0,B. Bogdanović enters the game for D. Fox,,19,27
73,1,3:25.0,Y. Ferrell enters the game for B. Hield,,19,27
74,1,3:25.0,,J. Embiid enters the game for J. Butler,19,27
75,1,3:25.0,,J. Ennis enters the game for T. Harris,19,27
76,1,3:25.0,,J. Redick enters the game for B. Marjanović,19,27
77,1,3:25.0,,B. Simmons enters the game for T. McConnell,19,27
78,1,3:08.0,,J. Embiid makes 2-pt dunk from 1 ft,19,29
79,1,2:52.0,Shooting foul by M. Scott (drawn by M. Bagley),,19,29
80,1,2:52.0,M. Bagley makes free throw 1 of 2,,20,29
81,1,2:52.0,C. Brewer enters the game for H. Barnes,,20,29
82,1,2:52.0,M. Bagley makes free throw 2 of 2,,21,29
