,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,L. Shamet makes 2-pt layup from 2 ft (assist by D. Gallinari),0,2
1,1,11:21.0,D. Ayton makes 2-pt hook shot from 3 ft (assist by D. Booker),,2,2
2,1,11:05.0,,D. Gallinari makes 2-pt layup from 3 ft,2,4
3,1,10:44.0,J. Jackson makes 2-pt jump shot from 3 ft (assist by M. Bridges),,4,4
4,1,10:34.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,4,4
5,1,10:31.0,Defensive rebound by D. Booker,,4,4
6,1,10:20.0,J. Jackson makes 2-pt hook shot from 3 ft (assist by M. Bridges),,6,4
7,1,10:05.0,,Turnover by P. Beverley (bad pass; steal by T. Johnson),6,4
8,1,9:58.0,M. Bridges misses 3-pt jump shot from 26 ft,,6,4
9,1,9:54.0,,Defensive rebound by I. Zubac,6,4
10,1,9:47.0,,D. Gallinari misses 3-pt jump shot from 26 ft,6,4
11,1,9:43.0,Defensive rebound by D. Booker,,6,4
12,1,9:37.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Ayton),,6,4
13,1,9:37.0,D. Ayton makes free throw 1 of 2,,7,4
14,1,9:37.0,D. Ayton misses free throw 2 of 2,,7,4
15,1,9:35.0,,Defensive rebound by I. Zubac,7,4
16,1,9:22.0,,I. Zubac makes 2-pt hook shot from 1 ft (assist by D. Gallinari),7,6
17,1,8:59.0,Turnover by J. Jackson (bad pass; steal by P. Beverley),,7,6
18,1,8:47.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),7,9
19,1,8:30.0,T. Johnson misses 2-pt jump shot from 8 ft,,7,9
20,1,8:27.0,,Defensive rebound by I. Zubac,7,9
21,1,8:20.0,,D. Gallinari misses 2-pt layup from 3 ft,7,9
22,1,8:18.0,Defensive rebound by D. Ayton,,7,9
23,1,8:10.0,J. Jackson misses 3-pt jump shot from 23 ft,,7,9
24,1,8:06.0,,Defensive rebound by P. Beverley,7,9
25,1,7:53.0,,Personal foul by J. Jackson (drawn by D. Gallinari),7,9
26,1,7:40.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by L. Shamet),7,11
27,1,7:18.0,Turnover by J. Jackson (lost ball; steal by L. Shamet),,7,11
28,1,7:14.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,7,13
29,1,7:14.0,Phoenix full timeout,,7,13
30,1,6:50.0,D. Booker misses 2-pt jump shot from 11 ft,,7,13
31,1,6:48.0,,Defensive rebound by D. Gallinari,7,13
32,1,6:39.0,,I. Zubac misses 2-pt dunk from 1 ft,7,13
33,1,6:35.0,,Offensive rebound by S. Gilgeous-Alexander,7,13
34,1,6:34.0,,P. Beverley misses 3-pt jump shot from 23 ft,7,13
35,1,6:34.0,Defensive rebound by D. Booker,,7,13
36,1,6:20.0,D. Ayton makes 2-pt hook shot from 10 ft,,9,13
37,1,5:56.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,9,13
38,1,5:52.0,Defensive rebound by D. Ayton,,9,13
39,1,5:42.0,D. Ayton misses 2-pt hook shot from 6 ft,,9,13
40,1,5:39.0,,Defensive rebound by S. Gilgeous-Alexander,9,13
41,1,5:33.0,,Shooting foul by T. Johnson (drawn by I. Zubac),9,13
42,1,5:33.0,,I. Zubac makes free throw 1 of 2,9,14
43,1,5:33.0,K. Oubre enters the game for M. Bridges,,9,14
44,1,5:33.0,,J. Green enters the game for D. Gallinari,9,14
45,1,5:33.0,,I. Zubac makes free throw 2 of 2,9,15
46,1,5:21.0,D. Ayton makes 2-pt jump shot from 15 ft (assist by D. Booker),,11,15
47,1,4:55.0,,Shooting foul by D. Ayton (drawn by I. Zubac),11,15
48,1,4:55.0,,I. Zubac makes free throw 1 of 2,11,16
49,1,4:55.0,,I. Zubac makes free throw 2 of 2,11,17
50,1,4:44.0,D. Booker misses 3-pt jump shot from 27 ft,,11,17
51,1,4:40.0,,Defensive rebound by L. Shamet,11,17
52,1,4:19.0,,L. Shamet misses 2-pt jump shot from 14 ft,11,17
53,1,4:15.0,Defensive rebound by D. Ayton,,11,17
54,1,4:06.0,K. Oubre makes 2-pt layup from 2 ft,,13,17
55,1,4:01.0,,LA Clippers full timeout,13,17
56,1,4:01.0,R. Holmes enters the game for D. Ayton,,13,17
57,1,4:01.0,E. Okobo enters the game for T. Johnson,,13,17
58,1,4:01.0,,M. Harrell enters the game for S. Gilgeous-Alexander,13,17
59,1,4:01.0,,L. Williams enters the game for I. Zubac,13,17
60,1,3:49.0,,L. Shamet misses 3-pt jump shot from 26 ft,13,17
61,1,3:48.0,Defensive rebound by R. Holmes,,13,17
62,1,3:48.0,Personal foul by L. Williams (drawn by D. Booker),,13,17
63,1,3:48.0,,G. Temple enters the game for L. Shamet,13,17
64,1,3:37.0,J. Jackson makes 2-pt jump shot from 5 ft (assist by K. Oubre),,15,17
65,1,3:25.0,,L. Williams makes 2-pt jump shot from 4 ft (assist by M. Harrell),15,19
66,1,3:11.0,Turnover by J. Jackson (bad pass; steal by P. Beverley),,15,19
67,1,2:52.0,,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),15,21
68,1,2:35.0,Personal foul by G. Temple (drawn by R. Holmes),,15,21
69,1,2:28.0,R. Holmes misses 2-pt layup from 2 ft (block by G. Temple),,15,21
70,1,2:26.0,Offensive rebound by Team,,15,21
71,1,2:20.0,D. Booker misses 2-pt jump shot from 6 ft (block by P. Beverley),,15,21
72,1,2:19.0,,Defensive rebound by J. Green,15,21
73,1,2:19.0,,Personal foul by D. Booker (drawn by P. Beverley),15,21
74,1,2:19.0,M. Bridges enters the game for D. Booker,,15,21
75,1,2:19.0,J. Crawford enters the game for J. Jackson,,15,21
76,1,2:19.0,,T. Wallace enters the game for P. Beverley,15,21
77,1,2:13.0,,L. Williams makes 2-pt jump shot from 19 ft (assist by M. Harrell),15,23
78,1,1:55.0,Turnover by K. Oubre (lost ball; steal by T. Wallace),,15,23
79,1,1:52.0,,T. Wallace makes 2-pt layup from 2 ft (assist by L. Williams),15,25
80,1,1:52.0,Phoenix full timeout,,15,25
81,1,1:30.0,R. Holmes misses 2-pt jump shot from 8 ft,,15,25
82,1,1:27.0,,Defensive rebound by M. Harrell,15,25
83,1,1:19.0,,L. Williams makes 2-pt jump shot from 3 ft,15,27
84,1,1:00.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by K. Oubre),,18,27
85,1,0:42.0,,T. Wallace misses 2-pt layup from 3 ft,18,27
86,1,0:42.0,Defensive rebound by M. Bridges,,18,27
87,1,0:38.0,Shooting foul by J. Green (drawn by M. Bridges),,18,27
88,1,0:38.0,M. Bridges misses free throw 1 of 2,,18,27
89,1,0:38.0,Offensive rebound by Team,,18,27
90,1,0:38.0,M. Bridges makes free throw 2 of 2,,19,27
91,1,0:29.0,,L. Williams makes 3-pt jump shot from 28 ft,19,30
92,1,0:12.0,J. Crawford makes 3-pt jump shot from 27 ft,,22,30
93,1,0:07.0,,Personal foul by M. Bridges (drawn by L. Williams),22,30
94,1,0:07.0,,L. Williams makes free throw 1 of 2,22,31
95,1,0:07.0,D. Booker enters the game for E. Okobo,,22,31
96,1,0:07.0,,P. Beverley enters the game for T. Wallace,22,31
97,1,0:07.0,,L. Williams makes free throw 2 of 2,22,32
98,1,0:00.0,D. Booker misses 3-pt jump shot from 25 ft,,22,32
99,1,0:00.0,Offensive rebound by Team,,22,32
100,2,11:45.0,K. Oubre makes 2-pt dunk from 2 ft,,24,32
101,2,11:45.0,Shooting foul by G. Temple (drawn by K. Oubre),,24,32
102,2,11:45.0,K. Oubre makes free throw 1 of 1,,25,32
103,2,11:32.0,,M. Harrell makes 2-pt jump shot from 2 ft (assist by L. Williams),25,34
104,2,11:10.0,J. Crawford misses 3-pt jump shot from 27 ft,,25,34
105,2,11:06.0,Offensive rebound by M. Bridges,,25,34
106,2,11:05.0,M. Bridges misses 2-pt layup at rim (block by J. Green),,25,34
107,2,11:01.0,,Defensive rebound by L. Williams,25,34
108,2,10:59.0,,Turnover by L. Williams (bad pass; steal by J. Crawford),25,34
109,2,10:55.0,M. Bridges makes 2-pt layup from 1 ft (assist by J. Crawford),,27,34
110,2,10:47.0,,M. Harrell makes 2-pt dunk from 3 ft (assist by L. Williams),27,36
111,2,10:33.0,K. Oubre misses 3-pt jump shot from 26 ft,,27,36
112,2,10:29.0,,Defensive rebound by M. Harrell,27,36
113,2,10:11.0,,M. Harrell misses 2-pt layup from 2 ft,27,36
114,2,10:09.0,Defensive rebound by J. Crawford,,27,36
115,2,10:04.0,R. Holmes misses 2-pt hook shot from 8 ft,,27,36
116,2,10:00.0,,Defensive rebound by J. Green,27,36
117,2,9:54.0,,L. Williams makes 3-pt jump shot from 26 ft,27,39
118,2,9:41.0,Personal foul by T. Wallace (drawn by J. Crawford),,27,39
119,2,9:41.0,T. Johnson enters the game for E. Okobo,,27,39
120,2,9:31.0,T. Johnson misses 2-pt jump shot from 3 ft,,27,39
121,2,9:28.0,Offensive rebound by K. Oubre,,27,39
122,2,9:24.0,Shooting foul by G. Temple (drawn by K. Oubre),,27,39
123,2,9:24.0,K. Oubre makes free throw 1 of 2,,28,39
124,2,9:24.0,,S. Thornwell enters the game for G. Temple,28,39
125,2,9:24.0,K. Oubre makes free throw 2 of 2,,29,39
126,2,9:15.0,,L. Williams makes 2-pt layup from 1 ft,29,41
127,2,9:06.0,J. Crawford makes 2-pt layup from 2 ft,,31,41
128,2,9:01.0,,Shooting foul by M. Bridges (drawn by T. Wallace),31,41
129,2,9:01.0,,T. Wallace makes free throw 1 of 2,31,42
130,2,9:01.0,D. Ayton enters the game for R. Holmes,,31,42
131,2,9:01.0,,T. Wallace makes free throw 2 of 2,31,43
132,2,8:45.0,Turnover by J. Crawford (back court),,31,43
133,2,8:27.0,,M. Harrell misses 2-pt jump shot from 15 ft,31,43
134,2,8:24.0,Defensive rebound by T. Johnson,,31,43
135,2,8:08.0,D. Ayton makes 2-pt jump shot from 11 ft,,33,43
136,2,7:59.0,,M. Harrell makes 2-pt hook shot from 8 ft (assist by L. Williams),33,45
137,2,7:41.0,K. Oubre misses 2-pt layup from 1 ft,,33,45
138,2,7:40.0,,Defensive rebound by T. Wallace,33,45
139,2,7:33.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),33,47
140,2,7:33.0,,Shooting foul by K. Oubre (drawn by M. Harrell),33,47
141,2,7:33.0,D. Booker enters the game for M. Bridges,,33,47
142,2,7:33.0,J. Jackson enters the game for J. Crawford,,33,47
143,2,7:33.0,,M. Harrell misses free throw 1 of 1,33,47
144,2,7:28.0,,Offensive rebound by S. Thornwell,33,47
145,2,7:27.0,,Personal foul by J. Jackson (drawn by L. Williams),33,47
146,2,7:24.0,,Shooting foul by D. Booker (drawn by M. Harrell),33,47
147,2,7:24.0,,M. Harrell makes free throw 1 of 2,33,48
148,2,7:24.0,,M. Harrell makes free throw 2 of 2,33,49
149,2,7:13.0,Personal foul by S. Thornwell (drawn by D. Booker),,33,49
150,2,7:03.0,J. Jackson makes 2-pt layup from 1 ft (assist by D. Ayton),,35,49
151,2,6:42.0,,M. Harrell makes 2-pt hook shot from 4 ft (assist by L. Williams),35,51
152,2,6:33.0,Personal foul by S. Thornwell (drawn by D. Booker),,35,51
153,2,6:33.0,,LA Clippers full timeout,35,51
154,2,6:33.0,,P. Beverley enters the game for J. Green,35,51
155,2,6:33.0,,D. Gallinari enters the game for S. Thornwell,35,51
156,2,6:33.0,D. Booker makes free throw 1 of 2,,36,51
157,2,6:33.0,D. Booker makes free throw 2 of 2,,37,51
158,2,6:24.0,,Personal foul by J. Jackson (drawn by D. Gallinari),37,51
159,2,6:24.0,,D. Gallinari misses free throw 1 of 2,37,51
160,2,6:24.0,,Offensive rebound by Team,37,51
161,2,6:24.0,M. Bridges enters the game for J. Jackson,,37,51
162,2,6:24.0,,D. Gallinari makes free throw 2 of 2,37,52
163,2,6:05.0,Turnover by M. Bridges (bad pass),,37,52
164,2,6:05.0,,L. Shamet enters the game for T. Wallace,37,52
165,2,5:58.0,,Personal foul by M. Bridges (drawn by D. Gallinari),37,52
166,2,5:58.0,,D. Gallinari makes free throw 1 of 2,37,53
167,2,5:58.0,,D. Gallinari makes free throw 2 of 2,37,54
168,2,5:42.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by D. Ayton),,40,54
169,2,5:30.0,,Turnover by D. Gallinari (bad pass),40,54
170,2,5:19.0,Shooting foul by P. Beverley (drawn by D. Booker),,40,54
171,2,5:19.0,D. Booker makes free throw 1 of 2,,41,54
172,2,5:19.0,,S. Gilgeous-Alexander enters the game for L. Williams,41,54
173,2,5:19.0,D. Booker makes free throw 2 of 2,,42,54
174,2,4:59.0,,L. Shamet misses 3-pt jump shot from 26 ft,42,54
175,2,4:55.0,Defensive rebound by D. Booker,,42,54
176,2,4:48.0,D. Ayton misses 2-pt layup from 2 ft (block by M. Harrell),,42,54
177,2,4:44.0,Offensive rebound by D. Ayton,,42,54
178,2,4:44.0,D. Ayton makes 2-pt layup at rim,,44,54
179,2,4:31.0,,M. Harrell misses 2-pt hook shot from 9 ft,44,54
180,2,4:27.0,,Offensive rebound by D. Gallinari,44,54
181,2,4:26.0,,M. Harrell misses 2-pt layup at rim,44,54
182,2,4:26.0,Defensive rebound by K. Oubre,,44,54
183,2,4:15.0,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),,46,54
184,2,4:15.0,Shooting foul by L. Shamet (drawn by D. Ayton),,46,54
185,2,4:15.0,D. Ayton makes free throw 1 of 1,,47,54
186,2,4:06.0,,Personal foul by K. Oubre (drawn by S. Gilgeous-Alexander),47,54
187,2,4:06.0,,S. Gilgeous-Alexander makes free throw 1 of 2,47,55
188,2,4:06.0,,I. Zubac enters the game for M. Harrell,47,55
189,2,4:06.0,,S. Gilgeous-Alexander makes free throw 2 of 2,47,56
190,2,3:52.0,D. Booker misses 2-pt jump shot from 23 ft,,47,56
191,2,3:42.0,Offensive rebound by D. Ayton,,47,56
192,2,3:36.0,D. Ayton misses 2-pt jump shot from 12 ft,,47,56
193,2,3:34.0,,Defensive rebound by I. Zubac,47,56
194,2,3:26.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by I. Zubac),47,58
195,2,3:24.0,Phoenix full timeout,,47,58
196,2,3:24.0,J. Crawford enters the game for D. Ayton,,47,58
197,2,3:24.0,R. Holmes enters the game for K. Oubre,,47,58
198,2,3:06.0,D. Booker misses 2-pt jump shot from 16 ft,,47,58
199,2,3:05.0,,Defensive rebound by Team,47,58
200,2,2:51.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft (block by D. Booker),47,58
201,2,2:46.0,Defensive rebound by D. Booker,,47,58
202,2,2:39.0,T. Johnson misses 3-pt jump shot from 25 ft,,47,58
203,2,2:36.0,,Defensive rebound by D. Gallinari,47,58
204,2,2:33.0,,Personal foul by T. Johnson (drawn by D. Gallinari),47,58
205,2,2:33.0,,D. Gallinari makes free throw 1 of 2,47,59
206,2,2:33.0,,D. Gallinari misses free throw 2 of 2,47,59
207,2,2:30.0,Defensive rebound by R. Holmes,,47,59
208,2,2:12.0,J. Crawford misses 3-pt jump shot from 27 ft,,47,59
209,2,2:09.0,,Defensive rebound by I. Zubac,47,59
210,2,2:02.0,,I. Zubac misses 2-pt layup from 2 ft,47,59
211,2,2:00.0,Defensive rebound by T. Johnson,,47,59
212,2,1:57.0,R. Holmes misses 2-pt layup from 2 ft (block by D. Gallinari),,47,59
213,2,1:57.0,Offensive rebound by Team,,47,59
214,2,1:46.0,D. Booker misses 2-pt layup from 3 ft (block by I. Zubac),,47,59
215,2,1:43.0,,Defensive rebound by P. Beverley,47,59
216,2,1:41.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),47,62
217,2,1:22.0,Turnover by D. Booker (lost ball; steal by P. Beverley),,47,62
218,2,1:18.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,47,64
219,2,0:59.0,J. Crawford makes 2-pt jump shot from 18 ft,,49,64
220,2,0:47.0,,P. Beverley misses 3-pt jump shot from 27 ft,49,64
221,2,0:44.0,Defensive rebound by T. Johnson,,49,64
222,2,0:39.0,D. Booker makes 2-pt layup from 2 ft (assist by J. Crawford),,51,64
223,2,0:34.0,,D. Gallinari makes 3-pt jump shot from 25 ft,51,67
224,2,0:14.0,R. Holmes misses 2-pt jump shot from 2 ft,,51,67
225,2,0:11.0,,Defensive rebound by I. Zubac,51,67
226,3,11:51.0,Personal foul by P. Beverley (drawn by D. Booker),,51,67
227,3,11:40.0,Turnover by J. Jackson (bad pass),,51,67
228,3,11:28.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Shamet),51,69
229,3,11:08.0,D. Ayton misses 2-pt hook shot from 5 ft,,51,69
230,3,11:05.0,,Defensive rebound by P. Beverley,51,69
231,3,11:00.0,,Personal foul by D. Booker (drawn by D. Gallinari),51,69
232,3,10:46.0,,Turnover by L. Shamet (bad pass; steal by M. Bridges),51,69
233,3,10:34.0,T. Johnson misses 3-pt jump shot from 24 ft,,51,69
234,3,10:31.0,,Defensive rebound by P. Beverley,51,69
235,3,10:29.0,,Offensive foul by P. Beverley (drawn by J. Jackson),51,69
236,3,10:29.0,,Turnover by P. Beverley (offensive foul),51,69
237,3,10:14.0,D. Ayton misses 2-pt hook shot from 6 ft,,51,69
238,3,10:09.0,Offensive rebound by M. Bridges,,51,69
239,3,10:09.0,J. Jackson misses 2-pt layup from 3 ft (block by D. Gallinari),,51,69
240,3,10:09.0,Offensive rebound by Team,,51,69
241,3,10:06.0,D. Booker makes 2-pt jump shot from 12 ft (assist by T. Johnson),,53,69
242,3,9:53.0,,Turnover by L. Shamet (bad pass; steal by J. Jackson),53,69
243,3,9:49.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Jackson),,55,69
244,3,9:36.0,,L. Shamet misses 2-pt jump shot from 10 ft,55,69
245,3,9:35.0,Defensive rebound by Team,,55,69
246,3,9:25.0,Turnover by D. Booker (lost ball; steal by S. Gilgeous-Alexander),,55,69
247,3,9:20.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),55,72
248,3,8:59.0,J. Jackson misses 2-pt jump shot from 10 ft,,55,72
249,3,8:55.0,,Defensive rebound by D. Gallinari,55,72
