,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
0,1,11:37.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,2,0
1,1,11:20.0,,T. Johnson makes 2-pt layup from 1 ft (assist by J. Johnson),2,2
2,1,11:05.0,P. George misses 2-pt jump shot from 16 ft,,2,2
3,1,11:02.0,,Defensive rebound by H. Whiteside,2,2
4,1,10:41.0,,J. Johnson misses 3-pt jump shot from 25 ft,2,2
5,1,10:37.0,,Offensive rebound by H. Whiteside,2,2
6,1,10:35.0,,H. Whiteside makes 2-pt layup from 5 ft,2,4
7,1,10:20.0,S. Adams makes 2-pt jump shot from 4 ft (assist by P. George),,4,4
8,1,10:10.0,,Turnover by J. Johnson (bad pass),4,4
9,1,9:44.0,J. Grant misses 2-pt layup from 5 ft,,4,4
10,1,9:40.0,Offensive rebound by S. Adams,,4,4
11,1,9:40.0,S. Adams misses 2-pt layup from 1 ft,,4,4
12,1,9:38.0,Offensive rebound by J. Grant,,4,4
13,1,9:35.0,Turnover by P. George (bad pass),,4,4
14,1,9:24.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),4,6
15,1,9:11.0,Turnover by S. Adams (lost ball; steal by J. Richardson),,4,6
16,1,9:05.0,,T. Johnson misses 3-pt jump shot from 25 ft,4,6
17,1,9:02.0,Defensive rebound by P. George,,4,6
18,1,8:59.0,R. Westbrook misses 2-pt jump shot from 14 ft (block by H. Whiteside),,4,6
19,1,8:58.0,,Defensive rebound by H. Whiteside,4,6
20,1,8:57.0,,Turnover by H. Whiteside (step out of bounds),4,6
21,1,8:52.0,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,7,6
22,1,8:41.0,,Personal foul by P. George (drawn by J. Richardson),7,6
23,1,8:34.0,,Turnover by H. Whiteside (traveling),7,6
24,1,8:27.0,P. George makes 2-pt jump shot from 6 ft (assist by R. Westbrook),,9,6
25,1,8:27.0,Shooting foul by J. Winslow (drawn by P. George),,9,6
26,1,8:27.0,P. George makes free throw 1 of 1,,10,6
27,1,8:16.0,,J. Winslow makes 2-pt jump shot from 12 ft,10,8
28,1,8:06.0,R. Westbrook makes 2-pt layup from 1 ft,,12,8
29,1,7:56.0,,J. Richardson misses 2-pt layup from 1 ft,12,8
30,1,7:54.0,Defensive rebound by S. Adams,,12,8
31,1,7:46.0,P. George makes 2-pt layup from 1 ft (assist by J. Grant),,14,8
32,1,7:26.0,,T. Johnson misses 2-pt layup from 2 ft,14,8
33,1,7:24.0,Defensive rebound by R. Westbrook,,14,8
34,1,7:21.0,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),,16,8
35,1,7:21.0,,Miami full timeout,16,8
36,1,7:01.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by H. Whiteside),16,11
37,1,6:44.0,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),,18,11
38,1,6:34.0,,Shooting foul by J. Grant (drawn by H. Whiteside),18,11
