,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,H. Barnes misses 2-pt jump shot from 21 ft,0,0
1,1,11:41.0,Defensive rebound by D. Gallinari,,0,0
2,1,11:32.0,L. Shamet misses 3-pt jump shot from 27 ft,,0,0
3,1,11:29.0,,Defensive rebound by W. Cauley-Stein,0,0
4,1,11:22.0,,B. Hield misses 2-pt jump shot from 12 ft,0,0
5,1,11:19.0,Defensive rebound by I. Zubac,,0,0
6,1,11:14.0,P. Beverley makes 2-pt layup from 1 ft,,2,0
7,1,11:01.0,,W. Cauley-Stein makes 2-pt hook shot from 5 ft (assist by D. Fox),2,2
8,1,10:46.0,Personal foul by D. Fox (drawn by S. Gilgeous-Alexander),,2,2
9,1,10:34.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by L. Shamet),,5,2
10,1,10:29.0,,Shooting foul by S. Gilgeous-Alexander (drawn by D. Fox),5,2
11,1,10:29.0,,D. Fox makes free throw 1 of 2,5,3
12,1,10:29.0,,D. Fox misses free throw 2 of 2,5,3
13,1,10:26.0,Defensive rebound by S. Gilgeous-Alexander,,5,3
14,1,10:07.0,Shooting foul by D. Fox (drawn by D. Gallinari),,5,3
15,1,10:07.0,,Y. Ferrell enters the game for D. Fox,5,3
16,1,10:07.0,D. Gallinari makes free throw 1 of 2,,6,3
17,1,10:07.0,D. Gallinari misses free throw 2 of 2,,6,3
18,1,10:07.0,Offensive rebound by I. Zubac,,6,3
19,1,10:07.0,I. Zubac misses 2-pt layup from 3 ft,,6,3
20,1,10:06.0,Offensive rebound by I. Zubac,,6,3
21,1,10:05.0,Shooting foul by W. Cauley-Stein (drawn by I. Zubac),,6,3
22,1,10:05.0,I. Zubac makes free throw 1 of 2,,7,3
23,1,10:05.0,I. Zubac misses free throw 2 of 2,,7,3
24,1,10:03.0,,Defensive rebound by B. Bogdanović,7,3
25,1,9:52.0,,Shooting foul by D. Gallinari (drawn by H. Barnes),7,3
26,1,9:52.0,,H. Barnes makes free throw 1 of 2,7,4
27,1,9:52.0,,H. Barnes makes free throw 2 of 2,7,5
28,1,9:27.0,Turnover by Team (shot clock),,7,5
29,1,9:11.0,,B. Hield misses 2-pt layup from 3 ft,7,5
30,1,9:09.0,,Offensive rebound by B. Hield,7,5
31,1,9:04.0,,Y. Ferrell misses 2-pt jump shot from 6 ft,7,5
32,1,9:01.0,Defensive rebound by I. Zubac,,7,5
33,1,8:54.0,Personal foul by Y. Ferrell (drawn by D. Gallinari),,7,5
34,1,8:41.0,D. Gallinari misses 3-pt jump shot from 25 ft,,7,5
35,1,8:39.0,Offensive rebound by Team,,7,5
36,1,8:30.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,10,5
37,1,8:18.0,,B. Bogdanović makes 2-pt jump shot from 19 ft,10,7
38,1,8:01.0,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft,,12,7
39,1,7:51.0,,Turnover by B. Hield (step out of bounds),12,7
40,1,7:34.0,D. Gallinari makes 2-pt dunk from 1 ft (assist by I. Zubac),,14,7
41,1,7:20.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by H. Barnes),14,10
42,1,6:58.0,I. Zubac makes 2-pt hook shot from 6 ft,,16,10
43,1,6:49.0,,Y. Ferrell misses 2-pt jump shot from 14 ft,16,10
44,1,6:45.0,Defensive rebound by I. Zubac,,16,10
45,1,6:31.0,Offensive foul by S. Gilgeous-Alexander (drawn by Y. Ferrell),,16,10
46,1,6:31.0,Turnover by S. Gilgeous-Alexander (offensive foul),,16,10
47,1,6:31.0,,Sacramento full timeout,16,10
48,1,6:31.0,L. Williams enters the game for S. Gilgeous-Alexander,,16,10
49,1,6:21.0,,H. Barnes misses 2-pt jump shot from 15 ft,16,10
50,1,6:20.0,,Offensive rebound by Team,16,10
51,1,6:18.0,,B. Hield misses 2-pt jump shot from 14 ft,16,10
52,1,6:14.0,Defensive rebound by I. Zubac,,16,10
53,1,5:55.0,I. Zubac makes 2-pt layup from 2 ft (assist by P. Beverley),,18,10
54,1,5:35.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),18,13
55,1,5:09.0,I. Zubac misses 2-pt dunk from 1 ft (block by W. Cauley-Stein),,18,13
56,1,5:05.0,,Defensive rebound by W. Cauley-Stein,18,13
57,1,4:59.0,,B. Hield misses 2-pt layup from 6 ft (block by L. Shamet),18,13
58,1,4:58.0,,Offensive rebound by B. Hield,18,13
59,1,4:58.0,,Turnover by W. Cauley-Stein (traveling),18,13
60,1,4:58.0,M. Harrell enters the game for I. Zubac,,18,13
61,1,4:58.0,,C. Brewer enters the game for Y. Ferrell,18,13
62,1,4:42.0,L. Shamet misses 3-pt jump shot from 25 ft,,18,13
63,1,4:39.0,,Defensive rebound by W. Cauley-Stein,18,13
64,1,4:33.0,,B. Bogdanović misses 2-pt layup from 3 ft,18,13
65,1,4:29.0,,Offensive rebound by B. Bogdanović,18,13
66,1,4:29.0,,B. Bogdanović misses 2-pt layup at rim,18,13
67,1,4:27.0,Defensive rebound by D. Gallinari,,18,13
68,1,4:14.0,M. Harrell misses 2-pt jump shot from 6 ft,,18,13
69,1,4:13.0,Offensive rebound by D. Gallinari,,18,13
