,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
0,1,11:47.0,Personal foul by D. Melton (drawn by K. Towns),,0,0
1,1,11:41.0,K. Towns makes 2-pt jump shot from 19 ft (assist by J. Teague),,2,0
2,1,11:30.0,,Shooting foul by A. Wiggins (drawn by M. Bridges),2,0
3,1,11:30.0,,M. Bridges makes free throw 1 of 2,2,1
4,1,11:30.0,,M. Bridges makes free throw 2 of 2,2,2
5,1,11:19.0,Turnover by R. Covington (bad pass; steal by T. Warren),,2,2
6,1,11:14.0,,D. Ayton makes 2-pt layup at rim (assist by D. Melton),2,4
7,1,11:14.0,,Shooting foul by K. Towns (drawn by D. Ayton),2,4
8,1,11:14.0,,D. Ayton makes free throw 1 of 1,2,5
9,1,11:05.0,Def 3 sec tech foul by Team,,2,5
10,1,11:05.0,J. Teague makes technical free throw,,3,5
11,1,10:56.0,K. Towns misses 2-pt hook shot from 6 ft,,3,5
12,1,10:55.0,,Defensive rebound by D. Booker,3,5
13,1,10:45.0,,M. Bridges misses 2-pt jump shot from 15 ft,3,5
14,1,10:41.0,Defensive rebound by K. Towns,,3,5
15,1,10:34.0,Turnover by J. Teague (bad pass; steal by D. Melton),,3,5
16,1,10:22.0,,D. Melton makes 2-pt layup at rim,3,7
17,1,10:13.0,J. Teague makes 2-pt layup from 1 ft,,5,7
18,1,9:52.0,,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),5,9
19,1,9:36.0,K. Towns makes 2-pt layup from 1 ft,,7,9
20,1,9:36.0,Shooting foul by D. Ayton (drawn by K. Towns),,7,9
21,1,9:36.0,K. Towns makes free throw 1 of 1,,8,9
22,1,9:20.0,,D. Melton misses 2-pt jump shot from 16 ft,8,9
23,1,9:19.0,Defensive rebound by Team,,8,9
24,1,9:19.0,,Loose ball foul by D. Ayton (drawn by D. Šarić),8,9
25,1,9:19.0,,R. Holmes enters the game for D. Ayton,8,9
26,1,9:12.0,A. Wiggins makes 2-pt jump shot from 17 ft (assist by K. Towns),,10,9
27,1,8:52.0,,Turnover by D. Melton (back court),10,9
28,1,8:52.0,D. Rose enters the game for R. Covington,,10,9
29,1,8:39.0,K. Towns misses 3-pt jump shot from 23 ft,,10,9
30,1,8:36.0,,Defensive rebound by D. Melton,10,9
31,1,8:32.0,,R. Holmes makes 2-pt layup from 1 ft (assist by D. Melton),10,11
32,1,8:21.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Teague),,13,11
33,1,8:05.0,,D. Booker misses 3-pt jump shot from 25 ft,13,11
34,1,8:03.0,Defensive rebound by D. Šarić,,13,11
35,1,7:56.0,D. Rose misses 2-pt jump shot from 18 ft,,13,11
36,1,7:51.0,Offensive rebound by D. Šarić,,13,11
37,1,7:51.0,Turnover by D. Šarić (bad pass; steal by M. Bridges),,13,11
38,1,7:47.0,,T. Warren makes 2-pt layup from 1 ft (assist by M. Bridges),13,13
39,1,7:41.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Teague),,15,13
40,1,7:25.0,,T. Warren misses 2-pt layup from 1 ft,15,13
41,1,7:23.0,Defensive rebound by K. Towns,,15,13
42,1,7:19.0,A. Wiggins misses 3-pt jump shot from 25 ft,,15,13
43,1,7:17.0,Offensive rebound by K. Towns,,15,13
44,1,7:15.0,K. Towns makes 2-pt layup at rim,,17,13
45,1,7:15.0,,Phoenix full timeout,17,13
46,1,7:03.0,,T. Warren makes 2-pt jump shot from 7 ft (assist by D. Booker),17,15
47,1,6:40.0,D. Rose makes 2-pt jump shot from 3 ft (assist by A. Wiggins),,19,15
48,1,6:32.0,,D. Booker makes 2-pt jump shot from 16 ft (assist by D. Melton),19,17
49,1,6:13.0,D. Šarić makes 2-pt jump shot from 2 ft,,21,17
50,1,6:06.0,,Turnover by D. Booker (bad pass; steal by D. Rose),21,17
51,1,6:00.0,A. Wiggins misses 3-pt jump shot from 25 ft,,21,17
52,1,5:57.0,,Defensive rebound by R. Holmes,21,17
53,1,5:41.0,,Turnover by D. Melton (off goaltending),21,17
54,1,5:41.0,R. Covington enters the game for D. Rose,,21,17
55,1,5:17.0,Turnover by J. Teague (bad pass; steal by M. Bridges),,21,17
56,1,5:13.0,,R. Holmes misses 2-pt layup from 1 ft,21,17
57,1,5:10.0,Defensive rebound by D. Šarić,,21,17
58,1,5:04.0,J. Teague misses 3-pt jump shot from 25 ft,,21,17
59,1,5:01.0,,Defensive rebound by D. Melton,21,17
60,1,5:01.0,,J. Jackson enters the game for M. Bridges,21,17
61,1,4:52.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Melton),21,20
62,1,4:35.0,D. Šarić misses 2-pt layup at rim (block by J. Jackson),,21,20
63,1,4:34.0,Offensive rebound by A. Wiggins,,21,20
64,1,4:34.0,A. Wiggins misses 2-pt layup at rim (block by T. Warren),,21,20
65,1,4:34.0,Offensive rebound by Team,,21,20
66,1,4:32.0,D. Šarić misses 3-pt jump shot from 25 ft,,21,20
67,1,4:28.0,,Defensive rebound by T. Warren,21,20
68,1,4:22.0,,T. Warren makes 2-pt jump shot from 14 ft,21,22
69,1,4:10.0,A. Wiggins makes 2-pt layup from 2 ft,,23,22
70,1,3:54.0,,Shooting foul by A. Wiggins (drawn by J. Jackson),23,22
71,1,3:54.0,,J. Jackson misses free throw 1 of 2,23,22
72,1,3:54.0,,Offensive rebound by Team,23,22
73,1,3:54.0,D. Rose enters the game for D. Šarić,,23,22
74,1,3:54.0,A. Tolliver enters the game for A. Wiggins,,23,22
75,1,3:54.0,,J. Evans enters the game for D. Melton,23,22
76,1,3:54.0,,J. Jackson makes free throw 2 of 2,23,23
