,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHARLOTTE_ACTION,PORTLAND_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,Turnover by C. McCollum (bad pass; steal by M. Williams),,0,0
1,1,11:36.0,,Turnover by M. Williams (lost ball; steal by J. Nurkić),0,0
2,1,11:29.0,D. Lillard makes 2-pt layup from 2 ft,,2,0
3,1,11:14.0,,M. Bridges makes 2-pt dunk from 2 ft (assist by K. Walker),2,2
4,1,10:48.0,D. Lillard misses 3-pt jump shot from 23 ft,,2,2
5,1,10:45.0,,Defensive rebound by C. Zeller,2,2
6,1,10:38.0,,Turnover by K. Walker (out of bounds lost ball),2,2
7,1,10:30.0,C. McCollum misses 2-pt jump shot from 13 ft,,2,2
8,1,10:27.0,,Defensive rebound by M. Bridges,2,2
9,1,10:14.0,,K. Walker misses 2-pt jump shot from 18 ft,2,2
10,1,10:12.0,Defensive rebound by M. Harkless,,2,2
11,1,10:05.0,J. Nurkić makes 2-pt hook shot from 3 ft,,4,2
12,1,9:52.0,,N. Batum makes 3-pt jump shot from 26 ft (assist by K. Walker),4,5
13,1,9:34.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),,7,5
14,1,9:14.0,,N. Batum misses 3-pt jump shot from 27 ft,7,5
15,1,9:12.0,Defensive rebound by A. Aminu,,7,5
16,1,8:58.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by J. Nurkić),,10,5
17,1,8:45.0,,K. Walker makes 2-pt layup from 2 ft,10,7
18,1,8:34.0,C. McCollum misses 3-pt jump shot from 26 ft,,10,7
19,1,8:32.0,Offensive rebound by Team,,10,7
20,1,8:29.0,D. Lillard makes 2-pt jump shot from 19 ft (assist by M. Harkless),,12,7
21,1,8:12.0,,C. Zeller misses 2-pt jump shot from 13 ft,12,7
22,1,8:10.0,Defensive rebound by J. Nurkić,,12,7
23,1,8:00.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,15,7
24,1,7:44.0,,M. Bridges misses 3-pt jump shot from 27 ft,15,7
25,1,7:41.0,Defensive rebound by J. Nurkić,,15,7
26,1,7:35.0,M. Harkless makes 2-pt layup from 1 ft (assist by C. McCollum),,17,7
27,1,7:35.0,,Charlotte full timeout,17,7
28,1,7:35.0,,J. Lamb enters the game for M. Bridges,17,7
29,1,7:18.0,,N. Batum misses 2-pt jump shot from 15 ft,17,7
30,1,7:15.0,Defensive rebound by A. Aminu,,17,7
31,1,7:08.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,19,7
32,1,6:51.0,,J. Lamb makes 3-pt jump shot from 23 ft (assist by K. Walker),19,10
33,1,6:34.0,J. Nurkić misses 2-pt jump shot from 17 ft,,19,10
34,1,6:31.0,,Defensive rebound by J. Lamb,19,10
35,1,6:23.0,,Shooting foul by M. Harkless (drawn by C. Zeller),19,10
36,1,6:23.0,,C. Zeller misses free throw 1 of 2,19,10
37,1,6:23.0,,Offensive rebound by Team,19,10
38,1,6:23.0,,C. Zeller makes free throw 2 of 2,19,11
39,1,6:10.0,D. Lillard misses 3-pt jump shot from 25 ft,,19,11
40,1,6:07.0,,Defensive rebound by C. Zeller,19,11
41,1,6:01.0,,Turnover by K. Walker (bad pass; steal by D. Lillard),19,11
42,1,5:54.0,M. Harkless makes 2-pt layup from 2 ft (assist by C. McCollum),,21,11
43,1,5:32.0,,K. Walker misses 3-pt jump shot from 24 ft,21,11
44,1,5:30.0,Defensive rebound by J. Nurkić,,21,11
45,1,5:25.0,C. McCollum misses 2-pt layup from 3 ft (block by M. Williams),,21,11
46,1,5:25.0,Offensive rebound by J. Nurkić,,21,11
47,1,5:25.0,Shooting foul by C. Zeller (drawn by J. Nurkić),,21,11
48,1,5:25.0,J. Nurkić makes free throw 1 of 2,,22,11
49,1,5:25.0,J. Nurkić makes free throw 2 of 2,,23,11
50,1,5:09.0,,N. Batum misses 3-pt jump shot from 25 ft,23,11
51,1,5:07.0,Defensive rebound by D. Lillard,,23,11
52,1,5:04.0,M. Harkless misses 2-pt layup from 1 ft,,23,11
53,1,5:02.0,Offensive rebound by M. Harkless,,23,11
54,1,5:00.0,M. Harkless misses 2-pt layup from 5 ft,,23,11
55,1,4:57.0,Offensive rebound by M. Harkless,,23,11
56,1,4:53.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Harkless),,26,11
57,1,4:53.0,,Charlotte full timeout,26,11
58,1,4:53.0,,F. Kaminsky enters the game for C. Zeller,26,11
59,1,4:34.0,,J. Lamb makes 2-pt jump shot from 9 ft (assist by K. Walker),26,13
60,1,4:17.0,A. Aminu makes 2-pt jump shot from 6 ft (assist by J. Nurkić),,28,13
