,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:54.0,,J. Johnson makes 2-pt layup from 5 ft,0,2
1,1,11:40.0,Turnover by N. Vučević (bad pass; steal by J. Johnson),,0,2
2,1,11:26.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by R. McGruder),0,4
3,1,11:02.0,E. Fournier makes 2-pt layup at rim (assist by N. Vučević),,2,4
4,1,10:43.0,,Turnover by H. Whiteside (bad pass),2,4
5,1,10:34.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by D. Augustin),,5,4
6,1,10:19.0,,Turnover by J. Johnson (traveling),5,4
7,1,9:58.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by J. Simmons),,8,4
8,1,9:45.0,,R. McGruder misses 2-pt hook shot from 7 ft,8,4
9,1,9:44.0,,Offensive rebound by H. Whiteside,8,4
10,1,9:42.0,,H. Whiteside makes 2-pt layup at rim,8,6
11,1,9:21.0,D. Augustin misses 2-pt layup at rim,,8,6
12,1,9:17.0,,Defensive rebound by R. McGruder,8,6
13,1,9:15.0,,Turnover by R. McGruder (out of bounds lost ball),8,6
14,1,8:59.0,N. Vučević misses 2-pt jump shot from 12 ft,,8,6
15,1,8:57.0,,Defensive rebound by R. McGruder,8,6
16,1,8:45.0,,H. Whiteside makes 2-pt layup from 4 ft,8,8
17,1,8:30.0,A. Gordon misses 2-pt jump shot from 8 ft,,8,8
18,1,8:29.0,Offensive rebound by A. Gordon,,8,8
19,1,8:28.0,A. Gordon misses 2-pt layup from 1 ft,,8,8
20,1,8:27.0,Offensive rebound by A. Gordon,,8,8
21,1,8:26.0,A. Gordon misses 2-pt layup from 1 ft,,8,8
22,1,8:25.0,Offensive rebound by N. Vučević,,8,8
23,1,8:24.0,N. Vučević misses 2-pt layup from 1 ft,,8,8
24,1,8:23.0,Offensive rebound by A. Gordon,,8,8
25,1,8:22.0,A. Gordon misses 2-pt layup from 1 ft,,8,8
26,1,8:21.0,,Defensive rebound by H. Whiteside,8,8
27,1,8:15.0,,J. Richardson misses 2-pt layup from 2 ft,8,8
28,1,8:15.0,,Offensive rebound by Team,8,8
29,1,8:15.0,Loose ball foul by A. Gordon (drawn by H. Whiteside),,8,8
30,1,8:07.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Johnson),8,11
31,1,7:51.0,N. Vučević misses 3-pt jump shot from 25 ft,,8,11
32,1,7:48.0,,Defensive rebound by H. Whiteside,8,11
33,1,7:40.0,,H. Whiteside makes 2-pt jump shot from 6 ft,8,13
34,1,7:27.0,A. Gordon misses 2-pt layup from 1 ft (block by H. Whiteside),,8,13
35,1,7:27.0,Offensive rebound by Team,,8,13
36,1,7:27.0,Away from play foul by J. Johnson (drawn by A. Gordon),,8,13
37,1,7:27.0,D. Augustin makes free throw 1 of 1,,9,13
38,1,7:20.0,E. Fournier makes 2-pt layup from 1 ft (assist by A. Gordon),,11,13
39,1,7:01.0,,J. Richardson misses 2-pt jump shot from 23 ft,11,13
40,1,6:59.0,,Offensive rebound by H. Whiteside,11,13
41,1,6:55.0,,H. Whiteside makes 2-pt hook shot from 6 ft,11,15
42,1,6:41.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,14,15
43,1,6:22.0,,W. Ellington misses 3-pt jump shot from 25 ft,14,15
44,1,6:17.0,Defensive rebound by A. Gordon,,14,15
45,1,6:07.0,N. Vučević makes 2-pt layup from 1 ft,,16,15
46,1,6:03.0,,Miami full timeout,16,15
47,1,6:03.0,J. Isaac enters the game for J. Simmons,,16,15
48,1,5:50.0,,R. McGruder makes 2-pt jump shot from 4 ft (assist by J. Richardson),16,17
49,1,5:31.0,E. Fournier misses 3-pt jump shot from 28 ft,,16,17
50,1,5:27.0,,Defensive rebound by H. Whiteside,16,17
51,1,5:19.0,,R. McGruder makes 2-pt jump shot from 7 ft,16,19
52,1,5:00.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Isaac),,19,19
53,1,5:00.0,T. Ross enters the game for E. Fournier,,19,19
54,1,5:00.0,,B. Adebayo enters the game for J. Johnson,19,19
55,1,5:00.0,,K. Olynyk enters the game for R. McGruder,19,19
56,1,5:00.0,,D. Wade enters the game for H. Whiteside,19,19
57,1,4:38.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by B. Adebayo),19,22
58,1,4:25.0,Personal foul by J. Richardson (drawn by A. Gordon),,19,22
59,1,4:23.0,Personal foul by J. Richardson (drawn by A. Gordon),,19,22
60,1,4:23.0,,J. Winslow enters the game for J. Richardson,19,22
61,1,4:11.0,J. Isaac makes 2-pt jump shot from 14 ft,,21,22
62,1,3:59.0,,W. Ellington misses 3-pt jump shot from 25 ft,21,22
63,1,3:59.0,Defensive rebound by Team,,21,22
64,1,3:59.0,J. Grant enters the game for D. Augustin,,21,22
65,1,3:49.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by T. Ross),,24,22
66,1,3:34.0,,D. Wade misses 2-pt jump shot from 8 ft (block by A. Gordon),24,22
67,1,3:31.0,,Offensive rebound by W. Ellington,24,22
68,1,3:21.0,,D. Wade misses 2-pt jump shot from 17 ft,24,22
69,1,3:17.0,Defensive rebound by A. Gordon,,24,22
