,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHARLOTTE_ACTION,BOSTON_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,K. Irving makes 2-pt jump shot from 1 ft (assist by M. Smart),,2,0
1,1,11:29.0,,D. Bacon misses 2-pt layup from 2 ft (block by R. Williams),2,0
2,1,11:29.0,,Offensive rebound by Team,2,0
3,1,11:22.0,,K. Walker misses 3-pt jump shot from 25 ft,2,0
4,1,11:19.0,Defensive rebound by K. Irving,,2,0
5,1,11:13.0,K. Irving misses 2-pt jump shot from 5 ft,,2,0
6,1,11:10.0,,Defensive rebound by D. Bacon,2,0
7,1,11:02.0,,B. Biyombo makes 2-pt dunk from 1 ft (assist by M. Williams),2,2
8,1,10:39.0,J. Tatum misses 2-pt jump shot from 20 ft,,2,2
9,1,10:36.0,,Defensive rebound by K. Walker,2,2
10,1,10:32.0,,Personal foul by R. Williams (drawn by K. Walker),2,2
11,1,10:16.0,,M. Bridges makes 3-pt jump shot from 25 ft,2,5
12,1,9:50.0,M. Morris makes 2-pt jump shot from 22 ft (assist by R. Williams),,4,5
13,1,9:32.0,,M. Bridges makes 3-pt jump shot from 22 ft (assist by D. Bacon),4,8
14,1,9:21.0,J. Tatum misses 3-pt jump shot from 24 ft,,4,8
15,1,9:18.0,,Defensive rebound by D. Bacon,4,8
16,1,9:10.0,,D. Bacon makes 2-pt layup from 1 ft,4,10
17,1,9:01.0,R. Williams makes 2-pt layup from 2 ft (assist by M. Smart),,6,10
18,1,8:50.0,,Turnover by M. Williams (bad pass; steal by M. Smart),6,10
19,1,8:42.0,M. Smart misses 3-pt jump shot from 27 ft,,6,10
20,1,8:39.0,,Defensive rebound by M. Bridges,6,10
21,1,8:33.0,,M. Bridges misses 2-pt jump shot from 6 ft,6,10
22,1,8:29.0,Defensive rebound by J. Tatum,,6,10
23,1,8:25.0,M. Smart misses 3-pt jump shot from 28 ft,,6,10
24,1,8:22.0,,Defensive rebound by B. Biyombo,6,10
25,1,8:16.0,,Shooting foul by M. Smart (drawn by K. Walker),6,10
26,1,8:16.0,,K. Walker makes free throw 1 of 3,6,11
27,1,8:16.0,,K. Walker makes free throw 2 of 3,6,12
28,1,8:16.0,,K. Walker makes free throw 3 of 3,6,13
29,1,7:49.0,J. Tatum misses 3-pt jump shot from 23 ft,,6,13
30,1,7:46.0,,Defensive rebound by M. Bridges,6,13
31,1,7:45.0,,Shooting foul by M. Morris (drawn by M. Bridges),6,13
32,1,7:45.0,,M. Bridges misses free throw 1 of 2,6,13
33,1,7:45.0,,Offensive rebound by Team,6,13
34,1,7:45.0,,M. Bridges makes free throw 2 of 2,6,14
35,1,7:29.0,K. Irving makes 2-pt jump shot from 22 ft,,8,14
36,1,7:16.0,,M. Williams misses 3-pt jump shot from 28 ft,8,14
37,1,7:16.0,Defensive rebound by Team,,8,14
38,1,7:16.0,,J. Lamb enters the game for M. Williams,8,14
39,1,7:07.0,K. Irving misses 3-pt jump shot from 29 ft,,8,14
40,1,7:04.0,,Defensive rebound by D. Bacon,8,14
41,1,6:59.0,,D. Bacon misses 2-pt jump shot from 11 ft,8,14
42,1,6:56.0,Defensive rebound by K. Irving,,8,14
43,1,6:53.0,K. Irving makes 2-pt layup from 2 ft,,10,14
44,1,6:53.0,Shooting foul by D. Bacon (drawn by K. Irving),,10,14
45,1,6:53.0,,Charlotte full timeout,10,14
46,1,6:53.0,K. Irving misses free throw 1 of 1,,10,14
47,1,6:49.0,,Defensive rebound by B. Biyombo,10,14
48,1,6:35.0,,K. Walker misses 3-pt jump shot from 26 ft,10,14
49,1,6:33.0,Defensive rebound by R. Williams,,10,14
50,1,6:15.0,M. Morris makes 2-pt jump shot from 7 ft,,12,14
51,1,6:00.0,,B. Biyombo misses 2-pt layup from 3 ft (block by M. Morris),12,14
52,1,6:00.0,,Offensive rebound by Team,12,14
53,1,6:00.0,J. Brown enters the game for J. Tatum,,12,14
54,1,6:00.0,D. Theis enters the game for R. Williams,,12,14
55,1,6:00.0,,W. Hernangómez enters the game for B. Biyombo,12,14
56,1,5:50.0,,D. Bacon misses 2-pt layup from 2 ft,12,14
57,1,5:47.0,Defensive rebound by D. Theis,,12,14
58,1,5:44.0,K. Irving makes 3-pt jump shot from 25 ft (assist by J. Brown),,15,14
59,1,5:34.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by K. Walker),15,17
60,1,5:26.0,Shooting foul by D. Bacon (drawn by D. Theis),,15,17
61,1,5:26.0,D. Theis misses free throw 1 of 2,,15,17
62,1,5:26.0,Offensive rebound by Team,,15,17
63,1,5:26.0,D. Theis makes free throw 2 of 2,,16,17
64,1,5:08.0,,M. Bridges misses 3-pt jump shot from 23 ft,16,17
65,1,5:05.0,Defensive rebound by M. Smart,,16,17
66,1,4:51.0,D. Theis misses 2-pt layup from 2 ft (block by W. Hernangómez),,16,17
67,1,4:49.0,,Defensive rebound by K. Walker,16,17
68,1,4:41.0,,K. Walker misses 2-pt jump shot from 18 ft,16,17
69,1,4:37.0,Defensive rebound by K. Irving,,16,17
70,1,4:34.0,K. Irving makes 2-pt layup from 1 ft,,18,17
71,1,4:23.0,,Turnover by W. Hernangómez (bad pass),18,17
72,1,4:23.0,,M. Monk enters the game for D. Bacon,18,17
73,1,4:01.0,J. Brown makes 3-pt jump shot from 26 ft (assist by K. Irving),,21,17
74,1,3:49.0,,J. Lamb makes 2-pt jump shot from 1 ft (assist by K. Walker),21,19
75,1,3:35.0,K. Irving makes 2-pt layup from 2 ft,,23,19
76,1,3:23.0,,K. Walker makes 2-pt layup from 2 ft,23,21
77,1,3:16.0,Personal foul by M. Monk (drawn by K. Irving),,23,21
78,1,3:16.0,S. Ojeleye enters the game for M. Morris,,23,21
79,1,3:16.0,T. Rozier enters the game for M. Smart,,23,21
80,1,3:16.0,,F. Kaminsky enters the game for M. Bridges,23,21
81,1,3:05.0,Shooting foul by W. Hernangómez (drawn by S. Ojeleye),,23,21
82,1,3:05.0,S. Ojeleye makes free throw 1 of 2,,24,21
83,1,3:05.0,S. Ojeleye makes free throw 2 of 2,,25,21
84,1,2:42.0,,W. Hernangómez makes 2-pt layup from 2 ft (assist by F. Kaminsky),25,23
85,1,2:27.0,J. Brown makes 2-pt jump shot from 19 ft,,27,23
86,1,2:06.0,,J. Lamb misses 2-pt layup from 4 ft,27,23
87,1,2:00.0,,Offensive rebound by W. Hernangómez,27,23
88,1,2:00.0,,W. Hernangómez makes 2-pt layup at rim,27,25
89,1,1:48.0,J. Brown makes 3-pt jump shot from 25 ft (assist by S. Ojeleye),,30,25
90,1,1:32.0,,K. Walker makes 2-pt layup from 1 ft,30,27
91,1,1:32.0,Boston full timeout,,30,27
92,1,1:32.0,,D. Graham enters the game for K. Walker,30,27
93,1,1:20.0,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Brown),,33,27
94,1,1:00.0,,Turnover by M. Monk (bad pass; steal by K. Irving),33,27
95,1,0:55.0,Shooting foul by D. Graham (drawn by J. Brown),,33,27
96,1,0:55.0,J. Brown makes free throw 1 of 2,,34,27
97,1,0:55.0,J. Brown makes free throw 2 of 2,,35,27
98,1,0:31.0,,J. Lamb misses 3-pt jump shot from 26 ft,35,27
99,1,0:29.0,,Offensive rebound by F. Kaminsky,35,27
100,1,0:29.0,,Shooting foul by J. Brown (drawn by F. Kaminsky),35,27
101,1,0:29.0,,F. Kaminsky makes free throw 1 of 2,35,28
102,1,0:29.0,,F. Kaminsky makes free throw 2 of 2,35,29
103,1,0:17.0,Turnover by K. Irving (bad pass),,35,29
104,1,0:17.0,J. Tatum enters the game for K. Irving,,35,29
105,1,0:01.0,,D. Graham misses 2-pt jump shot from 15 ft,35,29
106,1,0:01.0,Defensive rebound by S. Ojeleye,,35,29
107,1,0:00.0,S. Ojeleye misses 3-pt jump shot from 66 ft (block by W. Hernangómez),,35,29
108,1,0:00.0,Offensive rebound by Team,,35,29
109,2,11:43.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by D. Graham),35,31
110,2,11:17.0,J. Brown misses 2-pt jump shot from 13 ft,,35,31
111,2,11:14.0,,Defensive rebound by D. Graham,35,31
112,2,11:07.0,,W. Hernangómez misses 2-pt layup from 9 ft,35,31
113,2,11:03.0,,Offensive rebound by W. Hernangómez,35,31
114,2,11:03.0,,W. Hernangómez misses 2-pt layup at rim,35,31
115,2,11:02.0,Defensive rebound by J. Brown,,35,31
116,2,10:54.0,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by J. Tatum),,38,31
117,2,10:39.0,,M. Monk makes 3-pt jump shot from 24 ft (assist by D. Graham),38,34
118,2,10:18.0,J. Brown makes 2-pt layup from 3 ft (assist by J. Tatum),,40,34
119,2,10:18.0,Shooting foul by M. Monk (drawn by J. Brown),,40,34
120,2,10:18.0,J. Brown misses free throw 1 of 1,,40,34
121,2,10:14.0,,Defensive rebound by J. Lamb,40,34
122,2,10:05.0,,J. Lamb misses 3-pt jump shot from 26 ft,40,34
123,2,10:00.0,Defensive rebound by S. Ojeleye,,40,34
124,2,9:54.0,J. Tatum misses 2-pt layup from 8 ft (block by J. Lamb),,40,34
125,2,9:51.0,,Defensive rebound by J. Lamb,40,34
126,2,9:51.0,,Shooting foul by S. Ojeleye (drawn by M. Monk),40,34
127,2,9:51.0,,M. Monk makes free throw 1 of 2,40,35
128,2,9:51.0,,M. Williams enters the game for W. Hernangómez,40,35
129,2,9:51.0,,M. Monk makes free throw 2 of 2,40,36
130,2,9:28.0,J. Tatum misses 2-pt jump shot from 20 ft,,40,36
131,2,9:24.0,,Defensive rebound by J. Lamb,40,36
132,2,9:15.0,,M. Monk misses 2-pt hook shot from 10 ft,40,36
133,2,9:13.0,Defensive rebound by S. Ojeleye,,40,36
134,2,9:05.0,J. Tatum makes 3-pt jump shot from 23 ft (assist by G. Yabusele),,43,36
135,2,9:05.0,,Charlotte full timeout,43,36
136,2,8:46.0,,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by M. Monk),43,39
137,2,8:29.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Brown),,46,39
138,2,8:04.0,,F. Kaminsky misses 3-pt jump shot from 28 ft,46,39
139,2,8:01.0,Defensive rebound by G. Yabusele,,46,39
140,2,7:50.0,Personal foul by M. Williams (drawn by J. Tatum),,46,39
141,2,7:50.0,M. Morris enters the game for S. Ojeleye,,46,39
142,2,7:50.0,,D. Bacon enters the game for J. Lamb,46,39
143,2,7:36.0,T. Rozier makes 2-pt layup from 2 ft (assist by M. Morris),,48,39
144,2,7:13.0,,M. Monk makes 3-pt jump shot from 30 ft (assist by M. Williams),48,42
145,2,7:03.0,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Tatum),,51,42
