,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
0,1,11:38.0,,K. Middleton misses 2-pt layup from 3 ft (block by D. Favors),0,0
1,1,11:33.0,,Offensive rebound by B. Lopez,0,0
2,1,11:32.0,,B. Lopez makes 2-pt layup from 2 ft,0,2
3,1,11:21.0,R. Rubio misses 2-pt jump shot from 20 ft,,0,2
4,1,11:18.0,,Defensive rebound by B. Lopez,0,2
5,1,11:10.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,0,4
6,1,10:56.0,D. Favors misses 3-pt jump shot from 23 ft,,0,4
7,1,10:54.0,,Defensive rebound by K. Middleton,0,4
8,1,10:51.0,,K. Middleton misses 3-pt jump shot from 27 ft,0,4
9,1,10:48.0,Defensive rebound by D. Favors,,0,4
10,1,10:42.0,Turnover by D. Mitchell (step out of bounds),,0,4
11,1,10:25.0,,Turnover by B. Lopez (bad pass; steal by R. Rubio),0,4
12,1,10:17.0,R. Rubio makes 2-pt layup from 2 ft,,2,4
13,1,10:04.0,,M. Brogdon misses 2-pt jump shot from 19 ft,2,4
14,1,10:04.0,Defensive rebound by R. Gobert,,2,4
15,1,9:54.0,R. Gobert misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,2,4
16,1,9:52.0,,Defensive rebound by K. Middleton,2,4
17,1,9:48.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by M. Brogdon),2,6
18,1,9:48.0,Utah full timeout,,2,6
19,1,9:35.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),,5,6
20,1,9:10.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,5,6
21,1,9:08.0,Defensive rebound by R. Gobert,,5,6
22,1,8:59.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Rubio),,7,6
23,1,8:49.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),7,9
24,1,8:34.0,Offensive foul by R. Rubio (drawn by E. Bledsoe),,7,9
25,1,8:34.0,Turnover by R. Rubio (offensive foul),,7,9
26,1,8:21.0,,Turnover by E. Bledsoe (traveling),7,9
27,1,8:01.0,R. Rubio makes 2-pt jump shot from 15 ft (assist by D. Favors),,9,9
28,1,7:52.0,,Turnover by E. Bledsoe (bad pass; steal by R. Gobert),9,9
29,1,7:46.0,D. Mitchell misses 2-pt layup from 3 ft,,9,9
30,1,7:43.0,,Defensive rebound by B. Lopez,9,9
31,1,7:42.0,,Shooting foul by J. Ingles (drawn by G. Antetokounmpo),9,9
32,1,7:42.0,,G. Antetokounmpo misses free throw 1 of 2,9,9
