,QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
0,1,11:34.0,B. Brown makes 2-pt dunk from 1 ft,,2,0
1,1,11:07.0,,E. Fournier makes 2-pt jump shot from 9 ft,2,2
2,1,10:47.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),,5,2
3,1,10:47.0,Shooting foul by E. Fournier (drawn by R. Bullock),,5,2
4,1,10:47.0,R. Bullock makes free throw 1 of 1,,6,2
5,1,10:35.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),6,4
6,1,10:35.0,,Shooting foul by R. Bullock (drawn by A. Gordon),6,4
7,1,10:35.0,,A. Gordon makes free throw 1 of 1,6,5
8,1,10:11.0,R. Bullock misses 2-pt hook shot from 7 ft,,6,5
9,1,10:11.0,,Defensive rebound by A. Gordon,6,5
10,1,10:03.0,,A. Gordon makes 2-pt layup from 3 ft,6,7
11,1,9:48.0,Turnover by B. Brown (bad pass; steal by N. Vučević),,6,7
12,1,9:37.0,,Turnover by A. Gordon (bad pass),6,7
13,1,9:28.0,R. Bullock misses 3-pt jump shot from 26 ft,,6,7
14,1,9:25.0,,Defensive rebound by N. Vučević,6,7
15,1,9:15.0,,Turnover by E. Fournier (traveling),6,7
16,1,8:52.0,R. Bullock misses 3-pt jump shot from 26 ft,,6,7
17,1,8:49.0,,Defensive rebound by A. Gordon,6,7
18,1,8:37.0,,A. Gordon misses 3-pt jump shot from 27 ft,6,7
19,1,8:34.0,Defensive rebound by A. Drummond,,6,7
20,1,8:26.0,Turnover by A. Drummond (bad pass; steal by D. Augustin),,6,7
21,1,8:23.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),6,9
22,1,8:10.0,A. Drummond misses 3-pt jump shot from 27 ft,,6,9
23,1,8:06.0,,Defensive rebound by N. Vučević,6,9
24,1,8:01.0,,D. Augustin misses 3-pt jump shot from 26 ft,6,9
25,1,7:58.0,,Offensive rebound by E. Fournier,6,9
26,1,7:48.0,,J. Isaac misses 2-pt jump shot from 24 ft,6,9
27,1,7:46.0,Defensive rebound by A. Drummond,,6,9
28,1,7:44.0,R. Jackson misses 3-pt jump shot from 26 ft,,6,9
29,1,7:40.0,,Defensive rebound by A. Gordon,6,9
30,1,7:32.0,,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),6,11
31,1,7:25.0,Detroit full timeout,,6,11
32,1,7:12.0,Offensive foul by A. Drummond (drawn by J. Isaac),,6,11
33,1,7:12.0,Turnover by A. Drummond (offensive foul),,6,11
34,1,6:58.0,,N. Vučević makes 2-pt jump shot from 8 ft (assist by E. Fournier),6,13
35,1,6:57.0,B. Brown misses 3-pt jump shot from 26 ft,,6,13
36,1,6:40.0,,Defensive rebound by N. Vučević,6,13
37,1,6:34.0,,Personal foul by B. Brown (drawn by D. Augustin),6,13
38,1,6:31.0,,Personal foul by R. Bullock (drawn by A. Gordon),6,13
39,1,6:21.0,,E. Fournier makes 3-pt jump shot from 26 ft,6,16
40,1,6:06.0,R. Jackson misses 3-pt jump shot from 23 ft,,6,16
41,1,6:03.0,,Defensive rebound by E. Fournier,6,16
42,1,6:01.0,Violation by Team (kicked ball),,6,16
43,1,6:01.0,,W. Iwundu enters the game for J. Isaac,6,16
44,1,5:51.0,,N. Vučević misses 2-pt jump shot from 15 ft,6,16
45,1,5:47.0,Defensive rebound by A. Drummond,,6,16
46,1,5:39.0,Turnover by B. Griffin (bad pass),,6,16
47,1,5:27.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by W. Iwundu),6,18
48,1,5:17.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),,9,18
49,1,4:58.0,,N. Vučević makes 2-pt jump shot from 10 ft (assist by E. Fournier),9,20
50,1,4:39.0,R. Jackson misses 2-pt hook shot from 7 ft,,9,20
51,1,4:37.0,Offensive rebound by R. Jackson,,9,20
52,1,4:36.0,R. Jackson misses 2-pt layup from 3 ft,,9,20
53,1,4:35.0,A. Drummond misses 2-pt layup from 4 ft,,9,20
54,1,4:35.0,Offensive rebound by A. Drummond,,9,20
55,1,4:35.0,Offensive rebound by A. Drummond,,9,20
56,1,4:34.0,A. Drummond makes 2-pt layup from 1 ft,,11,20
57,1,4:16.0,,E. Fournier misses 3-pt jump shot from 26 ft,11,20
58,1,4:13.0,Defensive rebound by B. Griffin,,11,20
59,1,4:06.0,R. Bullock makes 2-pt jump shot from 18 ft (assist by B. Griffin),,13,20
60,1,3:58.0,,Orlando full timeout,13,20
61,1,3:58.0,J. Calderón enters the game for R. Jackson,,13,20
62,1,3:58.0,,T. Ross enters the game for D. Augustin,13,20
63,1,3:58.0,,J. Simmons enters the game for E. Fournier,13,20
64,1,3:46.0,,Shooting foul by A. Drummond (drawn by A. Gordon),13,20
65,1,3:46.0,,A. Gordon makes free throw 1 of 2,13,21
66,1,3:46.0,,A. Gordon makes free throw 2 of 2,13,22
67,1,3:21.0,Turnover by Team (shot clock),,13,22
68,1,3:21.0,Z. Pachulia enters the game for A. Drummond,,13,22
69,1,3:12.0,,J. Simmons misses 2-pt jump shot from 21 ft,13,22
70,1,3:09.0,Defensive rebound by B. Griffin,,13,22
71,1,2:58.0,J. Calderón makes 2-pt jump shot from 18 ft,,15,22
72,1,2:42.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),15,24
73,1,2:33.0,R. Bullock misses 2-pt jump shot from 11 ft,,15,24
74,1,2:30.0,,Defensive rebound by N. Vučević,15,24
75,1,2:19.0,,J. Simmons misses 2-pt jump shot from 16 ft,15,24
76,1,2:12.0,,Offensive rebound by N. Vučević,15,24
77,1,2:12.0,,N. Vučević makes 2-pt layup at rim,15,26
78,1,2:02.0,B. Griffin misses 2-pt layup from 1 ft,,15,26
79,1,1:55.0,Offensive rebound by Z. Pachulia,,15,26
80,1,1:55.0,Z. Pachulia makes 2-pt layup from 1 ft,,17,26
81,1,1:55.0,L. Galloway enters the game for B. Brown,,17,26
82,1,1:55.0,L. Kennard enters the game for R. Bullock,,17,26
83,1,1:55.0,,M. Bamba enters the game for N. Vučević,17,26
84,1,1:47.0,,Turnover by M. Bamba (offensive foul),17,26
85,1,1:47.0,,Offensive foul by M. Bamba (drawn by L. Galloway),17,26
86,1,1:32.0,Personal foul by W. Iwundu (drawn by L. Kennard),,17,26
87,1,1:32.0,S. Johnson enters the game for B. Griffin,,17,26
88,1,1:32.0,,J. Isaac enters the game for A. Gordon,17,26
89,1,1:21.0,L. Galloway misses 3-pt jump shot from 23 ft,,17,26
90,1,1:19.0,,Defensive rebound by W. Iwundu,17,26
91,1,1:11.0,,W. Iwundu misses 2-pt jump shot from 7 ft,17,26
92,1,1:09.0,,Offensive rebound by M. Bamba,17,26
93,1,0:58.0,,J. Simmons makes 2-pt layup from 2 ft,17,28
94,1,0:58.0,,Shooting foul by L. Kennard (drawn by J. Simmons),17,28
95,1,0:58.0,,J. Simmons makes free throw 1 of 1,17,29
96,1,0:47.0,L. Galloway misses 2-pt jump shot from 19 ft (block by T. Ross),,17,29
97,1,0:46.0,,Defensive rebound by T. Ross,17,29
98,1,0:45.0,,Turnover by T. Ross (bad pass; steal by L. Galloway),17,29
99,1,0:40.0,L. Galloway misses 3-pt jump shot from 27 ft,,17,29
100,1,0:38.0,Offensive rebound by L. Galloway,,17,29
101,1,0:35.0,Shooting foul by J. Simmons (drawn by L. Galloway),,17,29
102,1,0:35.0,L. Galloway makes free throw 1 of 2,,18,29
103,1,0:35.0,L. Galloway makes free throw 2 of 2,,19,29
104,1,0:26.0,,Turnover by J. Simmons (lost ball; steal by Z. Pachulia),19,29
105,1,0:23.0,L. Kennard makes 2-pt layup from 2 ft,,21,29
106,1,0:00.0,,J. Simmons makes 2-pt jump shot from 17 ft,21,31
107,2,11:49.0,,M. Bamba misses 2-pt layup from 2 ft (block by Z. Pachulia),21,31
108,2,11:45.0,Defensive rebound by Z. Pachulia,,21,31
109,2,11:29.0,Turnover by S. Johnson (lost ball; steal by J. Isaac),,21,31
110,2,11:20.0,,M. Bamba misses 3-pt jump shot from 23 ft,21,31
111,2,11:16.0,Defensive rebound by L. Kennard,,21,31
112,2,11:06.0,Z. Pachulia misses 2-pt jump shot from 7 ft,,21,31
113,2,11:04.0,,Defensive rebound by M. Bamba,21,31
114,2,10:54.0,,J. Simmons makes 2-pt jump shot from 9 ft (assist by D. Augustin),21,33
115,2,10:38.0,L. Kennard makes 2-pt layup from 3 ft (assist by Z. Pachulia),,23,33
116,2,10:22.0,,M. Bamba makes 2-pt dunk from 1 ft (assist by J. Isaac),23,35
117,2,10:02.0,L. Kennard misses 3-pt jump shot from 26 ft,,23,35
118,2,9:57.0,Offensive rebound by Z. Pachulia,,23,35
119,2,9:57.0,Z. Pachulia misses 2-pt layup from 1 ft,,23,35
120,2,9:57.0,,Defensive rebound by M. Bamba,23,35
121,2,9:51.0,,Shooting foul by S. Johnson (drawn by J. Isaac),23,35
122,2,9:51.0,,J. Isaac makes free throw 1 of 2,23,36
123,2,9:51.0,,J. Isaac makes free throw 2 of 2,23,37
124,2,9:42.0,Shooting foul by J. Simmons (drawn by Z. Pachulia),,23,37
125,2,9:42.0,Z. Pachulia makes free throw 1 of 2,,24,37
126,2,9:42.0,Z. Pachulia makes free throw 2 of 2,,25,37
127,2,9:27.0,,M. Bamba misses 2-pt layup from 12 ft (block by Z. Pachulia),25,37
128,2,9:24.0,Defensive rebound by L. Kennard,,25,37
129,2,9:22.0,J. Calderón misses 3-pt jump shot from 24 ft,,25,37
130,2,9:18.0,,Defensive rebound by M. Bamba,25,37
131,2,9:04.0,,J. Simmons misses 2-pt jump shot from 20 ft,25,37
132,2,9:01.0,Defensive rebound by Z. Pachulia,,25,37
133,2,8:52.0,Shooting foul by M. Bamba (drawn by Z. Pachulia),,25,37
134,2,8:52.0,Z. Pachulia makes free throw 1 of 2,,26,37
135,2,8:52.0,Z. Pachulia makes free throw 2 of 2,,27,37
136,2,8:37.0,,J. Simmons misses 2-pt layup from 2 ft,27,37
137,2,8:34.0,Defensive rebound by L. Galloway,,27,37
138,2,8:25.0,L. Kennard makes 3-pt jump shot from 28 ft (assist by Z. Pachulia),,30,37
139,2,8:09.0,,M. Bamba misses 3-pt jump shot from 26 ft,30,37
140,2,8:03.0,Defensive rebound by L. Kennard,,30,37
141,2,7:59.0,S. Johnson makes 3-pt jump shot from 26 ft (assist by L. Kennard),,33,37
142,2,7:59.0,,Orlando full timeout,33,37
143,2,7:59.0,,E. Fournier enters the game for D. Augustin,33,37
144,2,7:59.0,,N. Vučević enters the game for M. Bamba,33,37
145,2,7:43.0,,T. Ross makes 2-pt jump shot from 8 ft,33,39
146,2,7:21.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,33,39
147,2,7:16.0,,Defensive rebound by T. Ross,33,39
148,2,7:09.0,,J. Isaac misses 2-pt hook shot from 8 ft,33,39
149,2,7:05.0,,Offensive rebound by T. Ross,33,39
150,2,7:05.0,,T. Ross misses 2-pt layup at rim,33,39
151,2,7:04.0,Defensive rebound by L. Galloway,,33,39
152,2,7:03.0,Personal foul by E. Fournier (drawn by J. Calderón),,33,39
153,2,7:03.0,,D. Augustin enters the game for J. Simmons,33,39
154,2,6:51.0,L. Galloway makes 2-pt hook shot from 7 ft,,35,39
155,2,6:40.0,,T. Ross makes 2-pt hook shot from 3 ft (assist by D. Augustin),35,41
156,2,6:21.0,L. Kennard makes 2-pt jump shot from 9 ft,,37,41
157,2,6:05.0,,E. Fournier misses 2-pt jump shot from 11 ft,37,41
158,2,6:02.0,Defensive rebound by Z. Pachulia,,37,41
159,2,5:52.0,S. Johnson makes 2-pt layup from 2 ft (assist by J. Calderón),,39,41
160,2,5:52.0,Shooting foul by D. Augustin (drawn by S. Johnson),,39,41
161,2,5:52.0,A. Drummond enters the game for J. Calderón,,39,41
162,2,5:52.0,R. Jackson enters the game for Z. Pachulia,,39,41
163,2,5:52.0,S. Johnson misses free throw 1 of 1,,39,41
164,2,5:51.0,Offensive rebound by L. Galloway,,39,41
165,2,5:39.0,A. Drummond makes 2-pt layup from 1 ft (assist by L. Kennard),,41,41
166,2,5:27.0,,N. Vučević misses 3-pt jump shot from 26 ft,41,41
167,2,5:23.0,Defensive rebound by S. Johnson,,41,41
168,2,5:18.0,S. Johnson misses 3-pt jump shot from 25 ft,,41,41
169,2,5:14.0,,Defensive rebound by N. Vučević,41,41
170,2,5:08.0,,Shooting foul by S. Johnson (drawn by N. Vučević),41,41
171,2,5:08.0,,N. Vučević makes free throw 1 of 2,41,42
172,2,5:08.0,R. Bullock enters the game for L. Galloway,,41,42
173,2,5:08.0,B. Griffin enters the game for S. Johnson,,41,42
174,2,5:08.0,,A. Gordon enters the game for T. Ross,41,42
175,2,5:08.0,,N. Vučević makes free throw 2 of 2,41,43
176,2,4:58.0,L. Kennard makes 2-pt jump shot from 14 ft,,43,43
177,2,4:38.0,,D. Augustin makes 2-pt jump shot from 2 ft,43,45
178,2,4:28.0,R. Jackson makes 2-pt layup from 1 ft,,45,45
179,2,4:14.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by D. Augustin),45,47
180,2,4:05.0,Personal foul by A. Gordon (drawn by B. Griffin),,45,47
181,2,4:05.0,B. Griffin makes free throw 1 of 2,,46,47
182,2,4:05.0,B. Griffin makes free throw 2 of 2,,47,47
183,2,3:56.0,,A. Gordon makes 2-pt jump shot from 3 ft (assist by D. Augustin),47,49
184,2,3:56.0,,Shooting foul by A. Drummond (drawn by A. Gordon),47,49
185,2,3:56.0,,A. Gordon misses free throw 1 of 1,47,49
186,2,3:53.0,Defensive rebound by A. Drummond,,47,49
187,2,3:44.0,R. Bullock misses 2-pt jump shot from 14 ft,,47,49
188,2,3:42.0,Offensive rebound by R. Bullock,,47,49
189,2,3:42.0,Z. Pachulia enters the game for A. Drummond,,47,49
190,2,3:34.0,B. Griffin misses 2-pt hook shot from 8 ft,,47,49
191,2,3:31.0,,Defensive rebound by N. Vučević,47,49
192,2,3:18.0,,A. Gordon makes 2-pt jump shot from 11 ft,47,51
193,2,2:59.0,Z. Pachulia makes 2-pt hook shot from 11 ft (assist by L. Kennard),,49,51
194,2,2:43.0,,N. Vučević misses 3-pt jump shot from 26 ft,49,51
195,2,2:39.0,Defensive rebound by L. Kennard,,49,51
196,2,2:35.0,L. Kennard makes 2-pt jump shot from 21 ft,,51,51
197,2,2:13.0,,Turnover by N. Vučević (bad pass; steal by B. Griffin),51,51
198,2,2:09.0,B. Griffin misses 2-pt layup from 2 ft,,51,51
199,2,2:08.0,,Defensive rebound by N. Vučević,51,51
200,2,2:07.0,,Personal foul by Z. Pachulia (drawn by N. Vučević),51,51
201,2,2:07.0,Detroit full timeout,,51,51
202,2,2:07.0,,T. Ross enters the game for E. Fournier,51,51
203,2,1:55.0,,Turnover by J. Isaac (bad pass; steal by Z. Pachulia),51,51
204,2,1:53.0,Personal foul by D. Augustin (drawn by B. Griffin),,51,51
205,2,1:53.0,B. Griffin makes free throw 1 of 2,,52,51
206,2,1:53.0,B. Griffin makes free throw 2 of 2,,53,51
207,2,1:45.0,,Shooting foul by R. Jackson (drawn by D. Augustin),53,51
208,2,1:45.0,,D. Augustin makes free throw 1 of 2,53,52
209,2,1:45.0,,D. Augustin makes free throw 2 of 2,53,53
210,2,1:25.0,R. Bullock misses 2-pt layup from 1 ft,,53,53
211,2,1:22.0,,Defensive rebound by A. Gordon,53,53
212,2,1:17.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),53,55
213,2,1:01.0,R. Bullock misses 3-pt jump shot from 25 ft,,53,55
214,2,0:59.0,,Defensive rebound by A. Gordon,53,55
215,2,0:56.0,,Personal foul by B. Griffin (drawn by D. Augustin),53,55
216,2,0:56.0,,D. Augustin makes free throw 1 of 2,53,56
217,2,0:56.0,,D. Augustin makes free throw 2 of 2,53,57
