,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
0,1,11:47.0,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),,2,0
1,1,11:21.0,,E. Freedom makes 2-pt layup from 1 ft,2,2
2,1,11:07.0,T. Satoranský misses 3-pt jump shot from 23 ft,,2,2
3,1,11:05.0,,Defensive rebound by E. Freedom,2,2
4,1,10:51.0,,E. Freedom misses 2-pt jump shot from 7 ft,2,2
5,1,10:49.0,Defensive rebound by T. Bryant,,2,2
6,1,10:41.0,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),,4,2
7,1,10:27.0,,E. Mudiay misses 2-pt jump shot from 7 ft (block by O. Porter),4,2
8,1,10:26.0,Defensive rebound by Team,,4,2
9,1,10:07.0,J. Wall misses 3-pt jump shot from 28 ft,,4,2
10,1,10:05.0,,Defensive rebound by N. Vonleh,4,2
11,1,9:58.0,,E. Mudiay misses 2-pt layup from 1 ft (block by O. Porter),4,2
12,1,9:56.0,Defensive rebound by T. Bryant,,4,2
13,1,9:49.0,J. Wall misses 2-pt jump shot from 14 ft,,4,2
14,1,9:47.0,,Defensive rebound by E. Freedom,4,2
15,1,9:39.0,,Turnover by E. Mudiay (bad pass; steal by O. Porter),4,2
16,1,9:25.0,J. Wall misses 2-pt jump shot from 14 ft,,4,2
17,1,9:23.0,,Defensive rebound by N. Vonleh,4,2
18,1,9:09.0,,M. Hezonja misses 3-pt jump shot from 22 ft,4,2
19,1,9:07.0,Defensive rebound by B. Beal,,4,2
20,1,8:59.0,Shooting foul by M. Hezonja (drawn by T. Bryant),,4,2
21,1,8:59.0,T. Bryant makes free throw 1 of 2,,5,2
22,1,8:59.0,T. Bryant makes free throw 2 of 2,,6,2
23,1,8:52.0,,T. Hardaway misses 3-pt jump shot from 29 ft,6,2
24,1,8:50.0,,Offensive rebound by N. Vonleh,6,2
25,1,8:48.0,,N. Vonleh makes 2-pt hook shot from 1 ft,6,4
26,1,8:31.0,T. Satoranský misses 2-pt jump shot from 12 ft,,6,4
27,1,8:29.0,,Defensive rebound by M. Hezonja,6,4
28,1,8:22.0,,Turnover by M. Hezonja (bad pass; steal by O. Porter),6,4
29,1,8:18.0,B. Beal makes 2-pt jump shot from 10 ft (assist by T. Satoranský),,8,4
30,1,8:08.0,,T. Hardaway makes 2-pt layup at rim,8,6
31,1,7:55.0,O. Porter makes 2-pt jump shot from 15 ft,,10,6
32,1,7:34.0,,T. Hardaway makes 3-pt jump shot from 24 ft,10,9
33,1,7:28.0,Turnover by J. Wall (bad pass),,10,9
34,1,7:10.0,,Shooting foul by B. Beal (drawn by M. Hezonja),10,9
35,1,7:10.0,,M. Hezonja makes free throw 1 of 2,10,10
36,1,7:10.0,,M. Hezonja makes free throw 2 of 2,10,11
37,1,6:57.0,Turnover by B. Beal (bad pass; steal by E. Freedom),,10,11
38,1,6:51.0,,M. Hezonja makes 2-pt jump shot from 8 ft,10,13
39,1,6:33.0,J. Wall makes 2-pt layup at rim,,12,13
40,1,6:23.0,,N. Vonleh makes 3-pt jump shot from 25 ft (assist by E. Mudiay),12,16
41,1,5:57.0,T. Bryant misses 3-pt jump shot from 24 ft,,12,16
42,1,5:55.0,,Defensive rebound by E. Freedom,12,16
