,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
0,1,11:39.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
1,1,11:36.0,Defensive rebound by K. Walker,,0,0
2,1,11:17.0,W. Hernangómez makes 2-pt hook shot from 5 ft (assist by J. Lamb),,2,0
3,1,10:58.0,,E. Gordon misses 3-pt jump shot from 25 ft,2,0
4,1,10:56.0,Defensive rebound by Team,,2,0
5,1,10:40.0,M. Bridges misses 3-pt jump shot from 26 ft,,2,0
6,1,10:38.0,,Defensive rebound by J. Harden,2,0
7,1,10:33.0,,J. Harden misses 3-pt jump shot from 25 ft,2,0
8,1,10:33.0,Defensive rebound by Team,,2,0
9,1,10:21.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by K. Walker),,5,0
10,1,10:12.0,,E. Gordon misses 3-pt jump shot from 26 ft,5,0
11,1,10:09.0,Defensive rebound by D. Bacon,,5,0
12,1,9:57.0,Turnover by W. Hernangómez (lost ball; steal by J. Harden),,5,0
13,1,9:49.0,,J. Harden misses 2-pt layup from 1 ft,5,0
14,1,9:47.0,,Offensive rebound by C. Capela,5,0
15,1,9:45.0,,C. Capela makes 2-pt layup from 4 ft,5,2
16,1,9:37.0,D. Bacon misses 3-pt jump shot from 24 ft,,5,2
17,1,9:34.0,,Defensive rebound by C. Paul,5,2
18,1,9:27.0,,C. Capela misses 2-pt hook shot from 5 ft,5,2
19,1,9:27.0,,Offensive rebound by C. Capela,5,2
20,1,9:27.0,,C. Capela makes 2-pt layup from 1 ft,5,4
21,1,9:27.0,,Shooting foul by W. Hernangómez (drawn by C. Capela),5,4
22,1,9:27.0,,C. Capela makes free throw 1 of 1,5,5
23,1,9:13.0,W. Hernangómez misses 2-pt jump shot from 7 ft (block by C. Paul),,5,5
24,1,9:10.0,,Defensive rebound by C. Capela,5,5
25,1,9:06.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Tucker),5,8
26,1,8:45.0,D. Bacon makes 2-pt layup from 2 ft (assist by J. Lamb),,7,8
27,1,8:34.0,,C. Paul misses 2-pt jump shot from 11 ft,7,8
28,1,8:32.0,Defensive rebound by K. Walker,,7,8
29,1,8:32.0,Turnover by K. Walker (out of bounds lost ball),,7,8
30,1,8:28.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by C. Capela),7,11
31,1,8:08.0,K. Walker makes 3-pt jump shot from 26 ft (assist by D. Bacon),,10,11
32,1,7:54.0,,J. Harden misses 2-pt jump shot from 6 ft,10,11
33,1,7:50.0,,Offensive rebound by J. Harden,10,11
34,1,7:50.0,,J. Harden misses 2-pt layup from 1 ft,10,11
35,1,7:47.0,,Offensive rebound by C. Capela,10,11
36,1,7:47.0,,C. Capela makes 2-pt layup from 1 ft,10,13
37,1,7:35.0,M. Bridges misses 2-pt layup from 1 ft,,10,13
38,1,7:33.0,,Defensive rebound by P. Tucker,10,13
39,1,7:26.0,,J. Harden misses 3-pt jump shot from 25 ft,10,13
40,1,7:21.0,Defensive rebound by W. Hernangómez,,10,13
41,1,7:17.0,K. Walker misses 2-pt jump shot from 4 ft,,10,13
42,1,7:13.0,,Defensive rebound by C. Paul,10,13
43,1,6:57.0,,C. Paul misses 2-pt jump shot from 13 ft,10,13
44,1,6:55.0,Defensive rebound by W. Hernangómez,,10,13
45,1,6:45.0,Offensive foul by W. Hernangómez (drawn by P. Tucker),,10,13
46,1,6:45.0,Turnover by W. Hernangómez (offensive foul),,10,13
47,1,6:45.0,,Houston full timeout,10,13
48,1,6:45.0,B. Biyombo enters the game for W. Hernangómez,,10,13
49,1,6:45.0,M. Monk enters the game for J. Lamb,,10,13
50,1,6:45.0,,K. Faried enters the game for C. Paul,10,13
51,1,6:45.0,,A. Rivers enters the game for P. Tucker,10,13
52,1,6:27.0,,J. Harden misses 2-pt jump shot from 12 ft,10,13
53,1,6:23.0,Defensive rebound by B. Biyombo,,10,13
54,1,6:18.0,D. Bacon misses 3-pt jump shot from 23 ft,,10,13
55,1,6:15.0,,Defensive rebound by C. Capela,10,13
56,1,6:12.0,,E. Gordon makes 2-pt layup from 1 ft,10,15
57,1,6:12.0,,Shooting foul by M. Monk (drawn by E. Gordon),10,15
58,1,6:12.0,,E. Gordon makes free throw 1 of 1,10,16
59,1,6:03.0,Personal foul by A. Rivers (drawn by K. Walker),,10,16
60,1,6:03.0,F. Kaminsky enters the game for M. Bridges,,10,16
61,1,5:48.0,Turnover by Team (shot clock),,10,16
62,1,5:33.0,,Def 3 sec tech foul by Team,10,16
63,1,5:33.0,,J. Harden misses technical free throw,10,16
64,1,5:33.0,,Offensive rebound by Team,10,16
65,1,5:23.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by J. Harden),10,19
66,1,4:58.0,D. Bacon makes 2-pt layup from 1 ft,,12,19
67,1,4:45.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by J. Harden),12,22
68,1,4:31.0,Turnover by M. Monk (bad pass; steal by J. Harden),,12,22
69,1,4:27.0,,Turnover by J. Harden (bad pass),12,22
70,1,4:27.0,,G. Green enters the game for C. Capela,12,22
71,1,4:27.0,,I. Shumpert enters the game for E. Gordon,12,22
72,1,4:16.0,K. Walker misses 2-pt jump shot from 13 ft,,12,22
73,1,4:12.0,,Defensive rebound by K. Faried,12,22
74,1,4:08.0,,Offensive foul by J. Harden (drawn by K. Walker),12,22
75,1,4:08.0,,Turnover by J. Harden (offensive foul),12,22
76,1,3:52.0,M. Monk misses 3-pt jump shot from 24 ft,,12,22
77,1,3:49.0,,Defensive rebound by J. Harden,12,22
78,1,3:38.0,,Shooting foul by B. Biyombo (drawn by K. Faried),12,22
79,1,3:38.0,,K. Faried makes free throw 1 of 2,12,23
80,1,3:38.0,J. Lamb enters the game for D. Bacon,,12,23
81,1,3:38.0,,K. Faried makes free throw 2 of 2,12,24
82,1,3:26.0,J. Lamb misses 2-pt layup from 4 ft,,12,24
83,1,3:23.0,,Defensive rebound by K. Faried,12,24
84,1,3:23.0,Technical foul by J. Lamb,,12,24
85,1,3:23.0,,J. Harden makes technical free throw,12,25
86,1,3:12.0,,I. Shumpert misses 2-pt jump shot from 20 ft,12,25
87,1,3:09.0,Defensive rebound by M. Monk,,12,25
88,1,3:04.0,F. Kaminsky misses 3-pt jump shot from 23 ft,,12,25
89,1,3:02.0,Offensive rebound by Team,,12,25
90,1,3:02.0,,Loose ball foul by K. Faried (drawn by B. Biyombo),12,25
91,1,3:02.0,Charlotte full timeout,,12,25
92,1,3:02.0,D. Graham enters the game for K. Walker,,12,25
