,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:36.0,J. Harden misses 3-pt jump shot from 23 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Conley,0,0
2,1,11:12.0,,B. Caboclo makes 3-pt jump shot from 26 ft (assist by M. Conley),0,3
3,1,10:57.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,2,3
4,1,10:33.0,,M. Conley makes 3-pt jump shot from 23 ft,2,6
5,1,10:18.0,P. Tucker misses 2-pt layup from 1 ft,,2,6
6,1,10:16.0,,Defensive rebound by J. Valančiūnas,2,6
7,1,10:12.0,,Turnover by M. Conley (lost ball; steal by P. Tucker),2,6
8,1,10:03.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),,5,6
9,1,9:37.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by B. Caboclo),5,9
10,1,9:18.0,I. Shumpert misses 3-pt jump shot from 23 ft,,5,9
11,1,9:16.0,,Defensive rebound by J. Holiday,5,9
12,1,9:11.0,,M. Conley makes 3-pt jump shot from 25 ft,5,12
13,1,8:51.0,J. Harden misses 2-pt jump shot from 1 ft,,5,12
14,1,8:49.0,Offensive rebound by J. Harden,,5,12
15,1,8:42.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),,8,12
16,1,8:32.0,,D. Wright misses 2-pt jump shot from 8 ft (block by J. Harden),8,12
17,1,8:28.0,Defensive rebound by C. Paul,,8,12
18,1,8:21.0,J. Harden makes 2-pt jump shot from 5 ft,,10,12
19,1,8:04.0,,B. Caboclo makes 2-pt layup at rim (assist by D. Wright),10,14
20,1,7:51.0,C. Capela misses 2-pt layup from 3 ft,,10,14
21,1,7:51.0,,Defensive rebound by Team,10,14
22,1,7:38.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by M. Conley),10,16
23,1,7:32.0,Turnover by J. Harden (bad pass),,10,16
24,1,7:15.0,,B. Caboclo misses 3-pt jump shot from 24 ft,10,16
25,1,7:12.0,Defensive rebound by J. Harden,,10,16
26,1,7:02.0,J. Harden misses 2-pt jump shot from 1 ft,,10,16
27,1,6:59.0,Offensive rebound by C. Capela,,10,16
28,1,6:59.0,C. Capela misses 2-pt layup from 1 ft,,10,16
29,1,6:59.0,,Defensive rebound by Team,10,16
30,1,6:59.0,,Memphis full timeout,10,16
31,1,6:59.0,D. House enters the game for C. Paul,,10,16
32,1,6:59.0,A. Rivers enters the game for P. Tucker,,10,16
33,1,6:37.0,,D. Wright misses 3-pt jump shot from 23 ft,10,16
34,1,6:32.0,,Offensive rebound by B. Caboclo,10,16
35,1,6:30.0,,J. Valančiūnas makes 2-pt jump shot from 1 ft (assist by B. Caboclo),10,18
36,1,6:10.0,J. Harden misses 2-pt jump shot from 6 ft,,10,18
37,1,6:10.0,,Defensive rebound by B. Caboclo,10,18
38,1,6:10.0,,Personal foul by J. Harden (drawn by M. Conley),10,18
39,1,6:10.0,,T. Dorsey enters the game for D. Wright,10,18
40,1,5:50.0,,Shooting foul by C. Capela (drawn by J. Valančiūnas),10,18
41,1,5:50.0,,J. Valančiūnas makes free throw 1 of 2,10,19
42,1,5:50.0,,J. Valančiūnas makes free throw 2 of 2,10,20
43,1,5:35.0,Personal foul by T. Dorsey (drawn by J. Harden),,10,20
44,1,5:35.0,,C. Parsons enters the game for B. Caboclo,10,20
45,1,5:29.0,J. Harden makes 2-pt jump shot from 4 ft,,12,20
46,1,5:29.0,Shooting foul by J. Holiday (drawn by J. Harden),,12,20
47,1,5:29.0,J. Harden makes free throw 1 of 1,,13,20
48,1,5:16.0,,T. Dorsey misses 3-pt jump shot from 23 ft,13,20
49,1,5:14.0,,Offensive rebound by J. Valančiūnas,13,20
50,1,5:12.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft,13,22
51,1,4:54.0,J. Harden misses 2-pt layup at rim,,13,22
52,1,4:52.0,,Defensive rebound by J. Holiday,13,22
53,1,4:43.0,,J. Valančiūnas makes 2-pt jump shot from 8 ft,13,24
54,1,4:25.0,J. Harden makes 2-pt jump shot from 6 ft,,15,24
55,1,4:16.0,,M. Conley makes 3-pt jump shot from 26 ft,15,27
56,1,3:52.0,A. Rivers makes 3-pt jump shot from 24 ft,,18,27
57,1,3:41.0,,M. Conley makes 2-pt jump shot from 9 ft,18,29
58,1,3:28.0,A. Rivers makes 2-pt jump shot from 10 ft,,20,29
59,1,3:28.0,,Memphis full timeout,20,29
60,1,3:28.0,G. Green enters the game for C. Capela,,20,29
61,1,3:28.0,C. Paul enters the game for J. Harden,,20,29
62,1,3:28.0,P. Tucker enters the game for I. Shumpert,,20,29
63,1,3:28.0,,J. Noah enters the game for J. Holiday,20,29
64,1,3:28.0,,D. Wright enters the game for J. Valančiūnas,20,29
65,1,3:19.0,,Turnover by D. Wright (step out of bounds),20,29
66,1,3:11.0,D. House makes 3-pt jump shot from 26 ft (assist by C. Paul),,23,29
67,1,2:51.0,,Turnover by C. Parsons (bad pass; steal by G. Green),23,29
68,1,2:46.0,G. Green misses 2-pt jump shot from 3 ft,,23,29
69,1,2:43.0,,Defensive rebound by J. Noah,23,29
70,1,2:35.0,,T. Dorsey makes 3-pt jump shot from 24 ft (assist by M. Conley),23,32
71,1,2:17.0,A. Rivers misses 3-pt jump shot from 26 ft,,23,32
72,1,2:14.0,,Defensive rebound by J. Noah,23,32
73,1,2:07.0,,Shooting foul by A. Rivers (drawn by J. Noah),23,32
74,1,2:07.0,,J. Noah makes free throw 1 of 2,23,33
75,1,2:07.0,,B. Caboclo enters the game for M. Conley,23,33
76,1,2:07.0,,J. Noah misses free throw 2 of 2,23,33
77,1,2:05.0,Defensive rebound by P. Tucker,,23,33
78,1,1:54.0,Personal foul by T. Dorsey (drawn by A. Rivers),,23,33
79,1,1:42.0,C. Paul misses 3-pt jump shot from 23 ft,,23,33
80,1,1:38.0,,Defensive rebound by T. Dorsey,23,33
81,1,1:17.0,,C. Parsons makes 3-pt jump shot from 31 ft (assist by D. Wright),23,36
82,1,0:47.0,G. Green misses 3-pt jump shot from 25 ft,,23,36
83,1,0:44.0,,Defensive rebound by C. Parsons,23,36
84,1,0:28.0,,D. Wright misses 3-pt jump shot from 26 ft,23,36
85,1,0:25.0,Defensive rebound by P. Tucker,,23,36
86,1,0:24.0,Personal foul by C. Parsons (drawn by C. Paul),,23,36
87,1,0:24.0,C. Paul makes free throw 1 of 2,,24,36
88,1,0:24.0,,M. Conley enters the game for D. Wright,24,36
