,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:46.0,S. Adams misses 2-pt layup from 2 ft,,0,0
1,1,11:44.0,,Defensive rebound by E. Freedom,0,0
2,1,11:38.0,,D. Lillard makes 3-pt jump shot from 30 ft,0,3
3,1,11:16.0,P. George misses 2-pt layup from 3 ft (block by M. Harkless),,0,3
4,1,11:13.0,,Defensive rebound by M. Harkless,0,3
5,1,11:10.0,,E. Freedom misses 2-pt layup from 1 ft,0,3
6,1,11:08.0,Defensive rebound by S. Adams,,0,3
7,1,11:05.0,P. George misses 2-pt layup from 1 ft (block by M. Harkless),,0,3
8,1,11:05.0,Offensive rebound by Team,,0,3
9,1,10:59.0,P. George makes 2-pt jump shot from 15 ft (assist by R. Westbrook),,2,3
10,1,10:41.0,,Turnover by A. Aminu (bad pass; steal by P. George),2,3
11,1,10:31.0,Shooting foul by A. Aminu (drawn by J. Grant),,2,3
12,1,10:31.0,J. Grant makes free throw 1 of 2,,3,3
13,1,10:31.0,J. Grant makes free throw 2 of 2,,4,3
14,1,10:20.0,,Personal foul by T. Ferguson (drawn by E. Freedom),4,3
15,1,10:11.0,,D. Lillard misses 2-pt jump shot from 23 ft,4,3
16,1,10:09.0,,Offensive rebound by E. Freedom,4,3
17,1,10:08.0,,E. Freedom makes 2-pt layup from 2 ft,4,5
18,1,9:51.0,Shooting foul by E. Freedom (drawn by S. Adams),,4,5
19,1,9:51.0,S. Adams misses free throw 1 of 2,,4,5
20,1,9:51.0,Offensive rebound by Team,,4,5
21,1,9:51.0,S. Adams makes free throw 2 of 2,,5,5
22,1,9:34.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),5,8
23,1,9:23.0,P. George misses 3-pt jump shot from 24 ft,,5,8
24,1,9:21.0,Offensive rebound by P. George,,5,8
25,1,9:19.0,Shooting foul by M. Harkless (drawn by P. George),,5,8
26,1,9:19.0,P. George makes free throw 1 of 2,,6,8
27,1,9:19.0,P. George makes free throw 2 of 2,,7,8
28,1,9:03.0,,D. Lillard makes 2-pt layup from 1 ft,7,10
29,1,8:51.0,S. Adams makes 2-pt layup from 1 ft,,9,10
30,1,8:41.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),9,13
31,1,8:29.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,11,13
