,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
0,1,11:44.0,,B. Brown makes 2-pt jump shot from 8 ft,0,2
1,1,11:30.0,B. Caboclo misses 2-pt jump shot from 7 ft,,0,2
2,1,11:28.0,,Defensive rebound by A. Drummond,0,2
3,1,11:18.0,,R. Jackson misses 2-pt jump shot from 12 ft,0,2
4,1,11:17.0,Defensive rebound by J. Holiday,,0,2
5,1,11:06.0,B. Caboclo makes 2-pt dunk from 1 ft (assist by T. Zeller),,2,2
6,1,10:41.0,,A. Drummond misses 2-pt layup from 4 ft (block by J. Holiday),2,2
7,1,10:39.0,Defensive rebound by J. Holiday,,2,2
8,1,10:36.0,T. Dorsey misses 3-pt jump shot from 26 ft,,2,2
9,1,10:32.0,,Defensive rebound by B. Brown,2,2
10,1,10:17.0,Violation by Team (kicked ball),,2,2
11,1,10:08.0,,W. Ellington misses 3-pt jump shot from 24 ft,2,2
12,1,10:06.0,,Offensive rebound by A. Drummond,2,2
13,1,10:03.0,,A. Drummond misses 2-pt layup from 6 ft,2,2
14,1,10:02.0,Defensive rebound by T. Zeller,,2,2
15,1,9:57.0,T. Dorsey misses 2-pt layup from 2 ft,,2,2
16,1,9:53.0,Offensive rebound by T. Zeller,,2,2
17,1,9:51.0,T. Zeller makes 2-pt layup from 1 ft,,4,2
18,1,9:32.0,,B. Brown misses 3-pt jump shot from 27 ft,4,2
19,1,9:29.0,Defensive rebound by T. Zeller,,4,2
20,1,9:17.0,Shooting foul by B. Griffin (drawn by T. Zeller),,4,2
21,1,9:17.0,T. Zeller makes free throw 1 of 2,,5,2
22,1,9:17.0,T. Zeller makes free throw 2 of 2,,6,2
23,1,9:00.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),6,5
24,1,8:46.0,D. Wright makes 2-pt layup from 2 ft,,8,5
25,1,8:37.0,,A. Drummond misses 2-pt hook shot from 7 ft,8,5
26,1,8:35.0,Defensive rebound by B. Caboclo,,8,5
27,1,8:25.0,B. Caboclo makes 2-pt layup from 5 ft,,10,5
28,1,8:15.0,,Personal foul by B. Caboclo (drawn by B. Griffin),10,5
29,1,8:03.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Brown),10,8
30,1,7:50.0,Turnover by D. Wright (lost ball; steal by B. Griffin),,10,8
31,1,7:40.0,,R. Jackson misses 3-pt jump shot from 26 ft,10,8
32,1,7:35.0,Defensive rebound by T. Zeller,,10,8
33,1,7:30.0,D. Wright makes 2-pt layup from 3 ft (assist by B. Caboclo),,12,8
34,1,7:30.0,,Violation by Team (def goaltending),12,8
35,1,7:13.0,,Offensive foul by A. Drummond (drawn by D. Wright),12,8
36,1,7:13.0,,Turnover by A. Drummond (offensive foul),12,8
37,1,7:04.0,Turnover by D. Wright (bad pass; steal by A. Drummond),,12,8
38,1,6:58.0,,W. Ellington misses 2-pt layup from 4 ft,12,8
39,1,6:55.0,Defensive rebound by T. Dorsey,,12,8
40,1,6:51.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by T. Dorsey),,15,8
41,1,6:27.0,,R. Jackson makes 2-pt jump shot from 20 ft,15,10
42,1,6:13.0,Turnover by B. Caboclo (traveling),,15,10
43,1,6:13.0,,Detroit full timeout,15,10
44,1,5:54.0,,Turnover by W. Ellington (bad pass),15,10
45,1,5:43.0,B. Caboclo misses 3-pt jump shot from 25 ft,,15,10
46,1,5:40.0,Offensive rebound by T. Dorsey,,15,10
47,1,5:22.0,T. Dorsey makes 2-pt jump shot from 22 ft (assist by D. Wright),,17,10
48,1,5:10.0,,Shooting foul by T. Zeller (drawn by A. Drummond),17,10
49,1,5:10.0,,A. Drummond misses free throw 1 of 2,17,10
50,1,5:10.0,,Offensive rebound by Team,17,10
51,1,5:10.0,C. Parsons enters the game for B. Caboclo,,17,10
52,1,5:10.0,,L. Galloway enters the game for B. Brown,17,10
53,1,5:10.0,,T. Maker enters the game for B. Griffin,17,10
54,1,5:10.0,,A. Drummond makes free throw 2 of 2,17,11
55,1,4:54.0,T. Zeller makes 2-pt layup from 3 ft (assist by C. Parsons),,19,11
56,1,4:34.0,,A. Drummond makes 2-pt layup from 4 ft (assist by W. Ellington),19,13
