,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
0,1,11:46.0,R. Rondo misses 2-pt layup from 4 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. Collison,0,0
2,1,11:31.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),0,2
3,1,11:13.0,K. Kuzma misses 3-pt jump shot from 26 ft,,0,2
4,1,11:10.0,,Defensive rebound by Team,0,2
5,1,10:56.0,,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Evans),0,4
6,1,10:38.0,K. Kuzma makes 2-pt jump shot from 19 ft (assist by I. Zubac),,2,4
7,1,10:25.0,,M. Turner misses 2-pt jump shot from 16 ft,2,4
8,1,10:22.0,Defensive rebound by B. Ingram,,2,4
9,1,10:17.0,Turnover by B. Ingram (bad pass; steal by D. Collison),,2,4
10,1,10:13.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Collison),2,7
11,1,10:03.0,Turnover by L. James (bad pass; steal by T. Evans),,2,7
12,1,9:59.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Evans),2,10
13,1,9:57.0,LA Lakers full timeout,,2,10
14,1,9:41.0,B. Ingram makes 2-pt jump shot from 13 ft,,4,10
15,1,9:23.0,,B. Bogdanović misses 2-pt layup at rim,4,10
16,1,9:21.0,Defensive rebound by K. Kuzma,,4,10
17,1,9:16.0,I. Zubac makes 2-pt layup from 1 ft (assist by L. James),,6,10
18,1,9:02.0,,T. Young makes 2-pt jump shot from 4 ft,6,12
19,1,8:53.0,Shooting foul by T. Evans (drawn by B. Ingram),,6,12
20,1,8:53.0,B. Ingram makes free throw 1 of 2,,7,12
21,1,8:53.0,B. Ingram makes free throw 2 of 2,,8,12
22,1,8:42.0,,Shooting foul by L. James (drawn by T. Evans),8,12
23,1,8:42.0,,T. Evans misses free throw 1 of 2,8,12
24,1,8:42.0,,Offensive rebound by Team,8,12
25,1,8:42.0,,T. Evans makes free throw 2 of 2,8,13
26,1,8:29.0,K. Kuzma misses 2-pt jump shot from 21 ft,,8,13
27,1,8:26.0,,Defensive rebound by T. Evans,8,13
28,1,8:18.0,,Turnover by T. Evans (traveling),8,13
29,1,8:06.0,Turnover by I. Zubac (lost ball; steal by D. Collison),,8,13
30,1,8:01.0,,T. Evans misses 3-pt jump shot from 26 ft,8,13
31,1,7:56.0,Defensive rebound by I. Zubac,,8,13
32,1,7:47.0,K. Kuzma misses 3-pt jump shot from 28 ft,,8,13
