,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:34.0,,K. Middleton makes 2-pt jump shot from 8 ft,0,2
1,1,11:18.0,K. Love misses 3-pt jump shot from 27 ft,,0,2
2,1,11:15.0,,Defensive rebound by K. Middleton,0,2
3,1,11:04.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),0,5
4,1,10:48.0,L. Nance makes 3-pt jump shot from 27 ft (assist by K. Love),,3,5
5,1,10:38.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),3,8
6,1,10:23.0,K. Love misses 3-pt jump shot from 26 ft,,3,8
7,1,10:23.0,Offensive rebound by Team,,3,8
8,1,10:12.0,Shooting foul by K. Middleton (drawn by C. Osman),,3,8
9,1,10:12.0,C. Osman makes free throw 1 of 2,,4,8
10,1,10:12.0,C. Osman misses free throw 2 of 2,,4,8
11,1,10:09.0,,Defensive rebound by G. Antetokounmpo,4,8
12,1,9:54.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),4,10
13,1,9:35.0,C. Sexton makes 2-pt jump shot from 18 ft (assist by L. Nance),,6,10
14,1,9:26.0,,T. Snell makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),6,13
15,1,9:13.0,Turnover by C. Osman (bad pass; steal by E. Bledsoe),,6,13
16,1,9:09.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),6,15
17,1,9:09.0,Cleveland full timeout,,6,15
18,1,8:53.0,B. Knight misses 2-pt jump shot from 12 ft,,6,15
19,1,8:50.0,,Defensive rebound by T. Snell,6,15
20,1,8:40.0,,Turnover by G. Antetokounmpo (dbl dribble),6,15
21,1,8:17.0,L. Nance makes 3-pt jump shot from 22 ft (assist by C. Sexton),,9,15
22,1,8:03.0,,G. Antetokounmpo misses 3-pt jump shot from 24 ft,9,15
23,1,8:01.0,Defensive rebound by C. Sexton,,9,15
24,1,7:55.0,C. Sexton misses 2-pt layup from 3 ft,,9,15
25,1,7:53.0,,Defensive rebound by T. Snell,9,15
26,1,7:46.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),9,18
27,1,7:29.0,B. Knight misses 3-pt jump shot from 25 ft,,9,18
28,1,7:26.0,,Defensive rebound by G. Antetokounmpo,9,18
29,1,7:20.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,9,20
30,1,7:07.0,B. Knight misses 2-pt jump shot from 8 ft,,9,20
31,1,7:04.0,,Defensive rebound by B. Lopez,9,20
32,1,7:01.0,,K. Middleton misses 3-pt jump shot from 26 ft,9,20
33,1,6:56.0,Defensive rebound by L. Nance,,9,20
34,1,6:39.0,L. Nance makes 2-pt layup from 1 ft (assist by B. Knight),,11,20
35,1,6:16.0,,Shooting foul by C. Osman (drawn by E. Bledsoe),11,20
36,1,6:16.0,,E. Bledsoe makes free throw 1 of 2,11,21
37,1,6:16.0,J. Clarkson enters the game for B. Knight,,11,21
38,1,6:16.0,,P. Connaughton enters the game for T. Snell,11,21
39,1,6:16.0,,E. Bledsoe makes free throw 2 of 2,11,22
40,1,6:06.0,Shooting foul by G. Antetokounmpo (drawn by L. Nance),,11,22
41,1,6:06.0,L. Nance misses free throw 1 of 2,,11,22
42,1,6:06.0,Offensive rebound by Team,,11,22
43,1,6:06.0,,D. Wilson enters the game for G. Antetokounmpo,11,22
44,1,6:06.0,L. Nance makes free throw 2 of 2,,12,22
45,1,5:56.0,,K. Middleton misses 3-pt jump shot from 26 ft,12,22
46,1,5:53.0,Defensive rebound by K. Love,,12,22
47,1,5:52.0,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),,14,22
48,1,5:41.0,,B. Lopez misses 3-pt jump shot from 28 ft,14,22
49,1,5:38.0,Defensive rebound by C. Osman,,14,22
50,1,5:26.0,Turnover by L. Nance (bad pass; steal by B. Lopez),,14,22
51,1,5:26.0,,Personal foul by C. Sexton (drawn by B. Lopez),14,22
52,1,5:26.0,,G. Hill enters the game for E. Bledsoe,14,22
53,1,5:12.0,,B. Lopez misses 2-pt hook shot from 5 ft,14,22
54,1,5:10.0,Defensive rebound by K. Love,,14,22
55,1,5:03.0,C. Sexton makes 2-pt jump shot from 16 ft,,16,22
56,1,5:03.0,,Milwaukee full timeout,16,22
57,1,5:03.0,,E. İlyasova enters the game for B. Lopez,16,22
58,1,4:43.0,,G. Hill makes 2-pt layup from 1 ft,16,24
59,1,4:22.0,K. Love makes 2-pt jump shot from 15 ft,,18,24
60,1,4:10.0,,K. Middleton misses 2-pt jump shot from 19 ft,18,24
61,1,4:07.0,Defensive rebound by K. Love,,18,24
62,1,4:02.0,Turnover by C. Osman (bad pass; steal by K. Middleton),,18,24
63,1,3:57.0,,Turnover by K. Middleton (bad pass; steal by C. Osman),18,24
64,1,3:50.0,K. Love makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,21,24
65,1,3:37.0,,Personal foul by L. Nance (drawn by K. Middleton),21,24
66,1,3:37.0,T. Thompson enters the game for L. Nance,,21,24
67,1,3:37.0,,S. Brown enters the game for K. Middleton,21,24
68,1,3:22.0,,S. Brown misses 3-pt jump shot from 26 ft,21,24
69,1,3:21.0,Defensive rebound by Team,,21,24
70,1,3:16.0,Personal foul by S. Brown (drawn by C. Osman),,21,24
71,1,3:04.0,C. Osman makes 2-pt layup from 2 ft,,23,24
72,1,2:53.0,,G. Hill makes 2-pt layup from 1 ft (assist by S. Brown),23,26
73,1,2:40.0,C. Osman misses 3-pt jump shot from 28 ft,,23,26
74,1,2:36.0,,Defensive rebound by G. Hill,23,26
75,1,2:23.0,,D. Wilson misses 3-pt jump shot from 24 ft,23,26
76,1,2:20.0,Defensive rebound by C. Osman,,23,26
77,1,2:20.0,B. Knight enters the game for K. Love,,23,26
78,1,2:20.0,D. Nwaba enters the game for C. Sexton,,23,26
79,1,2:20.0,,G. Antetokounmpo enters the game for D. Wilson,23,26
80,1,1:58.0,D. Nwaba misses 2-pt jump shot from 16 ft,,23,26
81,1,1:55.0,,Defensive rebound by G. Antetokounmpo,23,26
82,1,1:52.0,,Personal foul by T. Thompson (drawn by G. Antetokounmpo),23,26
83,1,1:45.0,,G. Hill makes 2-pt jump shot from 21 ft,23,28
84,1,1:28.0,Turnover by C. Osman (bad pass; steal by P. Connaughton),,23,28
85,1,1:10.0,,S. Brown makes 2-pt layup from 1 ft,23,30
86,1,0:54.0,J. Clarkson misses 2-pt layup from 2 ft,,23,30
87,1,0:53.0,Offensive rebound by T. Thompson,,23,30
88,1,0:53.0,T. Thompson makes 2-pt hook shot from 7 ft,,25,30
89,1,0:45.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,25,32
90,1,0:36.0,B. Knight misses 3-pt jump shot from 26 ft,,25,32
91,1,0:36.0,,Defensive rebound by Team,25,32
92,1,0:36.0,N. Stauskas enters the game for C. Osman,,25,32
93,1,0:36.0,,E. Bledsoe enters the game for P. Connaughton,25,32
94,1,0:26.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,25,32
95,1,0:22.0,Defensive rebound by B. Knight,,25,32
96,1,0:05.0,J. Clarkson makes 2-pt hook shot from 6 ft,,27,32
97,1,0:00.0,,E. Bledsoe misses 3-pt jump shot from 29 ft,27,32
98,1,0:00.0,,Offensive rebound by Team,27,32
99,2,11:44.0,J. Clarkson makes 2-pt jump shot from 14 ft,,29,32
100,2,11:32.0,,Personal foul by D. Nwaba (drawn by G. Antetokounmpo),29,32
101,2,11:26.0,,S. Brown makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),29,35
102,2,11:10.0,N. Stauskas makes 3-pt jump shot from 26 ft (assist by B. Knight),,32,35
103,2,10:53.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),32,38
104,2,10:27.0,T. Thompson misses 2-pt hook shot from 11 ft (block by B. Lopez),,32,38
105,2,10:25.0,,Defensive rebound by E. Bledsoe,32,38
106,2,10:17.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,32,38
107,2,10:14.0,Defensive rebound by T. Thompson,,32,38
108,2,10:05.0,T. Thompson misses 2-pt hook shot from 11 ft,,32,38
109,2,10:03.0,,Defensive rebound by G. Antetokounmpo,32,38
110,2,9:57.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,32,40
111,2,9:35.0,T. Thompson makes 2-pt hook shot from 8 ft (assist by D. Nwaba),,34,40
112,2,9:24.0,,B. Lopez misses 3-pt jump shot from 31 ft,34,40
113,2,9:18.0,Defensive rebound by B. Knight,,34,40
114,2,9:17.0,Shooting foul by G. Antetokounmpo (drawn by D. Nwaba),,34,40
115,2,9:17.0,D. Nwaba makes free throw 1 of 2,,35,40
116,2,9:17.0,M. Chriss enters the game for T. Thompson,,35,40
117,2,9:17.0,,K. Middleton enters the game for S. Brown,35,40
118,2,9:17.0,D. Nwaba misses free throw 2 of 2,,35,40
119,2,9:14.0,,Defensive rebound by G. Antetokounmpo,35,40
120,2,9:06.0,,E. Bledsoe makes 2-pt layup from 1 ft,35,42
121,2,9:05.0,Cleveland full timeout,,35,42
122,2,9:05.0,,D. Wilson enters the game for G. Antetokounmpo,35,42
123,2,8:52.0,Turnover by B. Knight (lost ball; steal by T. Snell),,35,42
124,2,8:46.0,,T. Snell makes 2-pt dunk from 1 ft,35,44
125,2,8:20.0,D. Nwaba misses 3-pt jump shot from 28 ft,,35,44
126,2,8:17.0,Offensive rebound by M. Chriss,,35,44
127,2,8:10.0,D. Nwaba makes 2-pt jump shot from 12 ft (assist by M. Chriss),,37,44
128,2,8:10.0,,Personal foul by B. Knight (drawn by E. Bledsoe),37,44
129,2,8:00.0,,T. Snell makes 2-pt layup from 1 ft (assist by D. Wilson),37,46
130,2,7:51.0,B. Knight makes 2-pt jump shot from 16 ft,,39,46
131,2,7:39.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by K. Middleton),39,48
132,2,7:22.0,J. Clarkson makes 2-pt layup from 2 ft,,41,48
133,2,7:12.0,,Turnover by B. Lopez (lost ball; steal by M. Chriss),41,48
134,2,6:59.0,N. Stauskas misses 3-pt jump shot from 26 ft,,41,48
135,2,6:59.0,Offensive rebound by Team,,41,48
136,2,6:59.0,,Loose ball foul by E. Bledsoe (drawn by D. Nwaba),41,48
137,2,6:59.0,K. Love enters the game for B. Knight,,41,48
138,2,6:59.0,C. Sexton enters the game for D. Nwaba,,41,48
139,2,6:59.0,,G. Hill enters the game for E. Bledsoe,41,48
140,2,6:49.0,M. Chriss misses 2-pt layup from 5 ft,,41,48
141,2,6:47.0,,Defensive rebound by T. Snell,41,48
142,2,6:41.0,,K. Middleton misses 2-pt jump shot from 7 ft,41,48
143,2,6:41.0,Defensive rebound by K. Love,,41,48
144,2,6:32.0,J. Clarkson makes 2-pt layup from 2 ft,,43,48
145,2,6:24.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by K. Middleton),43,51
146,2,6:01.0,C. Sexton misses 2-pt jump shot from 15 ft,,43,51
147,2,5:58.0,,Defensive rebound by K. Middleton,43,51
148,2,5:48.0,,K. Middleton makes 2-pt jump shot from 10 ft,43,53
149,2,5:40.0,Cleveland full timeout,,43,53
150,2,5:40.0,L. Nance enters the game for M. Chriss,,43,53
151,2,5:40.0,C. Osman enters the game for N. Stauskas,,43,53
152,2,5:40.0,,P. Connaughton enters the game for T. Snell,43,53
153,2,5:29.0,L. Nance misses 3-pt jump shot from 27 ft,,43,53
154,2,5:26.0,,Defensive rebound by P. Connaughton,43,53
155,2,5:20.0,,Shooting foul by J. Clarkson (drawn by P. Connaughton),43,53
156,2,5:20.0,,P. Connaughton makes free throw 1 of 2,43,54
157,2,5:20.0,,P. Connaughton makes free throw 2 of 2,43,55
158,2,5:09.0,,Violation by Team (kicked ball),43,55
159,2,5:09.0,B. Knight enters the game for J. Clarkson,,43,55
160,2,5:09.0,,G. Antetokounmpo enters the game for B. Lopez,43,55
161,2,4:55.0,C. Sexton misses 3-pt jump shot from 26 ft,,43,55
162,2,4:52.0,,Defensive rebound by P. Connaughton,43,55
163,2,4:40.0,,K. Middleton makes 2-pt jump shot from 7 ft,43,57
164,2,4:26.0,C. Osman misses 3-pt jump shot from 25 ft,,43,57
165,2,4:22.0,,Defensive rebound by K. Middleton,43,57
166,2,4:18.0,,P. Connaughton misses 3-pt jump shot from 26 ft,43,57
167,2,4:15.0,Defensive rebound by K. Love,,43,57
168,2,3:59.0,C. Osman misses 2-pt layup from 3 ft,,43,57
169,2,3:55.0,,Defensive rebound by G. Antetokounmpo,43,57
170,2,3:53.0,,G. Hill misses 3-pt jump shot from 26 ft,43,57
171,2,3:50.0,Defensive rebound by K. Love,,43,57
172,2,3:50.0,,E. İlyasova enters the game for D. Wilson,43,57
173,2,3:37.0,Turnover by B. Knight (bad pass; steal by K. Middleton),,43,57
174,2,3:36.0,,Personal foul by K. Love (drawn by K. Middleton),43,57
175,2,3:29.0,,P. Connaughton makes 2-pt hook shot from 6 ft (assist by E. İlyasova),43,59
176,2,3:27.0,Turnover by L. Nance (inbound),,43,59
177,2,3:13.0,,Personal foul by C. Osman (drawn by G. Antetokounmpo),43,59
178,2,3:13.0,,G. Antetokounmpo makes free throw 1 of 2,43,60
179,2,3:13.0,,E. Bledsoe enters the game for K. Middleton,43,60
180,2,3:13.0,,G. Antetokounmpo misses free throw 2 of 2,43,60
181,2,3:10.0,Defensive rebound by K. Love,,43,60
182,2,2:58.0,L. Nance makes 2-pt hook shot from 15 ft (assist by B. Knight),,45,60
183,2,2:41.0,,P. Connaughton misses 3-pt jump shot from 26 ft,45,60
184,2,2:38.0,Defensive rebound by K. Love,,45,60
185,2,2:30.0,B. Knight misses 3-pt jump shot from 26 ft,,45,60
186,2,2:27.0,,Defensive rebound by E. İlyasova,45,60
187,2,2:23.0,,G. Hill makes 2-pt layup from 2 ft (assist by P. Connaughton),45,62
188,2,2:17.0,K. Love makes 2-pt layup from 2 ft (assist by C. Osman),,47,62
189,2,2:17.0,J. Clarkson enters the game for C. Osman,,47,62
190,2,2:17.0,,K. Middleton enters the game for G. Hill,47,62
191,2,2:01.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,47,64
192,2,1:49.0,Shooting foul by E. İlyasova (drawn by C. Sexton),,47,64
193,2,1:49.0,C. Sexton makes free throw 1 of 2,,48,64
194,2,1:49.0,C. Sexton makes free throw 2 of 2,,49,64
195,2,1:27.0,,E. İlyasova misses 3-pt jump shot from 26 ft,49,64
196,2,1:24.0,Defensive rebound by J. Clarkson,,49,64
197,2,1:10.0,C. Sexton misses 3-pt jump shot from 22 ft,,49,64
198,2,1:07.0,,Defensive rebound by E. Bledsoe,49,64
199,2,1:04.0,,Personal foul by B. Knight (drawn by E. Bledsoe),49,64
200,2,1:04.0,,E. Bledsoe makes free throw 1 of 2,49,65
201,2,1:04.0,D. Nwaba enters the game for B. Knight,,49,65
202,2,1:04.0,,E. Bledsoe makes free throw 2 of 2,49,66
203,2,0:52.0,J. Clarkson misses 2-pt hook shot from 9 ft,,49,66
204,2,0:50.0,Offensive rebound by J. Clarkson,,49,66
205,2,0:48.0,K. Love makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,52,66
206,2,0:32.0,,P. Connaughton misses 3-pt jump shot from 27 ft,52,66
207,2,0:29.0,Defensive rebound by K. Love,,52,66
208,2,0:07.0,J. Clarkson misses 2-pt jump shot from 10 ft (block by E. Bledsoe),,52,66
209,2,0:07.0,Offensive rebound by Team,,52,66
210,2,0:05.0,K. Love makes 3-pt jump shot from 30 ft (assist by D. Nwaba),,55,66
211,2,0:00.0,,P. Connaughton makes 2-pt dunk from 1 ft (assist by E. Bledsoe),55,68
212,3,11:36.0,C. Osman misses 3-pt jump shot from 23 ft,,55,68
213,3,11:33.0,,Defensive rebound by B. Lopez,55,68
214,3,11:27.0,,T. Snell misses 3-pt jump shot from 27 ft,55,68
215,3,11:25.0,Defensive rebound by L. Nance,,55,68
216,3,11:05.0,C. Sexton makes 3-pt jump shot from 26 ft,,58,68
217,3,10:50.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),58,70
218,3,10:31.0,K. Love misses 3-pt jump shot from 26 ft,,58,70
219,3,10:27.0,,Defensive rebound by E. Bledsoe,58,70
220,3,10:22.0,,Personal foul by C. Osman (drawn by G. Antetokounmpo),58,70
221,3,10:13.0,,Turnover by G. Antetokounmpo (bad pass; steal by L. Nance),58,70
222,3,10:07.0,K. Love misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,58,70
223,3,10:03.0,Offensive rebound by K. Love,,58,70
224,3,10:01.0,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),,60,70
225,3,9:49.0,,G. Antetokounmpo makes 2-pt hook shot from 7 ft,60,72
226,3,9:42.0,C. Sexton misses 2-pt layup from 2 ft,,60,72
227,3,9:39.0,,Defensive rebound by G. Antetokounmpo,60,72
228,3,9:33.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,60,72
229,3,9:31.0,Defensive rebound by K. Love,,60,72
230,3,9:20.0,K. Love misses 2-pt layup from 4 ft (block by G. Antetokounmpo),,60,72
231,3,9:20.0,Offensive rebound by K. Love,,60,72
232,3,9:18.0,K. Love misses 2-pt layup from 3 ft,,60,72
233,3,9:16.0,Offensive rebound by K. Love,,60,72
234,3,9:15.0,K. Love misses 2-pt layup from 2 ft,,60,72
235,3,9:13.0,,Defensive rebound by B. Lopez,60,72
236,3,9:13.0,,Shooting foul by C. Osman (drawn by T. Snell),60,72
237,3,9:13.0,,Milwaukee full timeout,60,72
238,3,9:13.0,,T. Snell makes free throw 1 of 2,60,73
239,3,9:13.0,,T. Snell makes free throw 2 of 2,60,74
240,3,9:03.0,B. Knight misses 2-pt jump shot from 12 ft,,60,74
241,3,8:58.0,Offensive rebound by K. Love,,60,74
242,3,8:50.0,C. Sexton misses 3-pt jump shot from 24 ft,,60,74
243,3,8:47.0,,Defensive rebound by G. Antetokounmpo,60,74
244,3,8:41.0,,T. Snell misses 3-pt jump shot from 27 ft,60,74
245,3,8:37.0,Defensive rebound by K. Love,,60,74
246,3,8:27.0,K. Love misses 3-pt jump shot from 29 ft,,60,74
247,3,8:27.0,,Defensive rebound by G. Antetokounmpo,60,74
248,3,8:14.0,,B. Lopez misses 3-pt jump shot from 27 ft,60,74
249,3,8:11.0,Defensive rebound by K. Love,,60,74
250,3,7:56.0,C. Sexton misses 2-pt jump shot from 9 ft,,60,74
251,3,7:53.0,,Defensive rebound by G. Antetokounmpo,60,74
252,3,7:49.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,60,74
253,3,7:46.0,Defensive rebound by B. Knight,,60,74
254,3,7:31.0,L. Nance misses 3-pt jump shot from 26 ft,,60,74
255,3,7:28.0,,Defensive rebound by E. Bledsoe,60,74
256,3,7:18.0,,Personal foul by L. Nance (drawn by G. Antetokounmpo),60,74
257,3,7:18.0,J. Clarkson enters the game for B. Knight,,60,74
258,3,7:15.0,,Turnover by G. Antetokounmpo (bad pass; steal by L. Nance),60,74
259,3,7:05.0,K. Love makes 2-pt jump shot from 13 ft (assist by L. Nance),,62,74
260,3,6:53.0,,K. Middleton misses 3-pt jump shot from 27 ft,62,74
261,3,6:49.0,Defensive rebound by C. Sexton,,62,74
262,3,6:34.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. Nance),,65,74
263,3,6:22.0,,K. Middleton misses 2-pt jump shot from 4 ft,65,74
264,3,6:19.0,Defensive rebound by L. Nance,,65,74
265,3,6:13.0,J. Clarkson makes 2-pt jump shot from 12 ft,,67,74
266,3,5:54.0,,Shooting foul by L. Nance (drawn by G. Antetokounmpo),67,74
267,3,5:54.0,,G. Antetokounmpo misses free throw 1 of 2,67,74
268,3,5:54.0,,Offensive rebound by Team,67,74
269,3,5:54.0,,P. Connaughton enters the game for E. Bledsoe,67,74
270,3,5:54.0,,G. Hill enters the game for T. Snell,67,74
271,3,5:54.0,,G. Antetokounmpo makes free throw 2 of 2,67,75
272,3,5:34.0,K. Love misses 2-pt jump shot from 9 ft,,67,75
273,3,5:31.0,,Defensive rebound by P. Connaughton,67,75
274,3,5:23.0,,Shooting foul by L. Nance (drawn by G. Antetokounmpo),67,75
275,3,5:23.0,,G. Antetokounmpo makes free throw 1 of 2,67,76
276,3,5:23.0,T. Thompson enters the game for L. Nance,,67,76
277,3,5:23.0,,D. Wilson enters the game for B. Lopez,67,76
278,3,5:23.0,,G. Antetokounmpo makes free throw 2 of 2,67,77
279,3,5:04.0,J. Clarkson misses 3-pt jump shot from 28 ft,,67,77
280,3,5:01.0,,Defensive rebound by P. Connaughton,67,77
281,3,4:50.0,,D. Wilson makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),67,80
282,3,4:28.0,C. Osman makes 2-pt jump shot from 15 ft,,69,80
283,3,4:18.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,69,82
284,3,4:03.0,Personal foul by G. Antetokounmpo (drawn by C. Sexton),,69,82
285,3,4:03.0,D. Nwaba enters the game for K. Love,,69,82
286,3,4:03.0,,E. İlyasova enters the game for G. Antetokounmpo,69,82
287,3,3:57.0,C. Sexton misses 3-pt jump shot from 28 ft,,69,82
288,3,3:54.0,,Defensive rebound by E. İlyasova,69,82
289,3,3:36.0,,P. Connaughton misses 3-pt jump shot from 25 ft,69,82
290,3,3:36.0,Defensive rebound by Team,,69,82
291,3,3:22.0,C. Osman misses 3-pt jump shot from 28 ft,,69,82
292,3,3:18.0,,Defensive rebound by D. Wilson,69,82
293,3,3:13.0,,Turnover by K. Middleton (lost ball; steal by C. Sexton),69,82
294,3,3:09.0,C. Sexton makes 2-pt layup from 1 ft,,71,82
295,3,2:49.0,,K. Middleton misses 3-pt jump shot from 25 ft,71,82
296,3,2:46.0,Defensive rebound by C. Sexton,,71,82
297,3,2:35.0,D. Nwaba makes 2-pt hook shot from 6 ft,,73,82
298,3,2:34.0,,Milwaukee full timeout,73,82
299,3,2:34.0,N. Stauskas enters the game for C. Sexton,,73,82
300,3,2:34.0,,S. Brown enters the game for K. Middleton,73,82
301,3,2:21.0,,P. Connaughton makes 3-pt jump shot from 28 ft (assist by G. Hill),73,85
302,3,2:00.0,J. Clarkson misses 2-pt layup from 1 ft,,73,85
303,3,1:57.0,Offensive rebound by T. Thompson,,73,85
304,3,1:57.0,T. Thompson misses 2-pt dunk at rim,,73,85
305,3,1:57.0,,Defensive rebound by S. Brown,73,85
306,3,1:54.0,,S. Brown misses 2-pt layup from 2 ft,73,85
307,3,1:51.0,Defensive rebound by T. Thompson,,73,85
308,3,1:41.0,T. Thompson makes 2-pt layup from 2 ft,,75,85
309,3,1:19.0,,P. Connaughton misses 2-pt layup from 2 ft,75,85
310,3,1:16.0,Defensive rebound by T. Thompson,,75,85
311,3,1:13.0,N. Stauskas misses 3-pt jump shot from 26 ft,,75,85
312,3,1:09.0,,Defensive rebound by S. Brown,75,85
313,3,0:46.0,,D. Wilson misses 2-pt jump shot from 9 ft,75,85
314,3,0:44.0,Defensive rebound by T. Thompson,,75,85
315,3,0:44.0,Turnover by T. Thompson (out of bounds lost ball),,75,85
316,3,0:44.0,,E. Bledsoe enters the game for P. Connaughton,75,85
317,3,0:33.0,,G. Hill makes 3-pt jump shot from 27 ft,75,88
318,3,0:25.0,T. Thompson makes 2-pt layup from 5 ft (assist by C. Osman),,77,88
319,3,0:02.0,,G. Hill makes 2-pt jump shot from 22 ft,77,90
320,3,0:00.0,J. Clarkson misses 3-pt jump shot from 44 ft,,77,90
321,3,0:00.0,Offensive rebound by Team,,77,90
322,4,11:43.0,,E. İlyasova makes 2-pt jump shot from 22 ft (assist by E. Bledsoe),77,92
