,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
0,1,11:43.0,,M. Conley misses 2-pt jump shot from 13 ft,0,0
1,1,11:40.0,Defensive rebound by Z. LaVine,,0,0
2,1,11:22.0,R. Lopez misses 2-pt layup from 8 ft (block by J. Valančiūnas),,0,0
3,1,11:18.0,,Defensive rebound by A. Bradley,0,0
4,1,11:10.0,,A. Bradley misses 2-pt jump shot from 17 ft,0,0
5,1,11:06.0,Defensive rebound by L. Markkanen,,0,0
6,1,11:00.0,K. Dunn misses 2-pt layup at rim,,0,0
7,1,10:58.0,,Defensive rebound by J. Holiday,0,0
8,1,10:52.0,,Turnover by M. Conley (bad pass; steal by Z. LaVine),0,0
9,1,10:48.0,O. Porter makes 2-pt jump shot from 13 ft (assist by K. Dunn),,2,0
10,1,10:31.0,,J. Valančiūnas makes 2-pt jump shot from 8 ft,2,2
11,1,10:15.0,Z. LaVine makes 2-pt jump shot from 20 ft,,4,2
12,1,9:59.0,,J. Holiday misses 2-pt jump shot from 10 ft,4,2
13,1,9:57.0,Defensive rebound by K. Dunn,,4,2
14,1,9:51.0,Z. LaVine misses 2-pt layup from 2 ft,,4,2
15,1,9:48.0,,Defensive rebound by J. Valančiūnas,4,2
16,1,9:40.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,4,2
17,1,9:38.0,Defensive rebound by L. Markkanen,,4,2
18,1,9:33.0,L. Markkanen makes 2-pt jump shot from 9 ft,,6,2
19,1,9:12.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by A. Bradley),6,4
20,1,8:58.0,O. Porter makes 2-pt jump shot from 20 ft (assist by R. Lopez),,8,4
21,1,8:43.0,,Shooting foul by Z. LaVine (drawn by A. Bradley),8,4
22,1,8:43.0,,A. Bradley makes free throw 1 of 2,8,5
23,1,8:43.0,,A. Bradley makes free throw 2 of 2,8,6
24,1,8:25.0,R. Lopez misses 2-pt hook shot from 8 ft,,8,6
25,1,8:22.0,,Defensive rebound by J. Valančiūnas,8,6
26,1,8:15.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,8,6
27,1,8:12.0,Defensive rebound by Z. LaVine,,8,6
28,1,8:06.0,O. Porter misses 3-pt jump shot from 23 ft,,8,6
29,1,8:03.0,,Defensive rebound by M. Conley,8,6
30,1,7:55.0,,M. Conley misses 2-pt jump shot from 7 ft,8,6
31,1,7:54.0,,Offensive rebound by Team,8,6
32,1,7:54.0,Loose ball foul by O. Porter (drawn by J. Valančiūnas),,8,6
33,1,7:39.0,,M. Conley misses 2-pt jump shot from 22 ft,8,6
34,1,7:35.0,Defensive rebound by L. Markkanen,,8,6
35,1,7:23.0,L. Markkanen misses 2-pt jump shot from 6 ft,,8,6
36,1,7:21.0,,Defensive rebound by J. Valančiūnas,8,6
37,1,7:15.0,,J. Holiday misses 2-pt layup from 1 ft (block by O. Porter),8,6
38,1,7:12.0,Defensive rebound by O. Porter,,8,6
39,1,7:08.0,O. Porter makes 2-pt jump shot from 11 ft (assist by Z. LaVine),,10,6
40,1,6:51.0,,J. Valančiūnas misses 2-pt dunk from 1 ft (block by O. Porter),10,6
41,1,6:51.0,,Offensive rebound by Team,10,6
42,1,6:51.0,,Memphis full timeout,10,6
43,1,6:47.0,,M. Conley misses 2-pt jump shot from 13 ft,10,6
44,1,6:44.0,Defensive rebound by L. Markkanen,,10,6
45,1,6:34.0,L. Markkanen misses 2-pt jump shot from 9 ft,,10,6
46,1,6:30.0,,Defensive rebound by M. Conley,10,6
47,1,6:24.0,,M. Conley makes 2-pt jump shot from 11 ft,10,8
48,1,6:24.0,,Shooting foul by K. Dunn (drawn by M. Conley),10,8
49,1,6:24.0,R. Arcidiacono enters the game for K. Dunn,,10,8
50,1,6:24.0,,J. Noah enters the game for J. Valančiūnas,10,8
51,1,6:24.0,,M. Conley makes free throw 1 of 1,10,9
52,1,6:10.0,Turnover by O. Porter (out of bounds lost ball),,10,9
53,1,5:57.0,,M. Conley misses 2-pt jump shot from 8 ft,10,9
54,1,5:56.0,,Offensive rebound by Team,10,9
55,1,5:56.0,W. Selden enters the game for O. Porter,,10,9
56,1,5:48.0,,A. Bradley misses 2-pt jump shot from 11 ft (block by Z. LaVine),10,9
57,1,5:44.0,,Offensive rebound by A. Bradley,10,9
58,1,5:43.0,,B. Caboclo makes 3-pt jump shot from 26 ft (assist by A. Bradley),10,12
59,1,5:29.0,L. Markkanen misses 3-pt jump shot from 27 ft,,10,12
60,1,5:26.0,,Defensive rebound by J. Noah,10,12
61,1,5:20.0,,Offensive foul by B. Caboclo (drawn by Z. LaVine),10,12
62,1,5:20.0,,Turnover by B. Caboclo (offensive foul),10,12
63,1,5:02.0,R. Lopez makes 2-pt dunk at rim,,12,12
64,1,4:49.0,,J. Holiday makes 2-pt jump shot from 15 ft (assist by A. Bradley),12,14
65,1,4:31.0,Z. LaVine makes 2-pt layup at rim (assist by R. Arcidiacono),,14,14
