,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by D. Rose),0,2
1,1,11:29.0,Shooting foul by R. Covington (drawn by D. Dedmon),,0,2
2,1,11:29.0,D. Dedmon misses free throw 1 of 2,,0,2
3,1,11:29.0,Offensive rebound by Team,,0,2
4,1,11:29.0,D. Dedmon makes free throw 2 of 2,,1,2
5,1,11:20.0,,Turnover by D. Rose (bad pass; steal by D. Dedmon),1,2
6,1,11:17.0,D. Dedmon makes 2-pt dunk from 1 ft,,3,2
7,1,11:04.0,,Personal foul by D. Dedmon (drawn by K. Towns),3,2
8,1,11:01.0,,D. Rose misses 2-pt jump shot from 20 ft,3,2
9,1,10:59.0,Defensive rebound by D. Dedmon,,3,2
10,1,10:49.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,5,2
11,1,10:33.0,,T. Gibson makes 2-pt layup from 1 ft (assist by R. Covington),5,4
12,1,10:20.0,Turnover by J. Collins (out of bounds lost ball),,5,4
13,1,10:08.0,,Personal foul by D. Dedmon (drawn by K. Towns),5,4
14,1,10:08.0,A. Poythress enters the game for D. Dedmon,,5,4
15,1,10:05.0,,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),5,6
16,1,9:54.0,A. Poythress makes 3-pt jump shot from 23 ft (assist by T. Young),,8,6
17,1,9:47.0,,A. Wiggins misses 2-pt layup from 2 ft (block by K. Huerter),8,6
18,1,9:43.0,Defensive rebound by J. Collins,,8,6
19,1,9:41.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,11,6
20,1,9:31.0,,Personal foul by J. Collins (drawn by T. Gibson),11,6
21,1,9:22.0,,K. Towns misses 2-pt hook shot from 7 ft,11,6
22,1,9:18.0,Defensive rebound by A. Poythress,,11,6
23,1,9:14.0,A. Poythress makes 2-pt layup from 1 ft (assist by T. Young),,13,6
24,1,9:14.0,Shooting foul by R. Covington (drawn by A. Poythress),,13,6
25,1,9:14.0,A. Poythress makes free throw 1 of 1,,14,6
26,1,8:57.0,,T. Gibson makes 2-pt dunk from 3 ft,14,8
27,1,8:33.0,K. Huerter makes 2-pt jump shot from 7 ft (assist by J. Collins),,16,8
28,1,8:16.0,,Turnover by T. Gibson (bad pass; steal by K. Bazemore),16,8
29,1,8:09.0,K. Bazemore misses 3-pt jump shot from 23 ft,,16,8
30,1,8:04.0,,Defensive rebound by R. Covington,16,8
31,1,7:58.0,,A. Wiggins makes 3-pt jump shot from 22 ft (assist by R. Covington),16,11
32,1,7:39.0,K. Bazemore misses 2-pt jump shot from 6 ft (block by T. Gibson),,16,11
33,1,7:36.0,Offensive rebound by J. Collins,,16,11
34,1,7:35.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by J. Collins),,19,11
35,1,7:25.0,,D. Rose makes 2-pt layup from 1 ft,19,13
36,1,7:08.0,Turnover by K. Bazemore (bad pass),,19,13
37,1,6:57.0,,Shooting foul by J. Collins (drawn by K. Towns),19,13
38,1,6:57.0,,Minnesota full timeout,19,13
39,1,6:57.0,D. Bembry enters the game for J. Collins,,19,13
40,1,6:57.0,V. Carter enters the game for K. Huerter,,19,13
41,1,6:57.0,,K. Towns makes free throw 1 of 2,19,14
42,1,6:57.0,,K. Towns misses free throw 2 of 2,19,14
43,1,6:55.0,Defensive rebound by A. Poythress,,19,14
44,1,6:41.0,Turnover by D. Bembry (traveling),,19,14
45,1,6:32.0,,Personal foul by A. Poythress (drawn by K. Towns),19,14
46,1,6:32.0,,K. Towns makes free throw 1 of 2,19,15
47,1,6:32.0,,K. Towns misses free throw 2 of 2,19,15
48,1,6:29.0,Defensive rebound by A. Poythress,,19,15
49,1,6:09.0,T. Young makes 2-pt jump shot from 6 ft,,21,15
50,1,5:50.0,,Turnover by T. Gibson (bad pass; steal by V. Carter),21,15
51,1,5:38.0,V. Carter misses 3-pt jump shot from 25 ft,,21,15
52,1,5:35.0,Offensive rebound by Team,,21,15
53,1,5:28.0,T. Young makes 2-pt layup from 1 ft,,23,15
54,1,5:13.0,,D. Rose misses 2-pt jump shot from 6 ft,23,15
55,1,5:10.0,,Offensive rebound by T. Gibson,23,15
56,1,5:10.0,,T. Gibson misses 2-pt layup at rim,23,15
57,1,5:08.0,Defensive rebound by V. Carter,,23,15
58,1,5:04.0,K. Bazemore makes 2-pt layup at rim,,25,15
59,1,4:57.0,,Minnesota full timeout,25,15
60,1,4:57.0,J. Lin enters the game for T. Young,,25,15
61,1,4:57.0,,J. Okogie enters the game for R. Covington,25,15
62,1,4:57.0,,D. Šarić enters the game for T. Gibson,25,15
63,1,4:49.0,,D. Rose misses 3-pt jump shot from 25 ft,25,15
64,1,4:47.0,Defensive rebound by Team,,25,15
65,1,4:39.0,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Lin),,28,15
66,1,4:26.0,,A. Wiggins makes 2-pt jump shot from 12 ft,28,17
67,1,4:15.0,A. Poythress makes 2-pt layup from 2 ft (assist by V. Carter),,30,17
68,1,4:15.0,Shooting foul by D. Šarić (drawn by A. Poythress),,30,17
69,1,4:15.0,A. Poythress misses free throw 1 of 1,,30,17
70,1,4:13.0,,Defensive rebound by D. Šarić,30,17
71,1,4:08.0,,Personal foul by K. Bazemore (drawn by A. Wiggins),30,17
72,1,4:08.0,,A. Wiggins makes free throw 1 of 2,30,18
73,1,4:08.0,J. Anderson enters the game for K. Bazemore,,30,18
74,1,4:08.0,,A. Wiggins makes free throw 2 of 2,30,19
75,1,3:52.0,V. Carter misses 3-pt jump shot from 27 ft,,30,19
76,1,3:50.0,Offensive rebound by A. Poythress,,30,19
77,1,3:44.0,J. Lin misses 2-pt layup from 1 ft,,30,19
78,1,3:41.0,,Defensive rebound by K. Towns,30,19
79,1,3:31.0,,D. Šarić misses 2-pt hook shot from 5 ft,30,19
80,1,3:28.0,Defensive rebound by V. Carter,,30,19
81,1,3:24.0,Turnover by V. Carter (bad pass),,30,19
82,1,3:11.0,,D. Rose misses 2-pt layup from 2 ft (block by D. Bembry),30,19
83,1,3:11.0,,Offensive rebound by Team,30,19
84,1,3:06.0,,D. Šarić misses 2-pt jump shot from 13 ft,30,19
85,1,3:05.0,Defensive rebound by D. Bembry,,30,19
86,1,2:54.0,A. Poythress misses 2-pt layup from 2 ft (block by K. Towns),,30,19
87,1,2:54.0,,Defensive rebound by K. Towns,30,19
88,1,2:50.0,,Turnover by K. Towns (bad pass; steal by J. Lin),30,19
89,1,2:47.0,V. Carter makes 3-pt jump shot from 25 ft (assist by J. Lin),,33,19
90,1,2:35.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Rose),33,22
91,1,2:20.0,Personal foul by D. Rose (drawn by J. Lin),,33,22
