,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
0,1,11:34.0,M. Harkless misses 2-pt layup from 3 ft,,0,0
1,1,11:32.0,,Defensive rebound by W. Cauley-Stein,0,0
2,1,11:10.0,,I. Shumpert makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),0,2
3,1,10:58.0,A. Aminu misses 2-pt layup from 2 ft (block by N. Bjelica),,0,2
4,1,10:58.0,Offensive rebound by A. Aminu,,0,2
5,1,10:53.0,A. Aminu makes 2-pt layup from 1 ft,,2,2
6,1,10:34.0,,B. Hield makes 2-pt jump shot from 5 ft,2,4
7,1,10:23.0,M. Harkless misses 3-pt jump shot from 25 ft,,2,4
8,1,10:23.0,,Defensive rebound by N. Bjelica,2,4
9,1,10:14.0,,B. Hield misses 2-pt layup from 2 ft,2,4
10,1,10:12.0,Defensive rebound by J. Nurkić,,2,4
11,1,10:05.0,M. Harkless makes 2-pt layup from 2 ft (assist by J. Nurkić),,4,4
12,1,9:55.0,,N. Bjelica misses 3-pt jump shot from 26 ft,4,4
13,1,9:52.0,Defensive rebound by C. McCollum,,4,4
14,1,9:46.0,Turnover by J. Nurkić (bad pass; steal by W. Cauley-Stein),,4,4
15,1,9:40.0,,Turnover by B. Hield (bad pass; steal by M. Harkless),4,4
16,1,9:33.0,D. Lillard misses 3-pt jump shot from 28 ft,,4,4
17,1,9:27.0,,Defensive rebound by N. Bjelica,4,4
18,1,9:22.0,,Turnover by N. Bjelica (lost ball; steal by M. Harkless),4,4
19,1,9:15.0,C. McCollum misses 3-pt jump shot from 25 ft,,4,4
20,1,9:12.0,,Defensive rebound by W. Cauley-Stein,4,4
21,1,9:05.0,,I. Shumpert misses 2-pt jump shot from 12 ft,4,4
22,1,9:03.0,Defensive rebound by J. Nurkić,,4,4
23,1,8:57.0,Turnover by D. Lillard (bad pass; steal by I. Shumpert),,4,4
24,1,8:51.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by I. Shumpert),4,7
25,1,8:33.0,C. McCollum makes 2-pt jump shot from 13 ft (assist by D. Lillard),,6,7
26,1,8:22.0,,D. Fox misses 2-pt jump shot from 12 ft,6,7
27,1,8:20.0,,Offensive rebound by W. Cauley-Stein,6,7
28,1,8:18.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,6,7
29,1,8:17.0,Defensive rebound by J. Nurkić,,6,7
30,1,8:09.0,Turnover by J. Nurkić (bad pass; steal by D. Fox),,6,7
31,1,8:05.0,,D. Fox makes 2-pt layup from 1 ft (assist by B. Hield),6,9
32,1,8:05.0,,Shooting foul by J. Nurkić (drawn by D. Fox),6,9
33,1,8:05.0,,D. Fox makes free throw 1 of 1,6,10
34,1,7:39.0,J. Nurkić misses 2-pt jump shot from 5 ft (block by I. Shumpert),,6,10
35,1,7:36.0,,Defensive rebound by B. Hield,6,10
