,QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
0,1,11:40.0,,K. Lowry makes 2-pt layup from 4 ft (assist by D. Green),0,2
1,1,11:28.0,N. Vučević misses 2-pt jump shot from 16 ft,,0,2
2,1,11:25.0,,Defensive rebound by P. Siakam,0,2
3,1,11:17.0,,Personal foul by N. Vučević (drawn by K. Lowry),0,2
4,1,11:02.0,,K. Leonard misses 2-pt jump shot from 10 ft,0,2
5,1,10:58.0,Defensive rebound by N. Vučević,,0,2
6,1,10:51.0,Def 3 sec tech foul by Team,,0,2
7,1,10:51.0,D. Augustin makes technical free throw,,1,2
8,1,10:45.0,D. Augustin misses 3-pt jump shot from 24 ft,,1,2
9,1,10:42.0,,Defensive rebound by K. Lowry,1,2
10,1,10:38.0,,K. Lowry makes 3-pt jump shot from 26 ft,1,5
11,1,10:21.0,N. Vučević misses 3-pt jump shot from 24 ft,,1,5
12,1,10:18.0,,Defensive rebound by K. Leonard,1,5
13,1,10:11.0,,K. Lowry makes 2-pt layup from 3 ft (assist by K. Leonard),1,7
14,1,10:00.0,Personal foul by M. Gasol (drawn by N. Vučević),,1,7
15,1,9:54.0,Personal foul by D. Green (drawn by N. Vučević),,1,7
16,1,9:41.0,J. Isaac misses 2-pt jump shot from 11 ft (block by P. Siakam),,1,7
17,1,9:37.0,,Defensive rebound by M. Gasol,1,7
18,1,9:35.0,,K. Lowry makes 2-pt layup from 2 ft,1,9
19,1,9:21.0,Offensive foul by A. Gordon (drawn by M. Gasol),,1,9
20,1,9:21.0,Turnover by A. Gordon (offensive foul),,1,9
21,1,9:07.0,,P. Siakam misses 3-pt jump shot from 23 ft,1,9
22,1,9:07.0,,Offensive rebound by K. Leonard,1,9
23,1,9:07.0,,K. Leonard makes 2-pt layup from 1 ft,1,11
24,1,9:07.0,,Shooting foul by A. Gordon (drawn by K. Leonard),1,11
25,1,9:07.0,,K. Leonard makes free throw 1 of 1,1,12
26,1,8:53.0,E. Fournier misses 2-pt layup from 3 ft,,1,12
27,1,8:50.0,,Defensive rebound by K. Lowry,1,12
28,1,8:44.0,,M. Gasol misses 3-pt jump shot from 26 ft,1,12
29,1,8:41.0,Defensive rebound by A. Gordon,,1,12
30,1,8:37.0,A. Gordon makes 2-pt layup from 1 ft,,3,12
31,1,8:36.0,Violation by Team (delay of game),,3,12
32,1,8:21.0,,K. Leonard misses 2-pt layup from 3 ft,3,12
33,1,8:19.0,Defensive rebound by N. Vučević,,3,12
34,1,8:03.0,N. Vučević misses 2-pt hook shot from 8 ft,,3,12
35,1,8:00.0,,Defensive rebound by P. Siakam,3,12
36,1,7:57.0,,P. Siakam misses 2-pt jump shot from 3 ft,3,12
37,1,7:54.0,,Offensive rebound by M. Gasol,3,12
38,1,7:51.0,,P. Siakam makes 2-pt layup from 2 ft (assist by D. Green),3,14
39,1,7:44.0,Orlando full timeout,,3,14
40,1,7:44.0,T. Ross enters the game for A. Gordon,,3,14
41,1,7:32.0,D. Augustin misses 3-pt jump shot from 23 ft,,3,14
42,1,7:29.0,,Defensive rebound by M. Gasol,3,14
43,1,7:12.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by P. Siakam),3,16
44,1,6:59.0,N. Vučević misses 3-pt jump shot from 24 ft,,3,16
45,1,6:56.0,,Defensive rebound by K. Lowry,3,16
46,1,6:42.0,,Shooting foul by N. Vučević (drawn by M. Gasol),3,16
47,1,6:42.0,,M. Gasol makes free throw 1 of 2,3,17
48,1,6:42.0,,M. Gasol makes free throw 2 of 2,3,18
49,1,6:36.0,Offensive foul by N. Vučević (drawn by K. Lowry),,3,18
50,1,6:36.0,Turnover by N. Vučević (offensive foul),,3,18
51,1,6:36.0,Technical foul by T. Ross,,3,18
52,1,6:36.0,,K. Leonard makes technical free throw,3,19
53,1,6:36.0,K. Birch enters the game for N. Vučević,,3,19
54,1,6:23.0,,Turnover by K. Lowry (bad pass; steal by E. Fournier),3,19
55,1,6:13.0,Turnover by J. Isaac (lost ball; steal by K. Leonard),,3,19
56,1,6:05.0,,D. Green misses 3-pt jump shot from 23 ft,3,19
57,1,6:02.0,,Offensive rebound by K. Leonard,3,19
58,1,5:59.0,,Turnover by K. Leonard (out of bounds lost ball),3,19
59,1,5:39.0,J. Isaac misses 2-pt jump shot from 11 ft,,3,19
60,1,5:35.0,Offensive rebound by J. Isaac,,3,19
61,1,5:34.0,Personal foul by K. Lowry (drawn by J. Isaac),,3,19
62,1,5:24.0,E. Fournier misses 3-pt jump shot from 24 ft,,3,19
63,1,5:22.0,Offensive rebound by K. Birch,,3,19
64,1,5:19.0,Turnover by K. Birch (lost ball; steal by K. Lowry),,3,19
65,1,5:09.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by P. Siakam),3,22
66,1,4:49.0,E. Fournier makes 2-pt jump shot from 5 ft,,5,22
67,1,4:22.0,,K. Lowry misses 2-pt jump shot from 15 ft,5,22
68,1,4:19.0,Defensive rebound by T. Ross,,5,22
69,1,4:05.0,E. Fournier misses 3-pt jump shot from 23 ft,,5,22
70,1,4:03.0,,Defensive rebound by M. Gasol,5,22
71,1,3:45.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by D. Green),5,25
72,1,3:23.0,E. Fournier makes 2-pt jump shot from 11 ft,,7,25
73,1,3:04.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),7,28
74,1,2:55.0,Orlando full timeout,,7,28
75,1,2:55.0,M. Carter-Williams enters the game for D. Augustin,,7,28
76,1,2:55.0,W. Iwundu enters the game for E. Fournier,,7,28
77,1,2:55.0,,S. Ibaka enters the game for M. Gasol,7,28
78,1,2:42.0,Turnover by T. Ross (bad pass; steal by S. Ibaka),,7,28
79,1,2:36.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by K. Lowry),7,31
80,1,2:23.0,T. Ross makes 2-pt jump shot from 2 ft (assist by M. Carter-Williams),,9,31
81,1,2:23.0,,N. Powell enters the game for K. Leonard,9,31
82,1,2:23.0,,F. VanVleet enters the game for K. Lowry,9,31
83,1,2:09.0,,Turnover by P. Siakam (traveling),9,31
84,1,2:06.0,Personal foul by F. VanVleet (drawn by T. Ross),,9,31
85,1,1:55.0,Personal foul by N. Powell (drawn by W. Iwundu),,9,31
86,1,1:55.0,W. Iwundu makes free throw 1 of 2,,10,31
87,1,1:55.0,W. Iwundu makes free throw 2 of 2,,11,31
88,1,1:45.0,,N. Powell misses 2-pt jump shot from 2 ft,11,31
89,1,1:43.0,Defensive rebound by K. Birch,,11,31
90,1,1:38.0,T. Ross misses 3-pt jump shot from 25 ft,,11,31
91,1,1:35.0,,Defensive rebound by D. Green,11,31
92,1,1:30.0,,F. VanVleet misses 2-pt layup from 2 ft (block by K. Birch),11,31
93,1,1:26.0,Defensive rebound by K. Birch,,11,31
94,1,1:26.0,W. Iwundu makes 2-pt dunk at rim (assist by K. Birch),,13,31
95,1,1:09.0,,F. VanVleet makes 2-pt layup from 2 ft (assist by P. Siakam),13,33
96,1,1:00.0,Personal foul by N. Powell (drawn by M. Carter-Williams),,13,33
97,1,1:00.0,M. Carter-Williams makes free throw 1 of 2,,14,33
98,1,1:00.0,A. Gordon enters the game for J. Isaac,,14,33
99,1,1:00.0,M. Carter-Williams makes free throw 2 of 2,,15,33
100,1,0:39.0,,Turnover by F. VanVleet (bad pass; steal by T. Ross),15,33
101,1,0:35.0,K. Birch makes 2-pt layup from 1 ft (assist by T. Ross),,17,33
102,1,0:32.0,,P. Siakam misses 2-pt layup from 2 ft,17,33
103,1,0:32.0,Defensive rebound by K. Birch,,17,33
104,1,0:24.0,T. Ross makes 2-pt jump shot from 9 ft (assist by M. Carter-Williams),,19,33
105,1,0:01.0,,S. Ibaka makes 2-pt jump shot from 22 ft (assist by F. VanVleet),19,35
106,2,11:46.0,A. Gordon makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),,21,35
107,2,11:24.0,,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),21,37
108,2,11:03.0,E. Fournier misses 3-pt jump shot from 25 ft,,21,37
109,2,11:01.0,,Defensive rebound by J. Meeks,21,37
110,2,10:53.0,,Personal foul by M. Carter-Williams (drawn by P. Siakam),21,37
111,2,10:48.0,,Offensive foul by S. Ibaka (drawn by M. Carter-Williams),21,37
112,2,10:48.0,,Turnover by S. Ibaka (offensive foul),21,37
113,2,10:40.0,K. Birch makes 2-pt jump shot from 5 ft (assist by A. Gordon),,23,37
114,2,10:40.0,Shooting foul by J. Meeks (drawn by K. Birch),,23,37
115,2,10:40.0,K. Birch makes free throw 1 of 1,,24,37
116,2,10:26.0,,Turnover by P. Siakam (lost ball; steal by M. Carter-Williams),24,37
117,2,10:24.0,Shooting foul by J. Meeks (drawn by T. Ross),,24,37
118,2,10:24.0,T. Ross makes free throw 1 of 2,,25,37
119,2,10:24.0,,K. Leonard enters the game for J. Meeks,25,37
120,2,10:24.0,,K. Lowry enters the game for P. Siakam,25,37
121,2,10:24.0,T. Ross makes free throw 2 of 2,,26,37
122,2,10:02.0,,F. VanVleet makes 3-pt jump shot from 29 ft (assist by K. Lowry),26,40
123,2,9:46.0,Turnover by A. Gordon (lost ball; steal by N. Powell),,26,40
124,2,9:41.0,,F. VanVleet misses 2-pt layup from 3 ft,26,40
125,2,9:41.0,,Offensive rebound by N. Powell,26,40
126,2,9:38.0,,K. Lowry misses 3-pt jump shot from 23 ft,26,40
127,2,9:35.0,Defensive rebound by T. Ross,,26,40
128,2,9:31.0,T. Ross misses 3-pt jump shot from 25 ft,,26,40
129,2,9:27.0,,Defensive rebound by S. Ibaka,26,40
130,2,9:15.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by N. Powell),26,42
131,2,9:15.0,,Shooting foul by M. Carter-Williams (drawn by S. Ibaka),26,42
132,2,9:15.0,,S. Ibaka misses free throw 1 of 1,26,42
133,2,9:12.0,Defensive rebound by K. Birch,,26,42
134,2,8:56.0,A. Gordon misses 3-pt jump shot from 23 ft,,26,42
135,2,8:53.0,,Defensive rebound by K. Lowry,26,42
136,2,8:42.0,,F. VanVleet makes 2-pt jump shot from 3 ft,26,44
137,2,8:28.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,26,44
138,2,8:25.0,,Defensive rebound by F. VanVleet,26,44
139,2,8:11.0,,Turnover by K. Lowry (bad pass; steal by E. Fournier),26,44
140,2,8:01.0,Personal foul by K. Lowry (drawn by A. Gordon),,26,44
141,2,7:55.0,E. Fournier makes 3-pt jump shot from 26 ft,,29,44
142,2,7:40.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by K. Lowry),29,47
143,2,7:17.0,T. Ross misses 2-pt jump shot from 11 ft,,29,47
144,2,7:17.0,,Defensive rebound by Team,29,47
145,2,7:17.0,Loose ball foul by K. Birch (drawn by N. Powell),,29,47
146,2,7:17.0,Technical foul by K. Birch,,29,47
147,2,7:17.0,,K. Leonard makes technical free throw,29,48
148,2,7:17.0,D. Augustin enters the game for K. Birch,,29,48
149,2,7:17.0,J. Isaac enters the game for M. Carter-Williams,,29,48
150,2,7:02.0,,N. Powell makes 2-pt dunk from 1 ft (assist by K. Lowry),29,50
151,2,6:48.0,Offensive foul by A. Gordon (drawn by K. Lowry),,29,50
152,2,6:48.0,Turnover by A. Gordon (offensive foul),,29,50
153,2,6:48.0,,Toronto full timeout,29,50
154,2,6:48.0,K. Birch enters the game for A. Gordon,,29,50
155,2,6:26.0,,K. Lowry misses 3-pt jump shot from 25 ft,29,50
156,2,6:26.0,Defensive rebound by Team,,29,50
157,2,6:26.0,,Loose ball foul by S. Ibaka (drawn by K. Birch),29,50
158,2,6:18.0,D. Augustin makes 3-pt jump shot from 25 ft,,32,50
159,2,6:03.0,,N. Powell makes 2-pt layup from 3 ft (assist by S. Ibaka),32,52
160,2,5:42.0,Offensive foul by D. Augustin (drawn by K. Lowry),,32,52
161,2,5:42.0,Turnover by D. Augustin (offensive foul),,32,52
162,2,5:42.0,,M. Gasol enters the game for S. Ibaka,32,52
163,2,5:42.0,,N. Powell misses 3-pt jump shot from 25 ft,32,52
164,2,5:22.0,Defensive rebound by K. Birch,,32,52
165,2,5:13.0,T. Ross makes 3-pt jump shot from 23 ft (assist by D. Augustin),,35,52
166,2,5:02.0,,Offensive foul by M. Gasol (drawn by E. Fournier),35,52
167,2,5:02.0,,Turnover by M. Gasol (offensive foul),35,52
168,2,4:49.0,J. Isaac makes 3-pt jump shot from 22 ft (assist by E. Fournier),,38,52
169,2,4:36.0,,Shooting foul by J. Isaac (drawn by K. Leonard),38,52
170,2,4:36.0,,K. Leonard makes free throw 1 of 3,38,53
171,2,4:36.0,,D. Green enters the game for N. Powell,38,53
172,2,4:36.0,,P. Siakam enters the game for F. VanVleet,38,53
173,2,4:36.0,,K. Leonard makes free throw 2 of 3,38,54
174,2,4:36.0,,K. Leonard makes free throw 3 of 3,38,55
175,2,4:25.0,Shooting foul by K. Lowry (drawn by E. Fournier),,38,55
176,2,4:25.0,E. Fournier misses free throw 1 of 2,,38,55
177,2,4:25.0,Offensive rebound by Team,,38,55
178,2,4:25.0,E. Fournier makes free throw 2 of 2,,39,55
179,2,4:21.0,,Toronto full timeout,39,55
180,2,4:03.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Leonard),39,58
181,2,3:35.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by E. Fournier),,42,58
182,2,3:26.0,,Shooting foul by E. Fournier (drawn by P. Siakam),42,58
183,2,3:26.0,,P. Siakam makes free throw 1 of 2,42,59
184,2,3:26.0,,P. Siakam misses free throw 2 of 2,42,59
185,2,3:24.0,Defensive rebound by T. Ross,,42,59
186,2,3:12.0,Offensive foul by E. Fournier (drawn by K. Lowry),,42,59
187,2,3:12.0,Turnover by E. Fournier (offensive foul),,42,59
188,2,3:12.0,W. Iwundu enters the game for E. Fournier,,42,59
189,2,3:00.0,,M. Gasol misses 3-pt jump shot from 23 ft,42,59
190,2,2:54.0,Defensive rebound by J. Isaac,,42,59
191,2,2:54.0,,F. VanVleet enters the game for K. Lowry,42,59
192,2,2:39.0,T. Ross misses 2-pt jump shot from 20 ft,,42,59
193,2,2:36.0,Offensive rebound by J. Isaac,,42,59
194,2,2:33.0,J. Isaac misses 2-pt hook shot from 9 ft,,42,59
195,2,2:31.0,,Defensive rebound by P. Siakam,42,59
196,2,2:20.0,,Shooting foul by K. Birch (drawn by M. Gasol),42,59
197,2,2:20.0,,M. Gasol makes free throw 1 of 2,42,60
198,2,2:20.0,,M. Gasol makes free throw 2 of 2,42,61
199,2,2:04.0,T. Ross misses 2-pt jump shot from 13 ft,,42,61
200,2,2:02.0,Offensive rebound by J. Isaac,,42,61
201,2,1:59.0,D. Augustin misses 2-pt jump shot from 9 ft (block by M. Gasol),,42,61
202,2,1:55.0,,Defensive rebound by K. Leonard,42,61
203,2,1:48.0,,F. VanVleet misses 3-pt jump shot from 25 ft,42,61
204,2,1:46.0,,Offensive rebound by K. Leonard,42,61
205,2,1:43.0,,D. Green makes 3-pt jump shot from 23 ft (assist by F. VanVleet),42,64
206,2,1:24.0,W. Iwundu misses 3-pt jump shot from 25 ft,,42,64
207,2,1:21.0,,Defensive rebound by M. Gasol,42,64
208,2,1:18.0,,P. Siakam misses 2-pt dunk from 2 ft (block by T. Ross),42,64
209,2,1:14.0,Defensive rebound by D. Augustin,,42,64
210,2,1:09.0,J. Isaac misses 2-pt hook shot from 5 ft,,42,64
211,2,1:09.0,Offensive rebound by K. Birch,,42,64
212,2,0:58.0,J. Isaac misses 3-pt jump shot from 23 ft,,42,64
213,2,0:56.0,,Defensive rebound by P. Siakam,42,64
214,2,0:51.0,,D. Green misses 3-pt jump shot from 26 ft,42,64
215,2,0:48.0,Defensive rebound by K. Birch,,42,64
216,2,0:33.0,Shooting foul by P. Siakam (drawn by D. Augustin),,42,64
217,2,0:33.0,,Technical foul by P. Siakam,42,64
218,2,0:33.0,D. Augustin misses technical free throw,,42,64
219,2,0:33.0,Offensive rebound by Team,,42,64
220,2,0:33.0,D. Augustin makes free throw 1 of 2,,43,64
221,2,0:33.0,J. Martin enters the game for K. Birch,,43,64
222,2,0:33.0,D. Augustin makes free throw 2 of 2,,44,64
223,2,0:23.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by M. Gasol),44,67
224,2,0:03.0,W. Iwundu makes 3-pt jump shot from 23 ft (assist by D. Augustin),,47,67
225,3,11:40.0,D. Augustin misses 3-pt jump shot from 26 ft,,47,67
226,3,11:37.0,,Defensive rebound by P. Siakam,47,67
227,3,11:24.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by K. Lowry),47,70
228,3,11:08.0,E. Fournier misses 2-pt jump shot from 19 ft,,47,70
229,3,11:06.0,,Defensive rebound by M. Gasol,47,70
230,3,10:53.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by K. Lowry),47,73
231,3,10:32.0,J. Isaac misses 3-pt jump shot from 23 ft,,47,73
232,3,10:31.0,,Defensive rebound by M. Gasol,47,73
233,3,10:15.0,,P. Siakam misses 3-pt jump shot from 23 ft,47,73
234,3,10:13.0,Defensive rebound by A. Gordon,,47,73
235,3,10:07.0,Turnover by A. Gordon (lost ball; steal by D. Green),,47,73
236,3,10:03.0,,D. Green misses 3-pt jump shot from 25 ft,47,73
237,3,10:00.0,Defensive rebound by A. Gordon,,47,73
238,3,9:54.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by D. Augustin),,49,73
239,3,9:30.0,,Turnover by D. Green (traveling),49,73
