,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:40.0,,H. Barnes misses 2-pt jump shot from 7 ft,0,0
1,1,11:40.0,,Offensive rebound by Team,0,0
2,1,11:40.0,,Personal foul by P. Tucker (drawn by H. Barnes),0,0
3,1,11:28.0,,L. Dončić misses 3-pt jump shot from 26 ft,0,0
4,1,11:26.0,,Offensive rebound by D. Jordan,0,0
5,1,11:24.0,,D. Jordan makes 2-pt layup from 1 ft,0,2
6,1,11:07.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),,3,2
7,1,10:59.0,,Personal foul by C. Paul (drawn by J. Brunson),3,2
8,1,10:51.0,,H. Barnes misses 2-pt jump shot from 15 ft,3,2
9,1,10:48.0,Defensive rebound by C. Capela,,3,2
10,1,10:41.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by J. Harden),,6,2
11,1,10:19.0,,H. Barnes makes 2-pt jump shot from 4 ft,6,4
12,1,9:58.0,J. Ennis makes 2-pt dunk at rim (assist by J. Harden),,8,4
13,1,9:44.0,,Def 3 sec tech foul by Team,8,4
14,1,9:44.0,,W. Matthews makes technical free throw,8,5
15,1,9:31.0,,J. Brunson makes 2-pt jump shot from 9 ft (assist by W. Matthews),8,7
16,1,9:21.0,J. Harden misses 3-pt jump shot from 24 ft,,8,7
17,1,9:18.0,,Defensive rebound by D. Jordan,8,7
18,1,9:03.0,,L. Dončić misses 2-pt layup from 1 ft,8,7
19,1,9:01.0,Defensive rebound by C. Capela,,8,7
20,1,8:54.0,Turnover by C. Capela (bad pass; steal by L. Dončić),,8,7
21,1,8:48.0,,D. Jordan misses 2-pt layup from 1 ft,8,7
22,1,8:46.0,,Offensive rebound by D. Jordan,8,7
23,1,8:41.0,,H. Barnes misses 2-pt layup from 1 ft (block by J. Ennis),8,7
24,1,8:37.0,,Offensive rebound by D. Jordan,8,7
25,1,8:35.0,,D. Jordan makes 2-pt dunk at rim,8,9
26,1,8:23.0,J. Harden makes 2-pt layup from 2 ft,,10,9
27,1,8:01.0,,L. Dončić misses 3-pt jump shot from 26 ft,10,9
28,1,7:59.0,Defensive rebound by J. Harden,,10,9
29,1,7:49.0,Turnover by C. Paul (bad pass; steal by L. Dončić),,10,9
30,1,7:44.0,,J. Brunson makes 2-pt layup from 1 ft (assist by W. Matthews),10,11
31,1,7:27.0,Shooting foul by L. Dončić (drawn by J. Harden),,10,11
32,1,7:27.0,J. Harden makes free throw 1 of 2,,11,11
33,1,7:27.0,J. Harden makes free throw 2 of 2,,12,11
34,1,7:16.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by H. Barnes),12,14
35,1,7:09.0,C. Paul misses 3-pt jump shot from 26 ft,,12,14
36,1,7:06.0,Offensive rebound by J. Ennis,,12,14
37,1,7:00.0,C. Paul misses 2-pt jump shot from 15 ft,,12,14
38,1,6:58.0,Offensive rebound by C. Capela,,12,14
39,1,6:52.0,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Paul),,15,14
40,1,6:51.0,,Dallas full timeout,15,14
41,1,6:51.0,E. Gordon enters the game for C. Paul,,15,14
42,1,6:51.0,,D. Finney-Smith enters the game for W. Matthews,15,14
43,1,6:37.0,,Personal foul by J. Harden (drawn by H. Barnes),15,14
44,1,6:30.0,,Shooting foul by J. Harden (drawn by H. Barnes),15,14
45,1,6:30.0,,H. Barnes makes free throw 1 of 2,15,15
46,1,6:30.0,,H. Barnes makes free throw 2 of 2,15,16
47,1,6:15.0,E. Gordon misses 3-pt jump shot from 28 ft,,15,16
48,1,6:10.0,,Defensive rebound by L. Dončić,15,16
49,1,5:53.0,,L. Dončić misses 2-pt layup from 5 ft,15,16
50,1,5:51.0,,Offensive rebound by D. Jordan,15,16
51,1,5:49.0,,D. Jordan makes 2-pt layup from 1 ft,15,18
52,1,5:38.0,J. Harden makes 3-pt jump shot from 25 ft,,18,18
53,1,5:29.0,,J. Brunson misses 3-pt jump shot from 26 ft,18,18
54,1,5:25.0,Defensive rebound by J. Ennis,,18,18
55,1,5:10.0,J. Harden misses 3-pt jump shot from 25 ft,,18,18
56,1,5:07.0,,Defensive rebound by D. Jordan,18,18
57,1,5:03.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by J. Brunson),18,20
58,1,4:57.0,J. Ennis misses 3-pt jump shot from 25 ft,,18,20
59,1,4:53.0,,Defensive rebound by D. Finney-Smith,18,20
60,1,4:49.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Brunson),18,22
61,1,4:26.0,J. Ennis misses 3-pt jump shot from 25 ft,,18,22
62,1,4:22.0,,Defensive rebound by L. Dončić,18,22
63,1,4:17.0,,Personal foul by J. Harden (drawn by L. Dončić),18,22
64,1,4:17.0,,L. Dončić makes free throw 1 of 2,18,23
65,1,4:17.0,G. Green enters the game for C. Capela,,18,23
66,1,4:17.0,N. Hilário enters the game for J. Ennis,,18,23
67,1,4:17.0,C. Paul enters the game for J. Harden,,18,23
68,1,4:17.0,,J. Barea enters the game for J. Brunson,18,23
69,1,4:17.0,,L. Dončić misses free throw 2 of 2,18,23
70,1,4:15.0,Defensive rebound by N. Hilário,,18,23
71,1,4:04.0,Personal foul by J. Barea (drawn by N. Hilário),,18,23
72,1,4:04.0,,D. Harris enters the game for L. Dončić,18,23
73,1,4:04.0,,D. Powell enters the game for D. Jordan,18,23
74,1,3:56.0,C. Paul makes 2-pt jump shot from 14 ft,,20,23
75,1,3:41.0,,J. Barea misses 3-pt jump shot from 25 ft,20,23
76,1,3:36.0,Defensive rebound by P. Tucker,,20,23
77,1,3:26.0,Turnover by N. Hilário (lost ball; steal by D. Powell),,20,23
78,1,3:23.0,,Shooting foul by G. Green (drawn by D. Finney-Smith),20,23
79,1,3:23.0,,D. Finney-Smith makes free throw 1 of 2,20,24
80,1,3:23.0,,D. Finney-Smith makes free throw 2 of 2,20,25
81,1,3:14.0,E. Gordon misses 2-pt jump shot from 5 ft (block by D. Finney-Smith),,20,25
82,1,3:14.0,Offensive rebound by Team,,20,25
83,1,3:14.0,,W. Matthews enters the game for H. Barnes,20,25
84,1,3:09.0,C. Paul misses 2-pt jump shot from 13 ft,,20,25
85,1,3:07.0,,Defensive rebound by D. Powell,20,25
86,1,2:56.0,Houston full timeout,,20,25
87,1,2:50.0,,W. Matthews misses 2-pt jump shot from 9 ft,20,25
88,1,2:47.0,Defensive rebound by P. Tucker,,20,25
89,1,2:35.0,P. Tucker misses 2-pt hook shot from 5 ft,,20,25
90,1,2:32.0,Offensive rebound by N. Hilário,,20,25
91,1,2:29.0,E. Gordon makes 2-pt dunk at rim,,22,25
92,1,2:10.0,,J. Barea makes 2-pt jump shot from 11 ft (assist by D. Powell),22,27
93,1,1:52.0,Turnover by E. Gordon (out of bounds lost ball),,22,27
94,1,1:45.0,,Turnover by J. Barea (traveling),22,27
95,1,1:38.0,P. Tucker misses 3-pt jump shot from 25 ft,,22,27
96,1,1:34.0,,Defensive rebound by W. Matthews,22,27
97,1,1:25.0,Violation by Team (kicked ball),,22,27
98,1,1:25.0,D. House enters the game for P. Tucker,,22,27
99,1,1:17.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),22,30
100,1,1:03.0,C. Paul makes 3-pt jump shot from 25 ft,,25,30
101,1,0:48.0,,D. Finney-Smith misses 2-pt dunk from 1 ft,25,30
102,1,0:45.0,Defensive rebound by D. House,,25,30
103,1,0:36.0,G. Green makes 3-pt jump shot from 25 ft (assist by D. House),,28,30
104,1,0:33.0,,Turnover by W. Matthews (traveling),28,30
105,1,0:27.0,C. Paul makes 2-pt jump shot from 14 ft,,30,30
106,1,0:04.0,,J. Barea makes 2-pt jump shot from 9 ft,30,32
107,2,11:44.0,G. Green misses 3-pt jump shot from 23 ft,,30,32
108,2,11:41.0,Offensive rebound by C. Capela,,30,32
109,2,11:40.0,C. Capela makes 2-pt layup from 2 ft,,32,32
110,2,11:23.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris),32,34
111,2,11:13.0,C. Capela makes 2-pt layup from 2 ft (assist by C. Paul),,34,34
112,2,10:57.0,,D. Powell misses 3-pt jump shot from 26 ft,34,34
113,2,10:55.0,Defensive rebound by G. Green,,34,34
114,2,10:48.0,E. Gordon misses 3-pt jump shot from 25 ft,,34,34
