,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,A. Drummond misses 2-pt layup from 4 ft,,0,0
1,1,11:39.0,,Defensive rebound by M. Williams,0,0
2,1,11:31.0,,Shooting foul by R. Jackson (drawn by C. Zeller),0,0
3,1,11:31.0,,C. Zeller makes free throw 1 of 2,0,1
4,1,11:31.0,,C. Zeller makes free throw 2 of 2,0,2
5,1,11:16.0,L. Kennard misses 3-pt jump shot from 23 ft,,0,2
6,1,11:14.0,,Defensive rebound by C. Zeller,0,2
7,1,11:08.0,,N. Batum makes 2-pt layup from 1 ft,0,4
8,1,10:48.0,R. Jackson makes 2-pt layup from 3 ft,,2,4
9,1,10:25.0,,J. Lamb makes 2-pt layup from 2 ft (assist by K. Walker),2,6
10,1,10:08.0,R. Jackson misses 3-pt jump shot from 27 ft,,2,6
11,1,10:08.0,,Defensive rebound by Team,2,6
12,1,10:08.0,Loose ball foul by A. Drummond (drawn by C. Zeller),,2,6
13,1,9:50.0,,J. Lamb misses 2-pt hook shot from 8 ft,2,6
14,1,9:48.0,Defensive rebound by A. Drummond,,2,6
15,1,9:40.0,Shooting foul by C. Zeller (drawn by B. Griffin),,2,6
16,1,9:40.0,B. Griffin makes free throw 1 of 2,,3,6
17,1,9:40.0,B. Griffin makes free throw 2 of 2,,4,6
18,1,9:29.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by K. Walker),4,8
19,1,9:18.0,B. Griffin makes 3-pt jump shot from 25 ft,,7,8
20,1,8:55.0,,J. Lamb misses 2-pt layup from 2 ft,7,8
21,1,8:54.0,Defensive rebound by Team,,7,8
22,1,8:42.0,Turnover by L. Kennard (traveling),,7,8
23,1,8:26.0,,C. Zeller makes 2-pt layup from 2 ft (assist by J. Lamb),7,10
24,1,7:59.0,L. Kennard misses 2-pt jump shot from 20 ft,,7,10
25,1,7:53.0,Offensive rebound by B. Brown,,7,10
26,1,7:53.0,B. Brown makes 2-pt layup at rim,,9,10
27,1,7:44.0,,K. Walker misses 3-pt jump shot from 27 ft,9,10
28,1,7:42.0,Defensive rebound by B. Griffin,,9,10
29,1,7:33.0,A. Drummond makes 2-pt hook shot from 4 ft (assist by B. Griffin),,11,10
30,1,7:21.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),11,13
31,1,7:03.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by B. Griffin),,14,13
32,1,6:51.0,,Shooting foul by L. Kennard (drawn by K. Walker),14,13
33,1,6:51.0,,Charlotte full timeout,14,13
34,1,6:51.0,,K. Walker makes free throw 1 of 2,14,14
35,1,6:51.0,,K. Walker makes free throw 2 of 2,14,15
36,1,6:32.0,R. Jackson misses 3-pt jump shot from 26 ft,,14,15
