,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
0,1,11:43.0,,R. Gobert makes 2-pt dunk from 5 ft (assist by D. Mitchell),0,2
1,1,11:21.0,N. Bjelica misses 2-pt hook shot from 10 ft,,0,2
2,1,11:17.0,,Defensive rebound by R. Gobert,0,2
3,1,11:09.0,,R. Gobert misses 2-pt layup from 2 ft,0,2
4,1,11:06.0,Defensive rebound by M. Bagley,,0,2
5,1,10:58.0,D. Fox misses 2-pt jump shot from 7 ft,,0,2
6,1,10:54.0,,Defensive rebound by R. Rubio,0,2
7,1,10:44.0,,Personal foul by D. Fox (drawn by R. Rubio),0,2
8,1,10:37.0,,R. Rubio makes 2-pt jump shot from 9 ft (assist by J. Ingles),0,4
9,1,10:37.0,,Shooting foul by D. Fox (drawn by R. Rubio),0,4
10,1,10:37.0,,R. Rubio misses free throw 1 of 1,0,4
11,1,10:36.0,Defensive rebound by H. Barnes,,0,4
12,1,10:28.0,Turnover by H. Barnes (bad pass; steal by J. Ingles),,0,4
13,1,10:19.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),0,6
14,1,9:58.0,N. Bjelica misses 2-pt layup from 3 ft,,0,6
15,1,9:56.0,,Defensive rebound by R. Gobert,0,6
16,1,9:53.0,,Personal foul by N. Bjelica (drawn by J. Crowder),0,6
17,1,9:45.0,,Personal foul by M. Bagley (drawn by R. Gobert),0,6
18,1,9:45.0,,Technical foul by,0,6
19,1,9:45.0,,R. Rubio makes technical free throw,0,7
20,1,9:39.0,,J. Ingles makes 3-pt jump shot from 25 ft,0,10
21,1,9:38.0,Sacramento full timeout,,0,10
22,1,9:37.0,Personal foul by J. Crowder (drawn by D. Fox),,0,10
23,1,9:24.0,M. Bagley misses 2-pt jump shot from 8 ft,,0,10
24,1,9:15.0,Offensive rebound by M. Bagley,,0,10
25,1,9:15.0,M. Bagley misses 2-pt layup at rim,,0,10
26,1,9:14.0,,Defensive rebound by R. Gobert,0,10
27,1,9:12.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),0,13
28,1,8:57.0,Shooting foul by R. Gobert (drawn by M. Bagley),,0,13
29,1,8:57.0,Offensive rebound by Team,,0,13
30,1,8:57.0,M. Bagley misses free throw 1 of 2,,0,13
31,1,8:57.0,M. Bagley makes free throw 2 of 2,,1,13
32,1,8:40.0,,J. Crowder misses 3-pt jump shot from 26 ft,1,13
33,1,8:37.0,Defensive rebound by D. Fox,,1,13
34,1,8:32.0,B. Hield misses 2-pt jump shot from 14 ft,,1,13
35,1,8:29.0,,Defensive rebound by R. Rubio,1,13
36,1,8:25.0,,Turnover by R. Rubio (bad pass),1,13
37,1,8:19.0,D. Fox misses 2-pt jump shot from 21 ft,,1,13
38,1,8:18.0,Offensive rebound by Team,,1,13
39,1,8:18.0,,Loose ball foul by J. Crowder (drawn by N. Bjelica),1,13
40,1,8:18.0,,T. Sefolosha enters the game for J. Crowder,1,13
41,1,8:11.0,Turnover by M. Bagley (bad pass; steal by R. Gobert),,1,13
42,1,8:05.0,,R. Gobert misses 2-pt layup from 4 ft (block by M. Bagley),1,13
43,1,8:05.0,,Offensive rebound by Team,1,13
44,1,7:54.0,,T. Sefolosha misses 2-pt layup from 2 ft,1,13
45,1,7:52.0,Defensive rebound by M. Bagley,,1,13
46,1,7:49.0,Personal foul by R. Rubio (drawn by B. Hield),,1,13
47,1,7:41.0,B. Hield misses 2-pt layup from 9 ft (block by R. Gobert),,1,13
48,1,7:37.0,,Defensive rebound by D. Mitchell,1,13
49,1,7:36.0,,Shooting foul by D. Fox (drawn by R. Rubio),1,13
50,1,7:36.0,,Offensive rebound by Team,1,13
51,1,7:36.0,,R. Rubio misses free throw 1 of 2,1,13
52,1,7:36.0,Y. Ferrell enters the game for D. Fox,,1,13
