,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:44.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by J. Tatum),0,2
1,1,11:33.0,T. Young makes 2-pt dunk from 1 ft (assist by W. Matthews),,2,2
2,1,11:20.0,,K. Irving makes 2-pt jump shot from 17 ft,2,4
3,1,10:58.0,B. Bogdanović misses 2-pt jump shot from 5 ft (block by A. Baynes),,2,4
4,1,10:56.0,,Defensive rebound by A. Horford,2,4
5,1,10:50.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by K. Irving),2,7
6,1,10:31.0,D. Collison makes 2-pt jump shot from 16 ft,,4,7
7,1,10:14.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by K. Irving),4,10
8,1,9:51.0,M. Turner makes 3-pt jump shot from 26 ft (assist by W. Matthews),,7,10
9,1,9:38.0,,K. Irving makes 3-pt jump shot from 25 ft,7,13
10,1,9:29.0,T. Young makes 3-pt jump shot from 23 ft (assist by W. Matthews),,10,13
11,1,9:06.0,,Turnover by J. Brown (lost ball; steal by B. Bogdanović),10,13
12,1,9:03.0,B. Bogdanović makes 2-pt dunk from 1 ft,,12,13
13,1,8:48.0,,K. Irving misses 3-pt jump shot from 26 ft,12,13
14,1,8:47.0,Defensive rebound by Team,,12,13
15,1,8:26.0,Turnover by B. Bogdanović (out of bounds lost ball),,12,13
16,1,8:06.0,,Turnover by A. Horford (lost ball; steal by T. Young),12,13
17,1,8:05.0,Personal foul by J. Brown (drawn by W. Matthews),,12,13
18,1,7:54.0,M. Turner misses 2-pt jump shot from 17 ft,,12,13
19,1,7:52.0,,Defensive rebound by J. Tatum,12,13
20,1,7:36.0,,Personal foul by W. Matthews (drawn by J. Brown),12,13
21,1,7:29.0,,K. Irving misses 2-pt jump shot from 10 ft,12,13
22,1,7:27.0,Defensive rebound by T. Young,,12,13
23,1,7:21.0,D. Collison makes 2-pt jump shot from 15 ft,,14,13
24,1,7:02.0,,Turnover by J. Tatum (traveling),14,13
25,1,6:54.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),,17,13
26,1,6:51.0,,Boston full timeout,17,13
27,1,6:51.0,,G. Hayward enters the game for A. Baynes,17,13
28,1,6:51.0,,M. Morris enters the game for A. Horford,17,13
29,1,6:51.0,,D. Theis enters the game for J. Tatum,17,13
30,1,6:33.0,,Turnover by K. Irving (lost ball; steal by T. Young),17,13
31,1,6:31.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),,19,13
32,1,6:31.0,Shooting foul by M. Morris (drawn by B. Bogdanović),,19,13
33,1,6:31.0,B. Bogdanović makes free throw 1 of 1,,20,13
34,1,6:20.0,,Personal foul by W. Matthews (drawn by J. Brown),20,13
35,1,6:20.0,T. Evans enters the game for W. Matthews,,20,13
36,1,6:15.0,,D. Theis misses 3-pt jump shot from 26 ft,20,13
37,1,6:13.0,Defensive rebound by M. Turner,,20,13
38,1,6:03.0,Turnover by D. Collison (lost ball; steal by K. Irving),,20,13
39,1,5:58.0,,J. Brown makes 2-pt layup from 1 ft (assist by K. Irving),20,15
40,1,5:47.0,Personal foul by J. Brown (drawn by B. Bogdanović),,20,15
41,1,5:39.0,T. Young misses 2-pt layup from 5 ft,,20,15
42,1,5:37.0,,Defensive rebound by J. Brown,20,15
43,1,5:27.0,,G. Hayward misses 3-pt jump shot from 24 ft,20,15
44,1,5:26.0,Defensive rebound by M. Turner,,20,15
45,1,5:10.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,22,15
46,1,4:50.0,,D. Theis misses 2-pt jump shot from 9 ft (block by T. Young),22,15
47,1,4:49.0,Defensive rebound by T. Evans,,22,15
48,1,4:46.0,Offensive foul by D. Collison (drawn by K. Irving),,22,15
