,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
0,1,11:48.0,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),,2,0
1,1,11:31.0,,R. Arcidiacono misses 3-pt jump shot from 24 ft,2,0
2,1,11:25.0,,Offensive rebound by L. Markkanen,2,0
3,1,11:25.0,,L. Markkanen makes 2-pt layup at rim,2,2
4,1,11:05.0,S. Adams misses 2-pt layup from 1 ft,,2,2
5,1,11:01.0,Offensive rebound by S. Adams,,2,2
6,1,11:01.0,S. Adams makes 2-pt layup from 1 ft,,4,2
7,1,10:52.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,4,2
8,1,10:49.0,Defensive rebound by R. Westbrook,,4,2
9,1,10:44.0,Turnover by R. Westbrook (bad pass; steal by W. Carter),,4,2
10,1,10:38.0,,J. Holiday misses 3-pt jump shot from 24 ft,4,2
11,1,10:36.0,Defensive rebound by R. Westbrook,,4,2
12,1,10:30.0,P. George misses 3-pt jump shot from 26 ft,,4,2
13,1,10:26.0,,Defensive rebound by R. Arcidiacono,4,2
14,1,10:10.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by W. Carter),4,4
15,1,9:57.0,R. Westbrook misses 3-pt jump shot from 24 ft,,4,4
16,1,9:57.0,Offensive rebound by Team,,4,4
17,1,9:57.0,,Loose ball foul by W. Carter (drawn by S. Adams),4,4
18,1,9:49.0,R. Westbrook misses 2-pt layup from 2 ft,,4,4
19,1,9:45.0,Offensive rebound by R. Westbrook,,4,4
20,1,9:45.0,R. Westbrook misses 2-pt layup from 1 ft,,4,4
21,1,9:44.0,,Defensive rebound by L. Markkanen,4,4
22,1,9:41.0,,Shooting foul by R. Westbrook (drawn by L. Markkanen),4,4
23,1,9:41.0,,L. Markkanen makes free throw 1 of 2,4,5
24,1,9:41.0,,L. Markkanen misses free throw 2 of 2,4,5
25,1,9:38.0,Defensive rebound by R. Westbrook,,4,5
26,1,9:25.0,S. Adams misses 2-pt hook shot from 6 ft,,4,5
27,1,9:23.0,Offensive rebound by S. Adams,,4,5
28,1,9:22.0,S. Adams makes 2-pt layup from 1 ft,,6,5
29,1,9:13.0,,W. Carter makes 2-pt layup from 1 ft (assist by L. Markkanen),6,7
30,1,9:13.0,,Shooting foul by S. Adams (drawn by W. Carter),6,7
31,1,9:13.0,,W. Carter makes free throw 1 of 1,6,8
32,1,8:53.0,J. Grant misses 2-pt jump shot from 6 ft,,6,8
33,1,8:50.0,Offensive rebound by S. Adams,,6,8
34,1,8:49.0,S. Adams makes 2-pt layup from 2 ft,,8,8
35,1,8:38.0,,J. Holiday misses 2-pt jump shot from 19 ft,8,8
36,1,8:35.0,Defensive rebound by R. Westbrook,,8,8
37,1,8:30.0,S. Adams makes 2-pt jump shot from 8 ft (assist by R. Westbrook),,10,8
38,1,8:17.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft,10,11
39,1,8:10.0,S. Adams misses 2-pt layup from 5 ft,,10,11
40,1,8:10.0,Offensive rebound by Team,,10,11
41,1,8:09.0,,Loose ball foul by L. Markkanen (drawn by S. Adams),10,11
42,1,8:09.0,Oklahoma City full timeout,,10,11
43,1,8:02.0,J. Grant misses 3-pt jump shot from 26 ft,,10,11
44,1,8:00.0,Offensive rebound by Team,,10,11
45,1,7:55.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,12,11
46,1,7:48.0,,J. Holiday makes 3-pt jump shot from 25 ft,12,14
47,1,7:33.0,P. George makes 2-pt layup from 2 ft (assist by R. Westbrook),,14,14
48,1,7:15.0,,L. Markkanen misses 3-pt jump shot from 23 ft,14,14
49,1,7:15.0,Defensive rebound by R. Westbrook,,14,14
50,1,7:07.0,P. George makes 2-pt jump shot from 12 ft,,16,14
51,1,7:07.0,Shooting foul by J. Holiday (drawn by P. George),,16,14
52,1,7:07.0,P. George makes free throw 1 of 1,,17,14
53,1,6:49.0,,W. Carter makes 2-pt jump shot from 10 ft (assist by R. Arcidiacono),17,16
54,1,6:33.0,Turnover by S. Adams (bad pass; steal by J. Holiday),,17,16
55,1,6:28.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),17,19
56,1,6:10.0,R. Westbrook misses 3-pt jump shot from 30 ft,,17,19
57,1,6:07.0,Offensive rebound by S. Adams,,17,19
58,1,5:59.0,Turnover by S. Adams (bad pass; steal by R. Arcidiacono),,17,19
59,1,5:47.0,,W. Carter misses 2-pt jump shot from 15 ft,17,19
60,1,5:45.0,Defensive rebound by R. Westbrook,,17,19
61,1,5:41.0,T. Ferguson misses 2-pt jump shot from 12 ft,,17,19
62,1,5:39.0,Offensive rebound by S. Adams,,17,19
63,1,5:36.0,Turnover by S. Adams (bad pass; steal by L. Markkanen),,17,19
64,1,5:31.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),17,22
65,1,5:20.0,Shooting foul by J. Holiday (drawn by S. Adams),,17,22
66,1,5:20.0,S. Adams makes free throw 1 of 2,,18,22
67,1,5:20.0,D. Schröder enters the game for T. Ferguson,,18,22
68,1,5:20.0,,C. Hutchison enters the game for W. Carter,18,22
69,1,5:20.0,,R. Lopez enters the game for J. Holiday,18,22
70,1,5:20.0,S. Adams misses free throw 2 of 2,,18,22
71,1,5:17.0,,Defensive rebound by R. Lopez,18,22
72,1,5:00.0,,Turnover by Z. LaVine (lost ball; steal by R. Westbrook),18,22
73,1,4:54.0,P. George makes 2-pt jump shot from 17 ft,,20,22
74,1,4:42.0,,Turnover by L. Markkanen (offensive foul),20,22
75,1,4:42.0,,Offensive foul by L. Markkanen (drawn by D. Schröder),20,22
76,1,4:42.0,,J. Parker enters the game for L. Markkanen,20,22
77,1,4:28.0,D. Schröder misses 2-pt layup from 2 ft,,20,22
78,1,4:24.0,,Defensive rebound by R. Lopez,20,22
79,1,4:15.0,,Z. LaVine makes 2-pt jump shot from 16 ft,20,24
80,1,4:08.0,S. Adams misses 2-pt jump shot from 16 ft,,20,24
81,1,4:08.0,,Defensive rebound by C. Hutchison,20,24
82,1,3:58.0,,Z. LaVine misses 3-pt jump shot from 24 ft,20,24
83,1,3:52.0,Defensive rebound by D. Schröder,,20,24
84,1,3:50.0,Personal foul by R. Lopez (drawn by S. Adams),,20,24
85,1,3:50.0,S. Adams misses free throw 1 of 2,,20,24
86,1,3:50.0,Offensive rebound by Team,,20,24
87,1,3:50.0,S. Adams makes free throw 2 of 2,,21,24
88,1,3:46.0,,Chicago full timeout,21,24
89,1,3:46.0,P. Patterson enters the game for J. Grant,,21,24
90,1,3:32.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by Z. LaVine),21,26
91,1,3:21.0,Def 3 sec tech foul by Team,,21,26
92,1,3:21.0,P. George misses technical free throw,,21,26
93,1,3:21.0,Offensive rebound by Team,,21,26
94,1,3:18.0,Shooting foul by J. Parker (drawn by R. Westbrook),,21,26
95,1,3:18.0,R. Westbrook makes free throw 1 of 2,,22,26
96,1,3:18.0,R. Westbrook makes free throw 2 of 2,,23,26
97,1,3:09.0,,Personal foul by R. Westbrook (drawn by C. Hutchison),23,26
98,1,3:09.0,Á. Abrines enters the game for S. Adams,,23,26
99,1,3:09.0,N. Noel enters the game for R. Westbrook,,23,26
100,1,2:57.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by J. Parker),23,28
101,1,2:45.0,N. Noel misses 2-pt dunk at rim,,23,28
102,1,2:42.0,,Defensive rebound by J. Parker,23,28
103,1,2:39.0,,J. Parker misses 2-pt layup from 1 ft,23,28
104,1,2:37.0,Defensive rebound by P. George,,23,28
105,1,2:34.0,P. George misses 3-pt jump shot from 25 ft,,23,28
106,1,2:30.0,,Defensive rebound by R. Arcidiacono,23,28
107,1,2:17.0,,Z. LaVine makes 2-pt layup from 4 ft,23,30
108,1,2:03.0,Á. Abrines misses 3-pt jump shot from 23 ft,,23,30
109,1,2:03.0,,Defensive rebound by J. Parker,23,30
110,1,1:58.0,,Shooting foul by Á. Abrines (drawn by Z. LaVine),23,30
111,1,1:58.0,,Z. LaVine makes free throw 1 of 2,23,31
112,1,1:58.0,,Z. LaVine makes free throw 2 of 2,23,32
113,1,1:44.0,D. Schröder misses 3-pt jump shot from 26 ft,,23,32
114,1,1:41.0,,Defensive rebound by Z. LaVine,23,32
115,1,1:35.0,,Turnover by Z. LaVine (lost ball; steal by N. Noel),23,32
116,1,1:31.0,Turnover by D. Schröder (lost ball; steal by R. Arcidiacono),,23,32
117,1,1:27.0,,Shooting foul by Á. Abrines (drawn by C. Hutchison),23,32
118,1,1:27.0,,C. Hutchison misses free throw 1 of 2,23,32
119,1,1:27.0,,Offensive rebound by Team,23,32
120,1,1:27.0,,C. Payne enters the game for Z. LaVine,23,32
121,1,1:27.0,,C. Hutchison misses free throw 2 of 2,23,32
122,1,1:22.0,Defensive rebound by N. Noel,,23,32
123,1,1:16.0,D. Schröder makes 2-pt layup from 1 ft,,25,32
124,1,0:59.0,,R. Lopez makes 2-pt jump shot from 15 ft,25,34
125,1,0:45.0,P. George makes 3-pt jump shot from 25 ft (assist by Á. Abrines),,28,34
126,1,0:33.0,,C. Payne misses 2-pt layup from 3 ft (block by N. Noel),28,34
