,QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
0,1,11:37.0,W. Matthews misses 3-pt jump shot from 29 ft,,0,0
1,1,11:34.0,,Defensive rebound by L. Dončić,0,0
2,1,11:22.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by J. Brunson),0,2
3,1,11:03.0,M. Turner misses 2-pt jump shot from 11 ft,,0,2
4,1,10:59.0,Offensive rebound by Team,,0,2
5,1,10:42.0,T. Young misses 2-pt hook shot from 7 ft,,0,2
6,1,10:41.0,,Defensive rebound by L. Dončić,0,2
7,1,10:34.0,,Turnover by L. Dončić (lost ball; steal by M. Turner),0,2
8,1,10:31.0,B. Bogdanović makes 2-pt dunk from 2 ft (assist by W. Matthews),,2,2
9,1,10:13.0,,Turnover by L. Dončić (lost ball; steal by M. Turner),2,2
10,1,9:56.0,D. Collison makes 3-pt jump shot from 27 ft (assist by T. Young),,5,2
11,1,9:39.0,,J. Brunson makes 2-pt jump shot from 6 ft,5,4
12,1,9:30.0,Shooting foul by J. Brunson (drawn by D. Collison),,5,4
13,1,9:30.0,D. Collison makes free throw 1 of 2,,6,4
14,1,9:30.0,D. Collison makes free throw 2 of 2,,7,4
15,1,9:08.0,,T. Hardaway misses 2-pt layup from 5 ft,7,4
16,1,9:06.0,Defensive rebound by M. Turner,,7,4
17,1,9:01.0,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),,10,4
18,1,9:00.0,,Dallas full timeout,10,4
19,1,8:47.0,,L. Dončić makes 3-pt jump shot from 29 ft (assist by J. Brunson),10,7
20,1,8:47.0,,Away from play foul by B. Bogdanović (drawn by T. Hardaway),10,7
21,1,8:47.0,,T. Hardaway makes free throw 1 of 1,10,8
22,1,8:35.0,T. Young makes 2-pt layup from 3 ft (assist by D. Collison),,12,8
23,1,8:21.0,,J. Brunson misses 3-pt jump shot from 25 ft,12,8
24,1,8:20.0,,Offensive rebound by Team,12,8
25,1,8:20.0,Loose ball foul by M. Turner (drawn by D. Powell),,12,8
26,1,8:08.0,,J. Brunson makes 2-pt layup from 2 ft,12,10
