,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:45.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by A. Drummond),,3,0
1,1,11:39.0,,Turnover by D. Dedmon (bad pass; steal by B. Brown),3,0
2,1,11:36.0,B. Brown makes 2-pt layup from 1 ft,,5,0
3,1,11:17.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),5,2
4,1,11:00.0,Shooting foul by D. Dedmon (drawn by A. Drummond),,5,2
5,1,11:00.0,A. Drummond misses free throw 1 of 2,,5,2
6,1,11:00.0,Offensive rebound by Team,,5,2
7,1,11:00.0,A. Drummond makes free throw 2 of 2,,6,2
8,1,10:42.0,,J. Collins misses 2-pt layup from 5 ft (block by A. Drummond),6,2
9,1,10:42.0,,Offensive rebound by Team,6,2
10,1,10:42.0,,Turnover by K. Bazemore (bad pass),6,2
11,1,10:29.0,R. Jackson misses 3-pt jump shot from 25 ft,,6,2
12,1,10:26.0,,Defensive rebound by D. Dedmon,6,2
13,1,10:21.0,,T. Young misses 3-pt jump shot from 25 ft,6,2
14,1,10:17.0,Defensive rebound by B. Griffin,,6,2
15,1,10:15.0,Turnover by B. Griffin (bad pass; steal by D. Dedmon),,6,2
16,1,10:10.0,,T. Young makes 3-pt jump shot from 23 ft (assist by D. Dedmon),6,5
17,1,10:02.0,Personal foul by D. Dedmon (drawn by A. Drummond),,6,5
18,1,9:51.0,A. Drummond misses 2-pt hook shot from 7 ft,,6,5
19,1,9:47.0,,Defensive rebound by K. Bazemore,6,5
20,1,9:35.0,,T. Young misses 2-pt jump shot from 5 ft,6,5
21,1,9:32.0,Defensive rebound by A. Drummond,,6,5
22,1,9:29.0,B. Brown makes 2-pt dunk from 1 ft (assist by R. Jackson),,8,5
23,1,9:29.0,,Atlanta full timeout,8,5
24,1,9:10.0,,T. Prince misses 3-pt jump shot from 25 ft,8,5
25,1,9:09.0,,Offensive rebound by Team,8,5
26,1,9:09.0,Loose ball foul by R. Jackson (drawn by D. Dedmon),,8,5
27,1,9:06.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by D. Dedmon),8,8
28,1,8:48.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by R. Jackson),,11,8
29,1,8:35.0,,Personal foul by R. Jackson (drawn by T. Prince),11,8
30,1,8:30.0,,Turnover by T. Prince (bad pass),11,8
31,1,8:12.0,B. Griffin makes 2-pt layup from 2 ft,,13,8
32,1,8:01.0,,T. Young misses 3-pt jump shot from 25 ft,13,8
33,1,7:58.0,Defensive rebound by A. Drummond,,13,8
34,1,7:44.0,A. Drummond makes 2-pt dunk from 1 ft,,15,8
35,1,7:31.0,,Personal foul by W. Ellington (drawn by K. Bazemore),15,8
36,1,7:31.0,,A. Len enters the game for D. Dedmon,15,8
