,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,2,0
1,1,11:41.0,Shooting foul by T. Harris (drawn by J. McGee),,2,0
2,1,11:41.0,J. McGee makes free throw 1 of 1,,3,0
3,1,11:31.0,,B. Simmons misses 2-pt jump shot from 15 ft,3,0
4,1,11:27.0,Defensive rebound by J. McGee,,3,0
5,1,11:21.0,R. Bullock misses 2-pt jump shot from 21 ft,,3,0
6,1,11:18.0,,Defensive rebound by J. Embiid,3,0
7,1,11:13.0,,B. Simmons misses 2-pt layup from 1 ft,3,0
8,1,11:11.0,Defensive rebound by J. McGee,,3,0
9,1,11:03.0,K. Kuzma makes 2-pt jump shot from 17 ft,,5,0
10,1,10:53.0,,J. Embiid misses 3-pt jump shot from 25 ft,5,0
11,1,10:49.0,,Offensive rebound by J. Butler,5,0
12,1,10:46.0,,T. Harris makes 2-pt layup from 1 ft (assist by J. Butler),5,2
13,1,10:38.0,Turnover by L. James (bad pass; steal by J. Redick),,5,2
14,1,10:32.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),5,4
15,1,10:16.0,K. Kuzma misses 2-pt jump shot from 18 ft,,5,4
16,1,10:13.0,,Defensive rebound by B. Simmons,5,4
17,1,10:07.0,,B. Simmons misses 2-pt jump shot from 6 ft,5,4
18,1,10:05.0,Defensive rebound by B. Ingram,,5,4
19,1,10:04.0,Shooting foul by J. Redick (drawn by B. Ingram),,5,4
20,1,10:04.0,B. Ingram makes free throw 1 of 2,,6,4
21,1,10:04.0,B. Ingram makes free throw 2 of 2,,7,4
22,1,9:52.0,,Personal foul by J. McGee (drawn by J. Embiid),7,4
23,1,9:46.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by B. Simmons),7,6
24,1,9:35.0,L. James makes 3-pt jump shot from 26 ft,,10,6
25,1,9:22.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Redick),10,9
26,1,9:03.0,B. Ingram misses 2-pt jump shot from 15 ft,,10,9
27,1,8:59.0,,Defensive rebound by J. Redick,10,9
28,1,8:52.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by T. Harris),10,11
29,1,8:34.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),,13,11
30,1,8:24.0,,B. Simmons misses 2-pt layup from 2 ft (block by R. Bullock),13,11
31,1,8:21.0,Defensive rebound by J. McGee,,13,11
32,1,8:19.0,K. Kuzma makes 2-pt jump shot from 9 ft,,15,11
33,1,8:06.0,,T. Harris makes 2-pt jump shot from 4 ft (assist by B. Simmons),15,13
34,1,8:06.0,,Shooting foul by L. James (drawn by T. Harris),15,13
35,1,8:06.0,,T. Harris makes free throw 1 of 1,15,14
36,1,7:49.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by B. Ingram),,18,14
37,1,7:39.0,,B. Simmons misses 2-pt jump shot from 5 ft,18,14
38,1,7:35.0,Defensive rebound by J. McGee,,18,14
39,1,7:24.0,Turnover by L. James (bad pass; steal by J. Embiid),,18,14
40,1,7:20.0,,J. Embiid makes 2-pt dunk from 1 ft,18,16
41,1,6:57.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Bullock),,20,16
42,1,6:38.0,,J. Embiid makes 2-pt dunk from 1 ft,20,18
43,1,6:23.0,Shooting foul by B. Simmons (drawn by K. Kuzma),,20,18
44,1,6:23.0,,Philadelphia full timeout,20,18
45,1,6:23.0,,J. Ennis enters the game for J. Butler,20,18
46,1,6:23.0,,F. Korkmaz enters the game for J. Embiid,20,18
47,1,6:23.0,,B. Marjanović enters the game for J. Redick,20,18
48,1,6:23.0,K. Kuzma makes free throw 1 of 2,,21,18
49,1,6:23.0,K. Kuzma makes free throw 2 of 2,,22,18
50,1,6:11.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Marjanović),22,20
51,1,6:06.0,K. Kuzma misses 3-pt jump shot from 25 ft,,22,20
52,1,6:06.0,,Defensive rebound by J. Ennis,22,20
53,1,5:52.0,,B. Marjanović misses 2-pt jump shot from 4 ft,22,20
54,1,5:50.0,Defensive rebound by K. Kuzma,,22,20
55,1,5:29.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,24,20
56,1,5:12.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by F. Korkmaz),24,22
57,1,4:51.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by L. James),,27,22
58,1,4:37.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by F. Korkmaz),27,24
59,1,4:21.0,J. McGee misses 2-pt jump shot from 10 ft,,27,24
60,1,4:18.0,,Defensive rebound by T. Harris,27,24
61,1,4:12.0,,T. Harris makes 2-pt layup from 2 ft,27,26
62,1,4:11.0,LA Lakers full timeout,,27,26
63,1,4:11.0,K. Caldwell-Pope enters the game for R. Bullock,,27,26
64,1,4:11.0,T. Chandler enters the game for B. Ingram,,27,26
65,1,4:11.0,R. Rondo enters the game for J. McGee,,27,26
66,1,3:59.0,L. James makes 3-pt jump shot from 26 ft (assist by R. Rondo),,30,26
67,1,3:38.0,,J. Ennis misses 2-pt layup from 1 ft,30,26
68,1,3:36.0,Defensive rebound by T. Chandler,,30,26
69,1,3:34.0,Turnover by L. James (bad pass; steal by B. Simmons),,30,26
70,1,3:29.0,,T. Harris misses 3-pt jump shot from 28 ft,30,26
71,1,3:26.0,,Offensive rebound by F. Korkmaz,30,26
72,1,3:25.0,,F. Korkmaz makes 2-pt jump shot from 12 ft,30,28
73,1,3:11.0,K. Kuzma makes 3-pt jump shot from 27 ft (assist by R. Rondo),,33,28
74,1,3:11.0,Shooting foul by J. Ennis (drawn by K. Kuzma),,33,28
75,1,3:11.0,,J. Butler enters the game for J. Ennis,33,28
76,1,3:11.0,,J. Embiid enters the game for T. Harris,33,28
77,1,3:11.0,,T. McConnell enters the game for F. Korkmaz,33,28
78,1,3:11.0,,J. Redick enters the game for B. Marjanović,33,28
79,1,3:11.0,,M. Scott enters the game for B. Simmons,33,28
80,1,3:11.0,K. Kuzma misses free throw 1 of 1,,33,28
81,1,3:07.0,,Defensive rebound by T. McConnell,33,28
82,1,3:02.0,,Personal foul by T. Chandler (drawn by J. Embiid),33,28
83,1,3:02.0,L. Stephenson enters the game for L. James,,33,28
84,1,2:48.0,,J. Embiid makes 2-pt jump shot from 8 ft,33,30
85,1,2:36.0,K. Kuzma misses 2-pt jump shot from 17 ft,,33,30
86,1,2:34.0,,Defensive rebound by J. Embiid,33,30
87,1,2:22.0,,J. Embiid misses 2-pt jump shot from 13 ft,33,30
88,1,2:19.0,Defensive rebound by R. Rondo,,33,30
89,1,2:17.0,L. Stephenson makes 2-pt layup from 2 ft (assist by R. Rondo),,35,30
90,1,2:05.0,,J. Redick misses 2-pt jump shot from 14 ft,35,30
91,1,2:02.0,Defensive rebound by R. Rondo,,35,30
92,1,1:59.0,L. Stephenson misses 3-pt jump shot from 24 ft,,35,30
93,1,1:58.0,,Defensive rebound by Team,35,30
94,1,1:41.0,,J. Butler makes 2-pt layup from 2 ft (assist by J. Embiid),35,32
95,1,1:30.0,K. Kuzma makes 2-pt layup from 2 ft,,37,32
96,1,1:14.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),37,35
97,1,0:55.0,R. Rondo misses 2-pt layup from 3 ft,,37,35
98,1,0:52.0,,Defensive rebound by J. Embiid,37,35
99,1,0:50.0,,J. Butler misses 3-pt jump shot from 26 ft,37,35
100,1,0:46.0,,Offensive rebound by M. Scott,37,35
101,1,0:46.0,,M. Scott misses 2-pt layup from 1 ft,37,35
102,1,0:43.0,Defensive rebound by T. Chandler,,37,35
