,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:47.0,Turnover by D. Carroll (bad pass; steal by T. Young),,0,0
1,1,11:34.0,,Turnover by T. Young (bad pass),0,0
2,1,11:25.0,J. Harris makes 2-pt layup at rim (assist by D. Russell),,2,0
3,1,11:06.0,,D. Collison misses 2-pt jump shot from 9 ft,2,0
4,1,11:03.0,Defensive rebound by D. Russell,,2,0
5,1,10:55.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Harris),,5,0
6,1,10:31.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,5,0
7,1,10:28.0,Defensive rebound by J. Harris,,5,0
8,1,10:19.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,7,0
9,1,10:18.0,,Indiana full timeout,7,0
10,1,10:10.0,,Turnover by D. Collison (bad pass; steal by J. Allen),7,0
11,1,10:06.0,Turnover by J. Allen (lost ball; steal by W. Matthews),,7,0
12,1,10:04.0,,Turnover by W. Matthews (bad pass),7,0
13,1,9:59.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by D. Russell),,9,0
14,1,9:40.0,,D. Collison makes 2-pt jump shot from 17 ft,9,2
15,1,9:25.0,R. Kurucs misses 2-pt layup at rim,,9,2
16,1,9:23.0,,Defensive rebound by M. Turner,9,2
17,1,9:13.0,,T. Young makes 2-pt hook shot from 7 ft,9,4
18,1,8:53.0,R. Kurucs makes 2-pt jump shot from 22 ft,,11,4
19,1,8:37.0,,B. Bogdanović makes 2-pt jump shot from 19 ft,11,6
20,1,8:28.0,D. Russell misses 2-pt jump shot from 11 ft,,11,6
21,1,8:25.0,Offensive rebound by D. Russell,,11,6
22,1,8:23.0,D. Carroll misses 3-pt jump shot from 29 ft,,11,6
23,1,8:21.0,,Defensive rebound by D. Collison,11,6
24,1,8:13.0,,D. Collison misses 2-pt layup from 1 ft,11,6
25,1,8:10.0,Defensive rebound by D. Russell,,11,6
26,1,8:07.0,J. Harris misses 3-pt jump shot from 27 ft,,11,6
27,1,8:03.0,Offensive rebound by R. Kurucs,,11,6
28,1,7:57.0,R. Kurucs misses 2-pt layup at rim (block by M. Turner),,11,6
29,1,7:57.0,,Defensive rebound by Team,11,6
30,1,7:57.0,Loose ball foul by R. Kurucs (drawn by M. Turner),,11,6
31,1,7:45.0,,Turnover by T. Young (bad pass),11,6
32,1,7:34.0,R. Kurucs misses 2-pt jump shot from 5 ft (block by M. Turner),,11,6
33,1,7:32.0,Offensive rebound by R. Kurucs,,11,6
34,1,7:31.0,R. Kurucs misses 2-pt jump shot from 10 ft,,11,6
35,1,7:30.0,,Defensive rebound by M. Turner,11,6
36,1,7:21.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),11,9
37,1,7:19.0,Brooklyn full timeout,,11,9
38,1,7:01.0,J. Allen misses 2-pt layup from 1 ft,,11,9
39,1,6:59.0,Offensive rebound by D. Russell,,11,9
40,1,6:59.0,D. Russell misses 2-pt layup from 1 ft,,11,9
41,1,6:58.0,,Defensive rebound by M. Turner,11,9
42,1,6:53.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),11,12
43,1,6:37.0,J. Allen misses 2-pt hook shot from 8 ft,,11,12
44,1,6:35.0,,Defensive rebound by M. Turner,11,12
45,1,6:13.0,,W. Matthews misses 3-pt jump shot from 27 ft,11,12
46,1,6:09.0,Defensive rebound by J. Allen,,11,12
47,1,6:02.0,D. Carroll misses 2-pt layup at rim,,11,12
48,1,5:59.0,Offensive rebound by J. Allen,,11,12
49,1,5:59.0,J. Allen makes 2-pt dunk from 1 ft,,13,12
50,1,5:41.0,,Personal foul by J. Allen (drawn by T. Young),13,12
51,1,5:41.0,S. Dinwiddie enters the game for D. Carroll,,13,12
52,1,5:41.0,J. Dudley enters the game for R. Kurucs,,13,12
53,1,5:41.0,,D. Sabonis enters the game for T. Young,13,12
54,1,5:34.0,,D. Sabonis misses 2-pt layup at rim (block by J. Allen),13,12
55,1,5:32.0,Defensive rebound by J. Dudley,,13,12
56,1,5:25.0,Shooting foul by D. Collison (drawn by D. Russell),,13,12
57,1,5:25.0,D. Russell makes free throw 1 of 2,,14,12
58,1,5:25.0,D. Russell makes free throw 2 of 2,,15,12
59,1,5:16.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),15,15
60,1,5:01.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,17,15
61,1,4:48.0,,D. Collison misses 3-pt jump shot from 26 ft,17,15
62,1,4:45.0,Defensive rebound by S. Dinwiddie,,17,15
63,1,4:41.0,Turnover by S. Dinwiddie (bad pass; steal by D. Collison),,17,15
64,1,4:36.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Collison),17,18
65,1,4:19.0,D. Russell makes 2-pt jump shot from 9 ft (assist by J. Dudley),,19,18
66,1,4:07.0,,Personal foul by S. Dinwiddie (drawn by B. Bogdanović),19,18
67,1,4:07.0,C. LeVert enters the game for D. Russell,,19,18
68,1,4:03.0,,D. Collison misses 2-pt jump shot from 19 ft,19,18
69,1,4:00.0,Defensive rebound by J. Dudley,,19,18
70,1,3:42.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,19,18
71,1,3:39.0,,Defensive rebound by D. Collison,19,18
72,1,3:17.0,,D. Collison misses 2-pt jump shot from 9 ft,19,18
73,1,3:15.0,Defensive rebound by J. Dudley,,19,18
74,1,3:10.0,J. Allen misses 2-pt layup from 2 ft,,19,18
75,1,3:07.0,Offensive rebound by C. LeVert,,19,18
76,1,3:07.0,C. LeVert makes 2-pt layup from 1 ft,,21,18
77,1,2:51.0,,Turnover by D. Sabonis (bad pass; steal by C. LeVert),21,18
78,1,2:48.0,C. LeVert misses 3-pt jump shot from 27 ft,,21,18
79,1,2:45.0,,Defensive rebound by D. Sabonis,21,18
80,1,2:27.0,,M. Turner misses 2-pt layup from 3 ft (block by J. Dudley),21,18
81,1,2:25.0,Defensive rebound by J. Dudley,,21,18
82,1,2:13.0,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,24,18
83,1,2:11.0,,Indiana full timeout,24,18
84,1,2:11.0,D. Carroll enters the game for J. Allen,,24,18
85,1,2:11.0,E. Davis enters the game for J. Harris,,24,18
86,1,2:11.0,,A. Holiday enters the game for B. Bogdanović,24,18
87,1,2:11.0,,C. Joseph enters the game for D. Collison,24,18
88,1,2:11.0,,T. Leaf enters the game for W. Matthews,24,18
89,1,2:11.0,,D. McDermott enters the game for M. Turner,24,18
90,1,1:52.0,,C. Joseph misses 2-pt jump shot from 19 ft,24,18
91,1,1:49.0,Defensive rebound by E. Davis,,24,18
92,1,1:39.0,D. Carroll misses 3-pt jump shot from 26 ft,,24,18
93,1,1:36.0,,Defensive rebound by C. Joseph,24,18
94,1,1:31.0,,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),24,21
95,1,1:08.0,C. LeVert makes 2-pt jump shot from 11 ft,,26,21
96,1,0:51.0,,D. Sabonis makes 2-pt dunk from 3 ft (assist by A. Holiday),26,23
97,1,0:37.0,J. Dudley makes 3-pt jump shot from 28 ft (assist by C. LeVert),,29,23
98,1,0:32.0,,C. Joseph makes 2-pt layup from 3 ft,29,25
99,1,0:19.0,Shooting foul by A. Holiday (drawn by E. Davis),,29,25
100,1,0:19.0,E. Davis makes free throw 1 of 2,,30,25
101,1,0:19.0,E. Davis makes free throw 2 of 2,,31,25
102,1,0:00.0,,C. Joseph misses 2-pt jump shot from 21 ft,31,25
103,1,0:00.0,,Offensive rebound by Team,31,25
104,2,11:40.0,,T. Leaf makes 2-pt layup from 2 ft (assist by D. Sabonis),31,27
105,2,11:28.0,Turnover by J. Dudley (bad pass),,31,27
106,2,11:19.0,,D. McDermott misses 2-pt jump shot from 12 ft,31,27
107,2,11:16.0,Defensive rebound by D. Carroll,,31,27
108,2,11:11.0,J. Dudley misses 3-pt jump shot from 28 ft,,31,27
109,2,11:07.0,,Defensive rebound by T. Leaf,31,27
110,2,11:01.0,,A. Holiday misses 3-pt jump shot from 28 ft,31,27
111,2,10:58.0,Defensive rebound by D. Carroll,,31,27
112,2,10:40.0,Personal foul by A. Holiday (drawn by C. LeVert),,31,27
113,2,10:40.0,T. Graham enters the game for D. Carroll,,31,27
114,2,10:40.0,D. Russell enters the game for S. Dinwiddie,,31,27
115,2,10:35.0,C. LeVert misses 2-pt jump shot from 10 ft,,31,27
116,2,10:33.0,Offensive rebound by C. LeVert,,31,27
117,2,10:22.0,D. Russell misses 3-pt jump shot from 27 ft,,31,27
118,2,10:20.0,,Defensive rebound by D. Sabonis,31,27
119,2,10:13.0,,T. Leaf makes 2-pt jump shot from 9 ft (assist by C. Joseph),31,29
120,2,9:54.0,Personal foul by D. McDermott (drawn by E. Davis),,31,29
121,2,9:49.0,T. Graham misses 3-pt jump shot from 25 ft,,31,29
122,2,9:46.0,,Defensive rebound by C. Joseph,31,29
123,2,9:40.0,,C. Joseph makes 2-pt jump shot from 21 ft,31,31
124,2,9:19.0,D. Russell misses 2-pt layup from 1 ft,,31,31
125,2,9:18.0,,Defensive rebound by D. Sabonis,31,31
126,2,9:09.0,,C. Joseph misses 3-pt jump shot from 27 ft,31,31
127,2,9:04.0,,Offensive rebound by T. Leaf,31,31
128,2,9:02.0,,D. McDermott misses 3-pt jump shot from 27 ft,31,31
129,2,8:59.0,Defensive rebound by Team,,31,31
130,2,8:57.0,T. Graham makes 3-pt jump shot from 30 ft (assist by J. Dudley),,34,31
131,2,8:53.0,,Indiana full timeout,34,31
132,2,8:53.0,,B. Bogdanović enters the game for C. Joseph,34,31
133,2,8:42.0,,D. Sabonis misses 2-pt jump shot from 19 ft,34,31
134,2,8:39.0,Defensive rebound by C. LeVert,,34,31
135,2,8:31.0,C. LeVert makes 2-pt layup from 1 ft,,36,31
136,2,8:31.0,Shooting foul by D. Sabonis (drawn by C. LeVert),,36,31
137,2,8:31.0,C. LeVert makes free throw 1 of 1,,37,31
138,2,8:12.0,,D. Sabonis makes 2-pt jump shot from 10 ft (assist by A. Holiday),37,33
139,2,7:59.0,J. Dudley misses 3-pt jump shot from 29 ft,,37,33
140,2,7:56.0,,Defensive rebound by B. Bogdanović,37,33
141,2,7:48.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,37,33
142,2,7:43.0,Defensive rebound by E. Davis,,37,33
143,2,7:37.0,D. Russell misses 2-pt jump shot from 9 ft,,37,33
144,2,7:35.0,Offensive rebound by E. Davis,,37,33
145,2,7:32.0,D. Russell misses 3-pt jump shot from 27 ft,,37,33
146,2,7:29.0,,Defensive rebound by B. Bogdanović,37,33
147,2,7:20.0,,Turnover by A. Holiday (bad pass; steal by T. Graham),37,33
148,2,7:16.0,Turnover by J. Dudley (bad pass; steal by B. Bogdanović),,37,33
149,2,7:16.0,S. Dinwiddie enters the game for J. Dudley,,37,33
150,2,7:16.0,J. Harris enters the game for C. LeVert,,37,33
151,2,7:16.0,,T. Young enters the game for T. Leaf,37,33
152,2,7:08.0,,A. Holiday makes 3-pt jump shot from 27 ft (assist by T. Young),37,36
153,2,6:48.0,Personal foul by T. Young (drawn by S. Dinwiddie),,37,36
154,2,6:37.0,Personal foul by A. Holiday (drawn by D. Russell),,37,36
155,2,6:37.0,D. Russell makes free throw 1 of 2,,38,36
156,2,6:37.0,D. Russell makes free throw 2 of 2,,39,36
157,2,6:21.0,,A. Holiday misses 3-pt jump shot from 25 ft,39,36
158,2,6:16.0,Defensive rebound by T. Graham,,39,36
159,2,6:07.0,D. Russell misses 3-pt jump shot from 28 ft,,39,36
160,2,6:02.0,Offensive rebound by D. Russell,,39,36
161,2,6:01.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,42,36
162,2,5:44.0,,A. Holiday misses 2-pt jump shot from 17 ft,42,36
163,2,5:40.0,Defensive rebound by T. Graham,,42,36
164,2,5:28.0,Turnover by D. Russell (bad pass),,42,36
165,2,5:28.0,J. Allen enters the game for E. Davis,,42,36
166,2,5:28.0,,D. Collison enters the game for A. Holiday,42,36
167,2,5:28.0,,W. Matthews enters the game for D. McDermott,42,36
168,2,5:06.0,,D. Collison misses 3-pt jump shot from 22 ft,42,36
169,2,5:02.0,Defensive rebound by J. Harris,,42,36
170,2,4:53.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,42,36
171,2,4:49.0,Offensive rebound by T. Graham,,42,36
172,2,4:46.0,J. Harris makes 3-pt jump shot from 28 ft (assist by T. Graham),,45,36
173,2,4:29.0,,W. Matthews misses 3-pt jump shot from 26 ft,45,36
174,2,4:25.0,Defensive rebound by J. Allen,,45,36
175,2,4:10.0,J. Harris misses 3-pt jump shot from 23 ft,,45,36
176,2,4:07.0,Offensive rebound by J. Allen,,45,36
177,2,4:03.0,J. Allen misses 3-pt jump shot from 23 ft,,45,36
178,2,3:59.0,Offensive rebound by J. Harris,,45,36
179,2,3:57.0,J. Harris misses 2-pt jump shot from 4 ft,,45,36
180,2,3:54.0,,Defensive rebound by D. Sabonis,45,36
181,2,3:48.0,,T. Young misses 2-pt jump shot from 2 ft,45,36
182,2,3:44.0,,Offensive rebound by D. Sabonis,45,36
183,2,3:44.0,,D. Sabonis misses 2-pt dunk at rim,45,36
184,2,3:44.0,Defensive rebound by T. Graham,,45,36
185,2,3:40.0,Turnover by D. Russell (bad pass),,45,36
186,2,3:40.0,C. LeVert enters the game for D. Russell,,45,36
187,2,3:40.0,,M. Turner enters the game for D. Sabonis,45,36
188,2,3:32.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,45,36
189,2,3:32.0,Defensive rebound by T. Graham,,45,36
190,2,3:19.0,J. Harris makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,48,36
191,2,2:59.0,,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),48,38
192,2,2:59.0,,Shooting foul by S. Dinwiddie (drawn by T. Young),48,38
193,2,2:59.0,Brooklyn full timeout,,48,38
194,2,2:59.0,R. Kurucs enters the game for T. Graham,,48,38
195,2,2:59.0,,T. Young misses free throw 1 of 1,48,38
196,2,2:57.0,Defensive rebound by J. Allen,,48,38
197,2,2:41.0,J. Allen makes 2-pt dunk from 2 ft (assist by R. Kurucs),,50,38
198,2,2:31.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),50,40
199,2,2:19.0,J. Allen makes 2-pt hook shot from 8 ft (assist by C. LeVert),,52,40
200,2,2:00.0,,T. Young makes 2-pt jump shot from 10 ft (assist by D. Collison),52,42
201,2,1:43.0,R. Kurucs misses 3-pt jump shot from 26 ft,,52,42
202,2,1:40.0,,Defensive rebound by Team,52,42
203,2,1:31.0,,Turnover by B. Bogdanović (traveling),52,42
204,2,1:20.0,C. LeVert misses 3-pt jump shot from 30 ft,,52,42
205,2,1:17.0,,Defensive rebound by Team,52,42
206,2,1:09.0,,T. Young misses 2-pt jump shot from 20 ft,52,42
207,2,1:05.0,Defensive rebound by R. Kurucs,,52,42
208,2,1:01.0,Offensive foul by J. Harris (drawn by D. Collison),,52,42
209,2,1:01.0,Turnover by J. Harris (offensive foul),,52,42
210,2,0:50.0,,M. Turner misses 2-pt layup from 3 ft (block by C. LeVert),52,42
