,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:45.0,Turnover by T. Rozier (bad pass; steal by D. Russell),,0,0
1,1,11:32.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Harris),0,3
2,1,11:31.0,Boston full timeout,,0,3
3,1,11:12.0,Turnover by T. Rozier (bad pass),,0,3
4,1,11:02.0,,J. Harris misses 3-pt jump shot from 25 ft,0,3
5,1,10:58.0,Defensive rebound by T. Rozier,,0,3
6,1,10:43.0,J. Brown misses 2-pt layup from 2 ft (block by J. Allen),,0,3
7,1,10:43.0,Offensive rebound by Team,,0,3
8,1,10:38.0,A. Horford misses 2-pt jump shot from 17 ft,,0,3
9,1,10:37.0,Offensive rebound by Team,,0,3
10,1,10:37.0,,Loose ball foul by T. Graham (drawn by M. Morris),0,3
11,1,10:32.0,T. Rozier makes 3-pt jump shot from 25 ft,,3,3
12,1,10:24.0,,R. Kurucs misses 2-pt dunk at rim,3,3
13,1,10:21.0,Defensive rebound by J. Tatum,,3,3
14,1,10:12.0,J. Tatum makes 2-pt layup from 4 ft (assist by A. Horford),,5,3
15,1,9:59.0,,J. Harris makes 2-pt layup at rim (assist by D. Russell),5,5
16,1,9:48.0,T. Rozier misses 3-pt jump shot from 26 ft,,5,5
17,1,9:45.0,,Defensive rebound by J. Allen,5,5
18,1,9:37.0,,D. Russell misses 3-pt jump shot from 25 ft,5,5
19,1,9:33.0,Defensive rebound by M. Morris,,5,5
20,1,9:20.0,A. Horford makes 2-pt layup from 1 ft,,7,5
21,1,9:01.0,,Turnover by J. Allen (bad pass; steal by J. Brown),7,5
22,1,8:47.0,T. Rozier misses 2-pt jump shot from 5 ft,,7,5
23,1,8:47.0,,Defensive rebound by T. Graham,7,5
24,1,8:38.0,,D. Russell misses 2-pt jump shot from 20 ft,7,5
25,1,8:35.0,Defensive rebound by M. Morris,,7,5
26,1,8:28.0,M. Morris misses 2-pt jump shot from 14 ft,,7,5
27,1,8:25.0,Offensive rebound by J. Brown,,7,5
28,1,8:24.0,J. Brown misses 2-pt layup from 2 ft,,7,5
29,1,8:22.0,,Defensive rebound by D. Russell,7,5
30,1,8:10.0,,D. Russell misses 3-pt jump shot from 26 ft,7,5
31,1,8:07.0,,Offensive rebound by Team,7,5
32,1,7:56.0,,Shooting foul by A. Horford (drawn by J. Harris),7,5
33,1,7:56.0,,J. Harris makes free throw 1 of 2,7,6
34,1,7:56.0,,J. Harris makes free throw 2 of 2,7,7
