,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),0,3
1,1,11:25.0,Turnover by K. Love (bad pass; steal by J. Poeltl),,0,3
2,1,11:11.0,,B. Forbes misses 3-pt jump shot from 26 ft,0,3
3,1,11:08.0,Defensive rebound by T. Thompson,,0,3
4,1,10:55.0,C. Sexton makes 2-pt layup at rim,,2,3
5,1,10:33.0,,L. Aldridge misses 3-pt jump shot from 25 ft,2,3
6,1,10:25.0,,Offensive rebound by J. Poeltl,2,3
7,1,10:25.0,,J. Poeltl misses 2-pt layup at rim,2,3
8,1,10:25.0,Defensive rebound by C. Osman,,2,3
9,1,10:16.0,C. Osman makes 2-pt jump shot from 16 ft,,4,3
10,1,10:09.0,,Shooting foul by K. Love (drawn by J. Poeltl),4,3
11,1,10:09.0,,J. Poeltl makes free throw 1 of 2,4,4
12,1,10:09.0,,J. Poeltl makes free throw 2 of 2,4,5
13,1,9:50.0,Turnover by T. Thompson (lost ball; steal by D. White),,4,5
14,1,9:44.0,,L. Aldridge makes 2-pt hook shot from 6 ft (assist by J. Poeltl),4,7
15,1,9:27.0,K. Love makes 2-pt jump shot from 15 ft,,6,7
16,1,9:16.0,,L. Aldridge misses 2-pt jump shot from 20 ft,6,7
17,1,9:13.0,Defensive rebound by K. Love,,6,7
18,1,9:04.0,B. Knight misses 2-pt jump shot from 9 ft,,6,7
19,1,9:01.0,,Defensive rebound by J. Poeltl,6,7
20,1,8:52.0,,D. White makes 2-pt jump shot from 11 ft (assist by L. Aldridge),6,9
21,1,8:42.0,C. Sexton makes 2-pt layup from 2 ft,,8,9
22,1,8:26.0,,L. Aldridge makes 2-pt jump shot from 14 ft,8,11
23,1,8:26.0,,Shooting foul by T. Thompson (drawn by L. Aldridge),8,11
24,1,8:26.0,,L. Aldridge misses free throw 1 of 1,8,11
25,1,8:23.0,Defensive rebound by T. Thompson,,8,11
26,1,8:15.0,C. Osman misses 3-pt jump shot from 26 ft,,8,11
27,1,8:13.0,,Defensive rebound by B. Forbes,8,11
28,1,8:05.0,,Personal foul by C. Osman (drawn by D. DeRozan),8,11
29,1,7:50.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. White),8,14
30,1,7:41.0,Shooting foul by D. White (drawn by C. Sexton),,8,14
31,1,7:41.0,C. Sexton misses free throw 1 of 2,,8,14
32,1,7:41.0,Offensive rebound by Team,,8,14
33,1,7:41.0,C. Sexton makes free throw 2 of 2,,9,14
34,1,7:18.0,,L. Aldridge misses 2-pt jump shot from 14 ft,9,14
35,1,7:16.0,Defensive rebound by T. Thompson,,9,14
36,1,7:10.0,B. Knight misses 2-pt layup at rim (block by D. White),,9,14
37,1,7:06.0,Offensive rebound by T. Thompson,,9,14
38,1,7:06.0,T. Thompson misses 2-pt layup from 3 ft (block by L. Aldridge),,9,14
39,1,7:05.0,Offensive rebound by T. Thompson,,9,14
40,1,7:02.0,C. Sexton makes 2-pt layup at rim (assist by T. Thompson),,11,14
41,1,6:49.0,,Offensive foul by D. White (drawn by B. Knight),11,14
42,1,6:49.0,,Turnover by D. White (offensive foul),11,14
43,1,6:49.0,,San Antonio full timeout,11,14
44,1,6:49.0,,P. Mills enters the game for D. White,11,14
45,1,6:30.0,K. Love makes 3-pt jump shot from 25 ft (assist by C. Osman),,14,14
46,1,6:05.0,,L. Aldridge misses 2-pt jump shot from 9 ft,14,14
47,1,6:03.0,Defensive rebound by C. Osman,,14,14
48,1,5:43.0,K. Love makes 3-pt jump shot from 25 ft,,17,14
49,1,5:23.0,,Turnover by P. Mills (bad pass),17,14
50,1,5:23.0,J. Clarkson enters the game for B. Knight,,17,14
51,1,5:23.0,L. Nance enters the game for T. Thompson,,17,14
52,1,5:23.0,,R. Gay enters the game for J. Poeltl,17,14
53,1,5:02.0,C. Sexton makes 2-pt jump shot from 21 ft,,19,14
54,1,4:51.0,,D. DeRozan makes 2-pt layup from 2 ft,19,16
55,1,4:38.0,Turnover by C. Sexton (bad pass; steal by B. Forbes),,19,16
56,1,4:35.0,,P. Mills misses 3-pt jump shot from 25 ft,19,16
57,1,4:29.0,Defensive rebound by J. Clarkson,,19,16
58,1,4:18.0,C. Osman misses 3-pt jump shot from 23 ft,,19,16
59,1,4:14.0,,Defensive rebound by B. Forbes,19,16
60,1,4:07.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by D. DeRozan),19,19
61,1,3:41.0,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),,21,19
62,1,3:28.0,,D. DeRozan makes 2-pt layup from 1 ft,21,21
63,1,3:14.0,Personal foul by B. Forbes (drawn by L. Nance),,21,21
64,1,3:14.0,D. Nwaba enters the game for K. Love,,21,21
65,1,3:14.0,,M. Belinelli enters the game for L. Aldridge,21,21
66,1,3:14.0,,J. Poeltl enters the game for B. Forbes,21,21
67,1,3:04.0,D. Nwaba misses 2-pt layup from 4 ft (block by J. Poeltl),,21,21
68,1,2:57.0,Offensive rebound by J. Clarkson,,21,21
69,1,2:57.0,J. Clarkson misses 2-pt jump shot from 9 ft,,21,21
70,1,2:56.0,Offensive rebound by D. Nwaba,,21,21
71,1,2:49.0,C. Osman misses 2-pt layup from 1 ft,,21,21
72,1,2:45.0,,Defensive rebound by R. Gay,21,21
73,1,2:31.0,,P. Mills misses 3-pt jump shot from 25 ft,21,21
74,1,2:30.0,,Offensive rebound by Team,21,21
75,1,2:30.0,Loose ball foul by L. Nance (drawn by J. Poeltl),,21,21
